,t+1
MCK,-0.06392489941886459
D,0.002865329512893977
KLAC,-0.10909189590136492
GLW,0.02919708029197099
DHR,0.00900523958501731
ETN,0.08184523809523814
MSI,0.09774230972455134
NI,0.012400100950618276
TROW,0.002876968932976842
FITB,0.00913242009132409
USB,-0.0363010856324375
BEN,-0.08852165811690549
PAYX,-0.07575463739588306
WHR,0.013953488372093092
WY,0.07250514285161791
RTX,0.04233064333822534
HUM,0.17460317460317465
HBAN,0.04615384615384599
TSN,-0.043010752688171894
TXN,-0.017241379310344862
STT,-0.2078651685393258
K,-0.05133470225872694
LEG,-0.09463722397476337
L,-0.10502292696157722
MKC,-0.0505050505050505
NTRS,-0.09183673469387754
SPGI,-0.04133858267716539
GE,0.012569741491538222
OMC,-0.10846560846560849
ES,-0.004524886877828038
ROK,0.09016638863937709
VNO,0.17143075205064506
VIAC,-0.07848712581645778
QCOM,-0.07613619520039627
ED,-0.0035211267605633756
WM,-0.10909090909090913
PNW,0.029069767441860517
PPL,0.0
ETR,0.0035335689045936647
IP,0.0562239899886916
COP,0.030976759304404355
AEP,0.010204081632652962
CVS,-0.06493506493506496
XEL,-0.02680965147453085
SO,-0.008823529411764675
PEP,-0.125
CVX,0.03921568627450989
PFE,0.09638568508959544
KR,0.019736842105263053
PPG,0.088560885608856
IBM,-0.05582524271844658
PG,-0.024813161137516637
DTE,0.0035714285714285587
KMB,-0.12954519581605628
CAT,0.16877637130801681
CPB,-0.12957746478873244
KO,-0.08163265306122447
CL,-0.09811320754716979
NSC,-0.025793650793651035
PEG,0.022471910112359605
BMY,0.023404255319148914
DE,0.13145539906103276
SEE,-0.030995106035888953
BA,0.08185053380782925
HSY,-0.04640371229698381
EXC,-0.004184100418409997
XOM,-0.001890359168241984
EIX,0.010582010582010692
F,0.0503588189530908
GD,-0.030495552731893305
HAL,0.12152777777777768
MO,-0.27131755669937263
UNP,0.008196721311475308
MRK,0.0533787740027325
HON,-0.020637963762951905
ABT,0.0721124097628052
HWM,0.013410431758292152
SHW,-0.03745318352059923
EMR,-0.01931330472102999
SLB,0.07112970711297062
CMI,-0.024804177545691863
CSX,0.06261519353987999
CLX,-0.04379562043795615
GIS,-0.0651408450704225
NEM,0.10795373810549846
MCD,-0.09198113207547165
LLY,0.01538461538461533
BAX,-0.07949574239978319
BDX,-0.05460750853242324
JNJ,0.02346041055718473
GPC,-0.038596491228070406
HPQ,-0.014803866162384716
WMB,-0.0025913837126076977
JPM,-0.06134969325153394
IFF,-0.011013225562313433
NEE,0.006734006734006703
TAP,-0.021126760563380254
BAC,-0.09153318077803207
DUK,-0.006325735333368776
AXP,0.03703797319043889
WFC,0.017326732673267342
LNC,-0.007739938080495334
DIS,-0.08683473389355723
CI,-0.020120756733612355
INTC,-0.17192441516815238
TGT,-0.13767019667170965
TXT,-0.015706806282722474
VFC,-0.08353111092178556
WBA,-0.05590062111801242
AIG,-0.008806180864472712
FDX,-0.14
PCAR,-0.06201648838120688
ADP,-0.061904462632522916
GWW,0.03138075313807542
MAS,-0.07194169226034164
ADM,-0.019607843137254943
WMT,-0.1640625
SNA,0.0970149253731345
SWK,0.024930747922437657
BF.B,-0.024168663483252528
AAPL,0.0
OXY,0.0
CAG,-0.10502523178030743
LB,-0.0969357997823721
T,-0.009615384615384581
VZ,-0.08259053507368908
LOW,-0.1029411764705882
PHM,0.05164319248826299
HES,0.014251808554505585
HAS,0.06048387096774199
BLL,-0.12411595995472358
NUE,-0.01498637602179842
APD,-0.005681175666573224
PKI,0.016304347826086918
NOC,0.05762550744046724
CNP,-0.018666337574767766
TJX,-0.08015242701549008
DOV,-0.028648418222721572
PH,-0.08812260536398464
ITW,0.0
GPS,-0.08949416342412475
MDT,-0.13696483568998596
SYY,-0.05238095238095242
MMC,-0.057894736842105554
AVY,0.05217391304347818
HD,-0.1146037982973146
PNC,-0.04477611940298509
C,-0.008086253369272267
NKE,-0.10784677687117172
ECL,-0.026058631921824116
NWL,-0.006389776357827448
GL,-0.08958318402802667
ORCL,-0.02730258936348584
ADSK,-0.06896551724137934
MRO,-0.051285300353953844
AEE,-0.0033121019108280914
AMGN,0.08108108108108114
IPG,-0.11111111111111105
COST,-0.12781979830148615
CSCO,-0.08332888924441595
KEY,-0.054545454545454564
UNM,-0.04978354978354982
MSFT,-0.07567551205294687
UNH,0.04854368932038833
LUV,-0.02000261332636455
MU,-0.021276595744680993
AMAT,0.002936456769615292
BK,-0.06724511930585675
CMA,-0.08333333333333326
AON,-0.08888888888888902
AZO,-0.10888252148997135
ADBE,0.3313976744186047
CAH,-0.03361344537815103
SCHW,-0.1058020477815701
EFX,-0.06961778640036709
APA,0.023923444976076347
PGR,-0.0938643586286595
TFC,-0.057144425787737485
CINF,-0.03278702154760993
RF,-0.04605088352980491
AES,0.024390243902439046
CCL,-0.0038022813688213253
LUMN,-0.031007751937984884
CMS,0.0993788819875776
AFL,0.04166666666666674
BBY,-0.12534874360827275
VMC,-0.1497584541062803
ADI,-0.06790123456790131
XLNX,-0.059258578848962906
RAD,-0.07051282051282048
EOG,-0.021739130434782594
CCK,0.0
RHI,0.07462686567164178
OI,-0.05434782608695654
SYK,-0.01869158878504673
CTAS,-0.1352457112519494
FISV,-0.1370939906257762
EA,-0.016949152542372836
TRV,-0.009345794392523366
CMCSA,-0.2287234042553189
NLOK,0.01921677581530723
BIIB,-0.13636004737465446
MTB,0.006677796327211993
VTRS,-0.05240174672489084
GILD,0.20409962530306358
TMO,0.0
STZ,0.10000061538840233
PSA,0.01098901098901095
LEN,-0.05769230769230771
KIM,-0.021894954437823078
VAR,-0.0026739776323100317
HST,-0.07142691782354738
MXIM,0.07407407407407418
EXPD,-0.14529622323495128
J,-0.05882352941176472
RRC,0.06999999999999984
PEAK,-0.08870959169138204
COG,0.026455026455026287
FAST,-0.12745020518862338
LHX,-0.023178807947019875
PXD,-0.005749880210829006
APH,0.06779661016949157
WEC,-0.009009009009009028
PBCT,-0.0845089466804887
XRAY,-0.18539400326734967
WELL,0.005102040816326481
JNY,0.013817409641219358
VTR,-0.014077530096192725
HRL,-0.07608695652173914
WDC,-0.1333333333333333
FMC,-0.09067493201891264
CBE,0.051032806804374164
KBH,-0.06944444444444442
CLF,0.0
ROST,-0.17722441911686526
ROP,0.15909090909090917
HP,0.029663410343071295
OKE,0.04494606984994021
CERN,-0.03332888888888885
JCI,-0.04051612903225821
TT,0.056679971333065016
ODP,-0.03649635036496368
NYT,-0.061224489795918324
PRGO,0.005682179775076568
TLAB,0.3111466666666667
LRCX,-0.004149418915375125
MNST,-0.11535029691394028
PNR,0.015227152468062721
RRD,-0.07627118644067798
PVH,-0.09716599190283404
BIG,-0.08333333333333337
REGN,0.0
