c,h,l,o,s,t,v
35.75,36.009998321533,35.360000610352,36.009998321533,ok,1451865600,18784386
35.639999389648,36.119998931885,35.490001678467,35.860000610352,ok,1451952000,25340678
35.819999694824,36.130001068115,35.360000610352,35.5,ok,1452038400,18165714
35.040000915527,35.680000305176,34.880001068115,35.25,ok,1452124800,22591404
34.650001525879,35.279998779297,34.610000610352,35.130001068115,ok,1452211200,21962204
34.939998626709,35.119998931885,34.520000457764,34.75,ok,1452470400,18726560
35.369998931885,35.549999237061,34.979999542236,35.319999694824,ok,1452556800,18457346
34.080001831055,35.400001525879,33.869998931885,35.189998626709,ok,1452643200,28322878
34.790000915527,35.090000152588,34.009998321533,34.189998626709,ok,1452729600,19523568
34.119998931885,34.509998321533,33.659999847412,33.799999237061,ok,1452816000,25425008
34.549999237061,34.75,34.240001678467,34.540000915527,ok,1453161600,21423142
33.939998626709,34.229999542236,33.130001068115,33.880001068115,ok,1453248000,25278716
34.119998931885,34.560001373291,33.590000152588,33.909999847412,ok,1453334400,20380296
34.799999237061,34.990001678467,34.529998779297,34.549999237061,ok,1453420800,15892665
34.340000152588,34.939998626709,34.299999237061,34.580001831055,ok,1453680000,16793612
35.229999542236,35.229999542236,34.119998931885,34.319999694824,ok,1453766400,19729566
34.909999847412,35.549999237061,34.729999542236,35.029998779297,ok,1453852800,20567568
35.330001831055,35.549999237061,34.939998626709,35.169998168945,ok,1453939200,15472757
36.310001373291,36.310001373291,35.509998321533,35.650001525879,ok,1454025600,19059280
36.319999694824,36.540000915527,35.849998474121,35.900001525879,ok,1454284800,14143998
35.349998474121,35.939998626709,35.25,35.849998474121,ok,1454371200,17404484
35.689998626709,35.790000915527,34.939998626709,35.560001373291,ok,1454457600,13855330
36.450000762939,36.540000915527,35.659999847412,35.700000762939,ok,1454544000,16925924
35.700000762939,36.240001678467,35.369998931885,36.130001068115,ok,1454630400,17312180
35.610000610352,35.700000762939,34.479999542236,35.130001068115,ok,1454889600,20118848
35.080001831055,35.610000610352,34.619998931885,35.130001068115,ok,1454976000,17819756
35.200000762939,36.130001068115,35.139999389648,35.419998168945,ok,1455062400,13368654
34.840000152588,35.110000610352,34.470001220703,34.590000152588,ok,1455148800,18889732
35.540000915527,35.549999237061,34.909999847412,35.240001678467,ok,1455235200,15837938
35.700000762939,35.909999847412,35.419998168945,35.759998321533,ok,1455580800,19676336
36.630001068115,36.770000457764,35.970001220703,35.970001220703,ok,1455667200,13186471
36.630001068115,36.869998931885,36.400001525879,36.709999084473,ok,1455753600,12866629
36.779998779297,36.790000915527,36.419998168945,36.520000457764,ok,1455840000,13203418
37.110000610352,37.490001678467,36.900001525879,37.110000610352,ok,1456099200,10109943
36.549999237061,37.110000610352,36.380001068115,37.110000610352,ok,1456185600,9417125
36.630001068115,36.729999542236,35.770000457764,36.090000152588,ok,1456272000,10978188
37.290000915527,37.299999237061,36.5,36.790000915527,ok,1456358400,11566042
36.959999084473,37.650001525879,36.840000152588,37.430000305176,ok,1456444800,16548735
36.779998779297,37.330001831055,36.619998931885,37.0,ok,1456704000,22300166
37.990001678467,37.990001678467,37.040000915527,37.150001525879,ok,1456790400,13030757
37.759998321533,37.889999389648,37.430000305176,37.759998321533,ok,1456876800,12791151
37.889999389648,37.909999847412,37.400001525879,37.610000610352,ok,1456963200,8832188
37.889999389648,38.159999847412,37.770000457764,38.0,ok,1457049600,10638366
38.360000610352,38.450000762939,37.520000457764,37.540000915527,ok,1457308800,13011008
38.150001525879,38.450000762939,37.939998626709,38.110000610352,ok,1457395200,12384441
38.479999542236,38.610000610352,38.119998931885,38.430000305176,ok,1457481600,16786464
38.049999237061,38.770000457764,37.509998321533,38.770000457764,ok,1457568000,17621288
38.950000762939,38.970001220703,38.279998779297,38.450000762939,ok,1457654400,13143306
38.700000762939,38.939998626709,38.549999237061,38.909999847412,ok,1457913600,14704491
38.740001678467,38.869998931885,38.130001068115,38.349998474121,ok,1458000000,17502868
40.220001220703,40.950000762939,39.529998779297,39.549999237061,ok,1458086400,49082260
40.610000610352,40.959999084473,40.069999694824,40.150001525879,ok,1458172800,22163514
41.479999542236,41.490001678467,40.650001525879,40.869998931885,ok,1458259200,34354028
41.610000610352,42.0,41.369998931885,41.419998168945,ok,1458518400,17275056
41.380001068115,41.75,41.189998626709,41.319999694824,ok,1458604800,11970527
40.75,41.349998474121,40.569999694824,41.299999237061,ok,1458691200,13666756
40.970001220703,41.060001373291,40.340000152588,40.599998474121,ok,1458777600,11956212
40.619998931885,41.110000610352,40.549999237061,41.110000610352,ok,1459123200,14646960
40.700000762939,40.799999237061,40.369998931885,40.409999847412,ok,1459209600,15159236
40.970001220703,41.110000610352,40.840000152588,40.959999084473,ok,1459296000,9803646
40.909999847412,41.240001678467,40.799999237061,41.130001068115,ok,1459382400,10196456
41.159999847412,41.220001220703,40.619998931885,40.680000305176,ok,1459468800,9574125
41.069999694824,41.279998779297,40.900001525879,41.150001525879,ok,1459728000,10243450
40.529998779297,41.060001373291,40.459999084473,40.849998474121,ok,1459814400,9111323
40.75,40.790000915527,40.189998626709,40.400001525879,ok,1459900800,12516159
39.970001220703,40.590000152588,39.810001373291,40.590000152588,ok,1459987200,12838607
40.360000610352,40.540000915527,40.130001068115,40.130001068115,ok,1460073600,8011702
40.389999389648,41.080001831055,40.380001068115,40.590000152588,ok,1460332800,10399576
40.419998168945,40.520000457764,39.990001678467,40.310001373291,ok,1460419200,9245042
41.310001373291,41.389999389648,40.630001068115,40.819999694824,ok,1460505600,12752341
41.240001678467,41.459999084473,41.180000305176,41.310001373291,ok,1460592000,9150486
41.020000457764,41.380001068115,41.020000457764,41.119998931885,ok,1460678400,10340334
41.240001678467,41.25,40.799999237061,40.840000152588,ok,1460937600,8849259
41.060001373291,41.490001678467,40.970001220703,41.409999847412,ok,1461024000,9884448
41.099998474121,41.389999389648,41.080001831055,41.189998626709,ok,1461110400,8481174
40.990001678467,41.299999237061,40.880001068115,41.029998779297,ok,1461196800,11954053
40.700000762939,41.430000305176,40.669998168945,40.790000915527,ok,1461283200,15003315
40.779998779297,40.830001831055,40.470001220703,40.590000152588,ok,1461542400,10876223
40.650001525879,40.849998474121,40.430000305176,40.819999694824,ok,1461628800,8365822
40.849998474121,41.0,40.509998321533,40.509998321533,ok,1461715200,8742137
40.330001831055,40.970001220703,40.169998168945,40.360000610352,ok,1461801600,9233815
39.860000610352,40.169998168945,39.369998931885,40.169998168945,ok,1461888000,12883301
40.299999237061,40.430000305176,39.830001831055,39.900001525879,ok,1462147200,10454246
39.680000305176,40.110000610352,39.529998779297,40.029998779297,ok,1462233600,11439557
39.290000915527,39.569999694824,39.130001068115,39.389999389648,ok,1462320000,9046162
39.229999542236,39.459999084473,39.119998931885,39.439998626709,ok,1462406400,8962693
39.409999847412,39.419998168945,38.970001220703,38.970001220703,ok,1462492800,7587435
39.360000610352,39.729999542236,39.220001220703,39.340000152588,ok,1462752000,7949374
40.020000457764,40.060001373291,39.580001831055,39.580001831055,ok,1462838400,9290151
39.650001525879,40.080001831055,39.639999389648,39.860000610352,ok,1462924800,7180106
39.819999694824,40.029998779297,39.590000152588,39.889999389648,ok,1463011200,10006798
39.610000610352,40.080001831055,39.509998321533,39.779998779297,ok,1463097600,9392633
39.970001220703,40.099998474121,39.459999084473,39.770000457764,ok,1463356800,7797058
39.599998474121,40.020000457764,39.470001220703,39.799999237061,ok,1463443200,9483701
39.470001220703,39.799999237061,39.159999847412,39.590000152588,ok,1463529600,10379691
38.840000152588,39.240001678467,38.560001373291,39.159999847412,ok,1463616000,15124376
39.409999847412,39.580001831055,38.950000762939,39.080001831055,ok,1463702400,16153202
39.180000305176,39.439998626709,39.139999389648,39.310001373291,ok,1463961600,8904799
39.900001525879,40.080001831055,39.25,39.419998168945,ok,1464048000,11329754
40.130001068115,40.290000915527,40.049999237061,40.049999237061,ok,1464134400,7972174
39.950000762939,40.200000762939,39.919998168945,40.110000610352,ok,1464220800,7573999
40.069999694824,40.080001831055,39.799999237061,39.830001831055,ok,1464307200,8240624
40.200000762939,40.220001220703,39.950000762939,40.080001831055,ok,1464652800,12567400
40.259998321533,40.299999237061,39.819999694824,40.060001373291,ok,1464739200,9268776
38.659999847412,39.049999237061,38.080001831055,38.700000762939,ok,1464825600,51063432
39.099998474121,39.209999084473,38.689998626709,38.740001678467,ok,1464912000,20739974
39.439998626709,39.639999389648,39.119998931885,39.189998626709,ok,1465171200,16116913
39.130001068115,39.740001678467,39.049999237061,39.549999237061,ok,1465257600,20009508
39.279998779297,39.340000152588,38.900001525879,39.159999847412,ok,1465344000,11671047
39.049999237061,39.209999084473,38.75,39.189998626709,ok,1465430400,12316133
38.740001678467,38.990001678467,38.610000610352,38.779998779297,ok,1465516800,10441707
38.619998931885,38.889999389648,38.380001068115,38.5,ok,1465776000,13036297
38.830001831055,38.979999542236,38.569999694824,38.630001068115,ok,1465862400,12092235
38.439998626709,38.919998168945,38.409999847412,38.799999237061,ok,1465948800,14476086
38.639999389648,38.799999237061,38.080001831055,38.360000610352,ok,1466035200,17916492
39.680000305176,39.959999084473,38.919998168945,39.490001678467,ok,1466121600,34512376
39.729999542236,40.349998474121,39.700000762939,39.900001525879,ok,1466380800,17149196
39.990001678467,40.119998931885,39.75,39.930000305176,ok,1466467200,20111116
40.009998321533,40.340000152588,39.869998931885,40.150001525879,ok,1466553600,12643366
40.830001831055,40.869998931885,40.259998321533,40.400001525879,ok,1466640000,15429983
39.229999542236,39.889999389648,39.020000457764,39.380001068115,ok,1466726400,44204512
