Date,Open,High,Low,Close,Volume,openinterest
1999-11-18,30.6566,33.5201,26.9508,29.6459,44744700,0
1999-11-19,28.93,28.9721,26.8245,27.2035,10897100,0
1999-11-22,27.8351,29.6459,26.9929,29.6459,4705200,0
1999-11-23,28.6352,29.3932,26.9508,26.9508,4274400,0
1999-11-24,27.035,28.2563,26.9508,27.6667,3464400,0
1999-11-26,27.5404,27.9615,27.4562,27.7509,1237100,0
1999-11-29,27.6246,28.5931,27.3298,28.3826,2914700,0
1999-11-30,28.2984,28.93,27.5825,28.4247,3089700,0
1999-12-01,28.4247,29.2669,28.2142,28.93,2115400,0
1999-12-02,29.4775,30.3197,29.0985,29.7301,2195900,0
1999-12-03,30.2776,30.7829,29.8565,29.9828,2175700,0
1999-12-06,30.4881,31.2882,30.445999999999998,30.825,1610000,0
1999-12-07,30.825,30.9934,29.8565,30.4881,1585100,0
1999-12-08,30.4881,30.7408,30.1933,30.445999999999998,1350400,0
1999-12-09,30.4881,30.9513,30.4881,30.8671,1451400,0
1999-12-10,30.7829,30.9513,30.1512,30.1512,1190800,0
1999-12-13,30.6566,31.1619,29.8986,30.6566,2875900,0
1999-12-14,30.5724,30.5724,28.3405,28.9721,1665900,0
1999-12-15,28.2984,28.5089,27.6246,28.0878,2087100,0
1999-12-16,28.2984,32.341,28.2984,31.8357,1848300,0
1999-12-17,31.2461,31.7514,30.6145,30.9513,2652400,0
1999-12-20,31.1619,31.6251,31.0777,31.583000000000002,856100,0
1999-12-21,31.4567,31.4567,30.9934,31.4146,1616200,0
1999-12-22,31.4146,32.0462,31.204,32.0462,1363200,0
1999-12-23,32.0041,33.6885,31.962,33.5201,1544700,0
1999-12-27,33.6464,35.8362,33.3938,35.5835,1451800,0
1999-12-28,36.5521,41.4369,36.3415,41.4369,2546500,0
1999-12-29,42.4475,53.27,42.4054,48.5115,7514200,0
1999-12-30,51.2066,53.9017,50.0275,53.3963,4772000,0
1999-12-31,53.5648,53.8595,51.375,52.0909,1381400,0
2000-01-03,53.0594,53.1858,45.3953,48.5115,3343700,0
2000-01-04,45.9006,46.406000000000006,43.6266,44.8058,3408500,0
2000-01-05,44.6373,44.6373,40.6368,42.0264,4119200,0
2000-01-06,41.5211,41.7738,39.1629,40.4262,1812900,0
2000-01-07,39.7946,44.4268,39.7525,43.7951,2016900,0
2000-01-10,46.4902,46.9113,45.5216,46.4481,1536800,0
2000-01-11,46.4481,46.4481,44.7636,45.8164,1327600,0
2000-01-12,45.8164,45.8164,43.1634,44.89,1022800,0
2000-01-13,46.0691,47.0376,44.4689,45.5637,811400,0
2000-01-14,45.1426,46.7428,45.1426,46.0691,942000,0
2000-01-18,46.2375,49.101000000000006,45.9006,48.1746,1503400,0
2000-01-19,48.5115,48.5115,47.0376,47.1639,1877600,0
2000-01-20,47.6693,47.7535,45.4795,45.9006,1436300,0
2000-01-21,46.5744,46.7428,44.7636,46.3217,1372200,0
2000-01-24,46.1533,48.3852,45.8164,46.1533,1499200,0
2000-01-25,46.3217,46.9113,44.7636,45.6058,825300,0
2000-01-26,45.7743,46.6586,45.7322,46.027,731300,0
2000-01-27,47.0797,47.5008,45.3111,46.1112,621300,0
2000-01-28,46.8271,46.8271,45.4374,45.8585,1151100,0
2000-01-31,45.5216,45.5637,43.6266,44.5952,749200,0
2000-02-01,44.6373,48.5115,44.6373,47.8377,1004500,0
2000-02-02,48.4273,51.5435,48.2167,51.5435,1391400,0
2000-02-03,50.6591,52.3857,49.7327,52.3857,1272900,0
2000-02-04,52.3857,52.3857,50.5328,51.375,819500,0
2000-02-07,52.3436,53.9017,51.375,53.5648,911500,0
2000-02-08,54.407,55.3755,52.7226,53.2279,836700,0
2000-02-09,52.3015,53.0173,50.996,51.0381,846100,0
2000-02-10,51.8803,53.1016,50.7434,51.6698,763100,0
2000-02-11,51.5435,51.754,50.4065,50.7855,537700,0
2000-02-14,50.7013,51.8382,50.4065,51.5014,599200,0
2000-02-15,51.5856,55.923,51.5856,55.165,1443200,0
2000-02-16,53.9017,55.165,53.4806,54.5754,1288800,0
2000-02-17,54.5754,65.3558,52.3015,65.3558,675900,0
2000-02-18,59.6287,64.5978,59.3339,63.166000000000004,2904200,0
2000-02-22,64.682,65.6084,60.6394,61.65,1593700,0
2000-02-23,61.7342,67.714,61.7342,66.7033,1208900,0
2000-02-24,68.3035,77.7784,67.714,71.925,2114700,0
2000-02-25,69.65100000000001,76.7678,69.5668,72.8515,1465100,0
2000-02-28,72.8515,73.5673,66.19800000000001,68.0508,1198400,0
2000-02-29,68.3456,72.0092,68.2614,69.9879,685300,0
2000-03-01,70.40899999999999,75.2939,70.2406,73.5252,742400,0
