Date,Open,High,Low,Close,Volume,openinterest
1986-11-25,30.37,30.75,30.25,30.75,323700,0
1986-11-26,30.75,30.87,30.62,30.87,199800,0
1986-11-28,30.5,30.87,30.5,30.75,1001900,0
1986-12-01,30.25,30.25,29.75,30.0,845100,0
1986-12-02,30.0,30.5,29.87,30.5,1869100,0
1986-12-03,30.25,30.5,30.12,30.25,303800,0
1986-12-04,30.12,30.25,29.87,30.12,312500,0
1986-12-05,30.0,30.12,29.75,29.87,142800,0
1986-12-08,29.75,29.75,29.25,29.5,221500,0
1986-12-09,29.5,29.62,29.25,29.5,161600,0
1986-12-10,29.5,29.87,29.5,29.62,196200,0
1986-12-11,29.62,29.87,29.5,29.75,121300,0
1986-12-12,29.5,29.75,29.37,29.5,101500,0
1986-12-15,29.37,29.5,29.12,29.37,190400,0
1986-12-16,29.37,29.87,29.25,29.87,376800,0
1986-12-17,29.62,30.0,29.5,29.75,374000,0
1986-12-18,29.62,29.87,29.0,29.25,296500,0
1986-12-19,29.25,29.5,29.0,29.5,158000,0
1986-12-22,29.37,29.5,28.87,29.12,225600,0
1986-12-23,29.25,29.37,29.12,29.25,298300,0
1986-12-24,29.12,29.37,29.0,29.25,60300,0
1986-12-26,29.12,29.37,29.0,29.12,38000,0
1986-12-29,29.12,29.37,29.0,29.12,206500,0
1986-12-30,29.0,29.12,28.75,29.0,162900,0
1986-12-31,28.87,29.0,28.62,28.62,364800,0
1987-01-02,28.75,29.12,28.75,29.12,52800,0
1987-01-05,29.25,29.75,29.25,29.75,51700,0
1987-01-06,29.62,30.37,29.62,30.12,127900,0
1987-01-07,30.25,30.5,30.12,30.37,266500,0
1987-01-08,30.37,30.87,30.37,30.5,596700,0
1987-01-09,30.75,31.12,30.62,30.75,128900,0
1987-01-12,30.87,31.0,30.62,30.75,244600,0
1987-01-13,30.87,30.87,30.25,30.5,352700,0
1987-01-14,30.5,30.62,30.37,30.37,131200,0
1987-01-15,30.37,30.75,30.12,30.75,122800,0
1987-01-16,30.87,31.25,30.75,31.0,244700,0
1987-01-19,31.0,31.12,30.62,30.75,274700,0
1987-01-20,30.62,31.0,30.62,30.62,134000,0
1987-01-21,30.5,30.87,30.37,30.62,173700,0
1987-01-22,30.5,30.87,30.37,30.87,161100,0
1987-01-23,30.75,31.12,30.75,30.87,197600,0
1987-01-26,30.87,31.0,30.62,30.75,94200,0
1987-01-27,30.5,31.0,30.5,30.87,144100,0
1987-01-28,30.87,31.12,30.5,31.0,509200,0
1987-01-29,31.12,31.37,30.87,31.12,243500,0
1987-01-30,31.12,31.37,31.0,31.37,103200,0
1987-02-02,31.37,31.62,31.25,31.62,490900,0
1987-02-03,31.5,31.62,31.12,31.12,91800,0
1987-02-04,31.25,31.25,31.0,31.0,480800,0
1987-02-05,30.87,31.12,30.62,30.75,434300,0
1987-02-06,30.75,30.87,30.25,30.37,564200,0
1987-02-09,30.5,30.5,29.75,30.0,118900,0
1987-02-10,29.87,29.87,29.0,29.5,185000,0
1987-02-11,29.37,29.62,29.12,29.5,210200,0
1987-02-12,29.5,29.62,29.0,29.12,224200,0
1987-02-13,28.87,29.62,28.75,29.62,282500,0
1987-02-17,29.5,29.62,29.37,29.37,238900,0
1987-02-18,29.5,29.5,29.0,29.12,225400,0
1987-02-19,29.12,29.62,29.12,29.62,178000,0
1987-02-20,29.87,29.87,29.62,29.75,141800,0
1987-02-23,29.87,29.87,29.25,29.5,124800,0
1987-02-24,29.25,29.62,29.12,29.37,158900,0
1987-02-25,29.12,29.37,29.0,29.0,228600,0
1987-02-26,29.0,29.12,28.5,28.5,162900,0
1987-02-27,28.5,28.75,28.5,28.62,99800,0
1987-03-02,28.75,29.12,28.5,28.87,2834800,0
1987-03-03,28.12,28.37,28.0,28.12,501500,0
1987-03-04,28.25,28.87,28.12,28.75,207500,0
1987-03-05,28.75,29.25,28.75,29.12,146200,0
1987-03-06,29.0,29.0,28.75,28.87,88400,0
1987-03-09,28.87,29.12,28.75,29.0,137700,0
