Date,Open,High,Low,Close,Volume,openinterest
1996-02-28,2.25,2.375,2.125,2.28125,762900,0
1996-02-29,2.3125,2.3125,2.25,2.3125,113300,0
1996-03-01,2.3125,2.375,2.28125,2.3125,139800,0
1996-03-04,2.28125,2.3125,2.25,2.25,211300,0
1996-03-05,2.25,2.28125,2.1875,2.28125,296800,0
1996-03-06,2.1875,2.28125,2.1875,2.1875,88900,0
1996-03-07,2.25,2.25,2.1875,2.21875,31300,0
1996-03-08,2.25,2.25,2.09375,2.09375,44400,0
1996-03-11,2.09375,2.15625,2.09375,2.15625,41100,0
1996-03-12,2.15625,2.15625,2.09375,2.15625,25700,0
1996-03-13,2.09375,2.1875,2.09375,2.09375,39100,0
1996-03-14,2.1875,2.1875,2.09375,2.09375,26300,0
1996-03-15,2.1875,2.1875,2.09375,2.1875,50800,0
1996-03-18,2.1875,2.1875,2.09375,2.09375,34400,0
1996-03-19,2.125,2.1875,2.09375,2.09375,29100,0
1996-03-20,2.09375,2.1875,2.09375,2.09375,11700,0
1996-03-21,2.09375,2.1875,2.09375,2.09375,12400,0
1996-03-22,2.15625,2.1875,2.09375,2.09375,17900,0
1996-03-25,2.09375,2.1875,2.09375,2.09375,28100,0
1996-03-26,2.09375,2.1875,2.09375,2.125,18900,0
1996-03-27,2.09375,2.1875,2.09375,2.1875,9800,0
1996-03-28,2.09375,2.1875,2.09375,2.1875,11700,0
1996-03-29,2.1875,2.1875,2.09375,2.09375,9200,0
1996-04-01,2.1875,2.25,2.09375,2.15625,44500,0
1996-04-02,2.25,2.25,2.15625,2.1875,131300,0
1996-04-03,2.25,2.25,2.1875,2.25,30100,0
1996-04-04,2.25,2.25,2.1875,2.21875,32700,0
1996-04-08,2.21875,2.234375,2.21875,2.21875,18200,0
1996-04-09,2.234375,2.234375,2.1875,2.1875,86200,0
1996-04-10,2.1875,2.21875,2.1875,2.21875,111300,0
1996-04-11,2.1875,2.234375,2.1875,2.1875,13600,0
1996-04-12,2.1875,2.234375,2.1875,2.1875,19000,0
1996-04-15,2.234375,2.234375,2.1875,2.1875,18200,0
1996-04-16,2.234375,2.234375,2.1875,2.21875,63600,0
1996-04-17,2.1875,2.21875,2.15625,2.15625,45200,0
1996-04-18,2.15625,2.1875,2.15625,2.1875,33500,0
1996-04-19,2.15625,2.21875,2.15625,2.15625,11900,0
1996-04-22,2.21875,2.21875,2.15625,2.1875,29300,0
1996-04-23,2.15625,2.21875,2.15625,2.15625,24900,0
1996-04-24,2.15625,2.21875,2.15625,2.15625,12700,0
1996-04-25,2.21875,2.21875,2.15625,2.21875,47200,0
1996-04-26,2.15625,2.21875,2.15625,2.15625,23200,0
1996-04-29,2.15625,2.21875,2.15625,2.21875,125400,0
1996-04-30,2.21875,2.3125,2.1875,2.21875,37700,0
1996-05-01,2.3125,2.3125,2.21875,2.25,9800,0
1996-05-02,2.25,2.3125,2.21875,2.3125,7200,0
1996-05-03,2.3125,2.3125,2.21875,2.3125,6900,0
1996-05-06,2.3125,2.46875,2.25,2.375,60000,0
1996-05-07,2.4375,2.53125,2.375,2.53125,54700,0
1996-05-08,2.53125,2.75,2.4375,2.75,69400,0
1996-05-09,2.78125,2.9375,2.6875,2.78125,193000,0
1996-05-10,2.78125,2.78125,2.6875,2.6875,46300,0
1996-05-13,2.71875,2.78125,2.6875,2.6875,34300,0
1996-05-14,2.78125,2.78125,2.65625,2.6875,32100,0
1996-05-15,2.65625,2.75,2.53125,2.625,57000,0
1996-05-16,2.625,2.625,2.5625,2.625,29800,0
1996-05-17,2.5625,2.625,2.375,2.53125,66100,0
1996-05-20,2.5,2.5,2.375,2.375,20300,0
1996-05-21,2.46875,2.46875,2.375,2.46875,32000,0
1996-05-22,2.46875,2.71875,2.375,2.5625,137100,0
1996-05-23,2.5625,2.5625,2.5,2.5,9400,0
1996-05-24,2.5625,2.59375,2.5,2.5,33100,0
1996-05-28,2.59375,2.59375,2.5,2.515625,36300,0
1996-05-29,2.5,2.59375,2.46875,2.46875,28700,0
1996-05-30,2.59375,2.59375,2.46875,2.46875,10300,0
1996-05-31,2.46875,2.59375,2.46875,2.59375,12300,0
1996-06-03,2.46875,2.59375,2.46875,2.46875,13800,0
1996-06-04,2.5625,2.5625,2.46875,2.46875,15300,0
1996-06-05,2.46875,2.5625,2.46875,2.46875,25400,0
1996-06-06,2.53125,2.53125,2.46875,2.46875,22800,0
1996-06-07,2.46875,2.53125,2.46875,2.46875,42600,0
1996-06-10,2.53125,2.53125,2.46875,2.46875,11100,0
1996-06-11,2.53125,2.53125,2.46875,2.484375,10400,0
1996-06-12,2.46875,2.5,2.46875,2.46875,10900,0
1996-06-13,2.46875,2.53125,2.46875,2.46875,11000,0
1996-06-14,2.53125,2.53125,2.46875,2.5,18500,0
1996-06-17,2.46875,2.53125,2.46875,2.53125,5200,0
1996-06-18,2.53125,2.53125,2.40625,2.40625,78500,0
1996-06-19,2.5,2.5,2.34375,2.375,159800,0
1996-06-20,2.375,2.4375,2.375,2.375,84000,0
1996-06-21,2.34375,2.34375,2.28125,2.28125,75500,0
1996-06-24,2.28125,2.34375,2.25,2.28125,43000,0
1996-06-25,2.21875,2.3125,2.21875,2.21875,82300,0
1996-06-26,2.21875,2.28125,2.21875,2.21875,35500,0
1996-06-27,2.1875,2.28125,2.15625,2.15625,18200,0
1996-06-28,2.15625,2.25,2.15625,2.1875,26800,0
1996-07-01,2.1875,2.25,2.125,2.15625,354900,0
1996-07-02,2.25,2.25,2.15625,2.15625,6000,0
1996-07-03,2.25,2.25,2.125,2.125,19300,0
1996-07-05,2.21875,2.21875,2.0625,2.0625,11400,0
1996-07-08,2.0625,2.125,1.96875,1.96875,25600,0
1996-07-09,2.09375,2.09375,1.875,1.90625,81200,0
1996-07-10,1.96875,1.96875,1.78125,1.84375,45500,0
1996-07-11,1.84375,1.84375,1.53125,1.65625,56100,0
1996-07-12,1.6875,1.6875,1.5625,1.59375,68000,0
1996-07-15,1.625,1.625,1.5625,1.5625,9900,0
1996-07-16,1.625,1.65625,1.5625,1.578125,50200,0
1996-07-17,1.625,1.625,1.59375,1.59375,8700,0
1996-07-18,1.625,1.625,1.5625,1.625,18000,0
1996-07-19,1.5625,1.59375,1.5,1.59375,38500,0
1996-07-22,1.59375,1.59375,1.5,1.5,31600,0
1996-07-23,1.59375,1.59375,1.5,1.59375,33900,0
1996-07-24,1.5,1.5625,1.5,1.5625,11400,0
1996-07-25,1.5,1.5625,1.5,1.5625,11900,0
1996-07-26,1.5625,1.65625,1.5,1.59375,16500,0
1996-07-29,1.59375,1.59375,1.5,1.5,16200,0
1996-07-30,1.5,1.53125,1.5,1.53125,19400,0
1996-07-31,1.515625,1.53125,1.5,1.5,25400,0
1996-08-01,1.515625,1.53125,1.5,1.53125,36000,0
1996-08-02,1.53125,1.5625,1.5,1.5,8300,0
1996-08-05,1.5,1.5625,1.5,1.5625,1700,0
1996-08-06,1.5625,1.5625,1.5,1.5625,50200,0
1996-08-07,1.515625,1.5625,1.5,1.53125,60200,0
1996-08-08,1.5,1.65625,1.5,1.65625,15200,0
1996-08-09,1.65625,1.75,1.625,1.75,19300,0
1996-08-12,1.75,1.8125,1.65625,1.75,13900,0
1996-08-13,1.8125,1.8125,1.75,1.75,4400,0
1996-08-14,1.75,1.8125,1.75,1.75,28300,0
1996-08-15,1.71875,1.75,1.65625,1.75,6100,0
1996-08-16,1.75,1.78125,1.71875,1.75,50100,0
1996-08-19,1.75,1.75,1.71875,1.75,12700,0
1996-08-20,1.78125,1.78125,1.71875,1.734375,1600,0
1996-08-21,1.78125,1.78125,1.75,1.75,1800,0
1996-08-22,1.734375,1.78125,1.734375,1.75,400,0
