Date,Open,High,Low,Close,Volume,openinterest
2008-04-23,20.6,21.45,20.22,20.6,23404025,0
2008-04-24,20.72,21.0,20.31,20.81,4960820,0
2008-04-25,21.0,21.25,20.7,21.17,1956798,0
2008-04-28,21.49,21.49,20.81,21.0,709378,0
2008-04-29,21.39,21.39,20.82,21.07,859643,0
2008-04-30,21.08,21.2,20.92,21.15,893241,0
2008-05-01,21.22,22.0,21.0,21.91,2998955,0
2008-05-02,22.16,22.16,21.49,22.01,1639357,0
2008-05-05,22.45,22.45,21.56,21.91,578944,0
2008-05-06,21.8,21.86,21.37,21.55,1040181,0
2008-05-07,21.5,21.6,20.65,21.21,1240063,0
2008-05-08,21.23,21.3,21.03,21.25,888049,0
2008-05-09,21.25,21.84,21.03,21.67,550394,0
2008-05-12,21.7,21.74,21.28,21.5,1167927,0
2008-05-13,21.53,21.54,20.8,21.32,1783861,0
2008-05-14,20.51,21.48,20.51,21.3,649169,0
2008-05-15,21.45,21.46,21.1,21.16,470309,0
2008-05-16,21.43,21.65,21.1,21.62,1002319,0
2008-05-19,21.89,22.09,21.55,21.75,802836,0
2008-05-20,21.97,21.97,21.45,21.65,504059,0
2008-05-21,21.85,21.85,21.05,21.16,407047,0
2008-05-22,21.37,21.45,21.12,21.35,274583,0
2008-05-23,21.25,21.25,21.0,21.14,464183,0
2008-05-27,21.49,21.49,21.05,21.23,320210,0
2008-05-28,21.1,21.42,21.07,21.41,403723,0
2008-05-29,21.39,21.5,21.05,21.06,384557,0
2008-05-30,21.1,21.5,21.05,21.5,784275,0
2008-06-02,22.37,22.37,21.2,21.6,414823,0
2008-06-03,21.86,21.9,21.29,21.32,445962,0
2008-06-04,21.1,21.64,21.07,21.57,850244,0
2008-06-05,21.49,21.89,21.49,21.8,567360,0
2008-06-06,21.75,22.25,21.75,22.1,1588847,0
2008-06-09,22.3,22.39,22.1,22.33,377662,0
2008-06-10,22.11,22.25,21.84,21.85,593999,0
2008-06-11,21.72,22.43,21.2,21.71,692288,0
2008-06-12,22.11,22.11,21.47,21.85,394327,0
2008-06-13,22.14,22.4,21.71,22.39,460440,0
2008-06-16,22.47,23.0,22.24,22.75,782930,0
2008-06-17,22.75,23.51,22.3,23.18,1194301,0
2008-06-18,23.0,23.19,22.41,23.04,723269,0
2008-06-19,23.09,23.09,22.7,22.89,683491,0
2008-06-20,22.7,23.2,22.38,23.0,1330300,0
2008-06-23,22.96,22.96,22.67,22.75,390474,0
2008-06-24,22.78,22.96,22.31,22.88,666848,0
2008-06-25,23.08,23.37,22.85,23.37,716965,0
2008-06-26,23.05,23.65,22.14,22.62,1993195,0
2008-06-27,22.0,23.14,21.95,22.52,4484833,0
2008-06-30,22.99,22.99,21.19,22.18,861604,0
2008-07-01,22.4,23.09,22.21,22.88,476781,0
2008-07-02,23.0,23.23,22.46,22.65,492400,0
2008-07-03,22.46,22.61,21.17,21.8,331965,0
2008-07-07,21.8,22.06,21.31,21.49,246722,0
2008-07-08,21.39,21.7,21.29,21.7,281495,0
2008-07-09,21.73,21.76,21.41,21.59,182851,0
2008-07-10,21.69,21.69,20.3,21.26,530125,0
2008-07-11,20.74,20.81,19.24,20.03,1062445,0
2008-07-14,20.03,20.19,19.62,19.71,543075,0
2008-07-15,19.42,19.43,18.09,18.91,1191918,0
2008-07-16,18.97,19.55,18.9,19.4,464543,0
2008-07-17,19.79,19.79,19.067999999999998,19.7,232294,0
2008-07-18,19.0,19.83,19.0,19.55,308418,0
2008-07-21,19.83,19.9,19.45,19.72,148498,0
2008-07-22,19.58,20.05,19.58,19.93,144322,0
2008-07-23,19.85,19.99,19.63,19.69,214888,0
2008-07-24,19.93,19.96,18.55,18.87,518243,0
2008-07-25,19.15,19.26,18.59,19.15,240966,0
2008-07-28,19.25,19.66,18.5,18.63,241832,0
2008-07-29,18.89,19.23,18.72,19.0,289020,0
2008-07-30,19.34,19.67,19.1,19.46,251319,0
2008-07-31,20.48,20.48,18.63,19.25,579102,0
2008-08-01,19.39,19.83,19.25,19.29,389643,0
2008-08-04,19.44,19.87,19.05,19.6,324309,0
2008-08-05,19.85,20.34,19.65,20.34,336493,0
2008-08-06,20.35,20.35,19.53,20.1,343502,0
2008-08-07,20.2,20.22,19.9,20.15,376843,0
2008-08-08,20.29,20.36,19.95,20.07,268127,0
2008-08-11,21.09,21.37,20.65,20.77,958279,0
2008-08-12,20.7,21.33,20.7,20.87,729017,0
2008-08-13,20.88,21.39,20.86,21.09,515702,0
2008-08-14,21.17,21.5,20.83,20.98,567812,0
2008-08-15,21.2,21.2,20.5199,20.75,370736,0
2008-08-18,20.93,21.195999999999998,20.8,21.15,546448,0
2008-08-19,21.25,22.25,21.15,21.92,782703,0
2008-08-20,22.09,22.49,21.41,21.9,801240,0
2008-08-21,21.94,22.05,21.34,21.9,719900,0
2008-08-22,21.99,22.0,21.56,21.95,307016,0
2008-08-25,21.77,22.55,21.45,21.77,245710,0
2008-08-26,21.89,21.94,21.38,21.61,228092,0
2008-08-27,21.76,21.77,21.4,21.72,215924,0
2008-08-28,21.88,22.25,21.1,22.11,383621,0
2008-08-29,21.84,23.12,21.54,22.95,1008904,0
2008-09-02,23.0,23.0,22.05,22.8,652336,0
2008-09-03,22.67,22.79,21.62,21.87,295354,0
2008-09-04,21.77,22.12,21.47,21.47,409216,0
2008-09-05,21.28,21.28,20.58,20.97,443454,0
2008-09-08,21.5,21.5,20.73,20.91,381905,0
2008-09-09,20.85,21.23,20.65,20.65,517451,0
2008-09-10,20.5,21.12,20.5,21.08,591763,0
2008-09-11,21.1,21.13,20.8,21.07,327485,0
2008-09-12,20.97,21.335,20.96,21.03,231544,0
2008-09-15,20.99,21.3,20.27,20.3,403863,0
2008-09-16,20.16,20.58,19.66,20.36,422477,0
2008-09-17,20.45,20.6,19.73,19.91,370811,0
2008-09-18,20.01,20.32,19.5899,20.25,565811,0
2008-09-19,21.26,21.26,19.57,20.0,340076,0
2008-09-22,20.0,20.35,19.65,19.66,314094,0
2008-09-23,19.82,19.82,19.06,19.34,387964,0
2008-09-24,19.62,19.756,19.23,19.6,522675,0
2008-09-25,19.67,20.16,19.51,20.0,304372,0
2008-09-26,19.9,20.12,19.09,19.15,540946,0
2008-09-29,19.17,20.22,18.75,20.1,1045157,0
2008-09-30,20.44,21.8,19.43,21.5,1171613,0
2008-10-01,21.19,21.47,20.02,20.17,525186,0
2008-10-02,20.19,20.38,19.41,20.12,435487,0
2008-10-03,20.4,20.65,19.72,19.93,521097,0
2008-10-06,19.57,19.98,18.8,19.52,771747,0
2008-10-07,19.85,20.34,19.35,19.62,511740,0
2008-10-08,18.97,19.73,18.4,19.07,775864,0
2008-10-09,19.3,19.79,18.53,18.69,868183,0
2008-10-10,18.14,18.6,16.47,18.3,743393,0
2008-10-13,18.56,20.14,18.22,19.4,508399,0
2008-10-14,19.81,21.0,18.84,19.13,665663,0
2008-10-15,18.8,19.1,17.77,18.1,250322,0
2008-10-16,18.53,18.54,17.02,18.42,462894,0
2008-10-17,18.01,19.32,17.75,19.13,365074,0
2008-10-20,18.77,19.76,18.61,19.76,250488,0
2008-10-21,19.29,20.32,18.85,19.69,276075,0
2008-10-22,19.45,19.45,18.41,18.97,304159,0
2008-10-23,18.62,19.13,18.2,18.75,584358,0
