Date,Open,High,Low,Close,Volume,openinterest
2020-02-06,24.5,24.9,19.15,19.15,9233,0
2020-02-10,22.0,22.1,21.83,22.03,2445,0
2020-02-11,22.85,24.01,22.5,24.01,2300,0
2020-02-12,26.31,26.5,25.34,26.49,685,0
2020-02-13,28.74,31.41,27.35,28.25,1390,0
2020-02-14,27.25,27.54,26.8,27.54,400,0
2020-02-18,28.7,28.7,27.75,27.75,200,0
2020-02-19,27.25,28.13,27.25,28.13,1205,0
2020-02-20,27.89,27.89,27.04,27.05,1009,0
2020-02-21,25.76,25.96,25.5,25.82,1638,0
2020-02-25,24.0,24.0,22.57,22.57,600,0
2020-02-26,23.59,24.57,23.1,24.57,836,0
2020-02-27,23.9,23.9,23.9,23.9,133,0
2020-02-28,22.7,22.75,21.7,21.7,655,0
2020-03-02,22.85,23.13,22.72,22.97,880,0
2020-03-03,23.27,23.53,23.27,23.53,718,0
2020-03-04,24.5,24.5,24.5,24.5,1186,0
2020-03-05,23.95,23.95,23.9,23.9,341,0
2020-03-06,23.6,23.6,23.53,23.53,200,0
2020-03-09,21.64,23.11,21.64,22.9,1830,0
2020-03-10,22.16,22.28,22.09,22.28,700,0
2020-03-11,22.16,22.16,20.84,20.91,900,0
2020-03-12,19.58,19.58,18.24,18.49,680,0
2020-03-13,17.36,17.5,17.36,17.5,300,0
2020-03-16,16.4,16.4,13.11,13.22,6700,0
2020-03-17,15.01,15.02,14.02,14.89,524,0
2020-03-18,15.88,15.88,15.1,15.45,500,0
2020-03-20,19.19,22.89,17.99,19.25,15505,0
2020-03-23,17.22,18.05,17.22,18.0,500,0
2020-03-24,18.5,18.51,18.5,18.51,200,0
2020-03-25,18.1,19.32,18.1,19.32,200,0
2020-03-26,19.0,19.0,19.0,19.0,300,0
2020-03-27,18.02,18.02,18.02,18.02,100,0
2020-03-30,17.83,17.83,17.83,17.83,100,0
2020-04-01,16.05,16.05,16.05,16.05,100,0
2020-04-16,15.89,15.89,15.89,15.89,150,0
2020-04-17,16.31,16.31,16.08,16.16,1497,0
2020-04-21,15.84,16.1,15.84,16.02,1998,0
2020-04-22,16.55,16.82,16.55,16.82,400,0
2020-04-23,18.12,18.22,17.66,17.79,3618,0
2020-04-24,17.95,18.14,17.94,18.14,1475,0
2020-04-28,15.8,15.8,15.8,15.8,100,0
2020-04-29,17.37,17.37,17.1,17.1,518,0
2020-05-08,16.88,16.88,16.88,16.88,100,0
2020-05-11,19.77,19.77,19.77,19.77,100,0
2020-05-13,23.12,23.25,21.43,21.43,750,0
2020-05-14,19.36,19.36,19.36,19.36,244,0
2020-05-15,21.6,21.6,21.3,21.3,300,0
2020-05-18,21.31,21.31,21.31,21.31,100,0
2020-05-19,23.145,23.7,23.145,23.27,400,0
2020-05-20,25.7,25.7,25.7,25.7,100,0
2020-05-21,26.81,26.81,26.5,26.5,368,0
2020-05-22,25.8,25.8,24.58,24.58,805,0
2020-05-27,23.69,24.3,23.69,24.3,207,0
2020-05-28,25.85,26.06,25.75,25.75,341,0
2020-05-29,24.85,24.85,24.0,24.79,500,0
2020-06-01,27.05,27.05,26.38,26.4,787,0
2020-06-02,27.25,28.09,27.25,28.09,1097,0
2020-06-03,27.36,28.16,27.26,28.16,1110,0
2020-06-04,27.32,27.35,27.07,27.35,538,0
2020-06-05,27.61,27.61,25.8,25.8,1060,0
2020-06-08,27.59,27.82,27.59,27.78,898,0
2020-06-09,27.7,27.7,27.7,27.7,229,0
2020-06-10,26.64,26.64,26.64,26.64,110,0
2020-06-16,26.96,26.96,26.94,26.94,202,0
2020-06-17,25.74,25.74,25.74,25.74,126,0
2020-06-18,26.98,26.98,26.51,26.62,669,0
2020-06-19,26.81,27.66,25.93,27.31,1413,0
2020-06-22,28.94,28.94,28.46,28.62,621,0
2020-06-23,30.07,30.07,26.31,26.31,900,0
2020-06-24,26.81,26.81,25.84,26.16,1886,0
2020-06-29,26.67,27.2,26.6,26.6,600,0
2020-06-30,28.16,28.16,27.78,27.87,1000,0
2020-07-01,28.0,28.56,28.0,28.56,805,0
2020-07-02,28.81,28.92,28.1,28.92,2697,0
2020-07-06,30.43,30.43,29.65,29.65,300,0
2020-07-08,28.91,28.91,28.91,28.91,100,0
2020-07-09,29.83,29.83,29.83,29.83,100,0
2020-07-10,27.51,27.51,26.38,26.38,300,0
2020-07-13,27.01,27.01,25.1,25.1,700,0
2020-07-15,25.53,25.53,24.03,24.45,1020,0
2020-07-20,23.52,23.52,22.74,23.12,777,0
2020-07-21,23.27,23.27,22.77,22.77,1207,0
2020-07-23,22.99,22.99,22.25,22.25,545,0
2020-07-28,21.13,21.13,21.13,21.13,100,0
2020-07-29,21.035,21.19,20.5,20.5,541,0
2020-07-31,19.87,19.87,19.1,19.1,578,0
2020-08-03,18.95,18.95,18.95,18.95,628,0
2020-08-04,18.95,18.95,18.95,18.95,200,0
2020-08-05,20.96,21.33,20.76,21.33,1227,0
2020-08-06,26.84,26.95,23.7,24.82,4060,0
2020-08-07,23.49,23.53,23.12,23.53,686,0
2020-08-10,24.21,24.21,24.18,24.18,296,0
2020-08-11,24.03,24.03,23.63,23.63,200,0
2020-08-12,22.89,22.89,22.09,22.27,885,0
2020-08-13,21.91,22.41,21.91,22.41,500,0
2020-08-14,22.11,22.44,22.11,22.44,523,0
2020-08-17,22.62,22.62,22.62,22.62,120,0
2020-08-18,25.25,25.67,25.25,25.67,872,0
2020-08-19,24.66,25.25,24.08,25.25,1103,0
2020-08-20,25.31,25.31,25.31,25.31,200,0
2020-08-21,25.36,26.24,24.68,26.03,1738,0
2020-08-24,26.26,26.26,25.35,25.63,2369,0
2020-08-25,25.7,26.21,25.7,25.86,1770,0
2020-08-26,24.95,25.11,24.95,25.11,463,0
2020-08-28,24.59,24.59,24.3,24.53,500,0
2020-08-31,26.12,26.12,25.25,25.38,500,0
2020-09-01,26.24,26.24,26.24,26.24,100,0
2020-09-02,26.2,26.31,26.11,26.31,786,0
2020-09-03,24.02,24.19,23.68,24.19,1876,0
2020-09-04,21.86,22.43,21.47,21.85,2397,0
2020-09-08,22.8,23.07,22.46,22.59,1409,0
2020-09-09,23.65,25.52,23.65,25.24,1862,0
2020-09-10,25.45,26.39,24.93,25.81,1985,0
2020-09-11,25.97,25.97,25.28,25.62,920,0
2020-09-14,25.94,27.36,25.94,27.36,1734,0
2020-09-15,27.4,28.33,27.28,27.86,2600,0
2020-09-17,29.77,29.77,28.13,28.37,1728,0
2020-09-18,29.2,29.82,28.7,29.27,1235,0
2020-09-21,29.57,29.57,29.57,29.57,200,0
2020-09-22,28.27,28.27,26.41,27.89,2207,0
2020-09-23,26.6,26.6,26.02,26.02,1055,0
2020-09-24,25.36,26.16,25.36,26.07,757,0
2020-09-25,26.77,26.89,26.49,26.81,1193,0
2020-09-28,26.37,26.9,26.37,26.87,892,0
2020-09-29,24.585,25.2,24.55,24.72,1185,0
2020-09-30,24.09,24.29,24.09,24.215,677,0
2020-10-01,23.12,25.23,22.47,24.39,6056,0
2020-10-02,23.45,23.48,22.18,22.18,3875,0
2020-10-05,22.95,23.97,22.95,23.76,1315,0
2020-10-06,27.22,27.44,27.22,27.44,460,0
2020-10-07,28.74,28.74,28.46,28.67,1212,0
2020-10-08,28.31,28.58,28.31,28.47,1661,0
2020-10-09,29.59,29.59,29.59,29.59,139,0
2020-10-12,28.45,28.56,28.04,28.56,770,0
2020-10-13,28.79,29.06,28.77,29.05,735,0
2020-10-14,29.21,29.21,28.66,28.66,272,0
2020-10-15,29.9,34.18,29.9,32.83,5938,0
2020-10-16,33.21,34.0,32.07,32.57,2735,0
2020-10-19,33.88,33.88,31.77,31.77,1143,0
2020-10-20,31.41,31.6,30.78,30.78,1012,0
2020-10-21,31.46,31.46,29.82,29.82,845,0
2020-10-22,33.53,34.94,32.94,34.91,2083,0
2020-10-23,36.88,38.17,36.88,37.88,2271,0
2020-10-26,36.05,36.05,33.65,35.5,2114,0
2020-10-27,36.65,38.75,36.5,38.31,2402,0
2020-10-28,35.09,36.42,35.09,36.42,561,0
2020-10-29,36.25,36.25,36.25,36.25,213,0
2020-10-30,35.62,35.71,33.01,34.14,7004,0
2020-11-02,35.52,35.88,34.41,34.57,2751,0
2020-11-03,35.18,35.18,33.75,34.11,1091,0
2020-11-04,35.72,36.3,35.1,35.15,901,0
2020-11-05,35.95,37.23,35.89,36.54,1527,0
2020-11-06,35.18,36.12,35.18,36.07,722,0
2020-11-09,37.55,37.96,36.85,36.99,1396,0
2020-11-10,35.42,37.68,35.42,37.63,1204,0
2020-11-11,38.43,40.62,38.19,38.19,700,0
2020-11-12,39.16,39.16,33.99,34.41,2626,0
2020-11-16,36.19,36.94,36.19,36.94,200,0
2020-11-18,37.79,38.56,37.79,38.56,283,0
2020-11-19,39.73,39.73,39.73,39.73,100,0
2020-11-20,39.85,41.31,39.85,41.31,310,0
2020-11-23,42.38,42.38,42.38,42.38,204,0
2020-11-24,40.15,41.51,40.15,41.51,555,0
2020-11-25,44.51,45.13,44.51,44.53,477,0
2020-11-27,44.49,44.49,44.49,44.49,132,0
2020-11-30,46.65,50.1,46.65,49.99,7342,0
2020-12-01,51.51,55.9,51.51,54.96,1860,0
2020-12-02,57.73,57.73,57.51,57.51,392,0
2020-12-03,57.0,57.55,56.93,57.55,916,0
2020-12-04,58.77,60.29,58.77,60.29,553,0
2020-12-07,61.0,68.995,61.0,67.36,1099,0
2020-12-08,69.83,76.01,69.83,75.12,569,0
2020-12-09,70.9,72.95,70.9,72.81,1936,0
2020-12-10,76.78,79.87,76.78,77.68,1365,0
2020-12-11,76.06,77.95,76.06,77.95,1060,0
2020-12-14,79.96,84.41,79.96,84.05,2156,0
2020-12-15,79.08,81.41,77.84,77.84,566,0
2020-12-16,75.87,75.87,67.625,72.04,1226,0
2020-12-17,69.61,72.16,69.61,72.16,228,0
2020-12-18,73.93,73.93,73.85,73.85,590,0
2020-12-21,91.17,91.82,87.86,88.28,1616,0
2020-12-22,86.9,88.77,81.79,88.62,3555,0
2020-12-23,91.18,91.18,90.54,90.54,205,0
2020-12-24,88.94,88.94,88.21,88.21,268,0
2020-12-28,90.59,96.02,90.59,95.93,5332,0
2020-12-29,89.2,89.2,88.535,88.78,451,0
2020-12-30,86.6,86.6,81.05,82.5,817,0
2020-12-31,83.36,83.36,81.15,81.31,1590,0
