Date,Open,High,Low,Close,Volume,openinterest
2017-07-24,1996.41,2001.45,1996.41,2001.45,432,0
2017-07-25,2016.97,2016.97,2016.97,2016.97,0,0
2017-07-26,2033.15,2033.15,2033.15,2033.15,111,0
2017-07-27,2010.31,2023.64,2010.31,2023.64,156,0
2017-07-28,2024.07,2024.07,2024.07,2024.07,0,0
2017-07-31,2028.5,2028.5,2028.5,2028.5,25,0
2017-08-01,2024.57,2024.57,2024.57,2024.57,154,0
2017-08-02,2020.91,2020.91,2020.91,2020.91,87,0
2017-08-03,2027.99,2027.99,2027.99,2027.99,29,0
2017-08-04,2031.85,2031.85,2031.85,2031.85,0,0
2017-08-07,2042.07,2042.07,2042.07,2042.07,1,0
2017-08-08,2045.03,2045.03,2045.03,2045.03,20,0
2017-08-09,1883.99,1906.32,1883.99,1906.17,504,0
2017-08-10,1895.92,1895.92,1847.32,1847.32,312,0
2017-08-11,1849.78,1856.25,1849.78,1855.47,200,0
2017-08-14,1867.64,1873.96,1867.64,1873.96,476,0
2017-08-15,1866.92,1866.92,1860.835,1860.835,206,0
2017-08-16,1857.56,1857.56,1855.11,1855.11,306,0
2017-08-17,1813.43,1813.43,1811.51,1811.54,349,0
2017-08-18,1811.43,1811.43,1810.5,1810.5,462,0
2017-08-21,1798.15,1801.54,1798.15,1801.54,107,0
2017-08-22,1818.33,1818.33,1818.33,1818.33,285,0
2017-08-23,1819.14,1819.14,1813.02,1813.02,206,0
2017-08-24,1821.73,1821.73,1815.48,1815.48,362,0
2017-08-25,1809.09,1809.09,1793.49,1793.49,586,0
2017-08-28,1797.09,1797.09,1786.45,1789.92,545,0
2017-08-29,1783.99,1808.83,1781.72,1807.96,1014,0
2017-08-30,1814.96,1814.96,1812.99,1812.99,334,0
2017-08-31,1833.04,1855.62,1833.04,1855.62,225,0
2017-09-01,1860.64,1860.64,1850.42,1850.42,254,0
2017-09-05,1843.81,1843.81,1843.81,1843.81,86,0
2017-09-06,1820.38,1842.44,1820.38,1842.44,935,0
2017-09-07,1850.59,1850.59,1844.49,1845.93,218,0
2017-09-08,1838.07,1838.07,1838.07,1838.07,15,0
2017-09-11,1858.37,1869.83,1858.37,1869.83,110,0
2017-09-12,1878.37,1878.37,1868.72,1868.72,287,0
2017-09-13,1865.07,1870.91,1865.07,1870.91,400,0
2017-09-14,1844.6,1844.6,1844.6,1844.6,0,0
2017-09-15,1842.26,1842.26,1842.26,1842.26,105,0
2017-09-18,1864.96,1864.96,1854.43,1855.05,462,0
2017-09-19,1849.64,1861.03,1849.64,1861.03,136,0
2017-09-20,1866.81,1866.81,1865.73,1865.93,207,0
2017-09-21,1870.11,1873.42,1866.65,1866.65,400,0
2017-09-22,1868.48,1868.48,1858.51,1862.13,342,0
2017-09-25,1822.06,1829.02,1822.06,1829.02,194,0
2017-09-26,1841.6,1841.6,1826.09,1826.09,259,0
2017-09-27,1825.04,1828.34,1819.23,1819.23,576,0
2017-09-28,1817.62,1817.62,1809.44,1811.69,727,0
2017-09-29,1829.52,1829.52,1829.52,1829.52,116,0
2017-10-02,1873.99,1873.99,1857.14,1857.48,345,0
2017-10-03,1861.75,1869.36,1861.75,1868.15,696,0
2017-10-04,1872.68,1894.29,1872.68,1889.28,618,0
2017-10-05,1902.48,1910.55,1901.65,1910.55,1994,0
2017-10-06,1906.93,1919.29,1906.93,1918.99,1823,0
2017-10-09,1932.05,1932.05,1926.02,1927.29,685,0
2017-10-10,1938.76,1938.76,1916.37,1916.37,1667,0
2017-10-11,1913.35,1919.85,1911.02,1919.85,626,0
2017-10-12,1920.32,1921.15,1915.43,1917.74,1637,0
2017-10-13,1931.69,1931.69,1929.05,1929.05,414,0
2017-10-16,1944.99,1944.99,1923.54,1935.94,732,0
2017-10-17,1933.47,1935.26,1932.73,1933.69,1137,0
2017-10-18,1936.78,1950.85,1936.78,1942.05,2343,0
2017-10-19,1934.99,1935.98,1924.03,1926.1,1211,0
2017-10-20,1941.99,1943.39,1938.92,1942.54,1177,0
2017-10-23,1954.89,1954.89,1935.17,1935.17,3242,0
2017-10-24,1933.85,1935.61,1929.85,1930.16,4262,0
2017-10-25,1921.01,1929.58,1916.04,1929.58,819,0
2017-10-26,1942.84,1944.58,1935.73,1938.43,1702,0
2017-10-27,1895.82,1895.82,1876.0,1890.53,2431,0
2017-10-30,1887.99,1887.99,1868.34,1879.81,1373,0
2017-10-31,1882.77,1911.97,1882.77,1911.97,1560,0
2017-11-01,1921.14,1921.14,1911.2,1911.2,2024,0
2017-11-02,1914.04,1914.04,1911.15,1911.15,381,0
2017-11-03,1901.68,1902.69,1894.09,1894.09,1715,0
2017-11-06,1895.98,1904.14,1877.07,1904.14,1267,0
2017-11-07,1739.58,1739.58,1640.0,1640.0,7903,0
2017-11-08,1656.25,1661.33,1637.04,1661.33,2476,0
2017-11-09,1640.98,1705.81,1640.98,1703.37,1138,0
2017-11-10,1708.5,1708.5,1691.775,1696.805,329,0
2017-11-13,1703.92,1722.17,1703.92,1722.17,360,0
2017-11-14,1718.94,1727.84,1718.31,1718.31,1908,0
2017-11-15,1724.75,1727.98,1724.65,1727.79,1025,0
2017-11-16,1730.1,1737.71,1729.29,1730.96,1402,0
2017-11-17,1728.54,1749.08,1728.54,1749.08,1564,0
2017-11-20,1764.0,1768.8,1751.32,1755.58,2234,0
2017-11-21,1761.51,1769.64,1761.51,1765.69,1156,0
2017-11-22,1771.99,1771.99,1758.58,1758.58,707,0
2017-11-24,1760.42,1760.42,1760.42,1760.42,741,0
2017-11-27,1759.54,1773.52,1752.05,1762.79,2821,0
2017-11-28,1767.06,1767.06,1752.02,1752.02,777,0
2017-11-29,1737.88,1737.88,1719.3,1734.15,1845,0
2017-11-30,1741.16,1749.5,1741.16,1741.34,1213,0
2017-12-01,1728.78,1735.89,1728.78,1735.31,277,0
2017-12-04,1737.18,1737.18,1725.17,1725.17,986,0
2017-12-05,1732.2,1740.4,1724.88,1724.88,1936,0
2017-12-06,1709.7,1720.24,1709.7,1720.24,528,0
2017-12-07,1702.92,1720.3,1702.34,1720.0,635,0
2017-12-08,1739.22,1739.22,1719.06,1719.06,1220,0
2017-12-11,1726.91,1727.11,1712.74,1715.0,897,0
2017-12-12,1728.64,1731.74,1722.49,1724.26,1353,0
2017-12-13,1728.46,1745.46,1727.39,1744.66,1903,0
2017-12-14,1764.99,1764.99,1760.97,1760.97,923,0
2017-12-15,1760.44,1764.58,1759.99,1759.99,507,0
2017-12-18,1770.27,1782.32,1770.27,1781.16,1396,0
2017-12-19,1785.0,1792.86,1780.36,1780.36,3466,0
2017-12-20,1783.61,1783.61,1773.74,1773.74,3288,0
2017-12-21,1781.43,1781.43,1779.93,1780.31,772,0
2017-12-22,1780.79,1780.79,1774.19,1774.33,1045,0
2017-12-26,1754.25,1754.64,1752.66,1753.72,857,0
2017-12-27,1757.7,1759.46,1754.02,1757.89,679,0
2017-12-28,1762.51,1764.21,1760.83,1764.045,891,0
2017-12-29,1745.99,1745.99,1738.41,1738.41,153,0
2018-01-02,1773.26,1789.84,1773.26,1784.82,2241,0
2018-01-03,1795.08,1827.7,1795.08,1825.11,1487,0
2018-01-04,1839.95,1842.02,1803.3,1806.38,1434,0
2018-01-05,1820.49,1823.26,1814.22,1822.01,1449,0
2018-01-08,1833.61,1861.83,1833.61,1852.19,834,0
2018-01-09,1871.08,1871.34,1857.52,1865.48,1552,0
2018-01-10,1864.6,1871.36,1858.07,1871.36,1548,0
2018-01-11,1890.65,1900.0,1890.65,1893.09,261,0
2018-01-12,1890.01,1919.4,1890.01,1919.4,434,0
2018-01-16,1946.8,1947.25,1918.97,1920.88,2549,0
2018-01-17,1922.98,1953.72,1922.98,1950.54,827,0
2018-01-18,1945.56,1945.56,1926.67,1926.67,1098,0
2018-01-19,1903.75,1908.58,1903.75,1908.58,327,0
2018-01-22,1923.58,1923.58,1916.07,1916.15,578,0
2018-01-23,1934.03,1965.0,1934.03,1965.0,927,0
2018-01-24,1955.35,1965.15,1947.87,1957.13,614,0
2018-01-25,1970.4,1970.4,1949.29,1949.29,428,0
2018-01-26,1953.25,1953.25,1948.85,1948.85,1187,0
2018-01-29,1928.19,1929.38,1923.66,1929.38,1041,0
2018-01-30,1915.58,1922.43,1912.15,1922.08,1638,0
2018-01-31,1917.72,1922.19,1896.12,1912.68,1775,0
2018-02-01,1899.51,1924.22,1893.39,1900.41,2728,0
2018-02-02,1872.01,1883.26,1857.09,1858.24,5340,0
2018-02-05,1858.13,1863.63,1826.53,1826.53,1933,0
2018-02-06,1851.94,1862.03,1850.99,1859.36,1176,0
2018-02-07,1851.26,1884.8,1851.26,1883.68,671,0
2018-02-08,1841.93,1841.93,1806.05,1806.05,1084,0
2018-02-09,1798.87,1802.97,1739.82,1760.86,2219,0
2018-02-12,1770.42,1797.53,1740.65,1790.64,1777,0
2018-02-13,1792.97,1796.98,1792.37,1796.98,746,0
2018-02-14,1784.77,1818.41,1782.0,1818.41,779,0
2018-02-15,1850.05,1870.34,1847.87,1870.34,904,0
2018-02-16,1882.94,1888.6,1882.94,1884.27,689,0
2018-02-20,1892.04,1894.35,1884.29,1893.92,554,0
2018-02-21,1901.98,1909.74,1880.67,1880.67,643,0
2018-02-22,1889.52,1899.72,1873.91,1877.69,3767,0
2018-02-23,1889.98,1907.53,1882.08,1907.53,2102,0
2018-02-26,1916.95,1916.95,1902.36,1905.79,909,0
2018-02-27,1913.42,1914.62,1905.73,1905.73,3032,0
2018-02-28,2054.05,2062.54,2036.46,2036.46,1811,0
2018-03-01,2047.81,2047.81,2012.63,2028.37,955,0
2018-03-02,2013.86,2035.44,2011.36,2035.24,601,0
2018-03-05,2026.0,2076.36,2018.33,2072.33,1549,0
2018-03-06,2083.05,2087.63,2074.96,2085.42,926,0
2018-03-07,2089.92,2122.95,2088.46,2122.95,1614,0
2018-03-08,2155.49,2155.49,2138.36,2153.24,642,0
2018-03-09,2165.02,2174.98,2165.02,2172.06,1209,0
2018-03-12,2212.59,2218.02,2205.76,2205.76,826,0
2018-03-13,2200.78,2200.78,2167.88,2169.81,1910,0
2018-03-14,2185.94,2189.14,2167.94,2189.14,1102,0
2018-03-15,2173.58,2205.0,2173.58,2188.28,3177,0
2018-03-16,2187.82,2189.35,2170.44,2170.44,1816,0
2018-03-19,2150.11,2151.88,2126.07,2148.82,2360,0
2018-03-20,2156.3,2156.3,2139.12,2139.12,1608,0
2018-03-21,2148.23,2155.0,2144.45,2144.45,820,0
2018-03-22,2127.86,2134.59,2113.79,2113.79,838,0
