Date,Open,High,Low,Close,Volume,openinterest
2012-06-18,2575,2575,2575,2575,0,0
2012-06-19,2575,2280,2280,2575,8800,0
2012-06-20,2575,2380,2380,2575,2290,0
2012-06-21,2575,2380,2380,2575,800,0
2012-06-22,2575,2285,2285,2575,800,0
2012-06-25,2380,2285,2285,2380,800,0
2012-06-26,2380,2285,2285,2380,800,0
2012-06-27,2575,2060,2060,2575,800,0
2012-06-28,2575,2060,2060,2575,800,0
2012-06-29,2575,2285,2285,2575,800,0
2012-07-02,2575,2575,2575,2575,0,0
2012-07-03,2575,2285,2285,2575,800,0
2012-07-05,2575,2285,2285,2575,800,0
2012-07-06,2575,2285,2285,2575,800,0
2012-07-09,2575,2285,2285,2575,800,0
2012-07-10,2575,2285,2285,2575,800,0
2012-07-11,2575,2285,2285,2575,800,0
2012-07-12,2575,2285,2285,2575,800,0
2012-07-13,2575,2285,2285,2575,800,0
2012-07-16,2575,2285,2285,2575,800,0
2012-07-17,2575,2285,2285,2575,800,0
2012-07-18,2575,2285,2285,2575,800,0
2012-07-19,2575,2285,2285,2575,800,0
2012-07-20,2575,2575,2575,2575,0,0
2012-07-23,2575,2285,2285,2575,800,0
2012-07-24,2575,2285,2285,2575,800,0
2012-07-25,2575,2285,2285,2575,800,0
2012-07-26,2575,2285,2285,2575,800,0
2012-07-27,2575,2285,2285,2575,800,0
2012-07-30,2575,2285,2285,2575,800,0
2012-07-31,2575,2285,2285,2575,800,0
2012-08-01,2575,532,532,532,92253,0
2012-08-02,2575,532,532,532,92253,0
2012-08-03,2575,532,532,532,92253,0
2012-08-06,2575,532,532,532,92253,0
2012-08-07,532,532,532,532,0,0
2012-08-08,2575,532,532,532,92253,0
2012-08-09,2575,532,532,532,92253,0
2012-08-10,532,532,532,532,0,0
2012-08-13,2575,532,532,532,92253,0
2012-08-14,2575,532,532,532,92253,0
2012-08-15,2575,532,532,532,92253,0
2012-08-16,2575,532,532,532,92253,0
2012-08-17,2575,532,532,532,92253,0
2012-08-20,532,532,532,532,0,0
2012-08-21,2575,532,532,532,92253,0
2012-08-22,2575,532,532,532,92253,0
2012-08-23,2575,532,532,532,92253,0
2012-08-24,2575,532,532,532,92253,0
2012-08-27,2575,532,532,532,92253,0
2012-08-28,2575,532,532,532,92253,0
2012-08-29,2575,532,532,532,92253,0
2012-08-30,2575,532,532,532,92253,0
2012-08-31,2575,532,532,532,92253,0
2012-09-04,2575,532,532,532,92253,0
2012-09-05,2575,532,532,532,92253,0
2012-09-06,2575,532,532,532,92253,0
2012-09-07,2575,532,532,532,92253,0
2012-09-10,2575,532,532,532,92253,0
2012-09-11,2575,532,532,532,92253,0
2012-09-12,2575,532,532,532,92253,0
2012-09-13,2575,532,532,532,92253,0
2012-09-14,2575,532,532,532,92253,0
2012-09-17,532,532,532,532,0,0
2012-09-18,2575,532,532,532,92253,0
2012-09-19,2575,532,532,532,92253,0
2012-09-20,2575,532,532,532,92253,0
2012-09-21,2575,532,532,532,92253,0
2012-09-24,2575,532,532,532,92253,0
2012-09-25,2575,532,532,532,92253,0
2012-09-26,2575,532,532,532,92253,0
2012-09-27,2575,532,532,532,92253,0
2012-09-28,2575,532,532,532,92253,0
2012-10-01,2575,532,532,532,92253,0
2012-10-02,2575,532,532,532,92253,0
2012-10-03,2575,532,532,532,92253,0
2012-10-04,2575,532,532,532,92253,0
2012-10-05,532,532,532,532,0,0
2012-10-08,2575,532,532,532,92253,0
2012-10-09,2575,532,532,532,92253,0
2012-10-10,532,532,532,532,0,0
2012-10-11,532,532,532,532,0,0
