Date,Open,High,Low,Close,Volume,openinterest
1993-08-13,3.171875,3.1875,3.125,3.125,1849600,0
1993-08-16,3.140625,3.140625,3.03125,3.09375,427800,0
1993-08-17,3.0625,3.09375,3.046875,3.046875,91600,0
1993-08-18,3.046875,3.125,3.046875,3.09375,135600,0
1993-08-19,3.078125,3.15625,3.0625,3.15625,104100,0
1993-08-20,3.15625,3.203125,3.140625,3.1875,58000,0
1993-08-23,3.171875,3.171875,3.140625,3.140625,18300,0
1993-08-24,3.15625,3.15625,3.125,3.125,44300,0
1993-08-25,3.125,3.15625,3.125,3.15625,26800,0
1993-08-26,3.15625,3.1875,3.15625,3.15625,35900,0
1993-08-27,3.15625,3.21875,3.15625,3.1875,41300,0
1993-08-30,3.203125,3.21875,3.171875,3.1875,15100,0
1993-08-31,3.203125,3.203125,3.171875,3.203125,29200,0
1993-09-01,3.171875,3.1875,3.171875,3.1875,24600,0
1993-09-02,3.1875,3.1875,3.125,3.125,16500,0
1993-09-03,3.125,3.15625,3.0625,3.0625,6400,0
1993-09-07,3.09375,3.15625,3.09375,3.09375,123100,0
1993-09-08,3.125,3.125,2.953125,3.0,26100,0
1993-09-09,2.96875,3.0,2.96875,2.984375,34700,0
1993-09-10,3.0,3.0,2.859375,2.875,19000,0
1993-09-13,2.875,2.9375,2.875,2.875,40100,0
1993-09-14,2.90625,2.90625,2.71875,2.71875,151500,0
1993-09-15,2.65625,2.875,2.5625,2.875,225400,0
1993-09-16,2.875,2.875,2.78125,2.859375,31000,0
1993-09-17,2.828125,2.96875,2.828125,2.953125,98100,0
1993-09-20,3.0,3.03125,2.90625,2.90625,60600,0
1993-09-21,2.875,2.875,2.78125,2.828125,30000,0
1993-09-22,2.828125,2.828125,2.765625,2.796875,19000,0
1993-09-23,2.78125,2.78125,2.71875,2.734375,118300,0
1993-09-24,2.734375,2.828125,2.734375,2.8125,60100,0
1993-09-27,2.8125,2.90625,2.8125,2.890625,10800,0
1993-09-28,2.890625,2.90625,2.890625,2.890625,12300,0
1993-09-29,3.125,3.125,3.078125,3.125,98600,0
1993-09-30,3.125,3.3125,3.125,3.296875,158500,0
1993-10-01,3.296875,3.296875,3.1875,3.25,68600,0
1993-10-04,3.21875,3.25,3.203125,3.203125,48400,0
1993-10-05,3.140625,3.140625,3.03125,3.03125,60300,0
1993-10-06,3.03125,3.0625,3.03125,3.0625,5300,0
1993-10-07,3.046875,3.078125,3.046875,3.078125,1000,0
1993-10-08,3.078125,3.125,3.078125,3.125,113200,0
1993-10-11,3.109375,3.28125,3.109375,3.28125,89200,0
1993-10-12,3.265625,3.296875,3.25,3.28125,22100,0
1993-10-13,3.296875,3.296875,3.25,3.25,43300,0
1993-10-14,3.28125,3.328125,3.28125,3.296875,47900,0
1993-10-15,3.3125,3.328125,3.296875,3.296875,18000,0
1993-10-18,3.296875,3.34375,3.296875,3.296875,20000,0
1993-10-19,3.3125,3.3125,3.28125,3.296875,49600,0
1993-10-20,3.296875,3.3125,3.296875,3.3125,38000,0
1993-10-21,3.3125,3.328125,3.3125,3.3125,11300,0
1993-10-22,3.3125,3.328125,3.3125,3.3125,10000,0
1993-10-25,3.3125,3.328125,3.3125,3.3125,10900,0
1993-10-26,3.328125,3.328125,3.25,3.25,62800,0
1993-10-27,3.25,3.25,3.203125,3.203125,5000,0
1993-10-28,3.203125,3.25,3.203125,3.25,11300,0
1993-10-29,3.25,3.34375,3.234375,3.328125,51100,0
1993-11-01,3.3125,3.3125,3.296875,3.3125,8000,0
1993-11-02,3.3125,3.3125,3.265625,3.3125,35900,0
1993-11-03,3.296875,3.296875,3.265625,3.296875,5100,0
1993-11-04,3.265625,3.28125,3.25,3.25,6700,0
1993-11-05,3.234375,3.234375,3.1875,3.1875,14300,0
1993-11-08,3.21875,3.21875,3.1875,3.21875,18800,0
1993-11-09,3.1875,3.234375,3.1875,3.203125,9700,0
1993-11-10,3.1875,3.1875,3.140625,3.171875,11900,0
1993-11-11,3.140625,3.171875,3.140625,3.15625,8600,0
1993-11-12,3.15625,3.203125,3.140625,3.140625,33900,0
1993-11-15,3.140625,3.140625,3.140625,3.140625,1400,0
1993-11-16,3.125,3.171875,3.125,3.15625,15900,0
1993-11-17,3.125,3.125,2.984375,2.984375,37400,0
1993-11-18,2.96875,2.984375,2.96875,2.96875,2500,0
1993-11-19,2.96875,2.96875,2.921875,2.921875,3400,0
1993-11-22,2.90625,2.921875,2.90625,2.921875,1400,0
1993-11-23,2.921875,2.953125,2.90625,2.9375,4900,0
1993-11-24,2.9375,3.0,2.9375,3.0,20300,0
1993-11-26,3.03125,3.109375,3.03125,3.109375,9600,0
1993-11-29,3.125,3.140625,3.09375,3.09375,3400,0
1993-11-30,3.09375,3.09375,3.078125,3.078125,7600,0
1993-12-01,3.09375,3.09375,3.046875,3.046875,17600,0
1993-12-02,3.015625,3.015625,3.0,3.015625,12600,0
1993-12-03,3.0,3.0,3.0,3.0,3500,0
1993-12-06,3.0,3.046875,3.0,3.03125,5100,0
1993-12-07,3.015625,3.015625,2.90625,2.921875,30000,0
1993-12-08,2.890625,2.9375,2.890625,2.890625,16100,0
1993-12-09,2.875,2.890625,2.84375,2.875,22600,0
1993-12-10,2.875,2.890625,2.859375,2.890625,25600,0
1993-12-13,2.875,2.9375,2.875,2.9375,15200,0
1993-12-14,2.96875,3.046875,2.96875,3.0,38100,0
1993-12-15,3.0,3.109375,3.0,3.109375,120600,0
1993-12-16,3.125,3.140625,3.09375,3.09375,6600,0
1993-12-17,3.09375,3.109375,3.078125,3.109375,3400,0
1993-12-20,3.109375,3.125,3.09375,3.09375,4700,0
1993-12-21,3.09375,3.125,3.0625,3.125,52700,0
1993-12-22,3.140625,3.1875,3.140625,3.1875,65100,0
1993-12-23,3.1875,3.1875,3.171875,3.1875,3900,0
1993-12-27,3.1875,3.3125,3.1875,3.3125,25900,0
1993-12-28,3.34375,3.375,3.34375,3.34375,21300,0
1993-12-29,3.34375,3.421875,3.34375,3.421875,27500,0
1993-12-30,3.40625,3.40625,3.359375,3.359375,50500,0
1993-12-31,3.375,3.5,3.375,3.5,33700,0
1994-01-03,3.46875,3.46875,3.375,3.375,109900,0
1994-01-04,3.359375,3.40625,3.359375,3.375,3400,0
1994-01-05,3.375,3.46875,3.34375,3.4375,14900,0
1994-01-06,3.4375,3.46875,3.390625,3.4375,15900,0
1994-01-07,3.40625,3.40625,3.359375,3.375,9800,0
1994-01-10,3.375,3.375,3.34375,3.359375,50600,0
1994-01-11,3.34375,3.359375,3.34375,3.34375,43100,0
1994-01-12,3.3125,3.375,3.296875,3.375,41200,0
1994-01-13,3.375,3.375,3.328125,3.359375,8000,0
1994-01-14,3.375,3.40625,3.359375,3.40625,21300,0
1994-01-17,3.40625,3.4375,3.390625,3.4375,10900,0
1994-01-18,3.46875,3.5625,3.46875,3.5625,24600,0
1994-01-19,3.53125,3.59375,3.53125,3.59375,16600,0
1994-01-20,3.59375,3.671875,3.59375,3.671875,14900,0
1994-01-21,3.65625,3.78125,3.640625,3.75,26200,0
1994-01-24,3.78125,3.84375,3.75,3.78125,138900,0
1994-01-25,3.765625,3.765625,3.71875,3.75,31600,0
1994-01-26,3.71875,3.78125,3.71875,3.78125,24500,0
1994-01-27,3.78125,3.859375,3.78125,3.859375,34000,0
1994-01-28,3.84375,3.84375,3.765625,3.84375,28500,0
1994-01-31,3.8125,4.09375,3.8125,4.09375,75200,0
1994-02-01,4.078125,4.078125,3.96875,3.96875,43300,0
1994-02-02,3.96875,4.0,3.953125,3.953125,10600,0
