Date,Open,High,Low,Close,Volume,openinterest
2012-06-18,26.23,26.52,25.96,26.45,2603012,0
2012-06-19,26.69,26.735,26.53,26.56,3237292,0
2012-06-20,26.56,26.71,26.41,26.59,3558838,0
2012-06-21,26.61,26.62,26.0,26.01,3851316,0
2012-06-22,26.05,26.31,26.0,26.13,4643720,0
2012-06-25,25.99,26.06,25.615,25.93,3762180,0
2012-06-26,26.03,26.24,25.84,26.13,2782539,0
2012-06-27,26.25,26.47,26.1,26.38,3012064,0
2012-06-28,26.31,26.33,25.63,25.92,3939116,0
2012-06-29,26.54,27.09,26.43,27.09,3945665,0
2012-07-02,27.23,27.24,26.88,26.98,2629536,0
2012-07-03,27.04,27.2,26.97,27.18,1707272,0
2012-07-05,27.11,27.2,26.93,27.0,2525778,0
2012-07-06,26.9,26.95,26.19,26.37,3022652,0
2012-07-09,26.41,26.45,26.01,26.2,2127912,0
2012-07-10,26.46,26.5,25.77,25.91,2360256,0
2012-07-11,25.87,25.95,25.55,25.77,2475788,0
2012-07-12,25.65,25.68,25.28,25.5,2863410,0
2012-07-13,25.59,25.91,25.54,25.88,2410422,0
2012-07-16,25.8,25.84,25.56,25.65,2495652,0
2012-07-17,25.92,25.97,25.48,25.9,2791132,0
2012-07-18,25.95,26.54,25.82,26.45,2891910,0
2012-07-19,26.6,26.73,26.35,26.51,3436630,0
2012-07-20,26.5,26.5,25.98,26.05,3869063,0
2012-07-23,25.71,25.74,25.23,25.66,3254832,0
2012-07-24,25.61,25.67,25.24,25.43,3691541,0
2012-07-25,25.5,25.95,25.455,25.67,4239506,0
2012-07-26,25.93,26.4,25.79,26.31,6743844,0
2012-07-27,25.0,25.02,23.91,24.425,13684401,0
2012-07-30,24.43,24.75,24.19,24.25,6159810,0
2012-07-31,24.38,24.43,24.04,24.07,5018856,0
2012-08-01,24.2,24.41,24.03,24.33,12817657,0
2012-08-02,24.04,24.43,23.9401,24.13,4770818,0
2012-08-03,24.5,24.85,24.42,24.79,3419377,0
2012-08-06,24.79,25.13,24.68,25.08,3712317,0
2012-08-07,25.15,25.53,25.07,25.48,3816759,0
