Date,Open,High,Low,Close,Volume,openinterest
2010-06-15,32.4861,33.427,31.9909,32.179,17033964,0
2010-06-16,32.0602,32.4762,31.664,31.7631,2160895,0
2010-06-17,32.0404,32.1691,30.9509,31.1985,1467854,0
2010-06-18,31.149,31.3465,30.4656,30.7132,1132140,0
2010-06-21,31.357,32.6842,30.7132,31.7334,1068969,0
2010-06-22,32.0701,32.8327,31.5055,32.3771,1010727,0
2010-06-23,32.6842,33.1794,31.6937,33.1596,1029329,0
2010-06-24,33.1695,33.8529,32.4464,32.9714,1601433,0
2010-06-25,32.9813,33.0308,31.7631,31.7631,641504,0
2010-06-28,32.1592,32.7337,31.456,32.4663,718131,0
2010-06-29,31.9413,31.9909,30.9707,31.456,622457,0
2010-06-30,31.6838,32.3375,31.3471,32.2385,402499,0
2010-07-01,31.9413,32.1889,29.7129,30.0199,1023132,0
2010-07-02,29.9605,30.7033,29.7327,30.5646,483745,0
2010-07-06,31.0995,31.0995,29.4157,29.5148,805172,0
2010-07-07,29.5148,30.1388,28.8908,28.9502,583698,0
2010-07-08,28.772,30.0298,28.1777,28.7324,2177717,0
2010-07-09,28.9403,29.0492,28.3857,28.6927,448593,0
2010-07-12,28.4748,28.564,26.4147,26.5435,1195153,0
2010-07-13,27.118000000000002,27.7023,26.6623,27.5834,878071,0
2010-07-14,27.6033,27.6033,26.8703,27.0783,370259,0
2010-07-15,26.9397,26.9892,25.8502,26.2464,646355,0
2010-07-16,26.0087,26.8901,25.9641,26.1969,708696,0
2010-07-19,26.6722,26.6722,25.8106,26.2365,305973,0
2010-07-20,25.9889,26.4444,25.7511,25.8304,490097,0
2010-07-21,25.8601,26.8208,25.8601,26.3553,854389,0
2010-07-22,26.6425,27.3358,26.494,26.7713,322516,0
2010-07-23,26.6326,26.9298,26.3751,26.8901,233276,0
2010-07-26,26.7416,26.8801,25.8601,26.2464,631260,0
2010-07-27,26.1572,27.3854,25.9988,26.9298,537873,0
2010-07-28,26.7911,26.9595,26.3157,26.8901,131264,0
2010-07-29,26.7416,26.9496,26.0483,26.4147,296181,0
2010-07-30,26.2167,26.9298,26.0681,26.3454,220142,0
2010-08-02,26.8802,27.3655,26.4246,27.2764,356877,0
2010-08-03,27.0783,27.3655,26.8901,26.9892,254056,0
2010-08-04,27.0387,27.2368,26.3949,26.4544,412412,0
2010-08-05,26.0087,26.0087,24.008000000000003,24.5626,1554117,0
