Date,Open,High,Low,Close,Volume,openinterest
2019-02-27,1112.01,1112.01,1112.01,1112.01,0,0
2019-02-28,1117.25,1117.25,1117.25,1117.25,0,0
2019-03-01,1117.46,1117.46,1117.46,1117.46,0,0
2019-03-04,1120.72,1120.72,1120.72,1120.72,0,0
2019-03-05,1122.23,1122.23,1122.23,1122.23,0,0
2019-03-06,1124.46,1124.46,1124.46,1124.46,0,0
2019-03-07,1110.15,1110.15,1110.15,1110.15,0,0
2019-03-08,1105.16,1105.16,1105.16,1105.16,0,0
2019-03-11,1108.13,1108.13,1108.13,1108.13,0,0
2019-03-12,1108.92,1108.92,1108.92,1108.92,0,0
2019-03-13,1114.3101,1114.3101,1114.3101,1114.3101,0,0
2019-03-14,1120.49,1120.49,1120.49,1120.49,0,0
2019-03-15,1126.51,1126.51,1126.51,1126.51,0,0
2019-03-19,1135.59,1135.59,1135.59,1135.59,0,0
2019-03-20,1135.98,1135.98,1135.98,1135.98,0,0
2019-03-21,1139.41,1139.41,1139.41,1139.41,0,0
2019-03-22,1123.29,1123.29,1123.29,1123.29,0,0
2019-03-25,1120.4399,1120.4399,1120.4399,1120.4399,0,0
2019-03-26,1121.66,1121.66,1121.66,1121.66,0,0
2019-03-27,1119.24,1119.24,1119.24,1119.24,0,0
2019-03-28,1116.21,1116.21,1116.21,1116.21,0,0
2019-03-29,1115.27,1115.27,1115.27,1115.27,0,0
2019-04-01,1130.22,1130.22,1130.22,1130.22,0,0
2019-04-02,1136.24,1136.24,1136.24,1136.24,0,0
2019-04-03,1151.54,1151.54,1151.54,1151.54,0,0
2019-04-04,1144.42,1144.42,1144.42,1144.42,0,0
2019-04-05,1138.13,1138.13,1138.13,1138.13,0,0
2019-04-08,1139.1,1139.1,1139.1,1139.1,0,0
2019-04-09,1142.3,1142.3,1142.3,1142.3,0,0
2019-04-10,1151.67,1151.67,1151.67,1151.67,0,0
2019-04-11,1153.17,1153.17,1153.17,1153.17,0,0
2019-04-12,1159.71,1159.71,1159.71,1159.71,0,0
2019-04-15,1159.2,1159.2,1159.2,1159.2,0,0
2019-04-16,1161.53,1161.53,1161.53,1161.53,0,0
2019-04-17,1165.59,1165.59,1165.59,1165.59,0,0
2019-04-18,1159.46,1159.46,1159.46,1159.46,0,0
2019-04-22,1159.91,1159.91,1159.91,1159.91,0,0
2019-04-23,1160.36,1160.36,1160.36,1160.36,0,0
2019-04-24,1157.11,1157.11,1157.11,1157.11,0,0
2019-04-25,1150.0601,1150.0601,1150.0601,1150.0601,0,0
2019-04-26,1156.3199,1156.3199,1156.3199,1156.3199,0,0
2019-04-29,1149.36,1149.36,1149.36,1149.36,0,0
2019-04-30,1141.5,1141.5,1141.5,1141.5,0,0
2019-05-01,1141.5,1141.5,1141.5,1141.5,0,0
2019-05-02,1140.51,1140.51,1140.51,1140.51,0,0
2019-05-03,1134.16,1134.16,1134.16,1134.16,0,0
2019-05-06,1120.46,1120.46,1120.46,1120.46,0,0
2019-05-07,1104.12,1104.12,1104.12,1104.12,0,0
2019-05-08,1101.66,1101.66,1101.66,1101.66,0,0
2019-05-09,1082.64,1082.64,1082.64,1082.64,0,0
2019-05-10,1088.1801,1088.1801,1088.1801,1088.1801,0,0
