Date,Open,High,Low,Close,Volume,openinterest
1987-07-24,3.9375,3.9375,3.875,3.9375,3891600,0
1987-07-27,3.90625,3.9375,3.875,3.90625,482800,0
1987-07-28,3.875,3.90625,3.875,3.875,518700,0
1987-07-29,3.875,3.90625,3.875,3.875,1232700,0
1987-07-30,3.8125,3.90625,3.8125,3.8125,1163600,0
1987-07-31,3.625,3.78125,3.5625,3.625,751700,0
1987-08-03,3.84375,3.84375,3.5,3.84375,319400,0
1987-08-04,3.78125,3.90625,3.75,3.78125,174600,0
1987-08-05,3.78125,3.8125,3.75,3.78125,65500,0
1987-08-06,3.75,3.78125,3.71875,3.75,120100,0
1987-08-07,3.84375,3.84375,3.75,3.84375,145600,0
1987-08-10,3.90625,3.96875,3.8125,3.90625,381200,0
1987-08-11,3.9375,3.9375,3.875,3.9375,598800,0
1987-08-12,3.9375,3.9375,3.90625,3.9375,378600,0
1987-08-13,3.875,3.9375,3.84375,3.875,129000,0
1987-08-14,3.875,3.9375,3.84375,3.875,81000,0
1987-08-17,3.875,3.875,3.84375,3.875,45900,0
1987-08-18,3.71875,3.875,3.71875,3.71875,138600,0
1987-08-19,3.75,3.75,3.65625,3.75,76100,0
1987-08-20,3.75,3.8125,3.75,3.75,129000,0
1987-08-21,3.8125,3.84375,3.71875,3.8125,155100,0
1987-08-24,3.9375,3.9375,3.84375,3.9375,399200,0
1987-08-25,4.125,4.15625,3.9375,4.125,342900,0
1987-08-26,4.3125,4.375,4.1875,4.3125,474300,0
1987-08-27,4.21875,4.3125,4.1875,4.21875,151200,0
1987-08-28,4.25,4.25,4.1875,4.25,42800,0
1987-08-31,4.21875,4.21875,4.15625,4.21875,48000,0
1987-09-01,4.1875,4.28125,4.1875,4.1875,304900,0
1987-09-02,4.0,4.21875,3.96875,4.0,362400,0
1987-09-03,4.0,4.09375,3.9375,4.0,63100,0
1987-09-04,3.96875,4.0,3.90625,3.96875,56400,0
1987-09-08,3.875,3.96875,3.78125,3.875,134000,0
1987-09-09,3.84375,3.875,3.8125,3.84375,94200,0
1987-09-10,3.84375,3.875,3.78125,3.84375,200900,0
1987-09-11,3.9375,3.96875,3.84375,3.9375,129900,0
1987-09-14,3.96875,4.0,3.90625,3.96875,51600,0
1987-09-15,3.96875,4.0,3.9375,3.96875,19500,0
1987-09-16,4.0,4.0,3.9375,4.0,97600,0
1987-09-17,3.9375,3.96875,3.9375,3.9375,33600,0
1987-09-18,3.90625,3.96875,3.90625,3.90625,23900,0
1987-09-21,3.96875,3.96875,3.9375,3.96875,121400,0
1987-09-22,3.96875,4.0,3.90625,3.96875,130200,0
1987-09-23,3.96875,4.0,3.9375,3.96875,6300,0
1987-09-24,3.9375,3.96875,3.9375,3.9375,11600,0
1987-09-25,3.96875,3.96875,3.9375,3.96875,40400,0
1987-09-28,4.03125,4.0625,3.96875,4.03125,150000,0
1987-09-29,3.96875,4.03125,3.96875,3.96875,44600,0
1987-09-30,4.0,4.0,3.9375,4.0,58800,0
1987-10-01,3.96875,4.0,3.96875,3.96875,48000,0
1987-10-02,4.0,4.0,3.96875,4.0,163900,0
1987-10-05,4.0,4.03125,3.9375,4.0,102000,0
1987-10-06,3.90625,4.03125,3.90625,3.90625,77600,0
1987-10-07,3.84375,3.9375,3.71875,3.84375,37600,0
1987-10-08,3.75,3.84375,3.71875,3.75,121500,0
1987-10-09,3.5625,3.75,3.5625,3.5625,60100,0
1987-10-12,3.34375,3.5625,3.25,3.34375,139700,0
1987-10-13,3.46875,3.46875,3.34375,3.46875,92800,0
1987-10-14,3.3125,3.46875,3.25,3.3125,188900,0
1987-10-15,3.15625,3.28125,3.15625,3.15625,67400,0
1987-10-16,3.03125,3.21875,2.9375,3.03125,155100,0
1987-10-19,2.28125,2.6875,2.25,2.28125,408600,0
1987-10-20,2.625,2.625,2.03125,2.625,412200,0
1987-10-21,2.71875,2.8125,2.625,2.71875,295800,0
1987-10-22,2.34375,2.46875,2.25,2.34375,163100,0
1987-10-23,2.34375,2.375,2.25,2.34375,780100,0
1987-10-26,2.15625,2.25,2.125,2.15625,186200,0
1987-10-27,2.21875,2.375,2.125,2.21875,218800,0
1987-10-28,2.1875,2.21875,2.125,2.1875,192000,0
1987-10-29,2.15625,2.1875,2.125,2.15625,31500,0
1987-10-30,2.5625,2.5625,2.21875,2.5625,644800,0
1987-11-02,2.625,2.6875,2.40625,2.625,163400,0
1987-11-03,2.53125,2.5625,2.34375,2.53125,145800,0
1987-11-04,2.34375,2.40625,2.3125,2.34375,76800,0
1987-11-05,2.28125,2.3125,2.25,2.28125,136200,0
1987-11-06,2.3125,2.3125,2.28125,2.3125,101300,0
1987-11-09,2.28125,2.3125,2.25,2.28125,98500,0
1987-11-10,2.25,2.3125,2.21875,2.25,179700,0
1987-11-11,2.28125,2.3125,2.21875,2.28125,77000,0
1987-11-12,2.3125,2.375,2.28125,2.3125,69400,0
1987-11-13,2.25,2.3125,2.21875,2.25,96300,0
1987-11-16,2.21875,2.3125,2.21875,2.21875,36300,0
1987-11-17,2.25,2.25,2.125,2.25,88400,0
1987-11-18,2.21875,2.25,2.15625,2.21875,84600,0
1987-11-19,2.15625,2.21875,2.125,2.15625,51000,0
1987-11-20,2.15625,2.15625,2.09375,2.15625,151600,0
1987-11-23,2.25,2.25,2.15625,2.25,65000,0
1987-11-24,2.34375,2.375,2.21875,2.34375,139300,0
1987-11-25,2.3125,2.3125,2.25,2.3125,67100,0
1987-11-27,2.3125,2.34375,2.28125,2.3125,31200,0
1987-11-30,2.25,2.28125,2.15625,2.25,155800,0
1987-12-01,2.1875,2.25,2.15625,2.1875,87700,0
1987-12-02,2.1875,2.1875,2.09375,2.1875,82000,0
1987-12-03,2.09375,2.1875,2.0625,2.09375,76500,0
1987-12-04,2.09375,2.09375,2.0625,2.09375,123200,0
1987-12-07,2.09375,2.125,2.0625,2.09375,71500,0
1987-12-08,2.09375,2.125,2.0625,2.09375,118100,0
1987-12-09,2.375,2.40625,2.09375,2.375,125900,0
1987-12-10,2.375,2.46875,2.28125,2.375,97800,0
1987-12-11,2.375,2.40625,2.34375,2.375,73200,0
1987-12-14,2.46875,2.46875,2.34375,2.46875,149200,0
1987-12-15,2.46875,2.5,2.4375,2.46875,58500,0
1987-12-16,2.6875,2.75,2.5,2.6875,232600,0
1987-12-17,2.78125,2.875,2.6875,2.78125,205200,0
1987-12-18,2.8125,2.84375,2.65625,2.8125,117100,0
1987-12-21,2.75,2.84375,2.6875,2.75,80500,0
1987-12-22,2.625,2.75,2.5625,2.625,77100,0
1987-12-23,2.75,2.75,2.5625,2.75,60800,0
1987-12-24,2.875,2.9375,2.8125,2.875,53800,0
1987-12-28,2.8125,2.875,2.78125,2.8125,37900,0
1987-12-29,2.8125,2.8125,2.75,2.8125,48700,0
1987-12-30,2.75,2.8125,2.75,2.75,66900,0
1987-12-31,3.0,3.0,2.65625,3.0,138300,0
1988-01-04,3.0,3.0,2.96875,3.0,64700,0
1988-01-05,3.03125,3.0625,3.0,3.03125,75100,0
1988-01-06,3.25,3.375,3.0,3.25,91700,0
1988-01-07,3.5,3.5,3.21875,3.5,575300,0
1988-01-08,3.3125,3.5,3.3125,3.3125,259400,0
1988-01-11,3.34375,3.375,3.21875,3.34375,49800,0
1988-01-12,3.3125,3.3125,3.25,3.3125,128000,0
1988-01-13,3.28125,3.28125,3.1875,3.28125,56200,0
1988-01-14,3.25,3.375,3.21875,3.25,25900,0
1988-01-15,3.3125,3.40625,3.3125,3.3125,169800,0
1988-01-18,3.28125,3.28125,3.21875,3.28125,29000,0
1988-01-19,3.21875,3.25,3.1875,3.21875,87800,0
1988-01-20,3.21875,3.21875,3.15625,3.21875,50700,0
1988-01-21,3.15625,3.21875,3.09375,3.15625,36700,0
1988-01-22,3.15625,3.1875,3.125,3.15625,26200,0
1988-01-25,3.25,3.25,3.125,3.25,92200,0
1988-01-26,3.3125,3.3125,3.21875,3.3125,41900,0
1988-01-27,3.3125,3.3125,3.25,3.3125,48000,0
1988-01-28,3.3125,3.34375,3.28125,3.3125,17200,0
1988-01-29,3.34375,3.34375,3.28125,3.34375,67700,0
1988-02-01,3.25,3.3125,3.21875,3.25,27200,0
1988-02-02,3.1875,3.25,3.1875,3.1875,10500,0
1988-02-03,3.21875,3.25,3.1875,3.21875,44200,0
1988-02-04,3.125,3.21875,3.09375,3.125,77400,0
1988-02-05,3.03125,3.125,3.0,3.03125,21700,0
1988-02-08,3.0,3.03125,2.9375,3.0,50600,0
1988-02-09,2.90625,2.96875,2.875,2.90625,37200,0
1988-02-10,3.0,3.0625,2.90625,3.0,79800,0
1988-02-11,3.0,3.0625,3.0,3.0,35400,0
1988-02-12,3.09375,3.1875,3.03125,3.09375,19800,0
1988-02-16,3.03125,3.09375,3.0,3.03125,12300,0
1988-02-17,2.96875,3.0,2.9375,2.96875,131200,0
1988-02-18,2.9375,2.96875,2.90625,2.9375,44900,0
1988-02-19,2.96875,3.0,2.90625,2.96875,36100,0
1988-02-22,3.125,3.125,3.0,3.125,46400,0
1988-02-23,3.0625,3.09375,3.0625,3.0625,13300,0
1988-02-24,3.0625,3.125,3.0625,3.0625,44600,0
1988-02-25,3.09375,3.15625,3.0625,3.09375,13500,0
1988-02-26,3.125,3.15625,3.09375,3.125,20600,0
1988-02-29,3.21875,3.21875,3.125,3.21875,33500,0
1988-03-01,3.34375,3.34375,3.25,3.34375,131800,0
1988-03-02,3.3125,3.375,3.25,3.3125,185200,0
1988-03-03,3.21875,3.28125,3.21875,3.21875,88400,0
1988-03-04,3.125,3.25,3.0,3.125,227000,0
1988-03-07,3.125,3.125,3.09375,3.125,136400,0
1988-03-08,3.125,3.15625,3.09375,3.125,189500,0
1988-03-09,3.0625,3.125,3.0625,3.0625,32700,0
1988-03-10,3.09375,3.125,3.0625,3.09375,84100,0
