Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,7.4375,7.5625,7.4375,7.4375,9200,0
1980-03-18,7.53125,7.53125,7.375,7.53125,1800,0
1980-03-19,7.53125,7.5625,7.5,7.53125,3700,0
1980-03-20,7.625,7.625,7.5625,7.625,1700,0
1980-03-21,7.53125,7.5625,7.53125,7.53125,3000,0
1980-03-24,7.53125,7.5625,7.46875,7.53125,3800,0
1980-03-25,7.59375,7.59375,7.5,7.59375,4300,0
1980-03-26,7.6875,7.71875,7.53125,7.6875,6800,0
1980-03-27,7.4375,7.59375,7.375,7.4375,9200,0
1980-03-28,7.53125,7.5625,7.5,7.53125,3800,0
1980-03-31,7.5,7.5625,7.46875,7.5,3500,0
1980-04-01,7.375,7.5,7.375,7.375,5000,0
1980-04-02,7.375,7.40625,7.375,7.375,5300,0
1980-04-03,7.25,7.3125,7.25,7.25,51100,0
1980-04-07,7.0625,7.3125,7.0625,7.0625,13500,0
1980-04-08,7.0625,7.0625,7.0625,7.0625,900,0
1980-04-09,7.125,7.1875,7.0625,7.125,1500,0
1980-04-10,7.0625,7.09375,7.0625,7.0625,3700,0
1980-04-11,7.0,7.09375,7.0,7.0,6300,0
1980-04-14,6.96875,7.0,6.90625,6.96875,8000,0
1980-04-15,6.8125,6.875,6.8125,6.8125,2300,0
1980-04-16,6.9375,7.0,6.84375,6.9375,2900,0
1980-04-17,6.9375,7.0,6.9375,6.9375,1500,0
1980-04-18,7.125,7.125,7.0,7.125,800,0
1980-04-21,7.125,7.25,7.125,7.125,15000,0
1980-04-22,6.875,7.0625,6.875,6.875,13100,0
1980-04-23,7.0,7.03125,6.9375,7.0,11700,0
1980-04-24,7.1875,7.1875,6.96875,7.1875,5500,0
1980-04-25,7.1875,7.21875,7.125,7.1875,3000,0
1980-04-28,7.375,7.375,7.15625,7.375,6000,0
1980-04-29,7.28125,7.34375,7.28125,7.28125,5400,0
1980-04-30,7.40625,7.40625,7.1875,7.40625,6700,0
1980-05-01,7.375,7.46875,7.375,7.375,2400,0
1980-05-02,7.3125,7.375,7.3125,7.3125,600,0
1980-05-05,7.3125,7.3125,7.25,7.3125,400,0
1980-05-06,7.25,7.25,7.25,7.25,400,0
1980-05-07,7.28125,7.28125,7.1875,7.28125,6900,0
1980-05-08,7.25,7.3125,7.21875,7.25,3200,0
1980-05-09,7.1875,7.25,7.1875,7.1875,2400,0
1980-05-12,7.0625,7.125,7.0,7.0625,3400,0
1980-05-13,7.125,7.125,7.0625,7.125,2600,0
1980-05-14,7.125,7.125,7.125,7.125,200,0
1980-05-15,7.25,7.28125,7.15625,7.25,6200,0
1980-05-16,7.375,7.375,7.25,7.375,40600,0
1980-05-19,7.375,7.5,7.34375,7.375,60200,0
1980-05-20,7.3125,7.375,7.28125,7.3125,4700,0
1980-05-21,7.28125,7.375,7.28125,7.28125,3700,0
1980-05-22,7.3125,7.375,7.3125,7.3125,2400,0
1980-05-23,7.5,7.5,7.375,7.5,10400,0
1980-05-27,7.5625,7.5625,7.34375,7.5625,17700,0
1980-05-28,7.4375,7.5,7.4375,7.4375,16200,0
1980-05-29,7.53125,7.53125,7.4375,7.53125,5000,0
1980-05-30,7.5625,7.5625,7.46875,7.5625,6300,0
1980-06-02,7.46875,7.5625,7.46875,7.46875,2200,0
1980-06-03,7.5,7.5625,7.4375,7.5,4500,0
1980-06-04,7.4375,7.5,7.4375,7.4375,1800,0
1980-06-05,7.5,7.5625,7.4375,7.5,25300,0
1980-06-06,7.59375,7.59375,7.5,7.59375,11900,0
1980-06-09,7.75,7.75,7.65625,7.75,3200,0
1980-06-10,7.84375,7.875,7.71875,7.84375,3400,0
1980-06-11,8.0625,8.0625,7.84375,8.0625,2400,0
1980-06-12,7.96875,8.03125,7.96875,7.96875,7800,0
1980-06-13,8.0,8.0,7.875,8.0,2800,0
1980-06-16,8.09375,8.09375,7.84375,8.09375,4000,0
1980-06-17,8.0625,8.09375,8.0,8.0625,2200,0
1980-06-18,8.0,8.09375,7.9375,8.0,3900,0
1980-06-19,7.96875,8.03125,7.90625,7.96875,9500,0
1980-06-20,7.75,7.90625,7.75,7.75,3500,0
1980-06-23,7.78125,7.84375,7.75,7.78125,1500,0
1980-06-24,7.78125,7.84375,7.75,7.78125,2100,0
1980-06-25,7.71875,7.75,7.71875,7.71875,1100,0
1980-06-26,7.71875,7.75,7.6875,7.71875,4600,0
1980-06-27,7.6875,7.6875,7.53125,7.6875,19100,0
1980-06-30,7.625,7.6875,7.625,7.625,2000,0
1980-07-01,7.5625,7.5625,7.53125,7.5625,2900,0
1980-07-02,7.5625,7.59375,7.53125,7.5625,25900,0
1980-07-03,7.59375,7.59375,7.53125,7.59375,3000,0
1980-07-07,7.84375,7.84375,7.65625,7.84375,3900,0
1980-07-08,7.90625,7.96875,7.875,7.90625,4400,0
1980-07-09,8.0,8.0,7.90625,8.0,3600,0
1980-07-10,7.9375,8.0,7.9375,7.9375,400,0
1980-07-11,8.0,8.0,7.90625,8.0,2600,0
1980-07-14,8.0,8.0,7.90625,8.0,2900,0
1980-07-15,8.0,8.0625,7.96875,8.0,5400,0
1980-07-16,7.875,8.0,7.875,7.875,4200,0
1980-07-17,8.125,8.125,7.90625,8.125,6500,0
1980-07-18,8.375,8.375,8.1875,8.375,4300,0
1980-07-21,8.4375,8.4375,8.3125,8.4375,5700,0
1980-07-22,8.5625,8.625,8.375,8.5625,4100,0
1980-07-23,8.1875,8.5,8.1875,8.1875,3900,0
1980-07-24,8.25,8.25,8.15625,8.25,4100,0
1980-07-25,8.15625,8.25,8.125,8.15625,12700,0
1980-07-28,8.125,8.125,8.0625,8.125,1700,0
1980-07-29,8.3125,8.3125,8.1875,8.3125,4000,0
1980-07-30,8.71875,8.71875,8.28125,8.71875,5600,0
1980-07-31,8.875,8.875,8.625,8.875,4100,0
1980-08-01,9.15625,9.15625,8.875,9.15625,22400,0
1980-08-04,8.84375,9.1875,8.71875,8.84375,33500,0
1980-08-05,8.84375,8.9375,8.75,8.84375,4200,0
1980-08-06,8.8125,8.84375,8.6875,8.8125,7500,0
1980-08-07,8.71875,8.75,8.71875,8.71875,1100,0
1980-08-08,8.625,8.71875,8.5625,8.625,6200,0
1980-08-11,8.5,8.5625,8.5,8.5,3400,0
1980-08-12,8.5625,8.625,8.5625,8.5625,2500,0
1980-08-13,8.5625,8.75,8.375,8.5625,26400,0
1980-08-14,8.625,8.625,8.5,8.625,1900,0
1980-08-15,8.625,8.625,8.53125,8.625,5000,0
1980-08-18,8.5,8.625,8.4375,8.5,3300,0
1980-08-19,8.375,8.5,8.34375,8.375,3700,0
1980-08-20,8.46875,8.5,8.375,8.46875,2200,0
1980-08-21,8.65625,8.65625,8.5,8.65625,2700,0
1980-08-22,8.65625,8.71875,8.5625,8.65625,4400,0
1980-08-25,8.4375,8.5625,8.4375,8.4375,3300,0
1980-08-26,8.5,8.5,8.4375,8.5,2100,0
1980-08-27,8.40625,8.46875,8.40625,8.40625,2100,0
1980-08-28,8.4375,8.46875,8.4375,8.4375,1400,0
1980-08-29,8.15625,8.375,8.15625,8.15625,3800,0
