Date,Open,High,Low,Close,Volume,openinterest
2012-06-18,46.5,46.5,46.5,46.5,0,0
2012-06-19,46.5,46.5,46.5,46.5,0,0
2012-06-20,46.425,46.5,45.735,45.75,582,0
2012-06-21,47.625,47.625,47.625,47.625,1247,0
2012-06-22,47.535,47.535,47.535,47.535,66,0
2012-06-25,48.42,48.42,48.42,48.42,19,0
2012-06-26,48.42,48.42,48.42,48.42,0,0
2012-06-27,48.33,48.33,46.275,46.515,610,0
2012-06-28,48.225,48.225,48.225,48.225,333,0
2012-06-29,47.625,48.36,47.625,48.36,2183,0
2012-07-02,48.345,48.345,47.625,47.7,13713,0
2012-07-03,47.25,47.25,46.875,46.875,133,0
2012-07-05,48.42,48.42,48.0,48.0,145,0
2012-07-06,48.375,48.375,48.375,48.375,39,0
2012-07-09,48.33,48.33,47.25,47.25,61,0
2012-07-10,47.25,48.285,46.935,48.285,693,0
2012-07-11,46.95,46.95,46.95,46.95,53,0
2012-07-12,45.39,45.39,45.39,45.39,66,0
2012-07-13,45.39,45.39,45.39,45.39,0,0
2012-07-16,47.22,47.22,45.0,45.0,23,0
2012-07-17,45.0,45.0,45.0,45.0,0,0
2012-07-18,45.0,45.0,45.0,45.0,1,0
2012-07-19,46.8,46.8,46.8,46.8,13,0
2012-07-20,44.76,44.76,44.73,44.73,554,0
2012-07-23,45.0,45.0,45.0,45.0,13,0
2012-07-24,47.025,47.025,44.64,44.64,679,0
2012-07-25,45.0,45.0,45.0,45.0,1726,0
2012-07-26,45.0,46.095,45.0,46.095,1106,0
2012-07-27,46.095,46.095,45.03,45.03,53,0
2012-07-30,45.03,45.03,45.03,45.03,0,0
2012-07-31,45.75,45.75,45.75,45.75,6,0
2012-08-01,45.75,46.725,44.625,46.725,1619,0
2012-08-02,45.0,45.0,45.0,45.0,53,0
2012-08-03,46.68,46.68,46.68,46.68,1,0
2012-08-06,45.075,45.075,45.075,45.075,7,0
2012-08-07,45.09,45.75,45.09,45.75,58,0
2012-08-08,45.0,45.0,43.005,43.005,31267,0
2012-08-09,44.985,44.985,42.975,42.975,63,0
2012-08-10,42.975,42.975,42.75,42.96,955,0
2012-08-13,43.125,43.125,42.75,42.75,39,0
2012-08-14,42.75,42.75,42.75,42.75,0,0
2012-08-15,42.75,42.75,42.075,42.075,97,0
2012-08-16,42.75,42.75,41.25,41.265,27746,0
2012-08-17,40.53,42.6,40.53,42.6,493,0
2012-08-20,42.6,42.6,42.6,42.6,0,0
2012-08-21,42.6,42.6,42.6,42.6,0,0
2012-08-22,42.6,42.6,42.6,42.6,0,0
2012-08-23,40.59,41.25,40.59,41.25,107,0
2012-08-24,41.25,41.25,41.25,41.25,0,0
2012-08-27,42.675,42.675,41.475,41.475,3,0
2012-08-28,41.25,42.525,41.25,41.25,151,0
2012-08-29,41.25,41.25,41.25,41.25,0,0
2012-08-30,40.815,40.83,40.5,40.5,29291,0
