Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.641,1.7035,1.633,1.641,19100,0
1980-03-18,1.672,1.672,1.633,1.672,16700,0
1980-03-19,1.6875,1.7109999999999999,1.672,1.6875,51200,0
1980-03-20,1.6875,1.6955,1.6875,1.6875,11200,0
1980-03-21,1.6645,1.6955,1.6645,1.6645,17600,0
1980-03-24,1.6485,1.6955,1.6485,1.6485,6900,0
1980-03-25,1.633,1.6645,1.633,1.633,9100,0
1980-03-26,1.625,1.6485,1.625,1.625,24500,0
1980-03-27,1.5785,1.625,1.5785,1.5785,8700,0
1980-03-28,1.641,1.672,1.5785,1.641,8700,0
1980-03-31,1.672,1.68,1.641,1.672,10800,0
1980-04-01,1.641,1.68,1.625,1.641,26900,0
1980-04-02,1.6485,1.6485,1.6095,1.6485,15800,0
1980-04-03,1.641,1.6565,1.625,1.641,6800,0
1980-04-07,1.625,1.641,1.625,1.625,6100,0
1980-04-08,1.6485,1.6485,1.6175,1.6485,3100,0
1980-04-09,1.68,1.7035,1.6485,1.68,9600,0
1980-04-10,1.7269999999999999,1.7345,1.6875,1.7269999999999999,4500,0
1980-04-11,1.7345,1.766,1.719,1.7345,8400,0
1980-04-14,1.7269999999999999,1.766,1.7269999999999999,1.7269999999999999,4700,0
1980-04-15,1.7345,1.766,1.7109999999999999,1.7345,5700,0
1980-04-16,1.719,1.766,1.719,1.719,5600,0
1980-04-17,1.7035,1.7269999999999999,1.7035,1.7035,2500,0
1980-04-18,1.6875,1.7109999999999999,1.6875,1.6875,2900,0
1980-04-21,1.6565,1.68,1.6565,1.6565,11300,0
1980-04-22,1.7035,1.7035,1.6565,1.7035,4400,0
1980-04-23,1.672,1.7035,1.6645,1.672,23700,0
1980-04-24,1.672,1.6955,1.6645,1.672,7200,0
1980-04-25,1.7035,1.7109999999999999,1.6645,1.7035,19600,0
1980-04-28,1.6955,1.719,1.6955,1.6955,48200,0
1980-04-29,1.719,1.719,1.6955,1.719,26800,0
1980-04-30,1.719,1.719,1.7035,1.719,11300,0
1980-05-01,1.7035,1.719,1.6875,1.7035,16800,0
1980-05-02,1.7269999999999999,1.7269999999999999,1.6875,1.7269999999999999,10800,0
1980-05-05,1.7425,1.7425,1.7035,1.7425,83500,0
1980-05-06,1.75,1.758,1.719,1.75,8000,0
1980-05-07,1.8285,1.844,1.75,1.8285,7000,0
1980-05-08,1.8125,1.8285,1.805,1.8125,2700,0
1980-05-09,1.797,1.8125,1.75,1.797,24800,0
1980-05-12,1.797,1.797,1.7735,1.797,9500,0
1980-05-13,1.8125,1.8285,1.797,1.8125,4300,0
1980-05-14,1.7895,1.8285,1.7895,1.7895,3700,0
1980-05-15,1.805,1.805,1.7815,1.805,6400,0
1980-05-16,1.8125,1.8285,1.7895,1.8125,7800,0
1980-05-19,1.7815,1.8125,1.7735,1.7815,3700,0
1980-05-20,1.7815,1.805,1.766,1.7815,4900,0
1980-05-21,1.7815,1.797,1.766,1.7815,9500,0
1980-05-22,1.7815,1.7815,1.766,1.7815,7800,0
1980-05-23,1.797,1.797,1.766,1.797,21600,0
1980-05-27,1.7815,1.797,1.7815,1.7815,5700,0
1980-05-28,1.766,1.7815,1.766,1.766,9200,0
1980-05-29,1.766,1.7735,1.766,1.766,3800,0
1980-05-30,1.7735,1.7735,1.758,1.7735,8100,0
1980-06-02,1.7815,1.7815,1.7815,1.7815,2500,0
1980-06-03,1.7815,1.7895,1.7815,1.7815,150500,0
1980-06-04,1.7815,1.797,1.7815,1.7815,3900,0
1980-06-05,1.8125,1.8125,1.7895,1.8125,30500,0
1980-06-06,1.805,1.8205,1.7815,1.805,4800,0
1980-06-09,1.805,1.8285,1.805,1.805,64100,0
1980-06-10,1.805,1.8205,1.797,1.805,5900,0
1980-06-11,1.8359999999999999,1.8359999999999999,1.805,1.8359999999999999,13000,0
1980-06-12,1.8675,1.8675,1.8285,1.8675,8600,0
1980-06-13,1.9375,1.9375,1.875,1.9375,9000,0
1980-06-16,1.9145,1.9375,1.8985,1.9145,4600,0
1980-06-17,1.9065,1.93,1.891,1.9065,12200,0
1980-06-18,1.9065,1.922,1.891,1.9065,8900,0
1980-06-19,1.883,1.9065,1.883,1.883,7000,0
1980-06-20,1.875,1.883,1.875,1.875,4400,0
1980-06-23,1.875,1.875,1.8595,1.875,5700,0
1980-06-24,1.883,1.8985,1.8675,1.883,2400,0
1980-06-25,1.9065,1.9065,1.875,1.9065,2500,0
1980-06-26,1.891,1.9065,1.883,1.891,3500,0
1980-06-27,1.875,1.8985,1.875,1.875,102600,0
1980-06-30,1.8595,1.875,1.8595,1.8595,4000,0
1980-07-01,1.891,1.891,1.8595,1.891,16500,0
1980-07-02,1.875,1.891,1.8675,1.875,3100,0
1980-07-03,1.875,1.875,1.8285,1.875,4500,0
1980-07-07,1.8675,1.883,1.8595,1.8675,9300,0
1980-07-08,1.875,1.875,1.8359999999999999,1.875,15100,0
