Date,Open,High,Low,Close,Volume,openinterest
2017-06-21,8.0,8.0,8.0,8.0,100,0
2017-06-22,8.0,8.0,8.0,8.0,200,0
2017-06-23,8.0,8.0,8.0,8.0,0,0
2017-06-26,8.0,8.0,8.0,8.0,0,0
2017-06-27,8.0,8.0,8.0,8.0,200,0
2017-06-28,7.05,7.05,7.05,7.05,100,0
2017-06-29,7.0,7.0,7.0,7.0,3100,0
2017-06-30,7.0,7.0,7.0,7.0,0,0
2017-07-03,7.0,7.0,7.0,7.0,100,0
2017-07-05,7.0,7.0,7.0,7.0,0,0
2017-07-06,7.0,7.0,7.0,7.0,0,0
2017-07-07,7.0,7.0,7.0,7.0,0,0
2017-07-10,6.75,6.75,6.75,6.75,100,0
2017-07-11,6.72,6.72,6.72,6.72,200,0
2017-07-12,6.75,6.75,6.65,6.65,200,0
2017-07-13,6.65,6.65,6.65,6.65,0,0
2017-07-14,6.65,6.65,6.65,6.65,0,0
2017-07-17,6.25,6.25,6.25,6.25,400,0
2017-07-18,5.0,6.0,3.0,3.0,1200,0
2017-07-19,3.0,3.0,3.0,3.0,0,0
2017-07-20,4.0,4.75,4.0,4.65,5000,0
2017-07-21,4.75,4.75,4.48,4.48,1400,0
2017-07-24,4.0,4.0,4.0,4.0,200,0
2017-07-25,3.95,3.95,3.95,3.95,100,0
2017-07-26,3.8,3.95,3.01,3.01,1200,0
2017-07-27,3.5,3.5,3.01,3.01,1500,0
2017-07-28,3.15,3.15,2.95,3.0,1200,0
2017-07-31,1.98,2.98,1.98,2.98,400,0
2017-08-01,2.98,2.98,2.98,2.98,0,0
2017-08-02,2.98,3.44,2.98,3.44,1100,0
2017-08-03,3.23,3.25,3.23,3.25,500,0
2017-08-04,3.25,3.25,3.25,3.25,0,0
2017-08-07,3.25,3.25,3.25,3.25,0,0
2017-08-08,3.25,3.25,3.25,3.25,0,0
2017-08-09,2.25,3.0,2.25,2.5,900,0
2017-08-10,2.5,2.5,2.5,2.5,3700,0
2017-08-11,2.5,2.5,2.5,2.5,500,0
2017-08-14,2.4,2.4,2.4,2.4,600,0
2017-08-15,2.5,2.5,2.5,2.5,100,0
2017-08-16,2.5,2.5,2.5,2.5,0,0
2017-08-17,2.5,2.5,2.5,2.5,0,0
2017-08-18,2.59,2.59,2.59,2.59,100,0
2017-08-21,2.59,2.59,2.59,2.59,0,0
2017-08-22,2.59,2.59,2.59,2.59,0,0
2017-08-23,2.6,2.6,2.5,2.5,600,0
2017-08-24,2.5,2.5,2.5,2.5,1200,0
2017-08-25,2.55,2.55,2.55,2.55,600,0
2017-08-28,2.48,2.48,2.48,2.48,200,0
2017-08-29,2.43,2.43,2.43,2.43,200,0
2017-08-30,2.43,2.43,2.43,2.43,0,0
2017-08-31,2.43,2.43,2.43,2.43,100,0
2017-09-01,2.29,2.29,2.29,2.29,100,0
2017-09-05,2.0,2.0,2.0,2.0,100,0
2017-09-06,2.0,2.0,2.0,2.0,0,0
2017-09-07,2.0,2.0,2.0,2.0,0,0
2017-09-08,2.0,2.0,2.0,2.0,0,0
2017-09-11,2.11,2.11,2.11,2.11,200,0
2017-09-12,2.25,2.25,2.25,2.25,100,0
2017-09-13,2.25,2.25,2.25,2.25,600,0
2017-09-14,2.25,2.25,2.25,2.25,0,0
