Date,Open,High,Low,Close,Volume,openinterest
1998-08-13,15.75,17.25,15.625,16.625,5835500,0
1998-08-14,17.375,17.4375,15.3125,15.5,1314900,0
1998-08-17,15.625,16.625,15.625,16.5625,368600,0
1998-08-18,16.8125,16.875,15.75,16.3125,303600,0
1998-08-19,16.125,16.375,15.75,16.0,224500,0
1998-08-20,15.9375,16.0,14.3125,15.3125,432000,0
1998-08-21,15.0625,15.125,14.0625,15.0,305500,0
1998-08-24,15.0,15.1875,14.875,14.875,71200,0
1998-08-25,14.9375,15.625,14.9375,15.5,170200,0
1998-08-26,15.25,15.25,14.9375,14.9375,198000,0
1998-08-27,14.5,14.5,12.875,13.25,338600,0
1998-08-28,13.4375,13.625,12.6875,12.9375,244300,0
1998-08-31,13.125,13.25,11.375,12.4375,286400,0
1998-09-01,12.4375,12.625,11.625,11.9375,187800,0
1998-09-02,12.0,12.375,11.75,12.0625,121800,0
1998-09-03,11.9375,12.25,11.8125,12.125,78300,0
1998-09-04,12.25,12.75,12.25,12.5625,35300,0
1998-09-08,13.625,14.625,13.5625,14.625,172100,0
1998-09-09,14.5625,14.625,13.5625,13.75,160300,0
1998-09-10,13.625,13.625,12.375,13.0,226100,0
1998-09-11,13.0,13.3125,12.4375,12.8125,174100,0
1998-09-14,12.9375,13.625,12.9375,13.1875,37800,0
1998-09-15,13.125,13.375,12.875,13.3125,59500,0
1998-09-16,13.4375,14.0,13.3125,13.9375,67900,0
1998-09-17,14.0,14.0,13.0625,13.75,186400,0
1998-09-18,13.75,13.75,13.375,13.75,97900,0
1998-09-21,12.75,13.5625,12.75,13.5,63900,0
1998-09-22,13.625,13.8125,13.1875,13.375,43300,0
1998-09-23,13.375,13.625,13.25,13.4375,71200,0
1998-09-24,13.5,14.375,13.375,13.9375,55000,0
1998-09-25,13.875,13.9375,13.375,13.5,29800,0
1998-09-28,13.5,14.6875,13.5,14.4375,95800,0
1998-09-29,14.5,14.9375,14.1875,14.6875,97200,0
1998-09-30,14.5,14.9375,14.3125,14.9375,61600,0
1998-10-01,14.6875,14.6875,13.375,13.4375,129300,0
1998-10-02,13.375,13.375,12.875,13.0,36100,0
1998-10-05,13.0,13.0,11.5625,11.875,55900,0
1998-10-06,12.125,12.4375,11.5,11.6875,109400,0
1998-10-07,11.75,11.75,11.0625,11.0625,60900,0
1998-10-08,10.9375,10.9375,9.625,9.875,148600,0
1998-10-09,10.0625,11.25,10.0,11.0625,241100,0
1998-10-12,12.125,12.4375,12.0,12.1875,265700,0
1998-10-13,12.1875,12.3125,11.9375,12.0,158900,0
1998-10-14,11.875,11.9375,11.75,11.75,40100,0
1998-10-15,11.75,11.75,10.875,11.0,125100,0
1998-10-16,11.375,11.4375,11.125,11.1875,103200,0
1998-10-19,11.5,12.125,11.25,11.5625,521200,0
1998-10-20,11.625,12.0625,11.5,11.9375,448200,0
1998-10-21,12.0,12.75,11.9375,12.5625,331400,0
1998-10-22,12.625,12.8125,12.125,12.25,182700,0
1998-10-23,12.25,12.3125,11.9375,12.1875,95100,0
1998-10-26,12.25,12.25,11.875,12.0,97900,0
1998-10-27,11.9375,12.5625,11.8125,11.9375,257300,0
1998-10-28,12.0,12.25,11.9375,12.0,57000,0
1998-10-29,12.0,12.6875,11.875,12.4375,171900,0
1998-10-30,12.5,13.9375,12.4375,13.9375,420000,0
1998-11-02,13.6875,15.0625,13.0,15.0,317700,0
1998-11-03,15.0,15.9375,15.0,15.5,780200,0
1998-11-04,15.5,15.625,15.5,15.625,219200,0
1998-11-05,15.375,15.5625,15.0,15.125,284300,0
