Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,35.438,36.375,35.0,35.438,141400,0
1980-03-18,36.375,36.5,34.625,36.375,242300,0
1980-03-19,36.25,36.938,36.125,36.25,170400,0
1980-03-20,35.438,36.5,35.375,35.438,162600,0
1980-03-21,34.813,35.313,34.625,34.813,213300,0
1980-03-24,33.188,34.5,33.063,33.188,178800,0
1980-03-25,33.875,34.0,33.125,33.875,269200,0
1980-03-26,33.438,34.625,33.375,33.438,138300,0
1980-03-27,32.125,32.875,30.625,32.125,314500,0
1980-03-28,32.563,32.875,32.125,32.563,212900,0
1980-03-31,32.75,32.938,32.0,32.75,158200,0
1980-04-01,32.5,33.125,32.375,32.5,94600,0
1980-04-02,33.375,33.625,32.688,33.375,117500,0
1980-04-03,32.75,33.375,32.625,32.75,65500,0
1980-04-07,31.188000000000002,32.563,31.125,31.188000000000002,88400,0
1980-04-08,31.75,31.938000000000002,31.0,31.75,123400,0
1980-04-09,33.5,33.75,31.813000000000002,33.5,181500,0
1980-04-10,34.0,34.0,33.25,34.0,163800,0
1980-04-11,34.063,34.188,33.875,34.063,110500,0
1980-04-14,34.25,34.25,33.688,34.25,101500,0
1980-04-15,34.438,34.813,34.125,34.438,79000,0
1980-04-16,33.375,35.0,33.375,33.375,174000,0
1980-04-17,33.375,33.75,33.063,33.375,60200,0
1980-04-18,32.813,33.5,32.813,32.813,113700,0
1980-04-21,32.688,33.125,32.313,32.688,83900,0
1980-04-22,34.75,34.938,33.75,34.75,183400,0
1980-04-23,34.5,35.188,34.375,34.5,144800,0
1980-04-24,33.813,34.5,33.813,33.813,191700,0
1980-04-25,34.375,34.375,33.688,34.375,101000,0
1980-04-28,34.625,35.188,34.375,34.625,188000,0
1980-04-29,34.75,34.813,34.375,34.75,68100,0
1980-04-30,35.375,35.375,34.5,35.375,77100,0
1980-05-01,34.875,35.313,34.5,34.875,137400,0
1980-05-02,34.813,35.0,34.625,34.813,170400,0
1980-05-05,34.063,34.188,33.875,34.063,117300,0
1980-05-06,33.875,35.0,33.688,33.875,164600,0
1980-05-07,34.5,34.875,33.875,34.5,160400,0
1980-05-08,33.813,34.5,33.75,33.813,243400,0
1980-05-09,33.063,33.813,32.625,33.063,184500,0
1980-05-12,32.813,32.875,32.5,32.813,183600,0
1980-05-13,33.125,33.25,32.25,33.125,220800,0
1980-05-14,33.0,33.375,32.875,33.0,234800,0
1980-05-15,33.0,33.25,32.75,33.0,112100,0
1980-05-16,33.75,33.875,32.938,33.75,89500,0
