Date,Open,High,Low,Close,Volume,openinterest
1996-12-17,3.75,3.75,3.5,3.5,318100,0
1996-12-18,3.5,3.59375,3.3125,3.5625,296700,0
1996-12-19,3.59375,3.71875,3.59375,3.65625,132200,0
1996-12-20,3.625,3.71875,3.625,3.71875,58300,0
1996-12-23,3.75,3.84375,3.71875,3.8125,14300,0
1996-12-24,3.84375,3.90625,3.84375,3.90625,3500,0
1996-12-26,3.90625,3.9375,3.8125,3.8125,5500,0
1996-12-27,3.8125,3.8125,3.8125,3.8125,200,0
1996-12-30,3.84375,3.84375,3.78125,3.78125,7100,0
1996-12-31,3.75,3.78125,3.75,3.78125,3900,0
1997-01-02,3.75,3.75,3.65625,3.65625,177500,0
1997-01-03,3.65625,3.78125,3.65625,3.75,394900,0
1997-01-06,3.78125,3.8125,3.75,3.78125,622700,0
1997-01-07,3.8125,4.0,3.78125,4.0,160300,0
1997-01-08,4.0625,4.1875,4.03125,4.03125,84000,0
1997-01-09,4.03125,4.09375,4.03125,4.0625,114800,0
1997-01-10,4.09375,4.125,4.0625,4.09375,203200,0
1997-01-13,4.09375,4.09375,4.0,4.0625,842500,0
1997-01-14,4.21875,4.4375,4.1875,4.4375,504500,0
1997-01-15,4.3125,4.34375,4.09375,4.09375,662100,0
1997-01-16,4.0,4.0625,3.96875,4.0,731500,0
1997-01-17,4.0,4.0625,3.96875,4.03125,330900,0
1997-01-20,4.0,4.03125,3.96875,3.96875,592100,0
1997-01-21,4.0,4.03125,4.0,4.0,586800,0
1997-01-22,4.03125,4.03125,4.0,4.0,699400,0
1997-01-23,4.0625,4.15625,4.0625,4.09375,264700,0
1997-01-24,4.09375,4.28125,4.03125,4.03125,313700,0
1997-01-27,4.03125,4.09375,4.03125,4.03125,414500,0
1997-01-28,4.03125,4.1875,4.0,4.0,251400,0
1997-01-29,4.0,4.09375,3.96875,4.0,378000,0
1997-01-30,4.0,4.0625,3.96875,4.0,552800,0
1997-01-31,3.9375,4.0,3.90625,3.9375,385100,0
1997-02-03,3.9375,4.0625,3.90625,4.0625,472400,0
1997-02-04,4.0625,4.125,4.03125,4.125,466400,0
1997-02-05,4.125,4.15625,4.09375,4.15625,114600,0
1997-02-06,4.125,4.15625,4.125,4.125,160900,0
1997-02-07,4.125,4.21875,4.09375,4.1875,635700,0
