Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,11.25,11.5,11.25,11.25,28400,0
1980-03-18,11.375,11.375,11.25,11.375,33700,0
1980-03-19,11.25,11.375,11.25,11.25,17400,0
1980-03-20,11.25,11.375,11.125,11.25,42600,0
1980-03-21,11.375,11.5,11.25,11.375,22200,0
1980-03-24,11.25,11.5,11.125,11.25,48600,0
1980-03-25,11.125,11.75,11.125,11.125,23000,0
1980-03-26,11.125,11.375,11.125,11.125,25600,0
1980-03-27,11.0,11.25,11.0,11.0,34600,0
1980-03-28,11.125,11.25,10.875,11.125,33900,0
1980-03-31,11.25,11.375,11.125,11.25,25700,0
1980-04-01,11.5,11.625,11.125,11.5,29500,0
1980-04-02,11.625,11.75,11.375,11.625,114000,0
1980-04-03,11.5,11.75,11.375,11.5,24600,0
1980-04-07,11.625,11.625,11.25,11.625,27000,0
1980-04-08,11.75,12.0,11.5,11.75,50200,0
1980-04-09,12.25,12.25,11.875,12.25,27800,0
1980-04-10,12.875,12.875,12.375,12.875,77500,0
1980-04-11,12.75,13.0,12.625,12.75,23800,0
1980-04-14,12.5,12.75,12.375,12.5,146500,0
1980-04-15,12.375,13.0,12.25,12.375,53900,0
1980-04-16,12.5,12.75,12.375,12.5,105800,0
1980-04-17,12.75,12.75,12.375,12.75,24600,0
1980-04-18,12.625,12.75,12.375,12.625,25000,0
1980-04-21,12.5,12.75,12.5,12.5,24600,0
1980-04-22,12.625,12.75,12.5,12.625,31600,0
1980-04-23,12.75,12.875,12.625,12.75,26400,0
1980-04-24,13.0,13.0,12.5,13.0,80000,0
1980-04-25,13.25,13.25,12.875,13.25,52800,0
1980-04-28,13.0,13.25,13.0,13.0,36000,0
1980-04-29,12.875,13.125,12.875,12.875,75100,0
1980-04-30,13.125,13.125,12.875,13.125,176100,0
1980-05-01,12.875,13.125,12.75,12.875,27000,0
1980-05-02,13.125,13.125,12.875,13.125,33500,0
1980-05-05,13.0,13.125,12.875,13.0,22500,0
1980-05-06,13.0,13.125,12.75,13.0,19100,0
1980-05-07,13.0,13.0,12.75,13.0,25500,0
1980-05-08,13.125,13.125,12.875,13.125,31400,0
1980-05-09,13.125,13.125,12.875,13.125,18100,0
1980-05-12,13.125,13.25,13.0,13.125,32800,0
1980-05-13,13.0,13.125,12.875,13.0,21800,0
1980-05-14,13.0,13.125,12.875,13.0,30400,0
1980-05-15,13.125,13.125,13.0,13.125,70700,0
1980-05-16,13.125,13.125,13.0,13.125,67600,0
1980-05-19,13.0,13.125,13.0,13.0,79600,0
1980-05-20,13.125,13.125,13.0,13.125,32900,0
1980-05-21,12.875,13.125,12.75,12.875,96900,0
1980-05-22,12.75,12.75,12.375,12.75,132900,0
1980-05-23,12.875,13.0,12.625,12.875,46700,0
1980-05-27,13.0,13.5,12.75,13.0,49100,0
1980-05-28,12.875,13.0,12.875,12.875,37400,0
1980-05-29,12.875,13.0,12.75,12.875,61700,0
1980-05-30,13.125,13.125,12.75,13.125,36800,0
1980-06-02,12.875,13.0,12.875,12.875,37100,0
1980-06-03,13.125,13.5,12.875,13.125,34700,0
1980-06-04,13.125,13.25,13.0,13.125,26500,0
1980-06-05,13.375,13.375,13.0,13.375,51600,0
1980-06-06,13.25,13.375,13.25,13.25,22800,0
1980-06-09,13.25,13.375,13.25,13.25,67700,0
1980-06-10,13.25,14.25,13.25,13.25,90300,0
1980-06-11,13.5,13.625,13.125,13.5,85300,0
1980-06-12,12.875,13.0,12.75,12.875,102800,0
1980-06-13,13.0,13.125,12.875,13.0,158500,0
1980-06-16,13.25,13.375,13.125,13.25,49700,0
1980-06-17,13.25,13.375,13.125,13.25,42800,0
1980-06-18,13.5,13.5,13.25,13.5,62000,0
1980-06-19,13.375,13.875,13.25,13.375,52900,0
1980-06-20,13.25,13.375,13.25,13.25,49900,0
1980-06-23,13.25,13.5,13.25,13.25,171800,0
1980-06-24,13.25,13.375,13.125,13.25,43800,0
1980-06-25,13.25,13.375,13.25,13.25,32500,0
1980-06-26,13.25,13.375,13.25,13.25,30200,0
1980-06-27,13.25,13.25,13.125,13.25,27700,0
1980-06-30,13.25,13.25,13.125,13.25,43900,0
1980-07-01,13.125,13.25,13.125,13.125,41900,0
1980-07-02,13.0,13.25,13.0,13.0,87300,0
1980-07-03,13.125,13.25,13.0,13.125,37300,0
1980-07-07,13.125,13.25,13.125,13.125,21600,0
