Date,Open,High,Low,Close,Volume,openinterest
1995-10-31,3.5,4.2,3.475,4.075,3095900,0
1995-11-01,3.9,3.9500000000000006,3.875,3.9,611300,0
1995-11-02,3.9500000000000006,4.225,3.9,4.175,237100,0
1995-11-03,4.175,4.225,3.85,4.0,364700,0
1995-11-06,3.975,4.0,3.875,3.9,67900,0
1995-11-07,3.875,3.975,3.75,3.8,125500,0
1995-11-08,3.7000000000000006,3.8250000000000006,3.6,3.8250000000000006,242800,0
1995-11-09,3.8250000000000006,4.075,3.8250000000000006,4.05,166200,0
1995-11-10,4.075,4.15,4.05,4.1,91700,0
1995-11-13,4.125,4.2,4.1,4.15,50300,0
1995-11-14,4.175,4.2,4.125,4.15,73100,0
1995-11-15,4.125,4.125,4.05,4.1,118700,0
1995-11-16,4.1,4.125,4.075,4.1,85300,0
1995-11-17,4.1,4.15,4.1,4.15,16100,0
1995-11-20,4.2,4.3,4.2,4.3,50700,0
1995-11-21,4.3,4.35,4.3,4.3,141400,0
1995-11-22,4.275,4.425,4.275,4.4,47100,0
1995-11-24,4.475,4.525,4.45,4.525,5900,0
1995-11-27,4.5,4.925,4.5,4.85,37800,0
1995-11-28,4.95,5.349999999999999,4.95,5.325,140100,0
1995-11-29,5.3,5.849999999999999,5.275,5.599999999999999,201600,0
1995-11-30,5.45,5.474999999999999,5.325,5.375,141100,0
1995-12-01,5.349999999999999,5.474999999999999,5.3,5.375,150800,0
1995-12-04,5.2,5.275,5.125,5.25,68200,0
1995-12-05,5.275,5.349999999999999,5.25,5.325,11100,0
1995-12-06,5.5,5.775000000000001,5.5,5.675,131600,0
1995-12-07,5.7,5.724999999999999,5.650000000000001,5.650000000000001,115300,0
1995-12-08,5.625,5.724999999999999,5.625,5.7,100500,0
1995-12-11,5.724999999999999,5.75,5.7,5.724999999999999,67000,0
1995-12-12,5.724999999999999,5.974999999999999,5.724999999999999,5.925,54800,0
1995-12-13,5.95,5.974999999999999,5.95,5.95,96800,0
1995-12-14,5.900000000000001,6.0,5.900000000000001,5.95,54500,0
1995-12-15,5.95,5.95,5.925,5.95,22900,0
1995-12-18,5.95,5.95,5.7,5.724999999999999,34000,0
1995-12-19,5.675,5.675,5.45,5.45,68500,0
1995-12-20,5.474999999999999,5.474999999999999,5.175,5.275,14300,0
1995-12-21,5.275,5.349999999999999,5.2,5.2,81500,0
1995-12-22,5.225,5.25,5.2,5.2,44800,0
1995-12-26,5.225,5.225,5.2,5.2,30400,0
1995-12-27,5.25,5.599999999999999,5.25,5.599999999999999,93900,0
1995-12-28,5.599999999999999,5.599999999999999,5.575,5.599999999999999,35000,0
1995-12-29,5.625,6.0,5.625,6.0,119000,0
1996-01-02,5.900000000000001,5.900000000000001,5.849999999999999,5.849999999999999,11400,0
1996-01-03,5.95,6.0,5.900000000000001,5.900000000000001,32100,0
1996-01-04,5.925,5.925,5.650000000000001,5.650000000000001,23500,0
1996-01-05,5.675,5.675,5.625,5.625,1500,0
1996-01-08,5.625,5.625,5.599999999999999,5.599999999999999,800,0
1996-01-09,5.575,5.650000000000001,5.5,5.5,66000,0
1996-01-10,5.425,5.55,5.400000000000001,5.55,18600,0
1996-01-11,5.55,5.575,5.525000000000001,5.55,12400,0
1996-01-12,5.575,5.8,5.575,5.75,20700,0
1996-01-15,5.8,5.849999999999999,5.8,5.849999999999999,1300,0
1996-01-16,5.900000000000001,5.974999999999999,5.900000000000001,5.974999999999999,14700,0
1996-01-17,5.974999999999999,5.974999999999999,5.900000000000001,5.95,18200,0
1996-01-18,5.900000000000001,5.900000000000001,5.675,5.675,32500,0
1996-01-19,5.7,5.724999999999999,5.599999999999999,5.675,7800,0
1996-01-22,5.675,5.675,5.599999999999999,5.625,8300,0
1996-01-23,5.650000000000001,5.650000000000001,5.599999999999999,5.599999999999999,9300,0
1996-01-24,5.675,5.7,5.575,5.575,12500,0
1996-01-25,5.599999999999999,5.599999999999999,5.599999999999999,5.599999999999999,3600,0
1996-01-26,5.55,5.575,5.525000000000001,5.525000000000001,7200,0
1996-01-29,5.525000000000001,5.525000000000001,5.400000000000001,5.474999999999999,34600,0
1996-01-30,5.45,5.5,5.45,5.474999999999999,7100,0
1996-01-31,5.5,5.55,5.5,5.55,22900,0
1996-02-01,5.525000000000001,5.7,5.474999999999999,5.7,24000,0
1996-02-02,5.724999999999999,5.900000000000001,5.724999999999999,5.875,31000,0
1996-02-05,5.900000000000001,5.95,5.900000000000001,5.95,12100,0
1996-02-06,5.925,6.275000000000001,5.925,6.25,104300,0
1996-02-07,6.325,6.45,6.325,6.400000000000001,89700,0
1996-02-08,6.400000000000001,6.400000000000001,6.025000000000001,6.150000000000001,110000,0
1996-02-09,6.099999999999999,6.150000000000001,6.05,6.075,32800,0
1996-02-12,6.075,6.224999999999999,6.075,6.224999999999999,24800,0
1996-02-13,6.2,6.2,5.875,5.875,61700,0
1996-02-14,5.875,5.875,5.849999999999999,5.875,20000,0
1996-02-15,5.849999999999999,5.849999999999999,5.75,5.8,36300,0
1996-02-16,5.8,5.875,5.775000000000001,5.875,128200,0
1996-02-20,5.825,5.849999999999999,5.8,5.8,13500,0
1996-02-21,5.825,5.849999999999999,5.825,5.825,32600,0
1996-02-22,5.8,6.05,5.8,6.05,12900,0
1996-02-23,6.05,6.099999999999999,5.974999999999999,6.0,56700,0
1996-02-26,6.05,6.099999999999999,6.05,6.099999999999999,42300,0
1996-02-27,6.05,6.125,6.025000000000001,6.125,12500,0
1996-02-28,6.150000000000001,6.150000000000001,5.974999999999999,5.974999999999999,3900,0
1996-02-29,5.95,5.95,5.875,5.900000000000001,7500,0
1996-03-01,5.95,5.95,5.900000000000001,5.95,2100,0
1996-03-04,5.974999999999999,5.974999999999999,5.974999999999999,5.974999999999999,100,0
1996-03-05,6.0,6.0,5.925,6.0,13200,0
1996-03-06,6.0,6.0,5.925,5.925,60700,0
1996-03-07,5.925,6.075,5.925,6.075,14500,0
