Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.125,1.15625,1.125,1.125,30400,0
1980-03-18,1.14063125,1.17188125,1.14063125,1.14063125,53700,0
1980-03-19,1.1485,1.17975,1.1485,1.1485,38900,0
1980-03-20,1.1485,1.17975,1.1485,1.1485,23400,0
1980-03-21,1.1485,1.17975,1.1485,1.1485,22800,0
1980-03-24,1.125,1.15625,1.125,1.125,10500,0
1980-03-25,1.07813125,1.10938125,1.07813125,1.07813125,34200,0
1980-03-26,1.0625,1.09375,1.0625,1.0625,61300,0
1980-03-27,1.00788125,1.03913125,1.00788125,1.00788125,44400,0
1980-03-28,1.03913125,1.07038125,1.03913125,1.03913125,44500,0
1980-03-31,1.07813125,1.10938125,1.07813125,1.07813125,63800,0
1980-04-01,1.10163125,1.13288125,1.10163125,1.10163125,47900,0
1980-04-02,1.125,1.15625,1.125,1.125,51700,0
1980-04-03,1.11725,1.1485,1.11725,1.11725,19700,0
1980-04-07,1.10163125,1.13288125,1.10163125,1.10163125,26100,0
1980-04-08,1.10938125,1.14063125,1.10938125,1.10938125,15200,0
1980-04-09,1.11725,1.1485,1.11725,1.11725,14700,0
1980-04-10,1.125,1.15625,1.125,1.125,20300,0
1980-04-11,1.125,1.15625,1.125,1.125,16200,0
1980-04-14,1.13288125,1.16413125,1.13288125,1.13288125,33500,0
1980-04-15,1.13288125,1.16413125,1.13288125,1.13288125,36800,0
1980-04-16,1.10938125,1.14063125,1.10938125,1.10938125,31700,0
1980-04-17,1.10938125,1.14063125,1.10938125,1.10938125,62200,0
1980-04-18,1.10938125,1.14063125,1.10938125,1.10938125,16200,0
1980-04-21,1.10163125,1.13288125,1.10163125,1.10163125,31400,0
1980-04-22,1.125,1.15625,1.125,1.125,49500,0
1980-04-23,1.1875,1.21875,1.1875,1.1875,22500,0
1980-04-24,1.21875,1.25,1.21875,1.21875,21700,0
1980-04-25,1.21875,1.25,1.21875,1.21875,8800,0
1980-04-28,1.22663125,1.25788125,1.22663125,1.22663125,29700,0
1980-04-29,1.22663125,1.25788125,1.22663125,1.22663125,18500,0
1980-04-30,1.19538125,1.22663125,1.19538125,1.19538125,45200,0
1980-05-01,1.17188125,1.20313125,1.17188125,1.17188125,9400,0
1980-05-02,1.1875,1.21875,1.1875,1.1875,8300,0
1980-05-05,1.1875,1.21875,1.1875,1.1875,3200,0
1980-05-06,1.1875,1.21875,1.1875,1.1875,25200,0
1980-05-07,1.20313125,1.23438125,1.20313125,1.20313125,34300,0
1980-05-08,1.20313125,1.23438125,1.20313125,1.20313125,24900,0
1980-05-09,1.2109999999999999,1.24225,1.2109999999999999,1.2109999999999999,15500,0
1980-05-12,1.20313125,1.23438125,1.20313125,1.20313125,21500,0
1980-05-13,1.20313125,1.23438125,1.20313125,1.20313125,7000,0
1980-05-14,1.24225,1.2735,1.24225,1.24225,36300,0
1980-05-15,1.30475,1.3359999999999999,1.30475,1.30475,47000,0
1980-05-16,1.3125,1.34375,1.3125,1.3125,47800,0
1980-05-19,1.28125,1.3125,1.28125,1.28125,37100,0
1980-05-20,1.25788125,1.28913125,1.25788125,1.25788125,17900,0
1980-05-21,1.25788125,1.28913125,1.25788125,1.25788125,110000,0
1980-05-22,1.25788125,1.28913125,1.25788125,1.25788125,12000,0
1980-05-23,1.25,1.28125,1.25,1.25,11300,0
1980-05-27,1.28125,1.3125,1.28125,1.28125,47100,0
1980-05-28,1.28125,1.3125,1.28125,1.28125,38000,0
1980-05-29,1.28913125,1.32038125,1.28913125,1.28913125,42000,0
1980-05-30,1.28125,1.3125,1.28125,1.28125,48100,0
1980-06-02,1.28125,1.3125,1.28125,1.28125,78900,0
1980-06-03,1.28125,1.3125,1.28125,1.28125,11900,0
1980-06-04,1.28125,1.3125,1.28125,1.28125,16400,0
1980-06-05,1.28125,1.3125,1.28125,1.28125,16100,0
1980-06-06,1.32038125,1.35163125,1.32038125,1.32038125,72800,0
1980-06-09,1.3125,1.34375,1.3125,1.3125,21300,0
1980-06-10,1.32813125,1.35938125,1.32813125,1.32813125,15500,0
1980-06-11,1.34375,1.375,1.34375,1.34375,27300,0
1980-06-12,1.35163125,1.38288125,1.35163125,1.35163125,36700,0
1980-06-13,1.34375,1.375,1.34375,1.34375,11900,0
1980-06-16,1.35938125,1.39063125,1.35938125,1.35938125,28400,0
1980-06-17,1.36725,1.3985,1.36725,1.36725,16100,0
1980-06-18,1.34375,1.375,1.34375,1.34375,16200,0
1980-06-19,1.35163125,1.38288125,1.35163125,1.35163125,34600,0
1980-06-20,1.375,1.40625,1.375,1.375,36500,0
1980-06-23,1.39063125,1.42188125,1.39063125,1.39063125,19500,0
1980-06-24,1.39063125,1.42188125,1.39063125,1.39063125,36900,0
1980-06-25,1.4375,1.46875,1.4375,1.4375,62400,0
1980-06-26,1.40625,1.4375,1.40625,1.40625,50700,0
1980-06-27,1.40625,1.4375,1.40625,1.40625,21200,0
1980-06-30,1.38288125,1.41413125,1.38288125,1.38288125,16800,0
1980-07-01,1.375,1.40625,1.375,1.375,10600,0
1980-07-02,1.24225,1.2735,1.24225,1.24225,110700,0
1980-07-03,1.25,1.28125,1.25,1.25,174900,0
1980-07-07,1.25788125,1.2735,1.25788125,1.25788125,98900,0
1980-07-08,1.25788125,1.26563125,1.25788125,1.25788125,47200,0
1980-07-09,1.25,1.26563125,1.25,1.25,63400,0
1980-07-10,1.24225,1.25788125,1.24225,1.24225,47400,0
1980-07-11,1.24225,1.25788125,1.24225,1.24225,22600,0
1980-07-14,1.25788125,1.2735,1.25788125,1.25788125,105700,0
1980-07-15,1.28125,1.29688125,1.28125,1.28125,67900,0
1980-07-16,1.2735,1.28913125,1.2735,1.2735,36100,0
1980-07-17,1.28125,1.28913125,1.28125,1.28125,32600,0
1980-07-18,1.28125,1.29688125,1.28125,1.28125,47100,0
1980-07-21,1.28125,1.29688125,1.28125,1.28125,177500,0
1980-07-22,1.32813125,1.34375,1.32813125,1.32813125,28600,0
1980-07-23,1.39063125,1.40625,1.39063125,1.39063125,25700,0
1980-07-24,1.39063125,1.3985,1.39063125,1.39063125,15900,0
1980-07-25,1.375,1.38288125,1.375,1.375,23700,0
1980-07-28,1.35163125,1.36725,1.35163125,1.35163125,19700,0
1980-07-29,1.35938125,1.375,1.35938125,1.35938125,219000,0
1980-07-30,1.38288125,1.3985,1.38288125,1.38288125,63000,0
1980-07-31,1.375,1.39063125,1.375,1.375,42700,0
1980-08-01,1.38288125,1.3985,1.38288125,1.38288125,72800,0
1980-08-04,1.38288125,1.3985,1.38288125,1.38288125,78500,0
1980-08-05,1.38288125,1.3985,1.38288125,1.38288125,11900,0
1980-08-06,1.3985,1.41413125,1.3985,1.3985,24800,0
1980-08-07,1.45313125,1.4609999999999999,1.45313125,1.45313125,42300,0
1980-08-08,1.44538125,1.4609999999999999,1.44538125,1.44538125,43000,0
1980-08-11,1.44538125,1.45313125,1.44538125,1.44538125,14100,0
1980-08-12,1.39063125,1.40625,1.39063125,1.39063125,24100,0
1980-08-13,1.38288125,1.3985,1.38288125,1.38288125,30600,0
1980-08-14,1.38288125,1.39063125,1.38288125,1.38288125,48800,0
1980-08-15,1.3985,1.40625,1.3985,1.3985,47900,0
1980-08-18,1.36725,1.375,1.36725,1.36725,26600,0
1980-08-19,1.32038125,1.3359999999999999,1.32038125,1.32038125,32500,0
1980-08-20,1.3359999999999999,1.35163125,1.3359999999999999,1.3359999999999999,33200,0
1980-08-21,1.36725,1.38288125,1.36725,1.36725,40800,0
1980-08-22,1.36725,1.38288125,1.36725,1.36725,15500,0
1980-08-25,1.375,1.38288125,1.375,1.375,7100,0
1980-08-26,1.38288125,1.3985,1.38288125,1.38288125,55400,0
1980-08-27,1.41413125,1.42188125,1.41413125,1.41413125,84200,0
1980-08-28,1.40625,1.42188125,1.40625,1.40625,38300,0
1980-08-29,1.40625,1.42188125,1.40625,1.40625,75500,0
1980-09-02,1.42188125,1.42975,1.42188125,1.42188125,23000,0
1980-09-03,1.42975,1.44538125,1.42975,1.42975,39700,0
1980-09-04,1.42975,1.44538125,1.42975,1.42975,37100,0
1980-09-05,1.44538125,1.4609999999999999,1.44538125,1.44538125,34800,0
1980-09-08,1.42188125,1.4375,1.42188125,1.42188125,37800,0
1980-09-09,1.40625,1.41413125,1.40625,1.40625,24000,0
1980-09-10,1.42188125,1.4375,1.42188125,1.42188125,215500,0
1980-09-11,1.42975,1.4375,1.42975,1.42975,11500,0
1980-09-12,1.42975,1.4375,1.42975,1.42975,7300,0
1980-09-15,1.42188125,1.42975,1.42188125,1.42188125,55900,0
1980-09-16,1.45313125,1.4609999999999999,1.45313125,1.45313125,52400,0
1980-09-17,1.4609999999999999,1.46875,1.4609999999999999,1.4609999999999999,57800,0
1980-09-18,1.4609999999999999,1.47663125,1.4609999999999999,1.4609999999999999,79500,0
1980-09-19,1.47663125,1.48438125,1.47663125,1.47663125,35300,0
1980-09-22,1.47663125,1.48438125,1.47663125,1.47663125,13600,0
1980-09-23,1.4609999999999999,1.47663125,1.4609999999999999,1.4609999999999999,66000,0
1980-09-24,1.53125,1.53913125,1.53125,1.53125,46500,0
1980-09-25,1.5235,1.53125,1.5235,1.5235,102300,0
1980-09-26,1.48438125,1.5,1.48438125,1.48438125,56800,0
1980-09-29,1.46875,1.47663125,1.46875,1.46875,24400,0
1980-09-30,1.47663125,1.48438125,1.47663125,1.47663125,47900,0
1980-10-01,1.46875,1.47663125,1.46875,1.46875,39900,0
1980-10-02,1.44538125,1.4609999999999999,1.44538125,1.44538125,39800,0
1980-10-03,1.47663125,1.48438125,1.47663125,1.47663125,23900,0
1980-10-06,1.48438125,1.5,1.48438125,1.48438125,14300,0
1980-10-07,1.49225,1.5,1.49225,1.49225,26400,0
1980-10-08,1.48438125,1.5,1.48438125,1.48438125,10100,0
1980-10-09,1.47663125,1.48438125,1.47663125,1.47663125,15300,0
1980-10-10,1.47663125,1.48438125,1.47663125,1.47663125,39200,0
1980-10-13,1.47663125,1.48438125,1.47663125,1.47663125,4800,0
1980-10-14,1.4609999999999999,1.47663125,1.4609999999999999,1.4609999999999999,22200,0
1980-10-15,1.46875,1.47663125,1.46875,1.46875,30600,0
1980-10-16,1.46875,1.47663125,1.46875,1.46875,9500,0
1980-10-17,1.46875,1.47663125,1.46875,1.46875,16300,0
1980-10-20,1.4609999999999999,1.46875,1.4609999999999999,1.4609999999999999,14600,0
1980-10-21,1.45313125,1.46875,1.45313125,1.45313125,27500,0
1980-10-22,1.4375,1.44538125,1.4375,1.4375,14900,0
1980-10-23,1.3985,1.40625,1.3985,1.3985,20200,0
1980-10-24,1.3985,1.40625,1.3985,1.3985,16900,0
1980-10-27,1.375,1.39063125,1.375,1.375,31700,0
1980-10-28,1.3125,1.32813125,1.3125,1.3125,21000,0
1980-10-29,1.3125,1.32813125,1.3125,1.3125,47600,0
