Date,Open,High,Low,Close,Volume,openinterest
2012-11-29,8401.0498,8401.0498,8401.0498,8401.0498,34,0
2012-11-30,8051.0098,8051.0098,8051.0098,8051.0098,45,0
2012-12-03,7700.96,7700.96,7700.96,7700.96,102,0
2012-12-04,7350.9199,7350.9199,7350.9199,7350.9199,491,0
2012-12-05,7000.8799,7000.8799,7000.8799,7000.8799,297,0
2012-12-06,6650.8301,6650.8301,6650.8301,6650.8301,137,0
2012-12-07,6388.2998,6388.2998,6388.2998,6388.2998,342,0
2012-12-10,6125.77,6125.77,6125.77,6125.77,251,0
2012-12-11,5863.23,5863.23,5863.23,5863.23,4068,0
2012-12-12,5600.7002,5600.7002,5600.7002,5600.7002,10855,0
2012-12-13,5338.1699,5338.1699,5338.1699,5338.1699,38818,0
2012-12-14,5075.6299,5600.7002,5075.6299,5600.7002,76081,0
2012-12-17,5600.7002,5688.21,5338.1699,5338.1699,20683,0
2012-12-18,5338.1699,5513.1899,5338.1699,5513.1899,3828,0
2012-12-19,5338.1699,5513.1899,5250.6602,5513.1899,46119,0
2012-12-20,5250.6602,5338.1699,5250.6602,5250.6602,16135,0
2012-12-21,5250.6602,5250.6602,5075.6299,5250.6602,5027,0
2012-12-24,5250.6602,5250.6602,5075.6299,5075.6299,7496,0
2012-12-26,5163.1499,5250.6602,5163.1499,5163.1499,8581,0
2012-12-27,5163.1499,5250.6602,5075.6299,5250.6602,24362,0
2012-12-28,5250.6602,5338.1699,5075.6299,5163.1499,21083,0
2012-12-31,5163.1499,5163.1499,5163.1499,5163.1499,0,0
2013-01-02,5163.1499,5338.1699,5163.1499,5338.1699,10307,0
2013-01-03,5513.1899,5513.1899,5338.1699,5338.1699,12832,0
2013-01-04,5250.6602,5425.6802,5250.6602,5338.1699,13026,0
2013-01-07,5338.1699,5338.1699,5250.6602,5250.6602,2171,0
2013-01-08,5250.6602,5250.6602,5075.6299,5075.6299,16809,0
2013-01-09,5075.6299,5250.6602,5075.6299,5163.1499,16603,0
2013-01-10,5163.1499,5163.1499,5163.1499,5163.1499,1256,0
2013-01-11,5163.1499,5163.1499,5163.1499,5163.1499,3348,0
2013-01-14,5163.1499,5250.6602,5163.1499,5250.6602,3405,0
2013-01-15,5163.1499,5338.1699,5163.1499,5338.1699,2411,0
2013-01-16,5250.6602,5425.6802,5250.6602,5425.6802,6444,0
2013-01-17,5075.6299,5163.1499,5075.6299,5163.1499,7450,0
2013-01-18,5163.1499,5163.1499,5075.6299,5075.6299,6959,0
2013-01-22,5075.6299,5075.6299,5075.6299,5075.6299,3668,0
2013-01-23,5075.6299,5163.1499,5075.6299,5163.1499,2982,0
2013-01-24,5250.6602,5338.1699,5250.6602,5338.1699,10970,0
2013-01-25,5425.6802,5513.1899,5425.6802,5425.6802,13723,0
2013-01-28,5513.1899,5600.7002,5425.6802,5600.7002,742,0
2013-01-29,5600.7002,5600.7002,5338.1699,5513.1899,9393,0
2013-01-30,5688.21,5688.21,5338.1699,5338.1699,1416,0
2013-01-31,5338.1699,5338.1699,5338.1699,5338.1699,1165,0
2013-02-01,5338.1699,5425.6802,5250.6602,5425.6802,13552,0
2013-02-04,5338.1699,5338.1699,5338.1699,5338.1699,3599,0
2013-02-05,5425.6802,5425.6802,5425.6802,5425.6802,3313,0
2013-02-06,5425.6802,5425.6802,5425.6802,5425.6802,3748,0
2013-02-07,5600.7002,5688.21,5600.7002,5688.21,4879,0
2013-02-08,5775.7202,6038.2598,5775.7202,6038.2598,1359,0
2013-02-11,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-02-12,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-02-13,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-02-14,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-02-15,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-02-19,6213.2798,6213.2798,6125.77,6125.77,1942,0
2013-02-20,6213.2798,6213.2798,6213.2798,6213.2798,4685,0
2013-02-21,6125.77,6213.2798,5950.7402,5950.7402,24088,0
2013-02-22,5950.7402,5950.7402,5950.7402,5950.7402,2445,0
2013-02-25,5950.7402,5950.7402,5863.23,5863.23,4570,0
2013-02-26,5863.23,5863.23,5688.21,5863.23,3530,0
2013-02-27,5950.7402,5950.7402,5950.7402,5950.7402,0,0
2013-02-28,5688.21,5863.23,5688.21,5863.23,8033,0
2013-03-01,5600.7002,5950.7402,5600.7002,5950.7402,1165,0
2013-03-04,5863.23,5950.7402,5863.23,5950.7402,1165,0
2013-03-05,5950.7402,5950.7402,5950.7402,5950.7402,0,0
2013-03-06,5688.21,5950.7402,5688.21,5950.7402,45,0
2013-03-07,5688.21,5950.7402,5688.21,5950.7402,685,0
2013-03-08,5775.7202,5950.7402,5688.21,5950.7402,12307,0
2013-03-11,5950.7402,5950.7402,5950.7402,5950.7402,0,0
2013-03-12,5863.23,5950.7402,5775.7202,5950.7402,4113,0
2013-03-13,5863.23,5950.7402,5863.23,5950.7402,2399,0
2013-03-14,5950.7402,5950.7402,5950.7402,5950.7402,571,0
2013-03-15,5863.23,5950.7402,5863.23,5950.7402,2868,0
2013-03-18,5775.7202,5950.7402,5775.7202,5950.7402,4582,0
2013-03-19,5775.7202,5950.7402,5775.7202,5950.7402,2296,0
2013-03-20,5950.7402,5950.7402,5950.7402,5950.7402,0,0
2013-03-21,5688.21,5950.7402,5688.21,5863.23,14341,0
2013-03-22,5950.7402,5950.7402,5950.7402,5950.7402,399,0
2013-03-25,5775.7202,5950.7402,5688.21,5950.7402,3439,0
2013-03-26,5688.21,6038.2598,5600.7002,5863.23,4125,0
2013-03-27,5863.23,5863.23,5863.23,5863.23,331,0
2013-03-28,5863.23,5863.23,5688.21,5863.23,708,0
2013-04-01,5600.7002,5775.7202,5513.1899,5775.7202,2868,0
2013-04-02,5688.21,6038.2598,5688.21,6038.2598,9335,0
2013-04-03,5950.7402,6038.2598,5950.7402,6038.2598,1748,0
2013-04-04,5688.21,5688.21,5688.21,5688.21,708,0
2013-04-05,5863.23,6038.2598,5688.21,6038.2598,2171,0
2013-04-08,6038.2598,6038.2598,5775.7202,6038.2598,3759,0
2013-04-09,6038.2598,6038.2598,5863.23,6038.2598,2296,0
2013-04-10,6038.2598,6038.2598,5775.7202,5775.7202,6296,0
2013-04-11,5775.7202,6125.77,5775.7202,6125.77,1668,0
2013-04-12,6475.8101,6475.8101,5950.7402,5950.7402,228,0
2013-04-15,5950.7402,5950.7402,5950.7402,5950.7402,228,0
2013-04-16,5950.7402,5950.7402,5950.7402,5950.7402,982,0
2013-04-17,5950.7402,6038.2598,5775.7202,6038.2598,2388,0
2013-04-18,5950.7402,6038.2598,5775.7202,6038.2598,1051,0
2013-04-19,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-04-22,6038.2598,6125.77,5775.7202,6125.77,354,0
2013-04-23,6125.77,6213.2798,6125.77,6213.2798,342,0
2013-04-24,5950.7402,6213.2798,5950.7402,6213.2798,708,0
2013-04-25,5950.7402,6125.77,5950.7402,5950.7402,4342,0
2013-04-26,5775.7202,6038.2598,5775.7202,6038.2598,1119,0
2013-04-29,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-04-30,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-05-01,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-05-02,6038.2598,6038.2598,6038.2598,6038.2598,0,0
2013-05-03,5950.7402,5950.7402,5950.7402,5950.7402,1154,0
2013-05-06,5775.7202,5950.7402,5775.7202,5863.23,2411,0
2013-05-07,5863.23,5863.23,5863.23,5863.23,243,0
2013-05-08,5950.7402,5950.7402,5950.7402,5950.7402,228,0
2013-05-09,5950.7402,6125.77,5950.7402,6125.77,148,0
2013-05-10,6125.77,6213.2798,6125.77,6213.2798,571,0
