Date,Open,High,Low,Close,Volume,openinterest
1993-12-14,21.5,22.75,21.4375,22.625,538700,0
1993-12-15,22.5,22.5,21.75,22.125,448900,0
1993-12-16,22.1875,22.1875,22.0,22.125,285600,0
1993-12-17,22.125,22.125,21.625,21.625,526500,0
1993-12-20,21.625,22.3125,21.625,22.3125,642400,0
1993-12-21,22.25,22.875,22.25,22.625,441400,0
1993-12-22,22.6875,22.6875,22.4375,22.625,100300,0
1993-12-23,22.6875,23.125,22.6875,23.0625,97900,0
1993-12-27,23.1875,23.75,23.1875,23.625,34200,0
1993-12-28,23.5625,23.5625,23.375,23.5,136800,0
1993-12-29,23.625,23.8125,23.625,23.8125,132200,0
1993-12-30,23.8125,24.0625,23.8125,23.9375,78100,0
1993-12-31,23.8125,23.875,23.625,23.75,66500,0
1994-01-03,23.8125,23.8125,23.125,23.4375,233900,0
1994-01-04,23.4375,23.4375,22.3125,22.5625,1125100,0
1994-01-05,22.0,22.1875,21.75,22.1875,1466700,0
1994-01-06,22.0,22.1875,21.5,21.75,1376600,0
1994-01-07,21.6875,21.6875,20.75,20.8125,1714200,0
1994-01-10,20.9375,21.5,20.875,21.4375,705500,0
1994-01-11,21.5,21.5,21.1875,21.375,592700,0
1994-01-12,21.3125,21.3125,20.875,21.0,1104600,0
1994-01-13,20.9375,21.0,20.8125,20.875,516700,0
1994-01-14,20.9375,21.0625,20.8125,20.9375,683000,0
1994-01-17,20.875,21.0,20.75,20.9375,578700,0
1994-01-18,20.9375,20.9375,20.75,20.8125,559200,0
1994-01-19,20.75,21.25,20.75,21.125,663900,0
1994-01-20,21.125,21.1875,20.8125,21.0,560700,0
1994-01-21,21.0625,21.0625,20.875,21.0,730400,0
1994-01-24,21.0,21.0,20.75,20.8125,1050700,0
1994-01-25,20.75,20.9375,20.625,20.8125,735200,0
1994-01-26,20.75,20.875,20.75,20.8125,361800,0
1994-01-27,20.8125,20.9375,20.75,20.8125,805300,0
1994-01-28,20.9375,21.5625,20.875,21.5,642600,0
1994-01-31,21.5,22.1875,21.5,21.875,658000,0
1994-02-01,21.125,21.25,21.0,21.125,1520700,0
1994-02-02,21.0625,21.0625,20.8125,21.0,1676000,0
1994-02-03,21.0625,21.4375,21.0,21.375,1067800,0
1994-02-04,21.3125,21.625,21.25,21.3125,628300,0
1994-02-07,21.3125,21.8125,21.3125,21.75,399700,0
1994-02-08,21.5,21.625,21.375,21.4375,458300,0
1994-02-09,21.3125,21.5625,21.3125,21.5625,384900,0
1994-02-10,21.5,21.6875,21.375,21.375,488800,0
1994-02-11,21.375,21.4375,21.25,21.375,345400,0
1994-02-14,21.4375,21.5625,21.375,21.5,308400,0
1994-02-15,21.4375,21.75,21.4375,21.5625,350600,0
1994-02-16,21.5625,21.8125,21.5,21.6875,334400,0
1994-02-17,21.8125,22.0,21.6875,21.6875,497500,0
1994-02-18,21.6875,21.75,21.5,21.5625,217000,0
1994-02-22,21.25,21.4375,21.0625,21.25,575900,0
1994-02-23,21.25,21.4375,21.25,21.4375,508000,0
1994-02-24,21.375,21.375,21.125,21.1875,268900,0
1994-02-25,21.0625,21.125,21.0,21.0,325600,0
1994-02-28,21.0625,21.0625,20.8125,20.875,260200,0
1994-03-01,20.8125,20.875,20.75,20.875,375900,0
1994-03-02,20.75,20.8125,20.5625,20.5625,542400,0
1994-03-03,20.5625,20.5625,20.25,20.25,365800,0
1994-03-04,20.25,20.3125,20.0,20.125,504200,0
1994-03-07,20.125,20.125,20.0625,20.0625,300000,0
1994-03-08,20.0625,20.125,20.0,20.0625,541800,0
1994-03-09,19.8125,20.0625,19.8125,20.0625,134200,0
1994-03-10,20.0,20.125,19.8125,19.875,536600,0
1994-03-11,19.875,20.375,19.875,20.3125,148700,0
1994-03-14,20.4375,20.4375,20.25,20.375,171700,0
1994-03-15,20.375,20.5625,20.3125,20.5,315300,0
1994-03-16,20.5,20.5625,20.1875,20.25,237000,0
1994-03-17,20.1875,20.5,20.1875,20.375,336300,0
1994-03-18,20.375,20.375,20.0,20.0625,495700,0
