Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,2.59375,2.65625,2.59375,2.59375,79100,0
1980-03-18,2.58325,2.6145,2.58325,2.58325,127500,0
1980-03-19,2.58325,2.6145,2.552,2.58325,141300,0
1980-03-20,2.5625,2.573,2.54175,2.5625,43600,0
1980-03-21,2.5625,2.58325,2.52075,2.5625,93100,0
1980-03-24,2.5105,2.573,2.5105,2.5105,30700,0
1980-03-25,2.47925,2.5105,2.47925,2.47925,182200,0
1980-03-26,2.5,2.53125,2.5,2.5,27400,0
1980-03-27,2.5,2.5105,2.45825,2.5,44800,0
1980-03-28,2.5625,2.58325,2.5,2.5625,40800,0
1980-03-31,2.64575,2.64575,2.58325,2.64575,37100,0
1980-04-01,2.625,2.6355,2.60425,2.625,37700,0
1980-04-02,2.6355,2.6355,2.60425,2.6355,36700,0
1980-04-03,2.65625,2.65625,2.625,2.65625,49100,0
1980-04-07,2.59375,2.65625,2.59375,2.59375,105900,0
1980-04-08,2.625,2.6355,2.573,2.625,176100,0
1980-04-09,2.6355,2.64575,2.625,2.6355,67800,0
1980-04-10,2.66675,2.677,2.64575,2.66675,27400,0
1980-04-11,2.6355,2.66675,2.625,2.6355,19600,0
1980-04-14,2.6145,2.65625,2.59375,2.6145,18000,0
1980-04-15,2.60425,2.625,2.59375,2.60425,18600,0
1980-04-16,2.60425,2.64575,2.60425,2.60425,51700,0
1980-04-17,2.552,2.58325,2.53125,2.552,46300,0
1980-04-18,2.53125,2.573,2.53125,2.53125,39300,0
1980-04-21,2.4895,2.53125,2.47925,2.4895,88500,0
1980-04-22,2.54175,2.5625,2.5,2.54175,144000,0
1980-04-23,2.60425,2.6355,2.5625,2.60425,34100,0
1980-04-24,2.6145,2.6145,2.58325,2.6145,37400,0
1980-04-25,2.64575,2.64575,2.58325,2.64575,23700,0
1980-04-28,2.64575,2.6875,2.64575,2.64575,18000,0
1980-04-29,2.677,2.677,2.64575,2.677,15100,0
1980-04-30,2.6875,2.698,2.65625,2.6875,24200,0
1980-05-01,2.677,2.698,2.677,2.677,23700,0
1980-05-02,2.698,2.71875,2.66675,2.698,44300,0
1980-05-05,2.8125,2.8125,2.698,2.8125,62000,0
1980-05-06,2.802,2.8125,2.78125,2.802,21600,0
1980-05-07,2.83325,2.83325,2.79175,2.83325,28900,0
1980-05-08,2.78125,2.85425,2.77075,2.78125,71600,0
1980-05-09,2.70825,2.802,2.698,2.70825,49900,0
1980-05-12,2.6875,2.7395,2.677,2.6875,35200,0
1980-05-13,2.71875,2.71875,2.677,2.71875,22400,0
1980-05-14,2.70825,2.75,2.70825,2.70825,24000,0
1980-05-15,2.71875,2.72925,2.6875,2.71875,45800,0
1980-05-16,2.79175,2.79175,2.71875,2.79175,30400,0
1980-05-19,2.802,2.8125,2.7605,2.802,46000,0
1980-05-20,2.8855,2.8855,2.823,2.8855,114500,0
1980-05-21,2.8855,2.89575,2.875,2.8855,55600,0
1980-05-22,2.91675,2.91675,2.8645,2.91675,54100,0
1980-05-23,2.91675,2.95825,2.91675,2.91675,58000,0
1980-05-27,2.95825,2.9895,2.9375,2.95825,39200,0
1980-05-28,2.927,2.95825,2.91675,2.927,55500,0
1980-05-29,2.9375,2.96875,2.9375,2.9375,38900,0
1980-05-30,2.927,2.95825,2.927,2.927,47300,0
1980-06-02,2.948,2.948,2.91675,2.948,66700,0
1980-06-03,2.948,2.96875,2.927,2.948,65700,0
1980-06-04,2.95825,2.97925,2.948,2.95825,20900,0
1980-06-05,3.0105,3.03125,2.95825,3.0105,51600,0
1980-06-06,3.0105,3.02075,2.97925,3.0105,26800,0
1980-06-09,3.02075,3.04175,2.96875,3.02075,41900,0
1980-06-10,3.0,3.03125,3.0,3.0,22800,0
1980-06-11,3.02075,3.02075,2.9895,3.02075,174000,0
1980-06-12,3.02075,3.052,3.0,3.02075,45700,0
1980-06-13,3.0625,3.08325,3.02075,3.0625,62100,0
1980-06-16,3.08325,3.08325,3.04175,3.08325,52100,0
1980-06-17,3.073,3.073,3.052,3.073,56400,0
1980-06-18,3.073,3.09375,3.052,3.073,63700,0
1980-06-19,3.02075,3.08325,3.0105,3.02075,72900,0
1980-06-20,2.948,2.9895,2.948,2.948,145700,0
1980-06-23,2.9375,2.96875,2.9375,2.9375,30700,0
1980-06-24,2.9895,3.02075,2.948,2.9895,28500,0
1980-06-25,3.073,3.08325,3.0105,3.073,43400,0
1980-06-26,3.052,3.1145,3.04175,3.052,110800,0
1980-06-27,3.0625,3.09375,3.0625,3.0625,21200,0
1980-06-30,3.04175,3.0625,3.03125,3.04175,20500,0
1980-07-01,3.04175,3.04175,3.0105,3.04175,97900,0
1980-07-02,3.02075,3.04175,3.02075,3.02075,62700,0
1980-07-03,3.03125,3.04175,3.0105,3.03125,97000,0
1980-07-07,3.03125,3.04175,3.02075,3.03125,103800,0
1980-07-08,3.02075,3.03125,3.0105,3.02075,25500,0
1980-07-09,3.0,3.02075,3.0,3.0,272200,0
1980-07-10,2.96875,3.0,2.948,2.96875,72400,0
1980-07-11,3.02075,3.02075,2.96875,3.02075,105400,0
1980-07-14,3.08325,3.09375,3.02075,3.08325,84200,0
1980-07-15,3.09375,3.1355,3.08325,3.09375,89400,0
1980-07-16,3.09375,3.1145,3.073,3.09375,66700,0
1980-07-17,3.1355,3.1355,3.08325,3.1355,65000,0
1980-07-18,3.21875,3.21875,3.14575,3.21875,86000,0
1980-07-21,3.198,3.21875,3.16675,3.198,42200,0
1980-07-22,3.22925,3.28125,3.20825,3.22925,51100,0
1980-07-23,3.20825,3.25,3.198,3.20825,36800,0
1980-07-24,3.21875,3.27075,3.20825,3.21875,21900,0
1980-07-25,3.16675,3.2395,3.15625,3.16675,34700,0
1980-07-28,3.16675,3.177,3.15625,3.16675,46700,0
1980-07-29,3.27075,3.27075,3.1875,3.27075,47800,0
1980-07-30,3.323,3.35425,3.28125,3.323,88300,0
1980-07-31,3.323,3.323,3.27075,3.323,34400,0
1980-08-01,3.22925,3.3125,3.21875,3.22925,34900,0
1980-08-04,3.29175,3.302,3.22925,3.29175,43200,0
1980-08-05,3.29175,3.323,3.27075,3.29175,48600,0
1980-08-06,3.25,3.302,3.22925,3.25,54000,0
1980-08-07,3.3125,3.3125,3.27075,3.3125,58600,0
1980-08-08,3.33325,3.34375,3.323,3.33325,62200,0
1980-08-11,3.35425,3.35425,3.302,3.35425,45600,0
1980-08-12,3.39575,3.39575,3.35425,3.39575,55600,0
1980-08-13,3.3125,3.40625,3.302,3.3125,66500,0
1980-08-14,3.35425,3.3645,3.302,3.35425,24200,0
1980-08-15,3.375,3.3855,3.35425,3.375,61800,0
1980-08-18,3.29175,3.35425,3.29175,3.29175,81100,0
1980-08-19,3.15625,3.302,3.15625,3.15625,87100,0
1980-08-20,3.198,3.22925,3.15625,3.198,66100,0
1980-08-21,3.2605,3.2605,3.21875,3.2605,31000,0
1980-08-22,3.29175,3.3125,3.27075,3.29175,32900,0
1980-08-25,3.2395,3.2605,3.22925,3.2395,49100,0
1980-08-26,3.27075,3.302,3.21875,3.27075,67000,0
1980-08-27,3.2395,3.27075,3.21875,3.2395,35500,0
1980-08-28,3.16675,3.25,3.16675,3.16675,20100,0
1980-08-29,3.15625,3.16675,3.1355,3.15625,18500,0
1980-09-02,3.125,3.125,3.03125,3.125,28600,0
1980-09-03,3.22925,3.22925,3.14575,3.22925,38900,0
1980-09-04,3.177,3.28125,3.16675,3.177,38900,0
1980-09-05,3.16675,3.1875,3.14575,3.16675,37400,0
1980-09-08,3.1355,3.177,3.1355,3.1355,46200,0
1980-09-09,3.10425,3.1145,3.08325,3.10425,89900,0
1980-09-10,3.09375,3.15625,3.09375,3.09375,46400,0
1980-09-11,3.1145,3.1145,3.073,3.1145,96600,0
1980-09-12,3.09375,3.14575,3.08325,3.09375,88500,0
1980-09-15,3.073,3.10425,3.052,3.073,25700,0
1980-09-16,3.08325,3.1355,3.0625,3.08325,44100,0
1980-09-17,3.1355,3.15625,3.073,3.1355,95600,0
1980-09-18,3.21875,3.27075,3.1355,3.21875,92700,0
1980-09-19,3.2395,3.27075,3.20825,3.2395,56700,0
1980-09-22,3.2395,3.2605,3.22925,3.2395,35700,0
1980-09-23,3.22925,3.27075,3.21875,3.22925,43800,0
1980-09-24,3.198,3.25,3.198,3.198,29300,0
1980-09-25,3.1875,3.22925,3.16675,3.1875,64000,0
1980-09-26,3.14575,3.16675,3.1145,3.14575,31600,0
1980-09-29,3.04175,3.15625,3.04175,3.04175,114600,0
1980-09-30,3.08325,3.08325,3.04175,3.08325,44700,0
1980-10-01,3.04175,3.0625,3.0105,3.04175,70000,0
1980-10-02,3.073,3.08325,3.03125,3.073,58500,0
1980-10-03,3.08325,3.125,3.052,3.08325,47800,0
1980-10-06,3.10425,3.125,3.052,3.10425,85200,0
1980-10-07,3.052,3.1355,3.03125,3.052,29600,0
1980-10-08,3.0105,3.0625,3.0105,3.0105,87900,0
1980-10-09,3.0,3.0,2.95825,3.0,232900,0
1980-10-10,2.9895,3.0,2.97925,2.9895,31400,0
1980-10-13,2.9895,3.0,2.95825,2.9895,292200,0
1980-10-14,3.04175,3.04175,2.9895,3.04175,96500,0
1980-10-15,3.04175,3.04175,3.0105,3.04175,50500,0
1980-10-16,2.9895,3.052,2.96875,2.9895,79400,0
1980-10-17,2.9375,2.96875,2.927,2.9375,57100,0
1980-10-20,2.89575,2.948,2.8855,2.89575,68500,0
1980-10-21,2.83325,2.90625,2.802,2.83325,181600,0
1980-10-22,2.89575,2.89575,2.823,2.89575,50800,0
1980-10-23,2.8645,2.89575,2.85425,2.8645,55800,0
1980-10-24,2.875,2.875,2.823,2.875,93700,0
1980-10-27,2.8645,2.90625,2.85425,2.8645,73900,0
1980-10-28,2.89575,2.90625,2.84375,2.89575,34500,0
1980-10-29,2.8855,2.91675,2.875,2.8855,216400,0
1980-10-30,2.927,2.948,2.85425,2.927,103100,0
1980-10-31,2.8645,2.89575,2.8645,2.8645,39400,0
1980-11-03,2.84375,2.875,2.84375,2.84375,55800,0
1980-11-05,2.948,3.03125,2.948,2.948,150100,0
1980-11-06,2.85425,2.9375,2.83325,2.85425,71800,0
1980-11-07,2.8645,2.8645,2.83325,2.8645,75700,0
1980-11-10,2.89575,2.89575,2.8645,2.89575,46600,0
1980-11-11,2.875,2.91675,2.875,2.875,38200,0
1980-11-12,2.90625,2.90625,2.8855,2.90625,182900,0
1980-11-13,2.927,2.9375,2.8855,2.927,169900,0
1980-11-14,3.10425,3.10425,2.9895,3.10425,222000,0
1980-11-17,3.08325,3.09375,3.052,3.08325,33200,0
1980-11-18,3.1875,3.1875,3.09375,3.1875,85700,0
1980-11-19,3.3125,3.323,3.22925,3.3125,88500,0
1980-11-20,3.302,3.302,3.28125,3.302,75600,0
1980-11-21,3.27075,3.323,3.27075,3.27075,46700,0
1980-11-24,3.2605,3.27075,3.21875,3.2605,116200,0
1980-11-25,3.2605,3.29175,3.2395,3.2605,53700,0
1980-11-26,3.1875,3.27075,3.15625,3.1875,49000,0
1980-11-28,3.22925,3.22925,3.16675,3.22925,99000,0
1980-12-01,3.177,3.2395,3.177,3.177,89300,0
1980-12-02,3.14575,3.1875,3.125,3.14575,49800,0
1980-12-03,3.15625,3.177,3.125,3.15625,83200,0
1980-12-04,3.20825,3.2395,3.177,3.20825,75000,0
1980-12-05,3.16675,3.1875,3.14575,3.16675,49700,0
1980-12-08,3.0625,3.15625,3.0625,3.0625,49200,0
1980-12-09,3.04175,3.09375,3.04175,3.04175,98900,0
1980-12-10,2.95825,3.0625,2.95825,2.95825,81900,0
1980-12-11,2.9375,2.9375,2.89575,2.9375,116900,0
1980-12-12,2.97925,2.9895,2.948,2.97925,39700,0
1980-12-15,3.0,3.0,2.948,3.0,44400,0
1980-12-16,3.0105,3.04175,3.0,3.0105,54100,0
1980-12-17,3.02075,3.04175,2.9895,3.02075,35200,0
1980-12-18,3.0625,3.073,3.03125,3.0625,49500,0
1980-12-19,3.04175,3.09375,3.02075,3.04175,79500,0
1980-12-22,3.04175,3.052,3.02075,3.04175,72400,0
1980-12-23,3.08325,3.09375,3.04175,3.08325,60500,0
1980-12-24,3.052,3.073,3.052,3.052,15400,0
1980-12-26,3.073,3.08325,3.052,3.073,5800,0
1980-12-29,3.073,3.073,3.052,3.073,19500,0
1980-12-30,3.0625,3.073,3.03125,3.0625,18800,0
1980-12-31,3.04175,3.0625,3.02075,3.04175,13500,0
1981-01-02,3.03125,3.052,3.02075,3.03125,40700,0
1981-01-05,3.1355,3.1355,3.0625,3.1355,71300,0
