Date,Open,High,Low,Close,Volume,openinterest
1989-10-04,2.5,2.546875,2.4375,2.5,2579500,0
1989-10-05,2.578125,2.625,2.5,2.578125,806700,0
1989-10-06,2.546875,2.625,2.546875,2.546875,344400,0
1989-10-09,2.546875,2.546875,2.5,2.546875,135500,0
1989-10-10,2.53125,2.5625,2.5,2.53125,186700,0
1989-10-11,2.515625,2.515625,2.46875,2.515625,157500,0
1989-10-12,2.53125,2.546875,2.515625,2.53125,75300,0
1989-10-13,2.484375,2.53125,2.46875,2.484375,496300,0
1989-10-16,2.46875,2.46875,2.375,2.46875,490600,0
1989-10-17,2.5,2.5,2.4375,2.5,230400,0
1989-10-18,2.546875,2.5625,2.484375,2.546875,141000,0
1989-10-19,2.546875,2.546875,2.53125,2.546875,130000,0
1989-10-20,2.53125,2.53125,2.515625,2.53125,29700,0
1989-10-23,2.546875,2.5625,2.546875,2.546875,10900,0
1989-10-24,2.5625,2.5625,2.53125,2.5625,86200,0
1989-10-25,2.546875,2.578125,2.515625,2.546875,76000,0
1989-10-26,2.546875,2.5625,2.546875,2.546875,28600,0
1989-10-27,2.515625,2.546875,2.5,2.515625,57000,0
1989-10-30,2.5,2.515625,2.5,2.5,31300,0
1989-10-31,2.5,2.515625,2.5,2.5,53100,0
1989-11-01,2.5625,2.5625,2.515625,2.5625,89400,0
1989-11-02,2.640625,2.640625,2.59375,2.640625,16300,0
1989-11-03,2.734375,2.75,2.625,2.734375,139800,0
1989-11-06,2.578125,2.71875,2.578125,2.578125,33100,0
1989-11-07,2.6875,2.6875,2.5,2.6875,90900,0
1989-11-08,2.71875,2.71875,2.671875,2.71875,29600,0
1989-11-09,2.6875,2.71875,2.6875,2.6875,7600,0
1989-11-10,2.5625,2.6875,2.546875,2.5625,26300,0
1989-11-13,2.546875,2.5625,2.515625,2.546875,11600,0
1989-11-14,2.53125,2.578125,2.484375,2.53125,53500,0
1989-11-15,2.5625,2.578125,2.53125,2.5625,22000,0
1989-11-16,2.59375,2.59375,2.546875,2.59375,37700,0
1989-11-17,2.640625,2.640625,2.59375,2.640625,31200,0
1989-11-20,2.609375,2.65625,2.609375,2.609375,5400,0
1989-11-21,2.671875,2.671875,2.59375,2.671875,13600,0
1989-11-22,2.75,2.75,2.6875,2.75,31900,0
1989-11-24,2.921875,2.953125,2.78125,2.921875,71500,0
1989-11-27,2.875,2.9375,2.859375,2.875,31700,0
1989-11-28,2.828125,2.875,2.828125,2.828125,70000,0
1989-11-29,2.796875,2.8125,2.78125,2.796875,7600,0
1989-11-30,2.890625,2.90625,2.8125,2.890625,89100,0
1989-12-01,2.90625,2.953125,2.890625,2.90625,44600,0
1989-12-04,2.984375,2.984375,2.875,2.984375,21500,0
1989-12-05,2.90625,2.984375,2.90625,2.90625,11700,0
1989-12-06,2.984375,3.0,2.90625,2.984375,83600,0
1989-12-07,2.953125,2.984375,2.921875,2.953125,26900,0
1989-12-08,2.953125,2.953125,2.921875,2.953125,15300,0
1989-12-11,3.0,3.03125,2.9375,3.0,38300,0
1989-12-12,3.015625,3.03125,2.984375,3.015625,139900,0
1989-12-13,3.15625,3.15625,2.984375,3.15625,50000,0
1989-12-14,3.125,3.140625,3.109375,3.125,46800,0
1989-12-15,3.109375,3.140625,3.09375,3.109375,19400,0
1989-12-18,3.03125,3.125,3.03125,3.03125,28000,0
1989-12-19,3.0625,3.0625,3.03125,3.0625,26900,0
1989-12-20,3.078125,3.109375,3.046875,3.078125,20800,0
1989-12-21,3.109375,3.125,3.0625,3.109375,21800,0
1989-12-22,3.125,3.125,3.109375,3.125,21700,0
1989-12-26,3.078125,3.109375,3.078125,3.078125,12200,0
1989-12-27,3.03125,3.0625,3.03125,3.03125,18000,0
1989-12-28,3.03125,3.046875,3.03125,3.03125,1400,0
1989-12-29,3.15625,3.15625,3.015625,3.15625,27400,0
1990-01-02,3.046875,3.125,3.03125,3.046875,24300,0
1990-01-03,3.03125,3.0625,3.03125,3.03125,45200,0
1990-01-04,2.953125,3.0625,2.953125,2.953125,20800,0
1990-01-05,2.90625,2.9375,2.859375,2.90625,12600,0
1990-01-08,2.859375,2.890625,2.84375,2.859375,110100,0
1990-01-09,2.8125,2.84375,2.8125,2.8125,35300,0
1990-01-10,2.703125,2.765625,2.6875,2.703125,98000,0
1990-01-11,2.75,2.765625,2.703125,2.75,43400,0
1990-01-12,2.71875,2.734375,2.6875,2.71875,19900,0
1990-01-15,2.71875,2.734375,2.71875,2.71875,3200,0
1990-01-16,2.703125,2.703125,2.625,2.703125,21600,0
1990-01-17,2.71875,2.8125,2.71875,2.71875,27000,0
1990-01-18,2.703125,2.71875,2.6875,2.703125,19700,0
1990-01-19,2.75,2.75,2.734375,2.75,1100,0
1990-01-22,2.734375,2.75,2.71875,2.734375,7100,0
1990-01-23,2.75,2.765625,2.734375,2.75,12700,0
1990-01-24,2.6875,2.734375,2.6875,2.6875,3300,0
1990-01-25,2.71875,2.71875,2.671875,2.71875,31200,0
1990-01-26,2.671875,2.71875,2.671875,2.671875,5700,0
1990-01-29,2.640625,2.6875,2.625,2.640625,55500,0
1990-01-30,2.65625,2.65625,2.578125,2.65625,68500,0
1990-01-31,2.859375,2.859375,2.6875,2.859375,94700,0
1990-02-01,2.859375,2.875,2.84375,2.859375,18700,0
1990-02-02,2.875,2.90625,2.875,2.875,90000,0
1990-02-05,2.875,2.90625,2.875,2.875,20400,0
1990-02-06,2.890625,2.90625,2.84375,2.890625,12400,0
1990-02-07,2.9375,2.9375,2.90625,2.9375,4100,0
1990-02-08,3.046875,3.125,2.96875,3.046875,43300,0
1990-02-09,3.0,3.125,2.96875,3.0,22400,0
1990-02-12,2.90625,3.0,2.90625,2.90625,3500,0
1990-02-13,2.953125,2.953125,2.9375,2.953125,3300,0
1990-02-14,2.9375,2.96875,2.9375,2.9375,4100,0
1990-02-15,2.953125,2.96875,2.953125,2.953125,19000,0
1990-02-16,2.96875,2.96875,2.96875,2.96875,4000,0
1990-02-20,2.953125,2.984375,2.953125,2.953125,2900,0
1990-02-21,2.90625,2.953125,2.90625,2.90625,69200,0
1990-02-22,2.84375,2.90625,2.84375,2.84375,18500,0
1990-02-23,2.71875,2.78125,2.6875,2.71875,71900,0
1990-02-26,2.75,2.75,2.734375,2.75,59700,0
1990-02-27,2.84375,2.84375,2.765625,2.84375,44700,0
1990-02-28,2.796875,2.828125,2.796875,2.796875,18200,0
1990-03-01,2.75,2.796875,2.75,2.75,28200,0
1990-03-02,2.703125,2.78125,2.6875,2.703125,116400,0
1990-03-05,2.671875,2.703125,2.65625,2.671875,18300,0
1990-03-06,2.734375,2.734375,2.625,2.734375,32300,0
1990-03-07,2.75,2.75,2.703125,2.75,21800,0
1990-03-08,2.78125,2.796875,2.734375,2.78125,18300,0
1990-03-09,2.734375,2.78125,2.734375,2.734375,24300,0
1990-03-12,2.6875,2.71875,2.625,2.6875,134100,0
1990-03-13,2.6875,2.6875,2.671875,2.6875,82800,0
1990-03-14,2.765625,2.765625,2.671875,2.765625,37300,0
1990-03-15,2.71875,2.796875,2.71875,2.71875,24000,0
1990-03-16,2.78125,2.78125,2.734375,2.78125,33900,0
1990-03-19,2.765625,2.765625,2.75,2.765625,59500,0
1990-03-20,2.796875,2.90625,2.75,2.796875,112300,0
1990-03-21,2.796875,2.8125,2.796875,2.796875,12800,0
1990-03-22,2.765625,2.765625,2.75,2.765625,22200,0
1990-03-23,2.796875,2.796875,2.796875,2.796875,40000,0
1990-03-26,2.75,2.78125,2.75,2.75,4700,0
1990-03-27,2.75,2.75,2.734375,2.75,3000,0
1990-03-28,2.921875,2.9375,2.84375,2.921875,88300,0
1990-03-29,2.90625,2.9375,2.890625,2.90625,45200,0
1990-03-30,2.921875,2.921875,2.921875,2.921875,20200,0
1990-04-02,2.875,2.921875,2.84375,2.875,23100,0
1990-04-03,2.984375,3.03125,2.875,2.984375,44800,0
1990-04-04,2.90625,2.984375,2.90625,2.90625,45600,0
1990-04-05,2.90625,2.953125,2.90625,2.90625,46700,0
1990-04-06,2.78125,2.921875,2.78125,2.78125,101300,0
1990-04-09,2.734375,2.765625,2.734375,2.734375,42100,0
1990-04-10,2.765625,2.8125,2.71875,2.765625,53300,0
1990-04-11,2.734375,2.8125,2.71875,2.734375,29300,0
1990-04-12,2.625,2.734375,2.59375,2.625,57000,0
1990-04-16,2.703125,2.734375,2.640625,2.703125,34200,0
1990-04-17,2.71875,2.71875,2.703125,2.71875,2100,0
1990-04-18,2.71875,2.75,2.6875,2.71875,41700,0
1990-04-19,2.6875,2.71875,2.671875,2.6875,25900,0
1990-04-20,2.671875,2.6875,2.65625,2.671875,21100,0
1990-04-23,2.625,2.65625,2.625,2.625,21700,0
1990-04-24,2.625,2.671875,2.625,2.625,57300,0
1990-04-25,2.65625,2.671875,2.640625,2.65625,13000,0
1990-04-26,2.6875,2.6875,2.625,2.6875,57700,0
1990-04-27,2.703125,2.703125,2.6875,2.703125,16700,0
1990-04-30,2.71875,2.71875,2.6875,2.71875,8600,0
1990-05-01,2.8125,2.828125,2.6875,2.8125,91600,0
1990-05-02,2.8125,2.828125,2.765625,2.8125,71900,0
1990-05-03,2.828125,2.859375,2.828125,2.828125,13200,0
1990-05-04,2.78125,2.84375,2.78125,2.78125,34900,0
1990-05-07,2.84375,2.84375,2.78125,2.84375,4100,0
1990-05-08,2.828125,2.84375,2.828125,2.828125,6100,0
1990-05-09,2.796875,2.859375,2.796875,2.796875,154100,0
1990-05-10,2.796875,2.84375,2.796875,2.796875,53500,0
1990-05-11,2.875,2.875,2.828125,2.875,21500,0
1990-05-14,2.75,2.890625,2.75,2.75,302300,0
1990-05-15,2.8125,2.828125,2.75,2.8125,725600,0
1990-05-16,2.90625,2.96875,2.8125,2.90625,45900,0
1990-05-17,2.953125,2.953125,2.921875,2.953125,24500,0
1990-05-18,3.0,3.0,2.96875,3.0,22700,0
1990-05-21,2.953125,2.96875,2.921875,2.953125,9300,0
1990-05-22,2.96875,2.984375,2.96875,2.96875,5100,0
1990-05-23,2.90625,2.96875,2.90625,2.90625,3800,0
1990-05-24,2.8125,2.921875,2.75,2.8125,60400,0
1990-05-25,2.875,2.875,2.75,2.875,102200,0
1990-05-29,2.90625,2.90625,2.890625,2.90625,7600,0
1990-05-30,2.96875,2.984375,2.921875,2.96875,16200,0
1990-05-31,2.96875,2.984375,2.90625,2.96875,17900,0
1990-06-01,2.96875,2.984375,2.953125,2.96875,5900,0
1990-06-04,2.984375,2.984375,2.90625,2.984375,8500,0
1990-06-05,2.890625,3.0,2.796875,2.890625,140700,0
1990-06-06,2.875,2.90625,2.875,2.875,5500,0
1990-06-07,2.859375,2.890625,2.859375,2.859375,26600,0
1990-06-08,2.84375,2.875,2.8125,2.84375,50700,0
1990-06-11,2.875,2.890625,2.84375,2.875,6100,0
1990-06-12,2.984375,3.0,2.859375,2.984375,24500,0
1990-06-13,2.96875,3.09375,2.96875,2.96875,26000,0
1990-06-14,2.984375,2.984375,2.9375,2.984375,2600,0
1990-06-15,2.96875,2.984375,2.921875,2.96875,19800,0
1990-06-18,2.96875,2.96875,2.96875,2.96875,200,0
1990-06-19,2.921875,2.9375,2.875,2.921875,21800,0
1990-06-20,2.9375,2.953125,2.90625,2.9375,15900,0
1990-06-21,2.9375,2.9375,2.921875,2.9375,800,0
1990-06-22,2.953125,2.953125,2.921875,2.953125,44600,0
1990-06-25,2.921875,2.9375,2.90625,2.921875,3100,0
1990-06-26,2.921875,2.921875,2.859375,2.921875,25900,0
1990-06-27,2.921875,2.9375,2.921875,2.921875,1700,0
1990-06-28,2.96875,2.96875,2.9375,2.96875,19700,0
1990-06-29,2.96875,2.984375,2.953125,2.96875,40900,0
1990-07-02,2.90625,2.953125,2.875,2.90625,40300,0
1990-07-03,2.875,2.9375,2.875,2.875,38600,0
1990-07-05,2.828125,2.84375,2.8125,2.828125,74600,0
1990-07-06,2.796875,2.796875,2.78125,2.796875,10300,0
1990-07-09,2.78125,2.8125,2.75,2.78125,90600,0
1990-07-10,2.78125,2.78125,2.765625,2.78125,134200,0
1990-07-11,2.796875,2.8125,2.78125,2.796875,97000,0
1990-07-12,2.875,2.90625,2.796875,2.875,151100,0
1990-07-13,2.96875,3.0,2.90625,2.96875,71000,0
1990-07-16,2.96875,3.0,2.96875,2.96875,85100,0
1990-07-17,2.921875,2.96875,2.921875,2.921875,12800,0
1990-07-18,2.84375,2.921875,2.84375,2.84375,43500,0
1990-07-19,2.875,2.875,2.796875,2.875,58200,0
1990-07-20,2.890625,2.90625,2.890625,2.890625,6400,0
