Date,Open,High,Low,Close,Volume,openinterest
1996-08-08,25.65,27.0,25.65,27.0,211,0
1996-08-09,25.65,25.65,24.3,24.3,78,0
1996-08-12,24.3,24.3,22.95,22.95,222,0
1996-08-13,22.95,22.95,22.95,22.95,0,0
1996-08-14,25.65,25.65,25.65,25.65,189,0
1996-08-15,25.65,25.65,25.65,25.65,33,0
1996-08-16,25.65,25.65,25.65,25.65,78,0
1996-08-19,27.0,27.0,27.0,27.0,56,0
1996-08-20,27.0,27.0,27.0,27.0,0,0
1996-08-21,27.0,27.0,27.0,27.0,0,0
1996-08-22,24.3,24.3,22.95,22.95,56,0
1996-08-23,22.95,22.95,22.95,22.95,0,0
1996-08-26,22.95,22.95,22.95,22.95,0,0
1996-08-27,24.3,25.65,24.3,25.65,222,0
1996-08-28,22.95,24.3,22.95,22.95,133,0
1996-08-29,24.3,24.3,22.95,22.95,411,0
1996-08-30,24.3,25.65,22.95,22.95,311,0
1996-09-03,22.95,22.95,21.6,21.6,367,0
1996-09-04,25.65,25.65,22.95,22.95,189,0
1996-09-05,25.65,25.65,24.3,24.3,56,0
1996-09-06,25.65,25.65,25.65,25.65,44,0
1996-09-09,25.65,25.65,21.6,22.95,522,0
1996-09-10,25.65,25.65,25.65,25.65,189,0
1996-09-11,25.65,25.65,25.65,25.65,0,0
1996-09-12,27.0,27.0,27.0,27.0,100,0
1996-09-13,22.95,27.0,22.95,27.0,300,0
1996-09-16,27.0,27.0,27.0,27.0,0,0
1996-09-17,21.6,27.0,21.6,24.3,256,0
1996-09-18,22.95,27.0,22.95,27.0,389,0
1996-09-19,27.0,31.05,27.0,31.05,211,0
1996-09-20,31.05,31.05,31.05,31.05,0,0
1996-09-23,31.05,31.05,31.05,31.05,0,0
1996-09-24,31.05,31.05,31.05,31.05,0,0
1996-09-25,31.05,31.05,31.05,31.05,0,0
1996-09-26,31.05,31.05,31.05,31.05,0,0
1996-09-27,31.05,31.05,31.05,31.05,0,0
1996-09-30,21.6,21.6,21.6,21.6,11,0
1996-10-01,25.65,25.65,25.65,25.65,200,0
1996-10-02,27.0,31.05,27.0,31.05,489,0
1996-10-03,31.05,31.05,27.0,27.0,456,0
1996-10-04,31.05,31.05,27.0,31.05,600,0
1996-10-07,31.05,31.05,31.05,31.05,233,0
1996-10-08,27.0,27.0,24.3,27.0,367,0
1996-10-09,27.0,27.0,27.0,27.0,0,0
1996-10-10,29.7,29.7,29.7,29.7,111,0
1996-10-11,31.05,32.4,31.05,32.4,144,0
1996-10-15,29.7,33.75,29.7,33.75,278,0
1996-10-16,33.75,33.75,27.0,27.0,78,0
1996-10-17,31.05,31.05,31.05,31.05,33,0
1996-10-18,27.0,27.0,27.0,27.0,133,0
1996-10-21,27.0,27.0,25.65,25.65,78,0
1996-10-22,25.65,25.65,25.65,25.65,0,0
1996-10-23,25.65,25.65,25.65,25.65,0,0
1996-10-24,25.65,25.65,24.3,24.3,222,0
1996-10-25,25.65,25.65,25.65,25.65,33,0
1996-10-28,24.3,24.3,24.3,24.3,189,0
1996-10-29,24.3,24.3,24.3,24.3,78,0
1996-10-30,24.3,27.0,24.3,25.65,711,0
1996-10-31,27.0,27.0,24.3,25.65,389,0
1996-11-01,25.65,25.65,24.3,24.3,333,0
1996-11-04,25.65,25.65,24.3,24.3,289,0
1996-11-05,24.3,24.3,21.6,21.6,444,0
1996-11-06,22.95,22.95,22.95,22.95,78,0
1996-11-07,22.95,22.95,22.95,22.95,0,0
1996-11-08,25.65,25.65,25.65,25.65,111,0
1996-11-11,22.95,22.95,22.95,22.95,78,0
1996-11-12,22.95,22.95,22.95,22.95,33,0
1996-11-13,24.3,24.3,24.3,24.3,56,0
1996-11-14,24.3,24.3,24.3,24.3,0,0
1996-11-15,25.65,29.7,25.65,27.0,156,0
1996-11-18,27.0,27.0,27.0,27.0,56,0
1996-11-19,25.65,25.65,24.3,24.3,333,0
1996-11-20,24.3,24.3,24.3,24.3,0,0
1996-11-21,22.95,22.95,22.95,22.95,33,0
1996-11-22,22.95,22.95,22.95,22.95,100,0
1996-11-25,22.95,22.95,22.95,22.95,44,0
1996-11-26,25.65,25.65,22.95,22.95,367,0
1996-11-27,24.3,24.3,24.3,24.3,411,0
1996-11-29,22.95,22.95,22.95,22.95,0,0
1996-12-02,22.95,22.95,22.95,22.95,189,0
1996-12-03,22.95,22.95,22.95,22.95,189,0
1996-12-04,22.95,22.95,22.95,22.95,0,0
1996-12-05,21.6,21.6,21.6,21.6,56,0
1996-12-06,21.6,21.6,21.6,21.6,189,0
1996-12-09,21.6,21.6,21.6,21.6,111,0
1996-12-10,24.3,24.3,24.3,24.3,33,0
1996-12-11,18.9,18.9,18.9,18.9,33,0
1996-12-12,18.9,18.9,18.9,18.9,33,0
1996-12-13,18.9,18.9,18.9,18.9,0,0
1996-12-16,20.25,21.6,18.9,18.9,311,0
1996-12-17,18.9,18.9,18.9,18.9,0,0
1996-12-18,20.25,20.25,20.25,20.25,78,0
1996-12-19,20.25,20.25,20.25,20.25,0,0
1996-12-20,20.25,20.25,20.25,20.25,0,0
1996-12-23,20.25,20.25,20.25,20.25,22,0
1996-12-24,20.25,20.25,20.25,20.25,0,0
1996-12-27,20.25,20.25,20.25,20.25,0,0
1996-12-30,20.25,20.25,20.25,20.25,0,0
1996-12-31,21.6,21.6,20.25,20.25,144,0
1997-01-02,20.25,20.25,20.25,20.25,0,0
1997-01-03,20.25,20.25,20.25,20.25,0,0
1997-01-06,20.25,20.25,20.25,20.25,0,0
1997-01-07,24.3,24.3,20.25,20.25,578,0
1997-01-08,24.3,24.3,24.3,24.3,144,0
1997-01-09,22.95,25.65,22.95,25.65,300,0
1997-01-10,27.0,33.75,27.0,32.4,256,0
1997-01-13,31.05,32.4,28.35,28.35,378,0
1997-01-14,29.7,29.7,27.0,27.0,256,0
1997-01-15,27.0,32.4,27.0,32.4,222,0
1997-01-16,31.05,44.55,31.05,40.5,1889,0
1997-01-17,40.5,41.85,36.45,40.5,2167,0
1997-01-20,40.5,40.5,37.8,37.8,333,0
1997-01-21,36.45,37.8,32.4,35.1,1578,0
1997-01-22,36.45,36.45,33.75,35.1,267,0
1997-01-23,35.1,35.1,29.7,29.7,456,0
1997-01-24,33.75,36.45,33.75,36.45,644,0
1997-01-27,35.1,36.45,35.1,36.45,278,0
1997-01-28,35.1,35.1,29.7,31.05,467,0
1997-01-29,31.05,31.05,31.05,31.05,0,0
1997-01-30,35.1,35.1,31.05,31.05,300,0
1997-01-31,31.05,32.4,29.7,32.4,478,0
1997-02-03,32.4,32.4,31.05,31.05,189,0
1997-02-04,29.7,32.4,29.7,29.7,200,0
1997-02-05,31.05,31.05,31.05,31.05,100,0
1997-02-06,32.4,32.4,29.7,29.7,133,0
1997-02-07,32.4,33.75,32.4,32.4,133,0
1997-02-10,32.4,35.1,32.4,35.1,767,0
1997-02-11,36.45,41.85,36.45,40.5,644,0
1997-02-12,40.5,40.5,35.1,35.1,322,0
1997-02-13,39.15,39.15,37.8,37.8,89,0
1997-02-14,37.8,40.5,36.45,36.45,311,0
1997-02-18,41.85,41.85,40.5,41.85,600,0
1997-02-19,40.5,40.5,37.8,37.8,278,0
1997-02-20,37.8,40.5,37.8,40.5,278,0
1997-02-21,39.15,43.2,39.15,40.5,711,0
1997-02-24,41.85,41.85,39.15,41.85,211,0
1997-02-25,43.2,44.55,43.2,44.55,533,0
1997-02-26,44.55,47.25,41.85,44.55,611,0
1997-02-27,47.25,56.7,41.85,41.85,2078,0
1997-02-28,41.85,54.0,41.85,54.0,644,0
1997-03-03,54.0,54.0,45.9,48.6,944,0
1997-03-04,49.95,51.3,44.55,51.3,311,0
1997-03-05,52.65,52.65,47.25,49.95,511,0
1997-03-06,49.95,49.95,47.25,49.95,211,0
1997-03-07,51.3,51.3,47.25,47.25,222,0
1997-03-10,48.6,52.65,48.6,52.65,467,0
1997-03-11,52.65,52.65,47.25,47.25,478,0
1997-03-12,48.6,54.0,48.6,54.0,400,0
1997-03-13,54.0,54.0,43.2,48.6,1489,0
1997-03-14,52.65,52.65,48.6,49.95,356,0
1997-03-17,52.65,54.0,48.6,48.6,422,0
1997-03-18,49.95,51.3,45.9,45.9,311,0
1997-03-19,51.3,51.3,43.2,45.9,667,0
1997-03-20,43.2,44.55,40.5,44.55,411,0
1997-03-21,44.55,44.55,39.15,39.15,433,0
1997-03-24,40.5,45.9,39.15,40.5,778,0
1997-03-25,41.85,43.2,40.5,41.85,289,0
1997-03-26,43.2,43.2,40.5,40.5,389,0
1997-03-27,40.5,40.5,29.7,33.75,1344,0
1997-03-31,31.05,31.05,28.35,31.05,767,0
1997-04-01,32.4,35.1,32.4,35.1,144,0
1997-04-02,33.75,33.75,33.75,33.75,522,0
1997-04-03,33.75,33.75,33.75,33.75,167,0
1997-04-04,33.75,35.1,31.05,33.75,822,0
1997-04-07,31.05,31.05,28.35,31.05,444,0
1997-04-08,29.7,29.7,29.7,29.7,11,0
1997-04-09,32.4,32.4,29.7,29.7,189,0
1997-04-10,31.05,31.05,31.05,31.05,100,0
1997-04-11,29.7,32.4,29.7,32.4,211,0
1997-04-14,32.4,33.75,32.4,33.75,78,0
1997-04-15,33.75,33.75,33.75,33.75,0,0
1997-04-16,31.05,31.05,31.05,31.05,200,0
1997-04-17,33.75,33.75,33.75,33.75,144,0
1997-04-18,31.05,31.05,29.7,29.7,644,0
1997-04-21,29.7,29.7,29.7,29.7,111,0
1997-04-22,29.7,29.7,29.7,29.7,78,0
1997-04-23,29.7,29.7,29.7,29.7,211,0
1997-04-24,32.4,32.4,32.4,32.4,78,0
1997-04-25,32.4,32.4,31.05,31.05,111,0
1997-04-28,31.05,31.05,29.7,29.7,222,0
1997-04-29,29.7,29.7,29.7,29.7,78,0
1997-04-30,29.7,32.4,29.7,31.05,189,0
1997-05-01,31.05,31.05,29.7,29.7,133,0
1997-05-02,29.7,29.7,29.7,29.7,11,0
