Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,11.25,11.375,11.25,11.25,73100,0
1980-03-18,11.5,11.5,11.25,11.5,77500,0
1980-03-19,11.5,11.5,11.375,11.5,99900,0
1980-03-20,11.25,11.5,11.25,11.25,106700,0
1980-03-21,10.75,11.375,10.75,10.75,301500,0
1980-03-24,10.75,10.875,10.625,10.75,93000,0
1980-03-25,10.75,11.0,10.75,10.75,120700,0
1980-03-26,10.75,10.875,10.75,10.75,89200,0
1980-03-27,10.5,10.875,10.5,10.5,407800,0
1980-03-28,10.875,10.875,10.5,10.875,128100,0
1980-03-31,11.0,11.0,10.875,11.0,145300,0
1980-04-01,11.25,11.375,11.0,11.25,143600,0
1980-04-02,11.875,11.875,11.375,11.875,166900,0
1980-04-03,11.75,12.0,11.75,11.75,130800,0
1980-04-07,11.625,12.0,11.625,11.625,109600,0
1980-04-08,11.375,11.5,11.25,11.375,119900,0
1980-04-09,11.5,11.625,11.25,11.5,176900,0
1980-04-10,12.25,12.25,11.625,12.25,131400,0
1980-04-11,12.375,12.625,12.25,12.375,170100,0
1980-04-14,12.0,12.5,12.0,12.0,206600,0
1980-04-15,12.125,12.25,11.875,12.125,110600,0
1980-04-16,12.5,12.5,12.0,12.5,276300,0
1980-04-17,12.875,12.875,12.625,12.875,155500,0
1980-04-18,13.0,13.0,12.875,13.0,159500,0
1980-04-21,13.0,13.25,13.0,13.0,98200,0
1980-04-22,12.875,13.125,12.75,12.875,227200,0
1980-04-23,12.75,13.0,12.75,12.75,167300,0
1980-04-24,12.75,12.75,12.25,12.75,96800,0
1980-04-25,12.625,12.75,12.5,12.625,123100,0
1980-04-28,12.5,12.625,12.375,12.5,66400,0
1980-04-29,12.375,12.5,12.375,12.375,63200,0
1980-04-30,12.75,12.75,12.25,12.75,647200,0
1980-05-01,12.875,12.875,12.75,12.875,250600,0
1980-05-02,13.0,13.0,12.75,13.0,260800,0
1980-05-05,13.375,13.375,13.0,13.375,230400,0
1980-05-06,13.375,13.5,13.25,13.375,159500,0
1980-05-07,13.75,13.875,13.5,13.75,389300,0
1980-05-08,13.5,13.75,13.5,13.5,207300,0
1980-05-09,13.375,13.5,13.125,13.375,121400,0
1980-05-12,13.125,13.375,13.125,13.125,91700,0
1980-05-13,13.625,13.75,13.125,13.625,187400,0
1980-05-14,13.5,13.625,13.375,13.5,144200,0
1980-05-15,13.5,13.625,13.375,13.5,185000,0
1980-05-16,13.25,13.375,13.125,13.25,153800,0
1980-05-19,13.125,13.25,13.125,13.125,82300,0
1980-05-20,13.25,13.375,13.125,13.25,265900,0
1980-05-21,13.5,13.5,13.0,13.5,151900,0
1980-05-22,13.5,13.625,13.5,13.5,98700,0
1980-05-23,13.875,13.875,13.625,13.875,87300,0
1980-05-27,13.75,13.875,13.625,13.75,139300,0
1980-05-28,14.0,14.0,13.625,14.0,238300,0
1980-05-29,13.5,14.0,13.375,13.5,280100,0
1980-05-30,13.375,13.5,13.25,13.375,209300,0
1980-06-02,13.625,13.75,13.125,13.625,263600,0
1980-06-03,12.75,12.875,12.375,12.75,292100,0
1980-06-04,12.75,12.875,12.625,12.75,139300,0
1980-06-05,12.75,12.875,12.75,12.75,114500,0
1980-06-06,12.875,12.875,12.75,12.875,121000,0
1980-06-09,13.0,13.0,12.875,13.0,122800,0
1980-06-10,13.25,13.25,13.0,13.25,122000,0
1980-06-11,13.0,13.25,13.0,13.0,108800,0
1980-06-12,13.0,13.25,13.0,13.0,256200,0
1980-06-13,13.375,13.375,13.25,13.375,188300,0
1980-06-16,13.5,13.5,13.125,13.5,305800,0
1980-06-17,13.625,13.75,13.375,13.625,308200,0
1980-06-18,13.75,14.25,13.625,13.75,193900,0
1980-06-19,13.5,13.75,13.5,13.5,184400,0
1980-06-20,13.625,13.75,13.625,13.625,117700,0
1980-06-23,13.625,13.75,13.625,13.625,103300,0
1980-06-24,13.75,13.875,13.75,13.75,119200,0
1980-06-25,13.75,13.875,13.625,13.75,130600,0
1980-06-26,13.625,13.75,13.5,13.625,102300,0
1980-06-27,13.5,13.75,13.5,13.5,102500,0
1980-06-30,13.5,13.625,13.5,13.5,81800,0
1980-07-01,13.5,13.5,13.375,13.5,152300,0
1980-07-02,13.5,13.5,13.375,13.5,115300,0
1980-07-03,13.5,13.625,13.25,13.5,160500,0
1980-07-07,13.375,13.5,13.25,13.375,105700,0
1980-07-08,13.375,13.5,13.25,13.375,212400,0
1980-07-09,13.25,13.375,13.125,13.25,134900,0
1980-07-10,13.125,13.25,13.125,13.125,129200,0
1980-07-11,13.0,13.125,12.875,13.0,283200,0
1980-07-14,13.0,13.0,12.875,13.0,149400,0
1980-07-15,13.0,14.0,12.875,13.0,150500,0
1980-07-16,13.0,13.125,12.75,13.0,190100,0
1980-07-17,12.875,13.125,12.875,12.875,140100,0
1980-07-18,13.0,13.125,12.875,13.0,186000,0
1980-07-21,12.875,13.125,12.75,12.875,189600,0
1980-07-22,12.875,13.125,12.75,12.875,109300,0
1980-07-23,12.75,12.875,12.625,12.75,164000,0
1980-07-24,12.75,13.0,12.625,12.75,185600,0
1980-07-25,12.75,12.875,12.25,12.75,122900,0
1980-07-28,12.75,12.75,12.5,12.75,132300,0
1980-07-29,12.625,12.875,12.5,12.625,164500,0
1980-07-30,12.625,12.75,12.625,12.625,116700,0
1980-07-31,12.625,12.75,12.5,12.625,202700,0
1980-08-01,12.375,12.625,12.25,12.375,555800,0
1980-08-04,12.5,12.625,12.25,12.5,142700,0
1980-08-05,12.5,12.625,12.375,12.5,91900,0
1980-08-06,12.625,12.75,12.5,12.625,89200,0
1980-08-07,12.5,12.75,12.5,12.5,210000,0
1980-08-08,12.625,12.625,12.5,12.625,169200,0
1980-08-11,12.5,12.625,12.5,12.5,634700,0
1980-08-12,12.5,12.75,12.5,12.5,94100,0
1980-08-13,12.875,12.875,12.625,12.875,140100,0
1980-08-14,12.625,12.75,12.625,12.625,167200,0
1980-08-15,12.875,12.875,12.625,12.875,184300,0
