Date,Open,High,Low,Close,Volume,openinterest
2013-08-14,75.5988,76.7665,73.7126,75.2994,4010600,0
2013-08-15,74.6407,77.006,74.5509,76.3473,573700,0
2013-08-16,77.3653,78.0539,76.497,76.9461,272300,0
2013-08-19,76.9461,77.0659,73.8623,75.5988,279700,0
2013-08-20,75.4491,75.7186,75.0299,75.5988,138500,0
2013-08-21,75.2395,76.2575,75.1198,75.1497,198200,0
2013-08-22,75.1497,75.8084,75.1497,75.2994,76700,0
2013-08-23,75.1497,76.3174,75.1497,76.1976,71400,0
2013-08-26,76.3174,78.4731,75.7784,77.7545,175000,0
2013-08-27,76.0479,78.3533,75.8383,78.0539,110800,0
2013-08-28,77.8743,78.4431,77.3353,78.0838,81700,0
2013-08-29,78.0539,79.012,78.0239,78.982,176900,0
2013-08-30,79.2814,79.7006,78.1437,78.5629,313700,0
2013-09-03,76.8563,80.0599,76.7365,79.9401,148500,0
2013-09-04,80.6886,82.3353,80.4491,82.006,261500,0
2013-09-05,81.8563,81.9461,80.3293,80.8383,271500,0
2013-09-06,82.3653,82.3653,80.0299,80.5689,125500,0
2013-09-09,80.4491,81.4072,80.0,80.2395,135300,0
2013-09-10,79.9401,81.4072,79.7904,81.2575,100500,0
2013-09-11,80.7186,84.9401,80.5988,84.6707,220000,0
2013-09-12,84.8204,85.9281,83.5928,85.2994,88400,0
2013-09-13,86.1377,86.4671,85.2695,85.3593,99200,0
2013-09-16,84.491,85.1497,81.2575,82.1856,189200,0
2013-09-17,82.7844,83.8024,82.3653,83.8024,284600,0
2013-09-18,83.8323,84.7305,83.6527,84.1916,153100,0
2013-09-19,84.491,84.5808,83.2934,83.5928,86300,0
2013-09-20,83.2335,83.6527,80.0599,80.3593,315100,0
2013-09-23,81.6766,81.8862,78.5629,80.3593,451400,0
2013-09-24,80.8084,80.8084,79.3114,80.3593,210000,0
2013-09-25,80.7485,80.7784,78.3234,79.2814,216000,0
2013-09-26,79.2814,80.0299,78.8922,79.2216,218900,0
2013-09-27,78.8623,79.2814,78.0539,78.0838,260300,0
2013-09-30,78.0539,80.2395,76.3772,77.9341,997700,0
2013-10-01,78.4731,78.8024,77.7545,78.4731,209000,0
2013-10-02,79.3713,81.2275,78.6826,80.509,565200,0
2013-10-03,80.9581,86.7964,80.9581,84.4311,405200,0
2013-10-04,84.7605,89.2216,84.7305,87.6647,336400,0
2013-10-07,87.5749,88.4132,86.6766,87.9341,134400,0
2013-10-08,88.0539,88.0539,86.3174,86.5569,100100,0
2013-10-09,86.4671,87.2156,84.2515,86.6766,126200,0
2013-10-10,87.7245,89.3413,86.4072,87.485,237000,0
2013-10-11,87.1257,87.3653,85.8383,86.3772,46400,0
2013-10-14,85.6587,87.3952,85.2695,85.2695,92800,0
2013-10-15,85.2096,85.7784,83.0838,84.1916,180100,0
2013-10-16,84.9401,87.7245,84.9102,86.5269,110800,0
2013-10-17,86.7365,87.485,85.7485,87.485,169400,0
2013-10-18,87.9042,89.3713,87.6946,87.9042,151400,0
2013-10-21,87.8144,88.98200000000001,86.4072,87.3952,78200,0
2013-10-22,87.3054,87.9641,86.8862,87.1257,61700,0
2013-10-23,86.9461,86.9761,85.988,86.8263,39000,0
2013-10-24,87.0359,87.3653,85.7784,86.7964,54100,0
2013-10-25,86.4371,86.9461,85.4491,86.0778,41700,0
2013-10-28,86.3473,88.6228,86.1377,87.3353,104300,0
2013-10-29,87.6946,88.3832,86.3473,87.3653,76100,0
2013-10-30,87.8443,88.2934,85.0898,86.9162,84300,0
2013-10-31,87.1557,89.012,86.5868,86.9761,122500,0
2013-11-01,86.8563,87.2455,85.6886,86.9461,64800,0
2013-11-04,87.1257,88.2036,86.9162,87.8144,55700,0
2013-11-05,87.8144,88.1437,86.0778,87.485,46600,0
2013-11-06,87.7844,87.9042,86.6168,86.8263,84900,0
2013-11-07,87.2455,87.2755,84.2216,85.3593,79900,0
2013-11-08,85.1198,86.8263,84.7904,84.9102,99300,0
2013-11-11,85.0299,85.3593,84.1916,84.9102,129500,0
2013-11-12,85.0299,85.3892,84.1916,84.8503,85600,0
2013-11-13,84.4012,84.8204,83.5629,84.0419,139900,0
2013-11-14,85.1497,87.5449,84.7006,85.6287,318200,0
2013-11-15,86.1976,86.7665,83.5329,86.0778,142500,0
2013-11-18,86.4371,88.3234,85.5689,86.7066,84700,0
2013-11-19,86.8263,86.8263,82.3952,82.9341,408100,0
2013-11-20,83.2036,85.0299,80.8383,84.3713,135600,0
2013-11-21,84.7006,86.7365,83.8323,86.49700000000001,114700,0
2013-11-22,86.5269,87.4551,86.01799999999999,87.4251,162500,0
2013-11-25,87.1557,88.3533,86.6168,86.9461,10600,0
2013-11-26,86.7365,88.4132,86.4072,86.6467,161100,0
2013-11-27,86.6467,90.0,86.6467,89.8204,161200,0
2013-11-29,90.1497,90.988,88.5928,88.6826,32800,0
2013-12-02,88.6527,88.7126,87.3952,88.3234,309100,0
2013-12-03,88.3832,89.6108,86.7365,87.6347,137700,0
2013-12-04,87.6647,89.9102,87.3952,89.5509,108600,0
2013-12-05,89.2814,92.0359,89.1916,90.7784,99300,0
2013-12-06,91.3174,93.2036,90.988,92.7844,193700,0
2013-12-09,92.9641,97.4251,92.7245,96.5569,274800,0
2013-12-10,96.7964,96.7964,94.5808,95.6587,165100,0
2013-12-11,95.4491,95.8383,93.4431,93.5928,127300,0
2013-12-12,93.1737,94.8503,92.3353,94.1317,121400,0
2013-12-13,94.7904,98.7725,94.2216,97.1257,166600,0
2013-12-16,95.8683,99.8503,93.50299999999999,99.7305,220200,0
2013-12-17,99.6407,99.6407,96.4671,97.2455,344500,0
2013-12-18,98.8922,101.3772,97.9641,100.5389,236800,0
2013-12-19,100.509,102.1557,100.4192,102.0659,119500,0
2013-12-20,101.9461,103.5928,101.3772,103.3533,855500,0
2013-12-23,103.1138,104.9401,102.2755,104.4311,92300,0
2013-12-24,104.0419,104.1916,103.5928,104.0419,46300,0
2013-12-26,104.2216,104.9701,103.2036,103.6228,26800,0
2013-12-27,104.0419,104.6407,102.6048,103.8922,66400,0
2013-12-30,104.1018,104.6108,102.7545,104.1018,100700,0
2013-12-31,104.4311,106.4371,103.3832,106.3473,109100,0
2014-01-02,105.8084,106.1377,101.9461,102.515,121700,0
2014-01-03,103.4431,106.1377,101.0479,101.5269,313100,0
2014-01-06,102.006,106.0778,101.5569,105.6587,315500,0
2014-01-07,106.1976,106.2874,103.9521,105.6587,142300,0
2014-01-08,106.0778,106.4371,104.0419,105.1198,151200,0
2014-01-09,106.0479,106.0479,100.0599,102.515,382300,0
2014-01-10,102.9042,103.3832,99.1916,100.2994,332300,0
2014-01-13,100.4491,101.8263,96.8263,97.4551,268600,0
2014-01-14,100.2395,104.1916,97.6647,98.3234,261900,0
2014-01-15,98.1437,103.1437,98.0239,100.479,269500,0
2014-01-16,99.7904,102.9341,98.3832,102.0359,172800,0
2014-01-17,102.0958,103.1737,100.7485,103.0239,150800,0
2014-01-21,104.012,104.012,99.7305,101.8263,207200,0
2014-01-22,100.5988,100.9581,98.5329,99.6108,137500,0
2014-01-23,99.8503,99.8503,97.8743,99.1018,115000,0
2014-01-24,98.8024,99.7904,98.1138,99.1018,136100,0
2014-01-27,99.0719,100.6587,95.5689,97.6347,146800,0
2014-01-28,97.9641,99.5509,96.7964,98.4431,101200,0
2014-01-29,97.485,98.8323,96.8263,98.6527,98300,0
2014-01-30,99.7006,99.7006,97.4551,98.0838,105200,0
2014-01-31,97.3952,100.3593,97.0659,98.98200000000001,47200,0
2014-02-03,96.9461,98.3533,92.6946,94.521,294700,0
2014-02-04,94.8503,94.8503,90.2395,91.0479,292700,0
2014-02-05,90.4192,93.5928,89.4012,92.006,433400,0
2014-02-06,94.3114,99.2515,94.2515,99.1018,2585300,0
2014-02-07,98.6826,100.2994,97.7545,98.8024,321800,0
2014-02-10,98.3234,99.1018,97.3054,98.9521,211700,0
2014-02-11,98.9521,98.9521,96.8563,97.006,329900,0
2014-02-12,97.3353,101.4072,97.1557,100.8683,579700,0
2014-02-13,100.3593,101.6168,99.0719,101.2275,189200,0
2014-02-14,101.1377,102.9341,100.4192,101.7365,264300,0
2014-02-18,102.0659,103.0838,100.7784,101.7365,120300,0
2014-02-19,101.7964,102.2455,98.98200000000001,99.8503,153200,0
2014-02-20,99.5509,100.0599,98.9222,99.4012,87000,0
2014-02-21,99.4311,99.4311,97.7844,98.8623,124000,0
2014-02-24,98.8024,101.2275,98.3234,100.3593,108100,0
2014-02-25,100.2994,100.9581,98.6527,98.9521,128800,0
2014-02-26,99.2814,101.4671,98.9521,100.1796,187300,0
2014-02-27,99.7006,101.2874,99.6108,100.3593,156000,0
2014-02-28,100.5689,102.1257,99.6707,100.7784,396800,0
2014-03-03,99.7006,101.7365,99.2515,100.8084,157600,0
2014-03-04,101.8563,103.98200000000001,101.4371,102.6347,195200,0
2014-03-05,102.5749,102.6946,100.2096,100.8383,316100,0
2014-03-06,102.994,110.1796,98.6826,101.8263,502600,0
2014-03-07,101.9461,102.2156,100.2994,101.4371,209600,0
2014-03-10,101.8563,102.5449,100.0898,101.49700000000001,167400,0
2014-03-11,101.9162,102.006,100.2695,100.6287,156000,0
2014-03-12,100.0599,100.0599,97.7844,99.5509,231100,0
2014-03-13,100.8383,100.8383,96.4371,96.8563,320600,0
2014-03-14,96.1377,98.5629,95.9581,98.2934,267200,0
2014-03-17,98.50299999999999,101.3174,98.1437,101.3174,220100,0
2014-03-18,101.3174,102.515,101.3174,102.0958,126500,0
2014-03-19,101.9162,104.2216,100.479,102.994,104300,0
2014-03-20,102.6647,104.1617,101.4371,102.6048,112400,0
2014-03-21,102.7844,103.3832,100.2096,101.3772,310000,0
