Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,6.125,6.375,6.125,6.125,34400,0
1980-03-18,6.3125,6.375,6.125,6.3125,52200,0
1980-03-19,6.25,6.3125,6.25,6.25,28600,0
1980-03-20,6.1875,6.3125,6.125,6.1875,28600,0
1980-03-21,6.25,6.3125,6.1875,6.25,24700,0
1980-03-24,6.0,6.1875,6.0,6.0,72600,0
1980-03-25,6.0625,6.125,5.9375,6.0625,53900,0
1980-03-26,6.0,6.0625,6.0,6.0,51600,0
1980-03-27,6.0625,6.0625,6.0,6.0625,42400,0
1980-03-28,6.0625,6.0625,6.0,6.0625,39000,0
1980-03-31,6.125,6.125,6.0,6.125,48500,0
1980-04-01,6.1875,6.25,6.125,6.1875,41700,0
1980-04-02,6.375,6.5,6.3125,6.375,52800,0
1980-04-03,6.5,6.875,6.3125,6.5,36900,0
1980-04-07,6.5,6.5625,6.375,6.5,48600,0
1980-04-08,6.5,6.5,6.4375,6.5,33500,0
1980-04-09,6.5,6.5625,6.4375,6.5,45700,0
1980-04-10,6.75,6.75,6.5625,6.75,40000,0
1980-04-11,6.875,6.875,6.75,6.875,34800,0
1980-04-14,6.8125,6.875,6.75,6.8125,39200,0
1980-04-15,6.875,6.875,6.75,6.875,24100,0
1980-04-16,7.0,7.0625,6.875,7.0,31000,0
1980-04-17,7.125,7.1875,7.0,7.125,53000,0
1980-04-18,7.125,7.125,7.0,7.125,52200,0
1980-04-21,7.0625,7.0625,7.0,7.0625,30900,0
1980-04-22,6.9375,7.0625,6.9375,6.9375,28900,0
1980-04-23,6.9375,7.0,6.875,6.9375,40700,0
1980-04-24,6.9375,7.0625,6.875,6.9375,72700,0
1980-04-25,7.0,7.0625,6.9375,7.0,28900,0
1980-04-28,7.0,7.0625,6.9375,7.0,41000,0
1980-04-29,7.0,7.0,6.9375,7.0,24100,0
1980-04-30,7.0625,7.0625,6.9375,7.0625,23900,0
1980-05-01,7.0,7.0625,6.9375,7.0,19300,0
1980-05-02,7.0,7.0,6.9375,7.0,14800,0
1980-05-05,7.125,7.125,6.9375,7.125,48000,0
1980-05-06,7.375,7.375,7.1875,7.375,85700,0
1980-05-07,7.5625,7.5625,7.375,7.5625,38000,0
1980-05-08,7.625,7.6875,7.5,7.625,52600,0
1980-05-09,7.5,7.625,7.4375,7.5,20300,0
1980-05-12,7.625,7.625,7.5625,7.625,13700,0
1980-05-13,7.6875,7.75,7.5625,7.6875,53300,0
1980-05-14,7.8125,7.8125,7.6875,7.8125,28600,0
1980-05-15,7.75,7.875,7.6875,7.75,85900,0
1980-05-16,7.8125,7.8125,7.75,7.8125,20900,0
1980-05-19,7.5625,7.8125,7.5625,7.5625,26800,0
1980-05-20,7.625,7.6875,7.5625,7.625,45400,0
1980-05-21,7.3125,7.3125,7.1875,7.3125,66000,0
1980-05-22,7.3125,7.375,7.25,7.3125,34000,0
1980-05-23,7.375,7.4375,7.3125,7.375,90600,0
1980-05-27,7.3125,7.4375,7.25,7.3125,32200,0
1980-05-28,7.25,7.375,7.1875,7.25,19100,0
1980-05-29,7.125,7.25,7.0625,7.125,47400,0
1980-05-30,7.25,7.25,7.0625,7.25,38500,0
1980-06-02,7.1875,7.25,7.125,7.1875,29300,0
1980-06-03,7.125,7.25,7.0625,7.125,41700,0
1980-06-04,7.1875,7.25,7.125,7.1875,19700,0
1980-06-05,7.125,7.25,7.125,7.125,68400,0
1980-06-06,7.1875,7.25,7.0,7.1875,51400,0
1980-06-09,7.125,7.1875,7.0625,7.125,22800,0
1980-06-10,7.125,7.125,7.0625,7.125,38700,0
1980-06-11,7.1875,7.25,7.0625,7.1875,33300,0
1980-06-12,7.1875,7.25,7.125,7.1875,34500,0
1980-06-13,7.3125,7.8125,7.25,7.3125,61000,0
1980-06-16,7.4375,7.4375,7.25,7.4375,37400,0
1980-06-17,7.5625,7.6875,7.125,7.5625,96000,0
1980-06-18,7.5625,7.625,7.5625,7.5625,53900,0
1980-06-19,7.625,7.625,7.5625,7.625,42000,0
1980-06-20,7.5625,7.625,7.5625,7.5625,43000,0
1980-06-23,7.375,7.5625,7.3125,7.375,43500,0
1980-06-24,7.3125,7.4375,7.3125,7.3125,79500,0
1980-06-25,7.375,7.4375,7.3125,7.375,35000,0
1980-06-26,7.1875,7.4375,7.1875,7.1875,45400,0
