Date,Open,High,Low,Close,Volume,openinterest
2011-09-16,11.9,12.93,11.0,12.7,969894,0
2011-09-19,12.25,13.78,12.0,13.78,665400,0
2011-09-20,13.98,14.02,13.33,13.7,794825,0
2011-09-21,13.8,14.0,13.18,13.4,619015,0
2011-09-22,13.09,13.25,12.4,13.2,1230488,0
2011-09-23,13.4,13.4,12.02,12.25,406175,0
2011-09-26,12.39,12.67,11.39,12.67,181854,0
2011-09-27,12.75,14.34,12.75,13.37,1788004,0
2011-09-28,13.29,13.7,12.75,12.85,251689,0
2011-09-29,13.0,13.25,12.67,13.17,222290,0
2011-09-30,13.03,13.25,12.06,12.4,623140,0
2011-10-03,12.0,12.68,11.75,12.3,23632234,0
2011-10-04,12.19,13.25,11.05,12.3,6068137,0
2011-10-05,11.55,12.3,11.26,12.2,1982954,0
2011-10-06,11.9,12.98,11.9,12.76,3333556,0
2011-10-07,12.59,13.0,12.27,12.35,2049856,0
2011-10-10,12.35,12.44,11.99,12.37,1922446,0
2011-10-11,11.5,12.76,11.48,12.48,3015144,0
2011-10-12,12.46,12.8,12.38,12.6,3255075,0
2011-10-13,12.4,12.77,12.15,12.62,3575238,0
2011-10-14,12.62,13.07,12.38,13.01,1658695,0
2011-10-17,13.03,13.73,13.0,13.72,1767585,0
2011-10-18,13.8,15.25,13.78,14.48,5257331,0
2011-10-19,14.33,15.25,14.33,15.06,3400059,0
2011-10-20,14.91,15.24,14.68,14.93,1252869,0
2011-10-21,15.11,15.49,14.78,14.95,1741267,0
2011-10-24,14.92,16.4,14.92,15.8,2008793,0
2011-10-25,15.74,15.83,14.75,14.78,2284830,0
2011-10-26,14.71,15.33,14.51,14.88,856825,0
2011-10-27,14.98,15.9,14.97,15.42,1132761,0
2011-10-28,15.27,15.33,14.76,14.92,1000623,0
2011-10-31,14.7,15.26,14.46,14.53,1162112,0
2011-11-01,14.26,14.91,14.11,14.67,1174822,0
2011-11-02,14.8,15.5,14.62,15.07,1289198,0
2011-11-03,15.42,15.5,14.5,15.0,2279821,0
2011-11-04,14.77,15.06,14.72,15.0,611628,0
2011-11-07,14.88,14.98,14.66,14.79,1101910,0
2011-11-08,14.83,15.53,14.8,15.09,708763,0
2011-11-09,14.87,15.15,14.8,14.9,1301308,0
2011-11-10,14.91,15.81,14.85,15.7,801667,0
2011-11-11,15.88,16.0,15.12,15.25,476895,0
2011-11-14,15.11,15.49,14.92,15.03,325857,0
2011-11-15,14.94,15.72,14.8,15.49,569380,0
2011-11-16,15.31,15.47,14.95,15.04,703148,0
2011-11-17,14.95,15.62,14.88,15.53,699085,0
2011-11-18,15.64,15.69,15.38,15.51,449495,0
2011-11-21,15.25,15.35,14.98,15.26,706737,0
2011-11-22,15.15,15.44,15.15,15.37,428687,0
2011-11-23,15.23,15.44,15.0,15.31,501134,0
2011-11-25,15.2,15.5,15.15,15.45,95912,0
2011-11-28,15.81,16.0,15.49,15.97,507548,0
2011-11-29,15.96,16.39,15.67,16.01,461702,0
2011-11-30,16.37,16.74,16.21,16.68,2037185,0
2011-12-01,16.61,16.8,15.94,15.99,663984,0
2011-12-02,16.19,16.57,16.15,16.52,950575,0
2011-12-05,16.69,16.84,16.34,16.45,406513,0
2011-12-06,16.48,16.69,16.3,16.47,787712,0
2011-12-07,16.26,16.64,15.75,16.45,538736,0
2011-12-08,16.15,16.54,15.9501,16.41,707663,0
2011-12-09,16.39,17.09,16.32,17.01,787162,0
2011-12-12,16.87,16.94,16.16,16.32,563276,0
2011-12-13,16.33,16.48,15.68,15.78,313631,0
2011-12-14,15.68,16.05,15.4,15.98,377821,0
2011-12-15,16.12,16.53,15.7,15.91,797632,0
2011-12-16,15.92,15.97,15.33,15.59,2164401,0
2011-12-19,15.61,15.92,15.2,15.33,778042,0
2011-12-20,15.56,15.82,15.53,15.75,513464,0
2011-12-21,15.69,16.3875,15.65,16.2,775906,0
2011-12-22,16.31,16.53,16.22,16.45,1535439,0
2011-12-23,16.52,16.84,16.5,16.7,305372,0
2011-12-27,16.59,16.84,16.5206,16.65,171982,0
