Date,Open,High,Low,Close,Volume,openinterest
1980-01-02,45.0,46.625,44.375,45.0,1443,0
1980-01-03,46.0,46.0,43.625,46.0,3931,0
1980-01-04,48.75,49.25,46.125,48.75,3762,0
1980-01-07,49.25,49.75,49.0,49.25,1525,0
1980-01-08,51.0,51.0,49.0,51.0,2143,0
1980-01-09,53.375,54.875,51.5,53.375,3825,0
1980-01-10,53.875,54.75,53.0,53.875,1381,0
1980-01-11,52.5,54.5,52.5,52.5,1012,0
1980-01-14,55.5,56.0,51.75,55.5,1025,0
1980-01-15,54.25,56.25,54.25,54.25,787,0
1980-01-16,52.0,54.0,52.0,52.0,831,0
1980-01-17,52.375,52.875,51.25,52.375,1712,0
1980-01-18,54.25,54.75,52.125,54.25,2000,0
1980-01-21,54.875,55.375,54.5,54.875,918,0
1980-01-22,54.5,55.0,54.25,54.5,481,0
1980-01-23,57.0,57.0,54.5,57.0,3031,0
1980-01-24,59.0,59.75,57.75,59.0,2800,0
1980-01-25,59.375,59.5,58.5,59.375,918,0
1980-01-28,59.375,60.25,59.0,59.375,9906,0
1980-01-29,59.0,59.5,58.75,59.0,1112,0
1980-01-30,59.125,59.125,59.0,59.125,8212,0
1980-01-31,59.625,60.125,59.25,59.625,8950,0
1980-02-01,60.75,60.75,58.75,60.75,3456,0
1980-02-04,62.0,62.625,59.75,62.0,4475,0
1980-02-05,64.5,65.5,61.75,64.5,3050,0
1980-02-06,61.75,65.5,61.125,61.75,4200,0
1980-02-07,61.5,62.5,61.5,61.5,5931,0
1980-02-08,62.0,62.375,61.75,62.0,1731,0
1980-02-11,59.75,62.0,58.625,59.75,4106,0
1980-02-12,59.0,60.25,58.75,59.0,1893,0
1980-02-13,58.75,59.375,58.625,58.75,1693,0
1980-02-14,55.625,58.875,55.625,55.625,3756,0
1980-02-15,56.0,56.0,53.75,56.0,5168,0
1980-02-19,54.5,56.5,54.0,54.5,2756,0
1980-02-20,57.0,57.0,55.0,57.0,2375,0
1980-02-21,55.5,57.75,55.25,55.5,1250,0
1980-02-22,54.75,55.5,54.25,54.75,2475,0
