Date,Open,High,Low,Close,Volume,openinterest
2001-06-20,13.3691,13.6477,13.3134,13.3134,11000,0
2001-06-21,13.6477,14.2047,13.6477,14.2047,39300,0
2001-06-22,14.2047,14.2883,14.2047,14.2604,33800,0
2001-06-25,14.4275,14.7617,14.4275,14.7617,9100,0
2001-06-26,14.7617,14.7617,14.5668,14.7339,109800,0
2001-06-27,14.7339,14.8174,14.7283,14.8174,185300,0
2001-06-28,14.9289,15.3188,14.9289,15.3188,66000,0
2001-06-29,15.3466,15.652999999999999,15.3466,15.5973,71300,0
2001-07-02,15.5973,15.8201,15.5973,15.5973,69700,0
2001-07-03,15.6029,15.6864,15.6029,15.6252,56200,0
2001-07-05,15.6252,15.6252,15.5639,15.5695,61900,0
2001-07-06,15.5695,16.7114,14.9846,16.7114,3337400,0
2001-07-09,16.7114,17.4356,16.6,16.6613,1674700,0
2001-07-10,16.6613,16.717,15.9037,15.9037,1210400,0
2001-07-11,15.847999999999999,16.1599,15.809000000000001,15.8758,2426400,0
2001-07-12,15.8814,16.8228,15.8814,16.405,1294600,0
2001-07-13,16.3493,16.7225,16.1488,16.1544,709500,0
2001-07-16,16.1544,16.4942,15.887,16.0151,593900,0
2001-07-17,16.0151,16.5722,15.9928,16.483,837100,0
2001-07-18,16.444000000000003,16.7114,16.3939,16.4273,396600,0
2001-07-19,16.3995,16.4357,16.0485,16.0987,303600,0
2001-07-20,16.043,16.2379,16.043,16.1321,519000,0
2001-07-23,16.1321,16.1599,15.9315,16.1599,206100,0
2001-07-24,16.1265,16.3215,16.0095,16.1432,268600,0
2001-07-25,16.1377,16.5944,16.0151,16.4607,385200,0
2001-07-26,16.3772,16.6836,16.2546,16.6724,208500,0
2001-07-27,16.6669,17.0178,16.6557,17.0066,274600,0
2001-07-30,17.0122,17.9091,17.0122,17.6138,289200,0
2001-07-31,17.6027,18.6611,17.6027,18.3937,357300,0
2001-08-01,18.4383,19.0956,18.4383,18.9396,759800,0
2001-08-02,18.9118,19.051,18.7502,18.7781,365500,0
2001-08-03,18.6611,18.6889,18.1597,18.1876,139800,0
2001-08-06,18.2711,18.3269,17.8701,17.9035,161700,0
2001-08-07,17.9035,18.2154,17.8812,18.0762,186400,0
2001-08-08,18.104,18.1597,17.8255,18.0985,322400,0
2001-08-09,18.104,18.1597,18.0205,18.1096,169400,0
2001-08-10,18.1096,18.2433,17.8812,17.9091,328500,0
2001-08-13,17.9035,17.9035,17.8199,17.8255,396200,0
2001-08-14,18.3825,18.3825,18.0929,18.2656,269000,0
