Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,5.36205,5.443275,5.36205,5.36205,23600,0
1980-03-18,5.389125,5.4162,5.33495,5.389125,11800,0
1980-03-19,5.36205,5.389125,5.33495,5.36205,31400,0
1980-03-20,5.36205,5.389125,5.307875,5.36205,105000,0
1980-03-21,5.2808,5.389125,5.2537,5.2808,5300,0
1980-03-24,5.01,5.307875,5.01,5.01,30200,0
1980-03-25,4.8475,5.091225,4.79335,4.8475,59100,0
1980-03-26,4.820425,4.92875,4.820425,4.820425,8500,0
1980-03-27,4.7121,4.76625,4.685,4.7121,26200,0
1980-03-28,4.874575,4.955825,4.76625,4.874575,113500,0
1980-03-31,4.79335,4.874575,4.79335,4.79335,17700,0
1980-04-01,4.874575,4.874575,4.76625,4.874575,19400,0
1980-04-02,4.955825,4.955825,4.820425,4.955825,8200,0
1980-04-03,4.955825,5.01,4.92875,4.955825,55800,0
1980-04-07,4.874575,4.9829,4.874575,4.874575,46700,0
1980-04-08,4.92875,5.037075,4.874575,4.92875,40200,0
1980-04-09,5.037075,5.037075,4.955825,5.037075,6900,0
1980-04-10,5.2537,5.307875,5.1183,5.2537,11500,0
1980-04-11,5.307875,5.389125,5.2537,5.307875,11100,0
1980-04-14,5.2537,5.389125,5.19955,5.2537,48200,0
1980-04-15,5.1183,5.19955,5.1183,5.1183,9000,0
1980-04-16,5.01,5.172475,5.01,5.01,8500,0
1980-04-17,4.7121,4.9829,4.7121,4.7121,72200,0
1980-04-18,4.8475,4.8475,4.739175,4.8475,50900,0
1980-04-21,4.739175,4.820425,4.739175,4.739175,17600,0
1980-04-22,4.90165,4.90165,4.79335,4.90165,38000,0
1980-04-23,4.90165,4.92875,4.90165,4.90165,22800,0
1980-04-24,4.92875,4.92875,4.90165,4.92875,5800,0
1980-04-25,4.76625,4.874575,4.76625,4.76625,51600,0
1980-04-28,4.76625,4.820425,4.7121,4.76625,34800,0
1980-04-29,4.90165,4.90165,4.76625,4.90165,29300,0
1980-04-30,4.92875,4.92875,4.79335,4.92875,51800,0
1980-05-01,4.955825,4.9829,4.90165,4.955825,52700,0
1980-05-02,4.874575,4.92875,4.874575,4.874575,15100,0
1980-05-05,4.9829,4.9829,4.874575,4.9829,29800,0
1980-05-06,4.9829,5.06415,4.9829,4.9829,10400,0
1980-05-07,5.037075,5.091225,4.9829,5.037075,13900,0
