Date,Open,High,Low,Close,Volume,openinterest
2010-11-18,35.0,35.99,33.89,34.19,458097672,0
2010-11-19,34.15,34.5,33.11,34.26,107863195,0
2010-11-22,34.2,34.48,33.81,34.08,36657284,0
2010-11-23,33.95,33.99,33.19,33.25,31205498,0
2010-11-24,33.73,33.8,33.22,33.48,26147933,0
2010-11-26,33.41,33.81,33.21,33.8,12301247,0
2010-11-29,33.8,33.81,33.07,33.8,27779596,0
2010-11-30,33.53,34.25,33.36,34.2,57483406,0
2010-12-01,34.65,34.95,34.42,34.78,34636722,0
2010-12-02,34.92,34.98,34.51,34.68,23252038,0
2010-12-03,34.55,34.6,33.97,34.55,19397100,0
2010-12-06,34.48,34.78,34.41,34.48,11679340,0
2010-12-07,34.75,34.89,34.46,34.68,20823723,0
2010-12-08,34.61,34.73,34.33,34.45,12606033,0
2010-12-09,34.36,34.43,33.62,33.74,18411071,0
2010-12-10,33.85,33.99,33.53,33.81,11748583,0
2010-12-13,33.96,34.05,33.7,33.8,11098315,0
2010-12-14,33.73,33.92,33.45,33.89,15223980,0
2010-12-15,33.81,34.01,33.61,33.61,10183633,0
2010-12-16,33.57,33.86,33.56,33.61,9887417,0
2010-12-17,33.53,34.0,33.19,34.0,35682190,0
2010-12-20,33.91,34.05,33.74,33.76,12478176,0
2010-12-21,33.86,33.94,33.72,33.85,9012935,0
2010-12-22,33.72,34.95,33.53,34.92,20943971,0
2010-12-23,34.67,35.52,34.62,34.81,20530860,0
2010-12-27,34.41,34.89,34.19,34.6,7369560,0
2010-12-28,35.38,35.67,35.07,35.32,23504027,0
2010-12-29,35.47,36.3,35.25,36.02,20977863,0
2010-12-30,36.1,36.98,36.02,36.82,16992775,0
2010-12-31,36.84,36.96,36.57,36.86,6169578,0
2011-01-03,37.32,38.0,37.03,37.06,24887527,0
2011-01-04,37.1,37.99,36.68,37.9,32363335,0
2011-01-05,37.47,38.3,37.47,38.07,22504710,0
2011-01-06,38.24,39.48,38.07,38.9,38574796,0
2011-01-07,38.84,39.33,38.51,38.98,19903435,0
2011-01-10,39.34,39.36,38.44,38.56,18345001,0
2011-01-11,38.66,39.43,38.51,38.75,14865842,0
2011-01-12,38.95,39.37,38.37,38.62,16773869,0
2011-01-13,38.66,38.71,38.11,38.27,11366756,0
2011-01-14,38.18,38.47,38.04,38.2,5897150,0
2011-01-18,38.05,38.33,37.32,38.03,8919038,0
2011-01-19,37.78,37.9275,37.26,37.4,12667643,0
2011-01-20,37.11,37.29,36.27,37.18,15845623,0
2011-01-21,37.33,37.85,36.82,37.24,9548691,0
2011-01-24,37.71,37.8601,37.03,37.64,12202831,0
2011-01-25,37.85,38.49,37.71,38.4,12322634,0
2011-01-26,38.75,38.91,37.86,37.89,11538199,0
