Date,Open,High,Low,Close,Volume,openinterest
2002-02-13,9.625,10.06,9.525,10.05,9527000,0
2002-02-14,10.175,10.195,9.925,10.0,1400700,0
2002-02-15,10.0,10.025,9.85,9.95,1048700,0
2002-02-19,9.9,9.9,9.375,9.55,926300,0
2002-02-20,9.6,9.875,9.525,9.875,861600,0
2002-02-21,9.84,9.925,9.75,9.85,872100,0
2002-02-22,9.925,9.925,9.6,9.675,440700,0
2002-02-25,9.65,9.825,9.54,9.75,431700,0
2002-02-26,9.7,9.85,9.545,9.75,345200,0
2002-02-27,9.675,9.68,9.5,9.575,511400,0
2002-02-28,9.6,9.725,9.55,9.55,343900,0
2002-03-01,9.525,9.775,9.49,9.685,239200,0
2002-03-04,9.725,9.905,9.71,9.85,397600,0
2002-03-05,9.8,9.825,9.58,9.625,430600,0
2002-03-06,9.62,9.715,9.6,9.675,164600,0
2002-03-07,9.675,10.3,9.675,10.21,337600,0
2002-03-08,10.15,10.5,10.15,10.45,200100,0
2002-03-11,10.4,10.7,10.375,10.585,682800,0
2002-03-12,10.5,10.95,10.5,10.6,727400,0
2002-03-13,10.6,10.75,10.325,10.51,632900,0
2002-03-14,10.51,10.6,10.42,10.5,212100,0
2002-03-15,10.5,10.55,9.95,10.175,213500,0
2002-03-18,10.2,10.2,9.525,9.65,275900,0
2002-03-19,9.725,9.75,9.3,9.35,403700,0
2002-03-20,9.275,9.275,8.5,9.01,1154500,0
2002-03-21,9.01,9.625,9.01,9.375,584100,0
2002-03-22,9.375,9.795,9.255,9.65,311800,0
2002-03-25,9.75,9.905,9.59,9.86,946400,0
2002-03-26,10.0,10.05,9.89,9.99,227100,0
2002-03-27,9.99,10.5,9.95,10.3,171200,0
2002-03-28,10.25,10.3,10.05,10.1,214300,0
2002-04-01,10.025,10.025,9.5,9.525,235000,0
2002-04-02,9.5,9.5,9.175,9.32,262300,0
2002-04-03,9.325,9.4,9.22,9.3,70900,0
2002-04-04,9.275,9.525,9.275,9.475,95400,0
2002-04-05,9.475,9.7,9.245,9.245,104700,0
2002-04-08,9.3,9.3,8.885,9.15,194800,0
2002-04-09,9.1,9.6,9.1,9.475,445300,0
2002-04-10,9.45,9.525,9.375,9.46,162800,0
2002-04-11,9.455,9.455,9.25,9.25,180500,0
2002-04-12,9.325,9.325,9.03,9.125,154500,0
2002-04-15,9.1,9.285,9.095,9.28,194900,0
2002-04-16,9.375,9.6,9.375,9.5,153200,0
2002-04-17,9.625,10.125,9.625,9.905,418600,0
2002-04-18,9.905,10.075,9.87,9.905,123100,0
2002-04-19,9.905,10.175,9.905,10.135,80800,0
2002-04-22,10.075,10.075,9.905,10.0,96600,0
2002-04-23,9.975,10.125,9.75,9.775,103100,0
2002-04-24,9.76,9.805,9.7,9.705,133100,0
2002-04-25,9.705,9.705,9.585,9.7,215900,0
2002-04-26,9.65,9.79,9.625,9.625,206700,0
2002-04-29,9.575,9.575,9.4,9.45,320300,0
2002-04-30,9.375,9.65,9.35,9.525,861800,0
2002-05-01,9.65,10.25,9.65,10.25,209000,0
2002-05-02,10.2,10.495,10.2,10.415,414500,0
2002-05-03,10.4,10.405,10.28,10.4,57900,0
2002-05-06,10.395,11.295,10.395,10.875,268300,0
2002-05-07,10.825,11.0,10.725,10.75,56600,0
2002-05-08,10.85,11.25,10.85,11.2,82300,0
2002-05-09,11.25,11.6,11.25,11.425,105900,0
2002-05-10,11.5,11.715,11.0,11.03,87000,0
2002-05-13,11.035,11.035,10.425,10.75,241200,0
2002-05-14,11.0,11.2,10.4,10.4,494800,0
2002-05-15,10.35,10.5,9.925,9.925,728700,0
2002-05-16,9.925,10.35,9.925,10.3,660800,0
