Date,Open,High,Low,Close,Volume,openinterest
2010-02-11,13.0,13.25,12.4,12.84,16892087,0
2010-02-12,12.76,13.41,12.76,13.41,884000,0
2010-02-16,13.4,13.42,12.91,13.32,166887,0
2010-02-17,13.22,14.0,13.2,13.3,400367,0
2010-02-18,13.1,13.15,12.85,13.03,402287,0
2010-02-19,13.0,13.23,12.9,13.23,325529,0
2010-02-22,13.28,13.7,13.06,13.09,189849,0
2010-02-23,13.05,13.3,13.01,13.07,109977,0
2010-02-24,13.0,13.05,12.92,13.05,36705,0
2010-02-25,13.0,13.2,12.99,13.2,192512,0
2010-02-26,13.02,13.54,13.01,13.43,72055,0
2010-03-01,13.5,13.55,13.11,13.25,92135,0
2010-03-02,13.25,13.38,13.05,13.23,100382,0
2010-03-03,13.12,13.26,13.04,13.14,39686,0
2010-03-04,13.04,13.35,13.0101,13.25,53509,0
2010-03-05,13.2,13.2,13.05,13.1,43992,0
2010-03-08,13.13,13.55,13.1068,13.48,32663,0
2010-03-09,13.36,13.58,13.21,13.58,30682,0
2010-03-10,13.4,13.83,13.38,13.75,75944,0
2010-03-11,13.51,14.09,13.5,13.99,127632,0
2010-03-12,13.84,14.2,13.7,14.15,147047,0
2010-03-15,14.0,15.69,14.0,14.99,413050,0
2010-03-16,15.31,15.79,14.65,15.33,289711,0
2010-03-17,15.27,15.5,14.38,15.4,168211,0
2010-03-18,15.3,15.45,15.21,15.39,38597,0
2010-03-19,15.12,15.5,14.3,15.4,204177,0
2010-03-22,15.24,15.45,15.04,15.11,96023,0
2010-03-23,15.18,15.73,14.8,15.15,171669,0
2010-03-24,15.11,15.26,14.92,15.18,56280,0
2010-03-25,15.02,15.18,14.81,15.02,50380,0
2010-03-26,14.91,15.44,14.51,14.75,265402,0
2010-03-29,13.51,14.615,13.51,14.42,351344,0
2010-03-30,14.75,15.19,14.05,14.14,254593,0
2010-03-31,14.25,14.39,13.82,14.01,1530568,0
2010-04-01,14.05,14.37,13.945,14.3,200245,0
2010-04-05,14.42,14.5399,14.32,14.4,98597,0
2010-04-06,14.25,14.82,14.15,14.79,72668,0
2010-04-07,14.7,14.91,14.55,14.9,66268,0
2010-04-08,14.9,15.4,14.77,15.38,62999,0
2010-04-09,15.25,15.38,15.2,15.31,95902,0
2010-04-12,15.35,15.54,15.2,15.24,91529,0
2010-04-13,15.16,15.41,14.84,15.22,81930,0
2010-04-14,15.35,15.5,15.1,15.23,131917,0
2010-04-15,15.33,15.42,15.2,15.3,220566,0
2010-04-16,15.33,15.54,15.21,15.29,84069,0
2010-04-19,15.27,15.42,14.97,15.25,46942,0
2010-04-20,15.27,15.27,15.06,15.19,91857,0
2010-04-21,15.21,15.42,15.15,15.31,46621,0
2010-04-22,15.27,15.41,15.17,15.4,84165,0
2010-04-23,15.36,15.36,15.19,15.35,59744,0
2010-04-26,15.29,15.33,15.15,15.23,126877,0
2010-04-27,15.21,15.28,15.1,15.21,56493,0
2010-04-28,15.23,15.29,15.0,15.21,84724,0
2010-04-29,15.28,15.29,15.0,15.25,54017,0
2010-04-30,15.18,15.45,15.03,15.09,92739,0
2010-05-03,15.09,15.2,14.96,15.18,72513,0
2010-05-04,15.15,15.15,14.58,14.81,99794,0
2010-05-05,14.81,14.89,14.57,14.69,114929,0
2010-05-06,14.65,14.99,13.6,14.1,94557,0
2010-05-07,14.0,14.0,13.41,13.52,153529,0
2010-05-10,13.75,13.93,13.29,13.64,157619,0
2010-05-11,13.53,14.25,13.49,14.12,60704,0
2010-05-12,14.18,14.23,13.87,14.12,91894,0
2010-05-13,13.95,14.1,13.7,13.77,516910,0
2010-05-14,13.71,13.83,13.41,13.48,81197,0
2010-05-17,13.56,13.57,13.01,13.11,107902,0
2010-05-18,13.32,13.32,12.81,12.91,311795,0
2010-05-19,12.81,13.1,12.46,12.98,131310,0
2010-05-20,12.82,12.82,12.03,12.04,81596,0
2010-05-21,11.93,11.99,11.67,11.82,137128,0
2010-05-24,11.8,11.8,11.29,11.29,217431,0
2010-05-25,11.12,11.12,10.57,10.85,190830,0
2010-05-26,10.9,10.95,10.74,10.88,148119,0
2010-05-27,11.01,11.09,10.85,11.01,103189,0
2010-05-28,10.99,11.07,10.93,10.99,215502,0
2010-06-01,10.94,11.01,10.64,10.65,58495,0
2010-06-02,10.75,11.95,10.6,11.93,114535,0
2010-06-03,11.81,13.0,11.81,12.97,50059,0
2010-06-04,12.67,13.04,12.34,12.43,142052,0
2010-06-07,12.53,12.73,12.3001,12.5,76383,0
2010-06-08,12.5,12.83,12.3,12.77,48162,0
2010-06-09,12.82,13.15,12.49,12.59,68500,0
2010-06-10,12.66,12.98,12.54,12.84,62861,0
2010-06-11,12.765,13.15,12.71,13.12,59339,0
2010-06-14,13.19,13.66,13.15,13.4,116460,0
2010-06-15,13.43,13.99,13.34,13.85,225301,0
2010-06-16,13.78,13.89,13.5,13.54,65683,0
2010-06-17,13.66,13.78,13.42,13.67,39504,0
2010-06-18,13.65,13.96,13.48,13.8,238217,0
2010-06-21,13.9,14.41,13.82,13.91,95927,0
2010-06-22,14.03,14.16,13.76,13.82,56753,0
2010-06-23,13.81,13.96,13.71,13.83,54093,0
2010-06-24,13.75,14.21,13.74,13.87,79603,0
2010-06-25,13.98,15.38,13.82,15.15,754185,0
2010-06-28,15.03,15.33,15.0,15.21,139273,0
2010-06-29,14.99,15.35,14.8,14.9,86210,0
2010-06-30,14.91,14.91,13.97,14.01,98793,0
2010-07-01,13.98,14.4,13.51,14.28,66665,0
2010-07-02,14.36,14.4,14.07,14.27,33450,0
2010-07-06,14.44,14.48,13.61,13.78,89965,0
2010-07-07,13.88,14.6,13.8,14.59,114430,0
2010-07-08,14.62,15.15,14.62,14.94,76432,0
2010-07-09,14.9,15.01,14.75,15.01,38342,0
2010-07-12,14.97,14.97,14.46,14.71,54181,0
2010-07-13,14.92,14.92,14.55,14.79,83301,0
2010-07-14,14.71,14.82,14.56,14.8,30705,0
2010-07-15,14.82,14.82,14.42,14.7,25248,0
2010-07-16,14.6,14.66,14.28,14.38,98911,0
2010-07-19,14.45,14.59,14.13,14.33,70597,0
2010-07-20,14.13,14.66,14.09,14.6,71684,0
2010-07-21,14.73,14.8108,14.32,14.42,38083,0
2010-07-22,14.57,14.97,14.45,14.92,57426,0
2010-07-23,14.81,15.16,14.77,15.07,53907,0
2010-07-26,15.19,15.42,14.9,15.06,43308,0
2010-07-27,15.21,15.25,14.96,14.99,38365,0
2010-07-28,14.93,15.11,14.53,14.55,22505,0
2010-07-29,14.67,14.75,14.05,14.72,47496,0
2010-07-30,14.64,14.81,14.35,14.77,73330,0
2010-08-02,15.17,15.17,14.83,15.07,187938,0
2010-08-03,15.05,15.31,14.97,15.03,77469,0
2010-08-04,15.07,15.35,15.01,15.08,42525,0
2010-08-05,14.98,15.07,14.8,14.89,30909,0
2010-08-06,14.7,14.84,14.19,14.47,38354,0
2010-08-09,14.57,14.67,14.36,14.4,36243,0
2010-08-10,14.2,14.36,13.83,13.87,21739,0
2010-08-11,13.59,13.59,13.05,13.11,81481,0
2010-08-12,12.86,13.09,12.805,13.01,36150,0
2010-08-13,13.0,13.14,12.56,12.76,66674,0
2010-08-16,12.65,13.29,12.65,13.29,26010,0
2010-08-17,13.45,13.585,13.2,13.44,55253,0
2010-08-18,13.38,13.38,12.94,12.99,48983,0
2010-08-19,12.9,13.03,12.32,12.41,92145,0
2010-08-20,12.31,12.59,12.08,12.58,66955,0
2010-08-23,12.65,12.97,12.19,12.25,140447,0
2010-08-24,12.09,12.24,11.7,12.15,51976,0
2010-08-25,12.08,12.24,11.91,12.13,78169,0
2010-08-26,12.15,12.3,12.0,12.0,34357,0
2010-08-27,12.12,12.51,12.06,12.51,31737,0
2010-08-30,12.43,12.515,11.96,11.99,61289,0
2010-08-31,12.07,12.28,11.94,12.12,43253,0
2010-09-01,12.3,12.88,12.3,12.88,45783,0
2010-09-02,12.82,13.02,12.76,13.02,42939,0
2010-09-03,13.19,13.27,12.86,13.09,49546,0
2010-09-07,13.07,13.25,13.02,13.23,55587,0
2010-09-08,13.23,13.7,13.23,13.66,48039,0
2010-09-09,13.74,13.75,13.36,13.74,39826,0
2010-09-10,13.75,13.83,13.33,13.36,38044,0
2010-09-13,13.46,14.21,13.33,14.04,115110,0
2010-09-14,14.05,14.14,13.74,13.87,118696,0
2010-09-15,13.77,13.97,13.19,13.36,67905,0
2010-09-16,13.3,13.4,12.87,13.29,38089,0
2010-09-17,13.48,13.66,13.15,13.15,141304,0
2010-09-20,13.33,13.33,12.99,13.26,58416,0
2010-09-21,13.21,13.31,12.94,12.99,83305,0
2010-09-22,12.96,12.98,12.33,12.39,42869,0
2010-09-23,12.31,12.84,12.18,12.29,38779,0
2010-09-24,12.48,13.33,12.48,13.25,71675,0
2010-09-27,13.26,13.31,12.95,13.2,77322,0
2010-09-28,13.27,13.32,12.75,13.01,137331,0
2010-09-29,12.93,13.7,12.93,13.61,36914,0
2010-09-30,13.74,13.89,13.53,13.64,44881,0
2010-10-01,13.78,14.04,13.53,14.03,106940,0
2010-10-04,14.13,14.1967,13.96,14.0,22926,0
2010-10-05,14.2,14.3,14.09,14.27,78620,0
2010-10-06,14.16,14.65,14.15,14.54,51752,0
2010-10-07,14.5,14.64,13.8701,13.91,46298,0
2010-10-08,13.87,14.2,13.8175,14.12,38708,0
2010-10-11,14.15,14.74,14.06,14.51,16356,0
2010-10-12,14.51,14.51,14.31,14.36,22677,0
2010-10-13,14.57,14.57,14.11,14.29,51817,0
2010-10-14,14.33,14.33,13.8,13.88,26693,0
2010-10-15,14.06,14.2,13.44,13.5,81026,0
2010-10-18,13.5,13.78,13.5,13.76,29280,0
2010-10-19,13.55,13.83,13.5,13.71,52467,0
2010-10-20,13.84,13.945,13.6975,13.85,35309,0
2010-10-21,13.96,13.96,13.54,13.78,48097,0
2010-10-22,13.79,13.88,13.58,13.76,25513,0
2010-10-25,13.8,13.92,13.65,13.9,42245,0
2010-10-26,13.87,14.01,13.71,13.8,43798,0
2010-10-27,13.75,13.9,13.08,13.69,58959,0
2010-10-28,13.76,13.83,13.37,13.48,74479,0
2010-10-29,13.41,13.66,12.87,13.53,59251,0
2010-11-01,13.54,13.54,12.97,13.04,77556,0
2010-11-02,13.1,13.22,13.05,13.11,55192,0
2010-11-03,13.08,13.16,12.99,13.12,14397,0
2010-11-04,13.6,14.34,13.6,14.0,131196,0
2010-11-05,14.07,14.3,13.75,14.04,117805,0
2010-11-08,14.0,14.25,13.89,14.24,50209,0
2010-11-09,14.21,14.21,13.86,13.92,31804,0
2010-11-10,14.02,14.29,13.97,13.98,39862,0
2010-11-11,13.84,14.42,13.83,14.25,133616,0
2010-11-12,14.21,14.25,14.15,14.22,90130,0
2010-11-15,14.25,14.78,14.21,14.74,249816,0
2010-11-16,14.67,14.81,14.48,14.69,63761,0
2010-11-17,14.69,14.71,14.25,14.51,239322,0
2010-11-18,14.63,15.0,14.49,14.58,59061,0
2010-11-19,14.56,15.04,14.54,14.98,116363,0
2010-11-22,14.91,15.32,14.8,15.28,80224,0
2010-11-23,15.13,15.5699,15.09,15.29,255417,0
2010-11-24,15.35,15.9,15.23,15.77,128712,0
2010-11-26,15.73,15.75,15.58,15.75,37433,0
2010-11-29,15.6,15.84,15.58,15.76,100033,0
2010-11-30,15.6,15.87,14.54,14.86,891728,0
2010-12-01,15.11,15.86,14.91,15.73,158314,0
2010-12-02,15.7,15.97,15.66,15.86,73281,0
2010-12-03,15.8,15.91,15.68,15.85,82010,0
2010-12-06,15.81,15.87,15.68,15.84,54132,0
2010-12-07,16.0,16.0,15.76,15.8,61909,0
2010-12-08,15.86,15.975,15.8,15.85,81915,0
2010-12-09,15.98,15.98,15.75,15.88,50377,0
2010-12-10,15.95,15.95,15.73,15.87,185714,0
2010-12-13,15.93,16.02,15.7,15.75,102501,0
2010-12-14,15.75,15.88,15.69,15.82,88075,0
2010-12-15,15.76,15.94,15.76,15.82,99276,0
2010-12-16,15.85,15.92,15.76,15.89,128631,0
2010-12-17,15.92,16.12,15.81,16.11,237823,0
2010-12-20,16.15,16.399,15.88,16.18,197536,0
2010-12-21,16.27,16.54,16.17,16.42,108836,0
2010-12-22,16.5,16.84,16.4523,16.51,46743,0
2010-12-23,16.51,16.52,16.28,16.33,95728,0
2010-12-27,16.29,16.46,16.29,16.33,42804,0
2010-12-28,16.35,16.38,16.25,16.29,34688,0
2010-12-29,16.35,16.35,16.25,16.25,23768,0
2010-12-30,16.27,16.27,16.02,16.14,62491,0
2010-12-31,16.14,16.32,16.06,16.17,55198,0
2011-01-03,16.34,16.425,16.09,16.13,35425,0
2011-01-04,16.2,16.37,15.9401,16.0,60958,0
2011-01-05,15.94,16.28,15.94,16.18,78118,0
2011-01-06,16.16,16.4,16.15,16.39,68791,0
2011-01-07,16.46,16.69,16.35,16.5,37026,0
2011-01-10,16.41,16.73,16.3001,16.71,51959,0
2011-01-11,16.79,17.12,16.75,16.84,32345,0
2011-01-12,16.96,16.96,16.57,16.73,32266,0
2011-01-13,16.76,16.9,16.5601,16.89,33066,0
