Date,Open,High,Low,Close,Volume,openinterest
1998-03-24,14.6471,14.6471,14.3462,14.4967,107100,0
1998-03-25,14.7475,14.8478,14.4465,14.597000000000001,495200,0
1998-03-26,14.597000000000001,14.6471,14.4465,14.5468,257300,0
1998-03-27,14.6471,14.7475,14.4967,14.6973,162200,0
1998-03-30,14.7475,14.9481,14.7475,14.8979,182700,0
1998-03-31,14.9983,15.2491,14.9481,15.1487,340500,0
1998-04-01,15.2491,16.1018,15.1487,16.0517,746500,0
1998-04-02,16.5533,17.2555,16.3526,17.2555,1558000,0
1998-04-03,17.2054,17.406,16.9546,17.2555,896100,0
1998-04-06,17.3559,17.406,16.6536,16.8542,378800,0
1998-04-07,16.8041,16.8041,16.1018,16.2021,312400,0
1998-04-08,16.3526,16.3526,15.8009,15.9012,430500,0
1998-04-09,16.0517,16.3526,15.9513,16.1018,288700,0
1998-04-13,16.2021,16.453,15.850999999999999,16.3025,568300,0
1998-04-14,16.3526,16.5533,16.152,16.5031,691300,0
1998-04-15,16.6034,17.0549,16.453,16.7539,642900,0
1998-04-16,16.7539,17.2555,16.6034,16.6536,1448600,0
1998-04-17,16.5031,16.5031,16.2523,16.3025,1092700,0
1998-04-20,16.3526,16.453,16.152,16.3526,708000,0
1998-04-21,16.3526,16.6536,16.152,16.6536,751900,0
1998-04-22,16.453,17.0549,16.453,16.9546,1067800,0
1998-04-23,16.8542,17.0047,16.3025,16.4028,798000,0
1998-04-24,16.453,16.453,15.9513,16.152,583500,0
1998-04-27,15.9513,16.0517,15.3494,15.5501,407000,0
1998-04-28,15.5501,15.850999999999999,15.4497,15.8009,714800,0
1998-04-29,15.8009,16.2021,15.8009,16.152,344600,0
1998-04-30,16.2523,16.3526,16.2021,16.3025,241500,0
1998-05-01,16.152,16.453,16.0015,16.3526,368400,0
1998-05-04,16.3526,16.4028,16.1018,16.152,400900,0
1998-05-05,16.0517,16.6536,16.0517,16.4028,572100,0
1998-05-06,16.2523,16.453,16.0517,16.2021,2966700,0
1998-05-07,16.2523,16.2523,16.0517,16.0517,1927600,0
1998-05-08,16.152,16.2021,16.0015,16.0015,676500,0
1998-05-11,16.0517,16.0517,15.850999999999999,15.850999999999999,339800,0
1998-05-12,15.9012,16.0015,15.8009,15.9012,2912700,0
1998-05-13,15.9012,16.0015,15.6504,15.8009,1491500,0
1998-05-14,15.8009,15.850999999999999,15.7005,15.8009,390400,0
1998-05-15,15.7507,15.8009,15.0986,15.1989,407800,0
1998-05-18,15.1989,15.1989,14.9481,15.0484,958400,0
1998-05-19,15.0484,15.3996,15.0484,15.2491,1360500,0
1998-05-20,15.2491,15.2992,15.1989,15.2491,1212200,0
1998-05-21,15.2992,15.2992,14.8979,14.9481,358000,0
1998-05-22,15.1487,15.3494,15.1487,15.2491,420500,0
1998-05-26,15.2491,15.2491,15.0986,15.0986,477200,0
1998-05-27,14.9983,14.9983,14.7475,14.9481,332100,0
1998-05-28,15.0484,15.0986,14.9983,14.9983,700200,0
1998-05-29,15.0484,15.0484,14.8979,14.8979,179400,0
1998-06-01,14.8478,14.8478,14.3462,14.3963,254800,0
1998-06-02,14.3963,14.597000000000001,14.1455,14.4967,536900,0
1998-06-03,14.4967,14.597000000000001,14.4465,14.5468,136600,0
1998-06-04,14.4465,14.597000000000001,14.3963,14.4465,146500,0
1998-06-05,14.4465,14.6471,14.4465,14.6471,262500,0
1998-06-08,14.7475,14.7475,14.3462,14.3963,81400,0
1998-06-09,14.4465,14.7976,14.296,14.3462,169400,0
1998-06-10,14.4465,14.7475,14.3462,14.4465,435900,0
1998-06-11,14.3963,14.3963,13.9449,13.9449,810600,0
1998-06-12,13.995,14.0452,13.5938,13.5938,685800,0
1998-06-15,13.4934,13.5436,13.2928,13.2928,328500,0
1998-06-16,13.4934,13.5938,13.2426,13.5938,423900,0
1998-06-17,13.6439,13.6941,13.1925,13.2426,499200,0
1998-06-18,13.0921,13.1423,12.6908,12.8915,935200,0
1998-06-19,12.8413,12.9416,12.6407,12.8915,616200,0
1998-06-22,12.8413,13.042,12.741,12.9918,541900,0
1998-06-23,12.9918,13.1925,12.9416,13.1925,738600,0
1998-06-24,13.1925,13.2426,13.0921,13.2426,509800,0
1998-06-25,13.1423,13.3429,13.1423,13.2928,212000,0
1998-06-26,13.2426,13.3429,13.2175,13.2928,233200,0
1998-06-29,13.3931,13.5938,13.2426,13.5436,309000,0
1998-06-30,13.5938,13.7944,13.4433,13.6941,354400,0
1998-07-01,13.7442,13.9449,13.7442,13.8947,268800,0
1998-07-02,13.8947,13.8947,13.6439,13.6439,233500,0
1998-07-06,13.4433,13.6941,13.2426,13.6941,397500,0
1998-07-07,13.6439,13.9449,13.2426,13.7442,1047800,0
1998-07-08,13.7944,13.7944,13.4433,13.6439,380400,0
1998-07-09,13.6439,13.7944,13.5436,13.6439,334400,0
1998-07-10,13.6439,13.8947,13.6439,13.7944,178700,0
1998-07-13,13.7442,14.2459,13.6439,14.0954,326000,0
1998-07-14,14.0954,14.0954,13.9449,14.0452,329400,0
1998-07-15,14.0954,14.7475,14.0954,14.4465,460400,0
1998-07-16,14.4465,14.4465,13.995,13.995,268900,0
1998-07-17,14.0452,14.0452,13.5436,13.5938,99600,0
1998-07-20,13.3931,13.7442,13.1423,13.6941,336900,0
1998-07-21,13.6941,13.995,13.6941,13.8947,128800,0
1998-07-22,13.8947,14.0452,13.7442,13.995,69200,0
1998-07-23,14.0954,14.0954,13.7442,13.8947,164200,0
1998-07-24,13.8947,14.3963,13.7944,14.2459,233900,0
1998-07-27,14.0452,14.0954,13.8446,14.0954,114200,0
1998-07-28,13.995,14.5468,13.995,14.5468,289800,0
1998-07-29,14.2459,14.5468,13.995,13.995,198100,0
1998-07-30,14.3462,14.4967,13.7442,13.8446,539100,0
1998-07-31,13.9449,13.995,13.3429,13.3931,240700,0
1998-08-03,13.4433,13.7442,13.3931,13.4433,263600,0
1998-08-04,13.6439,13.6941,13.3429,13.4934,481600,0
1998-08-05,13.4433,13.5938,13.1925,13.4433,285000,0
1998-08-06,13.3429,13.4433,12.9416,13.1925,551600,0
1998-08-07,13.0921,13.4433,13.0921,13.3429,317300,0
1998-08-10,13.3429,13.3429,13.1925,13.1925,160100,0
1998-08-11,12.9416,13.0921,12.6908,12.9918,451400,0
1998-08-12,12.9918,13.4433,12.9918,13.2928,338900,0
1998-08-13,13.3429,13.3931,13.042,13.3931,257400,0
1998-08-14,13.0921,13.2426,13.042,13.042,131200,0
1998-08-17,13.042,13.4934,13.042,13.2928,90600,0
1998-08-18,13.2426,13.2928,13.1172,13.1925,186900,0
1998-08-19,13.1925,13.3931,13.0921,13.1423,236200,0
1998-08-20,13.042,13.3931,12.9918,13.1423,97100,0
1998-08-21,12.8413,12.9416,12.1391,12.2394,428400,0
1998-08-24,12.2394,12.3899,11.9886,11.9886,317100,0
1998-08-25,12.0889,12.2645,12.0388,12.0889,536600,0
1998-08-26,11.9384,12.0388,11.5371,11.7378,524700,0
1998-08-27,11.487,11.6876,11.0355,11.1358,305900,0
1998-08-28,11.186,11.2362,10.6342,10.6844,296800,0
1998-08-31,10.7346,11.5371,10.2329,10.3333,328400,0
1998-09-01,10.3834,10.3834,9.4304,9.9821,838300,0
1998-09-02,10.1828,10.7346,10.1326,10.4336,302800,0
1998-09-03,10.3333,10.5841,10.0824,10.4336,288100,0
1998-09-04,10.3834,10.4837,10.1326,10.2831,404000,0
1998-09-08,10.3834,10.5841,10.3333,10.5339,183600,0
1998-09-09,10.5339,10.5841,10.2831,10.5339,371300,0
1998-09-10,10.2329,10.3333,9.932,10.0824,229100,0
1998-09-11,10.0323,10.3834,10.0323,10.3333,90100,0
1998-09-14,10.3834,10.5339,10.3333,10.4837,359500,0
1998-09-15,10.4336,10.4837,10.3834,10.4837,353600,0
1998-09-16,10.4837,10.885,10.4336,10.885,369100,0
1998-09-17,10.5339,10.7346,10.4336,10.7346,256800,0
1998-09-18,10.6844,10.7847,10.6342,10.6844,142000,0
1998-09-21,10.4837,10.6342,10.4336,10.4837,394700,0
1998-09-22,10.4336,10.5841,10.3834,10.4336,140300,0
1998-09-23,10.4336,10.4336,9.631,9.7815,934800,0
1998-09-24,9.7815,10.2831,9.7815,10.0323,163800,0
1998-09-25,10.0824,10.4336,9.9821,10.4336,1142200,0
1998-09-28,10.4336,10.4336,9.8316,9.932,175100,0
1998-09-29,9.932,10.3333,9.932,10.2329,983300,0
1998-09-30,10.2831,10.2831,9.8316,9.9821,328500,0
1998-10-01,9.932,10.1326,9.6812,9.932,237000,0
1998-10-02,10.0323,10.1828,9.9821,10.0824,108200,0
1998-10-05,10.0323,10.2329,9.631,9.7313,162200,0
1998-10-06,10.1326,10.1326,9.1795,9.631,1485400,0
1998-10-07,9.5808,9.631,9.0291,9.2297,273500,0
