Date,Open,High,Low,Close,Volume,openinterest
1999-05-04,76.0,77.25,70.0,70.375,22320900,0
1999-05-05,69.875,69.875,66.25,69.125,7565700,0
1999-05-06,68.0,69.375,67.0625,67.9375,2905700,0
1999-05-07,67.9375,74.875,66.75,74.125,4862300,0
1999-05-10,73.375,73.5,70.25,70.6875,2589400,0
1999-05-11,70.0,71.1875,69.5,70.625,1839800,0
1999-05-12,71.0,74.875,69.125,73.5,2659300,0
1999-05-13,73.25,75.25,72.5,73.1875,1142900,0
1999-05-14,71.25,72.25,69.0625,70.1875,2058400,0
1999-05-17,69.125,70.25,68.0,68.625,2075000,0
1999-05-18,68.25,70.4375,68.125,68.625,1407100,0
1999-05-19,69.375,69.8125,68.75,69.3125,727400,0
1999-05-20,69.5625,70.125,68.375,68.375,520800,0
1999-05-21,68.125,68.8125,67.5,67.5,930400,0
1999-05-24,67.0,67.25,65.0,65.3125,1493000,0
1999-05-25,64.125,65.9375,64.0,64.5,1662400,0
1999-05-26,65.625,66.625,63.0625,66.0625,1602900,0
1999-05-27,65.0,67.75,64.6875,67.75,1220500,0
1999-05-28,67.75,68.8125,67.0,67.9375,901900,0
1999-06-01,66.625,66.625,63.5625,64.1875,953900,0
1999-06-02,63.75,64.0625,62.0,63.25,2204300,0
1999-06-03,64.0,64.1875,63.125,63.625,852600,0
1999-06-04,64.3125,67.0,64.3125,65.375,1357400,0
1999-06-07,65.1875,67.75,65.1875,65.9375,891900,0
1999-06-08,65.375,65.6875,63.75,63.75,571700,0
1999-06-09,64.25,65.5,63.625,65.5,611400,0
1999-06-10,64.875,64.9375,63.3125,63.375,664200,0
1999-06-11,63.9375,64.3125,62.3125,63.25,969300,0
1999-06-14,63.5,64.0,60.5,61.25,821100,0
1999-06-15,62.875,63.375,62.25,62.75,831700,0
1999-06-16,63.9375,65.4375,63.9375,65.25,690300,0
1999-06-17,64.5,66.875,64.5,65.0,955700,0
1999-06-18,64.25,64.875,63.5,64.8125,613900,0
1999-06-21,66.6875,69.9375,66.5625,69.5,1811000,0
1999-06-22,70.125,70.125,67.75,68.0,1165900,0
1999-06-23,67.0625,67.4375,64.875,65.0,1351700,0
1999-06-24,66.0625,66.5,64.5,65.0625,1408900,0
1999-06-25,65.5,66.8125,65.375,66.25,1111500,0
1999-06-28,66.4375,67.5,65.75,66.5625,784600,0
1999-06-29,66.0,68.5,66.0,67.75,629800,0
1999-06-30,68.5,72.25,66.125,72.25,2127600,0
1999-07-01,71.375,71.4375,69.75,70.8125,813600,0
1999-07-02,70.5625,71.1875,69.6875,70.9375,536900,0
1999-07-06,70.0,71.1875,69.25,70.5,747600,0
1999-07-07,69.5625,70.0,68.0,68.0,648800,0
1999-07-08,68.0,68.875,67.1875,67.25,424400,0
1999-07-09,67.4375,68.1875,67.25,67.25,311800,0
1999-07-12,68.0,68.9375,67.875,68.375,547700,0
1999-07-13,68.25,68.6875,67.625,67.875,969600,0
1999-07-14,67.375,67.75,67.3125,67.625,888200,0
1999-07-15,68.0,68.0,67.5,67.9375,864700,0
1999-07-16,67.75,68.75,67.75,68.0625,476700,0
1999-07-19,68.25,70.75,68.25,69.4375,646100,0
1999-07-20,69.125,70.4375,67.875,68.125,886100,0
1999-07-21,68.0,68.0625,67.125,67.875,626100,0
1999-07-22,68.125,68.25,66.5,66.5,584500,0
1999-07-23,66.375,66.375,64.0,64.0625,767200,0
1999-07-26,64.25,64.75,63.1875,63.25,749500,0
