Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,5.625,5.625,5.5,5.625,105300,0
1980-03-18,5.75,5.75,5.625,5.75,146700,0
1980-03-19,5.6875,5.8125,5.6875,5.6875,50400,0
1980-03-20,5.625,5.6875,5.625,5.625,48900,0
1980-03-21,5.6875,5.6875,5.625,5.6875,58900,0
1980-03-24,5.6875,5.6875,5.625,5.6875,64900,0
1980-03-25,5.6875,5.6875,5.625,5.6875,36800,0
1980-03-26,5.625,5.875,5.625,5.625,33300,0
1980-03-27,5.625,5.625,5.5,5.625,39400,0
1980-03-28,5.625,5.6875,5.5625,5.625,70400,0
1980-03-31,5.875,5.875,5.8125,5.875,65800,0
1980-04-01,5.9375,5.9375,5.8125,5.9375,33000,0
1980-04-02,5.9375,5.9375,5.875,5.9375,185600,0
1980-04-03,5.9375,5.9375,5.875,5.9375,56300,0
1980-04-07,5.9375,5.9375,5.9375,5.9375,40700,0
1980-04-08,5.875,5.9375,5.8125,5.875,83100,0
1980-04-09,5.9375,5.9375,5.8125,5.9375,64700,0
1980-04-10,5.9375,5.9375,5.875,5.9375,67900,0
1980-04-11,6.0,6.0625,5.9375,6.0,91000,0
1980-04-14,6.0,6.0,5.9375,6.0,46800,0
1980-04-15,5.9375,6.0,5.875,5.9375,61000,0
1980-04-16,5.875,6.0,5.875,5.875,59000,0
1980-04-17,5.875,5.9375,5.875,5.875,40500,0
1980-04-18,5.9375,5.9375,5.8125,5.9375,74100,0
1980-04-21,5.8125,5.9375,5.8125,5.8125,233500,0
1980-04-22,6.0625,6.0625,5.8125,6.0625,76800,0
1980-04-23,6.0,6.0625,5.875,6.0,50800,0
1980-04-24,5.9375,6.0,5.9375,5.9375,43000,0
1980-04-25,5.8125,5.875,5.75,5.8125,93100,0
1980-04-28,5.9375,6.0,5.8125,5.9375,51800,0
1980-04-29,5.875,6.0,5.875,5.875,34300,0
1980-04-30,6.0,6.0,5.9375,6.0,25400,0
1980-05-01,6.0,6.0625,5.9375,6.0,195300,0
1980-05-02,5.9375,5.9375,5.875,5.9375,24600,0
1980-05-05,5.9375,5.9375,5.875,5.9375,38100,0
1980-05-06,5.9375,5.9375,5.875,5.9375,66400,0
1980-05-07,6.0625,6.0625,5.875,6.0625,90300,0
1980-05-08,6.1875,6.25,6.0,6.1875,62500,0
1980-05-09,6.0,6.25,5.9375,6.0,82500,0
1980-05-12,5.8125,5.875,5.75,5.8125,51200,0
1980-05-13,5.875,5.875,5.75,5.875,85900,0
1980-05-14,5.9375,5.9375,5.875,5.9375,104600,0
1980-05-15,5.9375,5.9375,5.8125,5.9375,117000,0
1980-05-16,6.0,6.0625,5.875,6.0,49400,0
1980-05-19,6.0,6.0,5.9375,6.0,46200,0
1980-05-20,6.0,6.0,5.875,6.0,37300,0
1980-05-21,5.9375,6.0,5.9375,5.9375,40800,0
1980-05-22,6.0625,6.0625,5.9375,6.0625,60600,0
1980-05-23,6.125,6.1875,6.0625,6.125,49500,0
1980-05-27,6.375,6.375,6.125,6.375,159300,0
1980-05-28,6.625,6.625,6.375,6.625,205700,0
1980-05-29,6.375,6.625,6.375,6.375,108300,0
1980-05-30,6.375,6.5,6.3125,6.375,86400,0
1980-06-02,6.5,6.5,6.4375,6.5,30900,0
1980-06-03,6.4375,6.5,6.375,6.4375,90400,0
1980-06-04,6.5625,6.5625,6.4375,6.5625,59000,0
1980-06-05,6.5625,6.625,6.5,6.5625,42200,0
1980-06-06,6.5,6.5625,6.4375,6.5,41300,0
