Date,Open,High,Low,Close,Volume,openinterest
2013-01-17,12952.0,12952.0,12322.4004,12952.0,171683,0
2013-01-18,12952.0,13761.5,12952.0,13761.5,48107,0
2013-01-22,14301.2002,14301.2002,13311.7998,13311.7998,65985,0
2013-01-23,13311.7998,13311.7998,12592.2002,12952.0,40280,0
2013-01-24,12862.0996,13311.7998,12682.2002,13311.7998,41436,0
2013-01-25,13491.7002,13491.7002,13042.0,13491.7002,40847,0
2013-01-28,13491.7002,13491.7002,13221.7998,13491.7002,89310,0
2013-01-29,13581.5996,13581.5996,13491.7002,13491.7002,26227,0
2013-01-30,13491.7002,13491.7002,13311.7998,13401.7002,52710,0
2013-01-31,13401.7002,13401.7002,13221.7998,13311.7998,36833,0
2013-02-01,13401.7002,13671.5996,13311.7998,13671.5996,40158,0
2013-02-04,13491.7002,14211.2002,13491.7002,14211.2002,69264,0
2013-02-05,14301.2002,14930.7998,14031.2998,14930.7998,98371,0
2013-02-06,14930.7998,14930.7998,14391.0996,14391.0996,59603,0
2013-02-07,14391.0996,14571.0,14391.0996,14571.0,57012,0
2013-02-08,14571.0,15290.5996,14571.0,15290.5996,108967,0
2013-02-11,15290.5996,15290.5996,15290.5996,15290.5996,0,0
2013-02-12,15290.5996,15290.5996,15290.5996,15290.5996,0,0
2013-02-13,15290.5996,15290.5996,15290.5996,15290.5996,0,0
2013-02-14,15290.5996,15290.5996,15290.5996,15290.5996,0,0
2013-02-15,15290.5996,15290.5996,15290.5996,15290.5996,0,0
2013-02-19,16369.9004,16999.5,16190.0,16999.5,125844,0
2013-02-20,18168.8008,18168.8008,16999.5,18168.8008,174629,0
2013-02-21,19428.0,19428.0,18888.3008,19428.0,221603,0
2013-02-22,19967.6992,20237.5,19518.0,19967.6992,143999,0
2013-02-25,19787.8008,19967.6992,19158.1992,19338.0996,97393,0
2013-02-26,18888.3008,19068.1992,17988.9004,17988.9004,79237,0
2013-02-27,18078.8008,18438.5996,16729.6992,18438.5996,144344,0
2013-02-28,18438.5996,18978.3008,17988.9004,18888.3008,70054,0
2013-03-01,18888.3008,19338.0996,18708.5,19338.0996,101262,0
