Date,Open,High,Low,Close,Volume,openinterest
1995-12-15,24.875,24.875,24.0,24.875,641500,0
1995-12-18,25.0,25.0625,24.25,24.4375,1355100,0
1995-12-19,24.4375,24.4375,23.75,23.9375,548300,0
1995-12-20,23.9375,24.6875,23.9375,24.5625,1952000,0
1995-12-21,24.5,24.6875,24.0625,24.25,1945700,0
1995-12-22,24.375,24.5625,24.25,24.375,1085100,0
1995-12-26,24.375,24.375,24.1875,24.3125,467800,0
1995-12-27,24.25,24.3125,24.0625,24.0625,695700,0
1995-12-28,23.9375,24.25,23.875,24.0625,991500,0
1995-12-29,23.9375,24.1875,23.6875,24.1875,514000,0
1996-01-02,24.0625,24.375,23.875,24.25,820600,0
1996-01-03,24.1875,24.375,24.125,24.1875,1272000,0
1996-01-04,24.0,24.5,24.0,24.4375,1174100,0
1996-01-05,24.4375,24.5,24.1875,24.375,1614500,0
1996-01-08,24.625,24.9375,24.5,24.9375,543200,0
1996-01-09,24.9375,24.9375,24.625,24.875,2230700,0
1996-01-10,24.5625,24.6875,23.9375,24.125,902500,0
1996-01-11,24.375,24.4375,24.125,24.375,1260800,0
1996-01-12,24.875,24.875,24.3125,24.8125,679500,0
1996-01-15,24.9375,25.25,24.875,25.25,472800,0
1996-01-16,25.6875,25.6875,25.3125,25.375,945900,0
1996-01-17,25.125,25.3125,25.0625,25.0625,552400,0
1996-01-18,24.9375,25.25,24.6875,25.125,993500,0
1996-01-19,24.9375,25.125,24.875,25.0,509600,0
1996-01-22,24.875,25.0,24.75,25.0,611900,0
1996-01-23,25.25,25.5,25.1875,25.4375,1017200,0
1996-01-24,25.375,25.4375,25.1875,25.25,1079800,0
1996-01-25,25.125,25.4375,24.75,24.875,1085000,0
1996-01-26,24.75,25.1875,24.5625,25.1875,712800,0
1996-01-29,25.0,25.125,24.8125,25.0,206400,0
1996-01-30,24.875,25.0,24.6875,24.8125,317600,0
1996-01-31,24.75,25.0625,24.625,25.0625,751400,0
1996-02-01,25.3125,25.3125,25.125,25.1875,615700,0
1996-02-02,25.0625,25.0625,24.6875,25.0,458600,0
1996-02-05,24.75,25.0625,24.75,25.0,351000,0
1996-02-06,25.0,25.1875,24.9375,25.125,363400,0
1996-02-07,25.125,25.25,24.9375,25.1875,813900,0
1996-02-08,25.1875,25.625,25.125,25.625,756600,0
1996-02-09,25.625,25.8125,25.3125,25.375,672400,0
1996-02-12,25.375,25.8125,25.375,25.75,452200,0
1996-02-13,25.4375,26.125,25.4375,25.9375,527800,0
1996-02-14,25.8125,26.1875,25.8125,26.0,358500,0
1996-02-15,25.8125,26.125,25.8125,25.875,345900,0
1996-02-16,25.75,25.8125,25.3125,25.4375,752100,0
1996-02-20,25.0,25.625,24.9375,25.4375,814100,0
1996-02-21,25.25,26.0625,25.25,25.6875,498900,0
1996-02-22,25.5,26.25,25.5,26.1875,570500,0
1996-02-23,26.25,26.5625,26.1875,26.375,596900,0
1996-02-26,26.375,26.5,26.125,26.5,374100,0
1996-02-27,26.4375,26.4375,26.1875,26.3125,391100,0
1996-02-28,26.125,26.4375,25.875,25.875,366000,0
1996-02-29,25.75,26.25,25.6875,25.75,708000,0
1996-03-01,25.75,26.375,25.625,26.1875,357300,0
1996-03-04,26.5625,26.875,26.25,26.375,525300,0
1996-03-05,26.375,26.4375,26.0,26.25,727800,0
1996-03-06,26.25,26.3125,26.0,26.25,306700,0
1996-03-07,26.1875,26.25,26.0,26.0625,554000,0
1996-03-08,25.125,25.5,24.5,25.125,973200,0
1996-03-11,24.9375,25.1875,24.4375,24.75,425300,0
1996-03-12,24.375,24.5,23.9375,24.25,583900,0
1996-03-13,24.1875,24.4375,24.1875,24.25,462700,0
1996-03-14,24.1875,24.5,24.1875,24.25,509300,0
1996-03-15,24.25,24.3125,23.4375,23.5625,918000,0
1996-03-18,23.8125,24.375,23.8125,24.3125,985100,0
1996-03-19,24.4375,25.125,24.4375,25.0,910800,0
