Date,Open,High,Low,Close,Volume,openinterest
2013-12-12,45.0303,46.341,44.9244,45.453,71149707,0
2013-12-13,46.4889,47.3133,45.5586,46.7214,11953248,0
2013-12-16,48.8991,54.8607,45.4953,45.4953,9680724,0
2013-12-17,45.68550000000001,46.4889,45.6222,46.1085,4753346,0
2013-12-18,46.1508,46.8906,45.7914,46.1508,5865581,0
2013-12-19,45.9816,47.3769,45.5586,47.1021,3015021,0
2013-12-20,47.5671,47.6727,46.2141,46.361999999999995,2041943,0
2013-12-23,46.5312,46.9116,45.5799,45.5799,2507027,0
2013-12-24,45.6645,45.8124,44.7132,45.4743,2532276,0
2013-12-26,45.5799,46.4256,45.5586,45.8757,2686620,0
2013-12-27,45.6645,46.1718,45.5586,45.6645,2237342,0
2013-12-30,45.918,46.4466,45.6645,46.2774,1789467,0
2013-12-31,46.5102,47.5038,46.4043,47.0385,2327700,0
2014-01-02,47.0385,47.25,46.0239,46.2141,3619319,0
2014-01-03,46.0872,46.7004,45.9816,46.5312,946463,0
2014-01-06,46.4889,46.7637,46.0026,46.5102,2407469,0
2014-01-07,46.5102,46.7214,46.2987,46.5102,4089050,0
2014-01-08,46.5735,46.5735,46.0872,46.5735,2368622,0
2014-01-09,46.5102,46.5522,45.897,46.2351,943245,0
2014-01-10,46.0026,46.2141,45.6009,45.8547,1667349,0
2014-01-13,45.5799,46.1508,45.5799,45.918,1495212,0
2014-01-14,45.897,46.7427,45.7491,46.7214,2569637,0
2014-01-15,46.6158,46.86960000000001,46.1508,46.3197,1878717,0
2014-01-16,46.2987,46.5735,45.8547,46.4256,2318835,0
2014-01-17,46.4256,47.693999999999996,46.0872,47.0385,5546247,0
2014-01-21,47.5884,47.7573,46.1637,46.341,2626958,0
2014-01-22,46.4889,47.5461,46.2987,47.4825,2931789,0
2014-01-23,47.4192,47.9055,46.7214,47.9055,1920924,0
2014-01-24,47.25,47.5248,46.7004,47.4615,1829226,0
2014-01-27,47.4615,47.4615,46.2774,46.4889,2257443,0
2014-01-28,46.1718,46.5102,45.9816,46.2987,1408488,0
2014-01-29,46.1085,46.2564,45.5799,45.7914,898538,0
2014-01-30,46.0026,46.1295,45.6645,45.7914,1067598,0
2014-01-31,45.4743,45.8547,45.1149,45.7701,879738,0
2014-02-03,45.7701,45.8757,44.0577,44.2902,2288103,0
2014-02-04,44.3961,44.565,44.0472,44.4594,1715169,0
2014-02-05,44.07899999999999,44.3115,43.44450000000001,43.9731,1425686,0
2014-02-06,44.0577,44.8188,44.0154,44.8188,603465,0
2014-02-07,44.9457,46.2351,44.8611,45.7701,1052670,0
2014-02-10,45.8124,45.8547,45.0303,45.2628,1154076,0
2014-02-11,45.9393,46.0239,45.3684,45.8547,1318256,0
2014-02-12,45.9603,46.4043,45.7068,46.2774,896288,0
2014-02-13,46.0449,46.5522,45.7701,46.4043,1131890,0
2014-02-14,46.5102,46.6158,46.2141,46.5102,1329438,0
2014-02-18,46.5102,46.5102,45.9393,46.0026,1264377,0
2014-02-19,46.0026,46.4043,45.453,45.5163,904989,0
2014-02-20,45.453,45.8124,45.0513,45.431999999999995,1235525,0
2014-02-21,45.453,46.9116,45.3897,46.8273,2392842,0
2014-02-24,46.9539,47.5671,46.5948,47.0598,1579901,0
2014-02-25,47.0385,47.7363,46.9539,47.2923,1689357,0
2014-02-26,47.3769,47.9475,47.14440000000001,47.65170000000001,2202140,0
2014-02-27,47.3769,48.32850000000001,46.0872,47.5461,4489839,0
2014-02-28,47.5671,47.7363,46.6791,47.271,1991802,0
2014-03-03,46.9752,47.5671,46.7427,47.5461,1389147,0
2014-03-04,48.43380000000001,48.8355,47.472,47.693999999999996,4733999,0
2014-03-05,47.5038,48.39150000000001,47.4615,48.138000000000005,1372161,0
2014-03-06,48.138000000000005,48.3282,47.3556,47.5248,1400252,0
2014-03-07,47.4615,48.2649,47.3556,48.0111,1318088,0
2014-03-10,48.11670000000001,48.3069,46.9962,47.3133,1891968,0
2014-03-11,47.3346,47.4825,46.5102,46.7427,1714254,0
2014-03-12,46.5945,47.3541,46.0239,47.25,1618295,0
2014-03-13,46.9962,47.4192,46.4256,46.6158,2036990,0
2014-03-14,46.4256,47.0598,46.2351,46.5735,1251290,0
2014-03-17,46.7427,47.3346,46.7004,46.7637,757736,0
2014-03-18,46.7214,47.7573,46.6368,47.715,1390875,0
2014-03-19,47.6094,47.6199,46.8483,47.0598,1505160,0
2014-03-20,47.0385,47.3979,46.7427,46.86960000000001,1339373,0
2014-03-21,47.0808,48.603,46.8273,48.603,6211407,0
2014-03-24,48.4974,48.8145,47.4825,48.11670000000001,1982598,0
2014-03-25,48.159000000000006,48.4128,47.5248,47.5248,1604744,0
2014-03-26,47.5671,47.715,47.1231,47.229,1604786,0
2014-03-27,47.1654,47.5989,46.86960000000001,46.9962,1376436,0
2014-03-28,46.86960000000001,47.3133,46.4043,47.0385,4253888,0
2014-03-31,47.229,47.4192,46.5102,47.0175,10048478,0
2014-04-01,46.9752,47.9898,46.9539,47.6727,2159799,0
2014-04-02,47.5671,47.9709,47.4615,47.5038,2178342,0
2014-04-03,47.5671,47.7363,46.5522,46.5522,1968602,0
2014-04-04,46.5735,46.6158,45.5799,45.6432,5678610,0
2014-04-07,45.6645,45.7302,44.9457,45.1782,1424667,0
2014-04-08,45.1359,45.2415,44.6919,45.1569,1408014,0
2014-04-09,45.3051,45.7701,45.1992,45.4743,1774611,0
2014-04-10,45.3897,45.6009,44.4804,44.7765,1083446,0
2014-04-11,44.6073,45.1992,44.3115,44.9244,1560366,0
2014-04-14,45.00899999999999,45.68550000000001,44.62860000000001,45.1359,1057641,0
2014-04-15,45.4743,45.4743,44.3961,45.1992,995202,0
2014-04-16,44.9667,45.696000000000005,44.8821,45.6645,1075191,0
2014-04-17,45.5376,46.2141,45.0303,46.0239,1652196,0
2014-04-21,45.918,45.918,45.1782,45.3684,1022180,0
2014-04-22,45.3474,45.918,45.3051,45.4743,1050093,0
2014-04-23,45.41070000000001,45.7701,45.1569,45.431999999999995,964686,0
2014-04-24,45.5799,45.8124,45.3684,45.453,620355,0
2014-04-25,45.453,45.4953,44.90340000000001,45.0936,420455,0
2014-04-28,45.1149,45.3051,44.5017,45.1782,1284050,0
2014-04-29,45.7068,45.8337,44.3325,44.5863,2652896,0
2014-04-30,44.8398,46.1931,44.7132,46.1508,1890287,0
2014-05-01,46.0662,46.785,45.3474,46.6791,1437519,0
2014-05-02,46.6791,47.916000000000004,46.5945,46.6158,2033739,0
2014-05-05,46.3833,46.9116,46.1295,46.8483,843069,0
2014-05-06,46.7214,47.1021,46.2987,46.8483,1401857,0
2014-05-07,48.2013,48.582,46.7319,47.9055,2130114,0
2014-05-08,48.11670000000001,48.3282,47.693999999999996,47.8632,2489523,0
2014-05-09,50.1675,50.3154,48.159000000000006,48.7722,7102245,0
2014-05-12,49.57560000000001,49.7871,47.9265,48.582,3256007,0
2014-05-13,48.8355,49.0893,48.39150000000001,48.62430000000001,2254233,0
2014-05-14,48.62430000000001,48.7509,47.1231,47.6727,2445453,0
2014-05-15,47.7786,47.7786,45.7914,46.2987,3737496,0
2014-05-16,46.5102,46.6368,45.3261,46.2351,2521562,0
