Date,Open,High,Low,Close,Volume,openinterest
1990-03-01,2.390625,2.4375,1.96875,2.390625,2228700,0
1990-03-02,2.25,2.4375,2.25,2.25,282900,0
1990-03-05,2.28125,2.3125,2.21875,2.28125,92700,0
1990-03-06,2.234375,2.34375,2.1875,2.234375,97400,0
1990-03-07,2.15625,2.25,2.15625,2.15625,36700,0
1990-03-08,2.21875,2.25,2.15625,2.21875,104900,0
1990-03-09,2.21875,2.28125,2.15625,2.21875,45100,0
1990-03-12,2.1875,2.21875,2.1875,2.1875,18900,0
1990-03-13,2.1875,2.21875,2.15625,2.1875,25500,0
1990-03-14,2.171875,2.1875,2.15625,2.171875,26900,0
1990-03-15,2.3125,2.34375,2.15625,2.3125,110100,0
1990-03-16,2.34375,2.40625,2.34375,2.34375,31900,0
1990-03-19,2.40625,2.40625,2.34375,2.40625,18300,0
1990-03-20,2.40625,2.40625,2.375,2.40625,8700,0
1990-03-21,2.34375,2.40625,2.3125,2.34375,7900,0
1990-03-22,2.25,2.40625,2.25,2.25,22800,0
1990-03-23,2.3125,2.3125,2.25,2.3125,1500,0
1990-03-26,2.28125,2.34375,2.28125,2.28125,2300,0
1990-03-27,2.28125,2.296875,2.21875,2.28125,17700,0
1990-03-28,2.21875,2.25,2.1875,2.21875,17100,0
1990-03-29,2.21875,2.28125,2.21875,2.21875,20500,0
1990-03-30,2.34375,2.34375,2.21875,2.34375,56700,0
1990-04-02,2.3125,2.3125,2.25,2.3125,14200,0
1990-04-03,2.28125,2.3125,2.28125,2.28125,6100,0
1990-04-04,2.1875,2.3125,2.1875,2.1875,41700,0
1990-04-05,2.25,2.25,2.21875,2.25,1900,0
1990-04-06,2.1875,2.25,2.15625,2.1875,13900,0
1990-04-09,2.125,2.1875,2.125,2.125,11100,0
1990-04-10,2.125,2.1875,2.0625,2.125,44600,0
1990-04-11,2.171875,2.1875,2.125,2.171875,30000,0
1990-04-12,2.15625,2.21875,2.125,2.15625,15100,0
1990-04-16,2.125,2.21875,2.125,2.125,10600,0
1990-04-17,2.09375,2.15625,2.09375,2.09375,12900,0
1990-04-18,2.125,2.125,2.09375,2.125,900,0
1990-04-19,2.140625,2.140625,2.125,2.140625,2000,0
1990-04-20,2.125,2.1875,2.125,2.125,3800,0
1990-04-23,2.1875,2.25,2.1875,2.1875,33500,0
1990-04-24,2.25,2.28125,2.21875,2.25,15700,0
1990-04-25,2.3125,2.34375,2.25,2.3125,11700,0
1990-04-26,2.53125,2.53125,2.375,2.53125,46400,0
1990-04-27,2.578125,2.65625,2.5,2.578125,29000,0
1990-04-30,2.65625,2.65625,2.53125,2.65625,5300,0
1990-05-01,2.65625,2.65625,2.59375,2.65625,2900,0
1990-05-02,2.53125,2.625,2.5,2.53125,28800,0
1990-05-03,2.6875,2.71875,2.53125,2.6875,74500,0
1990-05-04,2.8125,2.84375,2.6875,2.8125,31600,0
1990-05-07,2.84375,2.90625,2.84375,2.84375,3900,0
1990-05-08,2.828125,2.890625,2.71875,2.828125,79400,0
1990-05-09,2.84375,2.9375,2.8125,2.84375,14200,0
1990-05-10,2.84375,2.875,2.78125,2.84375,10100,0
1990-05-11,2.90625,2.90625,2.84375,2.90625,23400,0
1990-05-14,2.96875,3.03125,2.90625,2.96875,10700,0
1990-05-15,2.9375,3.03125,2.9375,2.9375,6800,0
1990-05-16,3.03125,3.03125,2.9375,3.03125,15400,0
1990-05-17,3.09375,3.125,3.0,3.09375,24000,0
1990-05-18,2.96875,3.125,2.90625,2.96875,29300,0
1990-05-21,3.09375,3.09375,3.0,3.09375,12900,0
1990-05-22,3.09375,3.125,3.03125,3.09375,31300,0
1990-05-23,3.125,3.25,3.125,3.125,26900,0
1990-05-24,3.125,3.15625,3.0625,3.125,18100,0
1990-05-25,3.09375,3.125,3.03125,3.09375,8400,0
1990-05-29,3.0625,3.0625,3.0625,3.0625,2100,0
1990-05-30,3.0625,3.125,3.0625,3.0625,7400,0
1990-05-31,2.96875,3.03125,2.96875,2.96875,15700,0
1990-06-01,2.875,3.0,2.78125,2.875,93400,0
1990-06-04,2.8125,2.84375,2.71875,2.8125,89700,0
1990-06-05,2.65625,2.8125,2.515625,2.65625,100500,0
1990-06-06,2.9375,2.9375,2.59375,2.9375,115300,0
1990-06-07,2.875,2.9375,2.8125,2.875,12700,0
1990-06-08,2.765625,2.8125,2.75,2.765625,5200,0
1990-06-11,2.8125,2.8125,2.71875,2.8125,15100,0
1990-06-12,2.734375,2.828125,2.65625,2.734375,152300,0
1990-06-13,2.71875,2.75,2.671875,2.71875,137100,0
1990-06-14,2.78125,2.8125,2.6875,2.78125,34300,0
1990-06-15,3.03125,3.125,2.8125,3.03125,50800,0
1990-06-18,3.03125,3.0625,3.0,3.03125,13000,0
1990-06-19,2.96875,3.03125,2.90625,2.96875,10200,0
1990-06-20,2.9375,2.96875,2.90625,2.9375,5200,0
1990-06-21,2.90625,3.0625,2.875,2.90625,326800,0
1990-06-22,2.78125,2.90625,2.75,2.78125,209200,0
1990-06-25,2.90625,2.90625,2.78125,2.90625,73700,0
1990-06-26,2.875,2.90625,2.84375,2.875,66700,0
1990-06-27,2.8125,2.875,2.8125,2.8125,6300,0
1990-06-28,2.84375,2.84375,2.8125,2.84375,24600,0
1990-06-29,2.828125,2.875,2.828125,2.828125,13000,0
1990-07-02,2.875,2.875,2.78125,2.875,1300,0
1990-07-03,2.8125,2.875,2.8125,2.8125,9600,0
1990-07-05,2.8125,2.875,2.8125,2.8125,2000,0
1990-07-06,2.890625,2.90625,2.75,2.890625,31300,0
1990-07-09,3.171875,3.3125,2.875,3.171875,117700,0
1990-07-10,3.03125,3.25,3.0,3.03125,51100,0
1990-07-11,3.015625,3.0625,2.984375,3.015625,29400,0
1990-07-12,3.375,3.375,3.0625,3.375,165300,0
1990-07-13,3.65625,3.875,3.375,3.65625,117300,0
1990-07-16,3.65625,3.78125,3.625,3.65625,139200,0
1990-07-17,3.5625,3.71875,3.5,3.5625,30100,0
1990-07-18,3.625,3.625,3.5,3.625,5700,0
1990-07-19,3.5625,3.625,3.5,3.5625,39000,0
1990-07-20,3.375,3.5625,3.375,3.375,33600,0
1990-07-23,3.1875,3.40625,3.125,3.1875,57700,0
1990-07-24,3.40625,3.40625,3.09375,3.40625,60900,0
1990-07-25,3.53125,3.6875,3.40625,3.53125,40600,0
1990-07-26,3.5625,3.625,3.53125,3.5625,5300,0
1990-07-27,3.5,3.5625,3.4375,3.5,28000,0
1990-07-30,3.3125,3.4375,3.125,3.3125,57900,0
1990-07-31,3.03125,3.25,2.90625,3.03125,472300,0
1990-08-01,2.875,3.03125,2.875,2.875,125800,0
1990-08-02,2.6875,2.875,2.59375,2.6875,96200,0
1990-08-03,2.625,2.71875,2.5,2.625,39300,0
1990-08-06,2.4375,2.6875,2.3125,2.4375,44500,0
1990-08-07,2.46875,2.5,2.21875,2.46875,66800,0
1990-08-08,2.5,2.59375,2.46875,2.5,43500,0
1990-08-09,2.625,2.6875,2.625,2.625,12700,0
1990-08-10,2.65625,2.65625,2.5625,2.65625,24300,0
1990-08-13,2.6875,2.6875,2.65625,2.6875,6000,0
1990-08-14,2.75,2.75,2.65625,2.75,5200,0
1990-08-15,2.75,2.78125,2.75,2.75,19400,0
1990-08-16,2.71875,2.71875,2.625,2.71875,27000,0
1990-08-17,2.4375,2.5625,2.28125,2.4375,30300,0
1990-08-20,2.53125,2.53125,2.46875,2.53125,6400,0
1990-08-21,2.40625,2.5,2.3125,2.40625,30600,0
1990-08-22,2.46875,2.46875,2.34375,2.46875,25300,0
1990-08-23,2.46875,2.46875,2.28125,2.46875,19700,0
1990-08-24,2.375,2.5,2.375,2.375,16800,0
1990-08-27,2.78125,2.875,2.4375,2.78125,108300,0
1990-08-28,2.734375,2.78125,2.625,2.734375,63000,0
1990-08-29,2.78125,2.78125,2.65625,2.78125,27200,0
1990-08-30,2.75,2.78125,2.6875,2.75,11400,0
1990-08-31,2.78125,2.78125,2.6875,2.78125,1000,0
1990-09-04,2.71875,2.71875,2.6875,2.71875,3800,0
1990-09-05,2.84375,2.90625,2.71875,2.84375,41000,0
1990-09-06,2.71875,2.84375,2.65625,2.71875,65500,0
1990-09-07,2.71875,2.71875,2.65625,2.71875,43000,0
1990-09-10,2.578125,2.71875,2.5625,2.578125,43800,0
1990-09-11,2.53125,2.5625,2.53125,2.53125,4900,0
1990-09-12,2.4375,2.59375,2.4375,2.4375,17600,0
1990-09-13,2.34375,2.46875,2.25,2.34375,27400,0
1990-09-14,2.3125,2.375,2.203125,2.3125,45300,0
1990-09-17,2.09375,2.21875,2.03125,2.09375,320600,0
1990-09-18,2.0,2.078125,1.9375,2.0,97200,0
1990-09-19,2.0,2.03125,1.96875,2.0,103000,0
1990-09-20,1.9375,2.0,1.9375,1.9375,12500,0
1990-09-21,1.9375,2.0,1.875,1.9375,31400,0
1990-09-24,1.875,1.875,1.8125,1.875,2700,0
1990-09-25,2.0,2.0,1.8125,2.0,31200,0
1990-09-26,2.03125,2.03125,1.9375,2.03125,5700,0
1990-09-27,2.0625,2.0625,1.9375,2.0625,5000,0
1990-09-28,2.21875,2.21875,1.96875,2.21875,16100,0
1990-10-01,2.40625,2.40625,2.21875,2.40625,67200,0
1990-10-02,2.375,2.5,2.3125,2.375,54500,0
1990-10-03,2.28125,2.3125,2.1875,2.28125,40700,0
1990-10-04,2.21875,2.25,2.125,2.21875,11600,0
1990-10-05,2.15625,2.15625,2.0625,2.15625,4900,0
1990-10-08,2.1875,2.1875,2.1875,2.1875,100,0
1990-10-09,2.0625,2.09375,2.0,2.0625,35600,0
1990-10-10,2.09375,2.09375,2.0,2.09375,54500,0
1990-10-11,2.0625,2.09375,2.0,2.0625,34500,0
1990-10-12,2.09375,2.09375,2.0,2.09375,20300,0
1990-10-15,2.09375,2.125,2.03125,2.09375,21400,0
1990-10-16,2.125,2.15625,2.03125,2.125,12700,0
1990-10-17,2.109375,2.125,2.109375,2.109375,10500,0
1990-10-18,2.25,2.25,2.09375,2.25,26600,0
1990-10-19,2.21875,2.25,2.15625,2.21875,38500,0
1990-10-22,2.21875,2.25,2.15625,2.21875,34600,0
1990-10-23,2.21875,2.21875,2.15625,2.21875,4000,0
1990-10-24,2.21875,2.21875,2.125,2.21875,4100,0
1990-10-25,2.21875,2.28125,2.1875,2.21875,32800,0
1990-10-26,2.21875,2.25,2.1875,2.21875,46700,0
1990-10-29,2.1875,2.1875,2.15625,2.1875,12500,0
1990-10-30,2.125,2.15625,2.03125,2.125,32600,0
1990-10-31,2.03125,2.09375,2.03125,2.03125,67900,0
1990-11-01,1.8125,2.015625,1.59375,1.8125,309900,0
1990-11-02,1.96875,2.03125,1.75,1.96875,91900,0
1990-11-05,2.03125,2.0625,1.9375,2.03125,40000,0
1990-11-06,2.0625,2.078125,1.96875,2.0625,26300,0
1990-11-07,1.875,2.0625,1.8125,1.875,33000,0
1990-11-08,1.875,1.875,1.859375,1.875,9900,0
1990-11-09,1.84375,1.875,1.78125,1.84375,111800,0
1990-11-12,1.921875,1.9375,1.8125,1.921875,202300,0
1990-11-13,2.0625,2.0625,1.96875,2.0625,22600,0
1990-11-14,1.9375,2.078125,1.9375,1.9375,74600,0
1990-11-15,1.875,2.0,1.84375,1.875,109100,0
1990-11-16,1.09375,1.4375,1.0,1.09375,1202600,0
1990-11-19,0.96875,1.1875,0.9375,0.96875,411800,0
1990-11-20,0.953125,1.03125,0.9375,0.953125,430100,0
1990-11-21,0.9375,0.96875,0.90625,0.9375,160700,0
1990-11-23,0.90625,1.0,0.90625,0.90625,97100,0
1990-11-26,0.953125,0.96875,0.90625,0.953125,305700,0
1990-11-27,1.03125,1.03125,0.953125,1.03125,62800,0
1990-11-28,1.0,1.0625,0.96875,1.0,13100,0
1990-11-29,0.984375,1.03125,0.96875,0.984375,173300,0
1990-11-30,1.03125,1.03125,0.96875,1.03125,171500,0
1990-12-03,1.0,1.03125,1.0,1.0,42600,0
1990-12-04,0.96875,1.03125,0.96875,0.96875,118700,0
1990-12-05,1.0,1.0625,0.96875,1.0,228400,0
