Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,4.2328625,4.2901625,4.2328625,4.2328625,3400,0
1980-03-18,4.3130375,4.3588,4.2444,4.3130375,10700,0
1980-03-19,4.37015,4.4159125,4.347275,4.37015,8800,0
1980-03-20,4.4387875,4.4387875,4.393025,4.4387875,17600,0
1980-03-21,4.381675,4.4274375,4.3588,4.381675,6000,0
1980-03-24,4.2901625,4.393025,4.2901625,4.2901625,3800,0
1980-03-25,4.2557375,4.2901625,4.1299875,4.2557375,9400,0
1980-03-26,4.3015,4.37015,4.267275,4.3015,16800,0
1980-03-27,3.935425,4.1184625,3.809675,3.935425,27200,0
1980-03-28,4.164225,4.164225,3.981175,4.164225,25200,0
1980-03-31,4.209975,4.2215125,4.1871,4.209975,3000,0
1980-04-01,4.209975,4.2557375,4.209975,4.209975,14300,0
1980-04-02,4.37015,4.37015,4.2328625,4.37015,5200,0
1980-04-03,4.393025,4.461675,4.324375,4.393025,8400,0
1980-04-07,4.278625,4.393025,4.209975,4.278625,9000,0
1980-04-08,4.209975,4.209975,4.1184625,4.209975,16200,0
1980-04-09,4.3015,4.3015,4.2328625,4.3015,5500,0
1980-04-10,4.324375,4.3588,4.278625,4.324375,8400,0
1980-04-11,4.347275,4.3588,4.324375,4.347275,3100,0
1980-04-14,4.347275,4.347275,4.324375,4.347275,800,0
1980-04-15,4.37015,4.393025,4.347275,4.37015,7700,0
1980-04-16,4.3588,4.507425,4.3588,4.3588,12500,0
1980-04-17,4.4159125,4.4159125,4.3588,4.4159125,3800,0
1980-04-18,4.4387875,4.450325,4.393025,4.4387875,6900,0
1980-04-21,4.4387875,4.496075,4.4159125,4.4387875,2700,0
1980-04-22,4.48455,4.6562375,4.48455,4.48455,27100,0
1980-04-23,4.59895,4.59895,4.507425,4.59895,8100,0
1980-04-24,4.576075,4.621825,4.576075,4.576075,3200,0
1980-04-25,4.6333625,4.6333625,4.564725,4.6333625,8000,0
1980-04-28,4.6562375,4.6675875,4.6447125,4.6562375,3300,0
1980-04-29,4.804875,4.804875,4.679125,4.804875,10100,0
1980-04-30,4.804875,4.804875,4.702,4.804875,6900,0
1980-05-01,4.9308125,4.965025,4.82775,4.9308125,27000,0
1980-05-02,4.94215,4.94215,4.8963875,4.94215,8700,0
1980-05-05,4.965025,4.965025,4.8850375,4.965025,4300,0
1980-05-06,4.8963875,4.976575,4.8963875,4.8963875,6100,0
1980-05-07,4.94215,4.94215,4.919275,4.94215,15200,0
1980-05-08,4.8963875,4.965025,4.8963875,4.8963875,15000,0
1980-05-09,4.8735125,4.94215,4.8735125,4.8735125,3100,0
1980-05-12,4.8735125,4.8735125,4.850625,4.8735125,2200,0
1980-05-13,4.965025,4.965025,4.8850375,4.965025,6500,0
1980-05-14,4.919275,4.965025,4.907925,4.919275,22900,0
1980-05-15,5.033675,5.0452125,4.919275,5.033675,16800,0
1980-05-16,4.99945,5.0108,4.99945,4.99945,6600,0
1980-05-19,5.0565625,5.0794375,5.0108,5.0565625,36600,0
1980-05-20,5.0108,5.0565625,5.0108,5.0108,4100,0
1980-05-21,4.99945,5.0108,4.9879125,4.99945,2000,0
1980-05-22,5.022325,5.0452125,5.0108,5.022325,8100,0
1980-05-23,5.1596125,5.1596125,5.0452125,5.1596125,5800,0
1980-05-27,5.262475,5.3082375,5.2396,5.262475,13500,0
1980-05-28,5.2396,5.2853625,5.216725,5.2396,20800,0
1980-05-29,5.2396,5.2853625,5.2396,5.2396,9700,0
1980-05-30,5.1938375,5.22825,5.1709625,5.1938375,23800,0
1980-06-02,5.1938375,5.22825,5.1824875,5.1938375,14600,0
1980-06-03,5.102325,5.205375,5.102325,5.102325,5700,0
1980-06-04,5.090975,5.090975,5.0565625,5.090975,19900,0
1980-06-05,5.2853625,5.34265,5.0794375,5.2853625,20600,0
1980-06-06,5.491275,5.491275,5.2968875,5.491275,32700,0
1980-06-09,5.5370375,5.5370375,5.4684,5.5370375,11300,0
1980-06-10,5.5943375,5.617225,5.479925,5.5943375,21700,0
1980-06-11,5.5943375,5.5943375,5.559925,5.5943375,36700,0
1980-06-12,5.674325,5.6858625,5.605675,5.674325,29100,0
1980-06-13,5.76585,5.788725,5.674325,5.76585,13400,0
1980-06-16,5.731625,5.731625,5.6972125,5.731625,2900,0
1980-06-17,5.5828,5.7087375,5.5828,5.5828,13000,0
1980-06-18,5.5028125,5.605675,5.5028125,5.5028125,4600,0
1980-06-19,5.5828,5.5828,5.5256875,5.5828,5900,0
1980-06-20,5.5370375,5.559925,5.5370375,5.5370375,13300,0
1980-06-23,5.5256875,5.5256875,5.491275,5.5256875,5100,0
1980-06-24,5.5370375,5.5370375,5.5028125,5.5370375,8000,0
1980-06-25,5.8116125,5.857375,5.559925,5.8116125,25300,0
1980-06-26,5.6972125,5.8116125,5.6972125,5.6972125,18300,0
1980-06-27,5.742975,5.742975,5.674325,5.742975,12900,0
1980-06-30,5.662975,5.76585,5.662975,5.662975,9100,0
1980-07-01,5.6514375,5.674325,5.605675,5.6514375,8300,0
1980-07-02,5.7545,5.76585,5.6285625,5.7545,9500,0
1980-07-03,5.9375375,5.9375375,5.742975,5.9375375,18900,0
1980-07-07,6.0404125,6.0519375,5.960425,6.0404125,9800,0
1980-07-08,5.99465,6.0404125,5.960425,5.99465,26700,0
1980-07-09,5.971775,6.0290625,5.9488875,5.971775,16900,0
1980-07-10,5.8344875,5.971775,5.8344875,5.8344875,62100,0
1980-07-11,5.76585,5.857375,5.731625,5.76585,29600,0
1980-07-14,5.9488875,5.9488875,5.8344875,5.9488875,25000,0
1980-07-15,5.9488875,6.0290625,5.9488875,5.9488875,11200,0
1980-07-16,5.9260125,6.017525,5.9260125,5.9260125,22300,0
1980-07-17,5.99465,6.0404125,5.971775,5.99465,3000,0
1980-07-18,6.0632875,6.0632875,6.0519375,6.0632875,7200,0
1980-07-21,6.074825,6.086175,6.0519375,6.074825,7800,0
1980-07-22,6.0632875,6.120575,6.0632875,6.0632875,9300,0
1980-07-23,6.22345,6.22345,6.0404125,6.22345,7900,0
1980-07-24,6.3378625,6.3378625,6.2121,6.3378625,1900,0
1980-07-25,6.303625,6.372275,6.2920875,6.303625,3100,0
1980-07-28,6.314975,6.314975,6.1663375,6.314975,4300,0
1980-07-29,6.372275,6.372275,6.314975,6.372275,7100,0
1980-07-30,6.4522625,6.5209,6.4065,6.4522625,23000,0
1980-07-31,6.3265125,6.4522625,6.2349875,6.3265125,14800,0
1980-08-01,6.2692125,6.3378625,6.22345,6.2692125,22400,0
1980-08-04,6.314975,6.3378625,6.1776875,6.314975,18800,0
1980-08-05,6.4522625,6.4751375,6.3265125,6.4522625,22200,0
1980-08-06,6.612425,6.6353,6.429375,6.612425,13600,0
1980-08-07,6.7497,6.772575,6.6353,6.7497,15000,0
1980-08-08,6.612425,6.8641,6.5895375,6.612425,20400,0
1980-08-11,6.5666625,6.5781875,6.4751375,6.5666625,12400,0
1980-08-12,6.498025,6.612425,6.4751375,6.498025,2500,0
1980-08-13,6.5781875,6.5781875,6.4751375,6.5781875,1500,0
1980-08-14,6.5553125,6.5666625,6.532425,6.5553125,7300,0
1980-08-15,6.4637875,6.5781875,6.4637875,6.4637875,7700,0
1980-08-18,6.4065,6.5666625,6.383625,6.4065,8200,0
1980-08-19,6.2920875,6.4065,6.2920875,6.2920875,4800,0
1980-08-20,6.22345,6.2349875,6.200575,6.22345,6800,0
1980-08-21,6.28075,6.3378625,6.246325,6.28075,15100,0
1980-08-22,6.543775,6.543775,6.3265125,6.543775,32300,0
1980-08-25,6.8641,6.8641,6.658175,6.8641,6200,0
1980-08-26,7.0815625,7.0929125,6.85275,7.0815625,7900,0
1980-08-27,6.886975,7.024275,6.886975,6.886975,9500,0
1980-08-28,6.658175,6.841225,6.658175,6.658175,6500,0
1980-08-29,6.5895375,6.6353,6.498025,6.5895375,17600,0
1980-09-02,6.543775,6.5781875,6.498025,6.543775,20000,0
1980-09-03,6.8183375,6.8183375,6.5553125,6.8183375,14400,0
1980-09-04,6.9785,6.9785,6.875625,6.9785,13400,0
1980-09-05,6.955625,7.012925,6.9214,6.955625,15200,0
1980-09-08,6.9098625,7.024275,6.9098625,6.9098625,8900,0
1980-09-09,6.7841125,6.7954625,6.7039375,6.7841125,5700,0
1980-09-10,6.772575,6.7954625,6.73835,6.772575,12300,0
1980-09-11,6.7841125,6.7954625,6.772575,6.7841125,15400,0
1980-09-12,7.04715,7.04715,6.772575,7.04715,24900,0
1980-09-15,7.298825,7.298825,7.1157875,7.298825,19000,0
1980-09-16,7.710675,7.9852375,7.39035,7.710675,43500,0
1980-09-17,7.584925,7.7335625,7.584925,7.584925,6200,0
1980-09-18,7.50475,7.5733875,7.39035,7.50475,16800,0
1980-09-19,7.470525,7.4934,7.4589875,7.470525,9600,0
1980-09-22,7.39035,7.413225,7.2073125,7.39035,22200,0
1980-09-23,7.4589875,7.61915,7.4361125,7.4589875,8000,0
1980-09-24,7.5505125,7.584925,7.4589875,7.5505125,8000,0
1980-09-25,7.3445875,7.7222125,7.3445875,7.3445875,48100,0
1980-09-26,7.184425,7.3445875,7.1157875,7.184425,4900,0
1980-09-29,6.9214,6.9214,6.841225,6.9214,27000,0
1980-09-30,7.2301875,7.2301875,7.0013875,7.2301875,12200,0
1980-10-01,7.2646,7.27595,7.16155,7.2646,11400,0
1980-10-02,7.481875,7.5505125,7.287475,7.481875,37400,0
1980-10-03,7.779325,7.779325,7.50475,7.779325,12100,0
1980-10-06,7.825075,7.8708375,7.7335625,7.825075,18200,0
1980-10-07,7.9166,8.042525,7.8708375,7.9166,19800,0
1980-10-08,7.9166,7.9852375,7.90525,7.9166,9300,0
1980-10-09,7.664925,7.90525,7.664925,7.664925,16400,0
1980-10-10,7.767975,7.779325,7.710675,7.767975,5600,0
1980-10-13,8.053875,8.053875,7.767975,8.053875,7200,0
1980-10-14,8.008125,8.168275,8.008125,8.008125,9500,0
1980-10-15,8.21405,8.21405,8.008125,8.21405,19400,0
1980-10-16,8.09965,8.648775,8.053875,8.09965,39600,0
1980-10-17,7.9166,8.053875,7.87085,7.9166,8400,0
1980-10-20,7.893725,7.9166,7.825075,7.893725,7600,0
1980-10-21,7.96235,8.031,7.9166,7.96235,9000,0
1980-10-22,7.87085,8.008125,7.87085,7.87085,7000,0
