Date,Open,High,Low,Close,Volume,openinterest
2015-10-19,10.7508,10.7508,9.577,9.6176,1581576,0
2015-10-20,9.4433,9.8385,9.4433,9.8036,709632,0
2015-10-21,10.0244,10.0825,9.5305,9.577,78598,0
2015-10-22,9.7106,9.9082,9.4375,9.8501,110000,0
2015-10-23,10.0244,10.0244,9.792,9.8792,59910,0
2015-10-26,9.9431,9.9431,9.4782,9.5421,514799,0
2015-10-27,9.6235,9.7339,9.0656,9.1411,636017,0
2015-10-28,9.2399,9.5014,9.208,9.4608,296321,0
2015-10-29,9.3038,9.4549,9.0365,9.269,290446,0
2015-10-30,9.2399,9.3561,8.5542,8.5542,2449278,0
2015-11-02,8.7111,8.8157,8.0544,8.4205,40866212,0
2015-11-03,8.1765,8.5484,7.9469,8.345,40205820,0
2015-11-04,8.3624,8.4322,7.9091,7.9382,31525806,0
2015-11-05,7.9266,8.0718,7.6244,7.7174,22190459,0
2015-11-06,7.6593,8.4147,7.6418,8.3682,30049954,0
2015-11-09,8.2869,8.4147,8.2113,8.252,17528088,0
2015-11-10,8.2113,8.3915,8.1416,8.374,14777765,0
2015-11-11,8.252,8.3159,8.1881,8.1997,11009387,0
2015-11-12,8.0254,8.0312,7.8975,7.9614,20371666,0
2015-11-13,7.9091,7.9963,7.6418,7.7813,14924533,0
2015-11-16,7.7697,7.9091,7.636,7.7755,13781675,0
2015-11-17,7.7755,7.8394,7.6244,7.6825,12420759,0
2015-11-18,7.8336,7.9789,7.6643,7.9266,13020475,0
2015-11-19,7.8627,8.0718,7.8568,8.0079,13171491,0
2015-11-20,8.0079,8.5019,7.9498,8.2578,18559394,0
2015-11-23,8.2346,8.2578,7.8859,8.0486,15317345,0
2015-11-24,7.8917,8.1503,7.8452,7.9556,24110878,0
2015-11-25,8.0835,8.6356,8.0428,8.2055,22677094,0
2015-11-27,8.2055,8.5077,8.1648,8.3392,6041718,0
2015-11-30,8.2694,8.7169,8.2404,8.6356,29104253,0
2015-12-01,8.6472,9.2283,8.6297,9.0714,25106564,0
2015-12-02,8.9319,9.0307,8.6414,8.6878,12681142,0
2015-12-03,8.7169,8.9145,8.4728,8.4961,18905240,0
2015-12-04,8.3624,8.8883,8.2752,8.8447,12001085,0
2015-12-07,8.7169,8.9958,8.6704,8.9784,9546047,0
2015-12-08,8.7692,8.8854,8.4961,8.8157,11617601,0
2015-12-09,8.7111,8.9435,8.5309,8.6297,14261925,0
2015-12-10,8.5949,8.6065,8.4438,8.5542,11350209,0
2015-12-11,8.7111,8.9494,8.2171,8.2404,10616156,0
2015-12-14,8.3101,8.4263,8.0893,8.3915,11528144,0
2015-12-15,8.4322,8.7053,8.4176,8.4612,12888739,0
2015-12-16,8.4961,8.6065,8.4554,8.5426,7840968,0
2015-12-17,8.4903,8.5542,8.2636,8.3159,7625458,0
2015-12-18,8.2927,8.3595,8.1358,8.2288,19337615,0
2015-12-21,8.2055,8.3682,8.0602,8.1474,9863255,0
2015-12-22,8.158999999999999,8.2171,8.0893,8.1706,7292476,0
2015-12-23,8.2462,8.6995,8.1648,8.6646,11252128,0
2015-12-24,8.6065,8.8157,8.5949,8.7285,2178459,0
2015-12-28,8.652999999999999,8.8796,8.6123,8.8506,5930636,0
2015-12-29,8.8854,8.9709,8.8215,8.8331,6275753,0
2015-12-30,8.8854,8.9958,8.8041,8.8796,6275778,0
2015-12-31,8.8506,8.8971,8.775,8.8331,6768073,0
2016-01-04,8.6995,8.8041,8.5658,8.7925,15076835,0
2016-01-05,8.7925,8.8622,8.682,8.7343,10328195,0
2016-01-06,8.4961,8.7169,8.4322,8.6007,11315099,0
2016-01-07,8.4263,8.4612,7.9324,7.9672,19844662,0
2016-01-08,8.0021,8.1474,7.7348,7.8685,16431904,0
2016-01-11,7.8045,7.9672,7.5953,7.7057,15110848,0
2016-01-12,7.757999999999999,7.7987,7.607,7.7057,12458450,0
2016-01-13,7.757999999999999,7.757999999999999,7.2815,7.4094,17720765,0
2016-01-14,7.4094,7.6534,7.3513,7.5546,13352501,0
2016-01-15,7.3222,7.4384,7.2583,7.2873,19729482,0
2016-01-19,7.3687,7.4268,7.0898,7.1595,12925879,0
2016-01-20,6.9735,7.0898,6.7556,7.0084,16640055,0
2016-01-21,6.9735,7.2873,6.8689,7.2118,16729584,0
2016-01-22,7.3803,7.8045,7.3513,7.757999999999999,15269891,0
2016-01-25,7.7232,7.8743,7.6244,7.7522,11183427,0
2016-01-26,7.757999999999999,7.976,7.757999999999999,7.9033,10726138,0
2016-01-27,7.8627,7.9091,7.5285,7.7813,18484506,0
2016-01-28,7.8162,7.9614,7.5953,7.6651,9874424,0
2016-01-29,7.7929,8.066,7.757999999999999,7.9963,11361905,0
2016-02-01,7.944,8.066,7.8627,8.0137,9549644,0
2016-02-02,7.9614,8.1183,7.7638,7.8162,9677516,0
2016-02-03,7.9382,8.0021,7.6186,7.7697,7553022,0
2016-02-04,7.7348,8.0718,7.7348,8.0486,6499149,0
2016-02-05,7.9556,7.9905,7.575,7.6709,13227678,0
2016-02-08,7.5546,7.5837,7.1885,7.2699,14815851,0
2016-02-09,7.1885,7.4733,7.1537,7.3919,6686490,0
2016-02-10,7.421,7.5953,7.3861,7.4733,5982701,0
2016-02-11,7.3048,7.3629,6.9822,7.206,9834289,0
