Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,0.2598796875,0.2755,0.2598796875,0.2598796875,9700,0
1980-03-18,0.2578796875,0.26175,0.2578796875,0.2578796875,6100,0
1980-03-19,0.2598796875,0.26175,0.2578796875,0.2598796875,1100,0
1980-03-20,0.2598796875,0.26175,0.2578796875,0.2598796875,800,0
1980-03-21,0.2558796875,0.2558796875,0.2558796875,0.2558796875,600,0
1980-03-24,0.2558796875,0.2558796875,0.2558796875,0.2558796875,100,0
1980-03-25,0.254,0.254,0.254,0.254,300,0
1980-03-26,0.254,0.2558796875,0.254,0.254,1600,0
1980-03-27,0.24225,0.252,0.24225,0.24225,4000,0
1980-03-28,0.2481296875,0.2481296875,0.24225,0.2481296875,900,0
1980-03-31,0.254,0.254,0.25,0.254,1500,0
1980-04-01,0.2598796875,0.2598796875,0.254,0.2598796875,7200,0
1980-04-02,0.26175,0.26175,0.2578796875,0.26175,800,0
1980-04-03,0.2598796875,0.2598796875,0.2558796875,0.2598796875,11400,0
1980-04-07,0.25,0.2558796875,0.25,0.25,2500,0
1980-04-08,0.25,0.25,0.25,0.25,300,0
1980-04-09,0.25,0.2558796875,0.25,0.25,4200,0
1980-04-10,0.25,0.254,0.25,0.25,500,0
1980-04-11,0.24425,0.25,0.24425,0.24425,1500,0
1980-04-14,0.2383796875,0.24225,0.2363796875,0.2383796875,2400,0
1980-04-15,0.2461296875,0.2461296875,0.2383796875,0.2461296875,3100,0
1980-04-16,0.2325,0.2481296875,0.2325,0.2325,2400,0
1980-04-17,0.2286296875,0.2286296875,0.2266296875,0.2286296875,1200,0
1980-04-18,0.2266296875,0.2286296875,0.2266296875,0.2266296875,800,0
1980-04-21,0.22275,0.2266296875,0.22275,0.22275,800,0
1980-04-22,0.2246296875,0.2246296875,0.22075,0.2246296875,1800,0
1980-04-23,0.2305,0.2305,0.2266296875,0.2305,2500,0
1980-04-24,0.2305,0.2305,0.2266296875,0.2305,400,0
1980-04-25,0.2305,0.2305,0.2266296875,0.2305,2200,0
1980-04-28,0.24025,0.24025,0.2343796875,0.24025,3600,0
1980-04-29,0.2343796875,0.2363796875,0.2343796875,0.2343796875,1600,0
1980-04-30,0.2383796875,0.2383796875,0.2363796875,0.2383796875,600,0
1980-05-01,0.2383796875,0.24025,0.2383796875,0.2383796875,700,0
1980-05-02,0.24025,0.24025,0.2343796875,0.24025,1300,0
1980-05-05,0.24025,0.24025,0.2363796875,0.24025,400,0
1980-05-06,0.2481296875,0.2481296875,0.24225,0.2481296875,3100,0
1980-05-07,0.2481296875,0.2481296875,0.2461296875,0.2481296875,600,0
1980-05-08,0.2461296875,0.2461296875,0.2461296875,0.2461296875,200,0
1980-05-09,0.24425,0.2481296875,0.24425,0.24425,1200,0
1980-05-12,0.2481296875,0.2481296875,0.2481296875,0.2481296875,2500,0
1980-05-13,0.24425,0.24425,0.24425,0.24425,500,0
1980-05-14,0.24425,0.2461296875,0.24225,0.24425,2200,0
1980-05-15,0.2343796875,0.24025,0.2343796875,0.2343796875,1900,0
1980-05-16,0.2363796875,0.2363796875,0.2343796875,0.2363796875,400,0
1980-05-19,0.2363796875,0.24025,0.2363796875,0.2363796875,2800,0
1980-05-20,0.2363796875,0.2383796875,0.2343796875,0.2363796875,1100,0
1980-05-22,0.2343796875,0.2363796875,0.2343796875,0.2343796875,2000,0
1980-05-23,0.2383796875,0.2383796875,0.2325,0.2383796875,2600,0
1980-05-27,0.2343796875,0.24025,0.2305,0.2343796875,2400,0
1980-05-28,0.2325,0.2343796875,0.2286296875,0.2325,1500,0
1980-05-29,0.2305,0.2343796875,0.2286296875,0.2305,1900,0
1980-05-30,0.2286296875,0.2286296875,0.2286296875,0.2286296875,1600,0
1980-06-02,0.2266296875,0.2286296875,0.2266296875,0.2266296875,200,0
1980-06-03,0.2266296875,0.2266296875,0.22275,0.2266296875,4200,0
1980-06-04,0.2266296875,0.2266296875,0.2266296875,0.2266296875,700,0
1980-06-05,0.2266296875,0.2266296875,0.2266296875,0.2266296875,3600,0
1980-06-06,0.2305,0.2305,0.2286296875,0.2305,1600,0
1980-06-09,0.2266296875,0.2286296875,0.2266296875,0.2266296875,500,0
1980-06-10,0.22275,0.2305,0.22275,0.22275,1200,0
1980-06-11,0.213,0.2266296875,0.213,0.213,3100,0
1980-06-12,0.2148796875,0.2168796875,0.213,0.2148796875,13500,0
1980-06-13,0.21875,0.22275,0.21875,0.21875,1500,0
1980-06-16,0.21875,0.22275,0.21875,0.21875,700,0
1980-06-17,0.21875,0.21875,0.21875,0.21875,300,0
1980-06-18,0.21875,0.21875,0.2148796875,0.21875,2600,0
1980-06-19,0.2168796875,0.21875,0.2148796875,0.2168796875,600,0
1980-06-20,0.213,0.213,0.21100000000000002,0.213,2200,0
1980-06-23,0.213,0.213,0.209,0.213,1900,0
1980-06-24,0.213,0.213,0.21100000000000002,0.213,800,0
1980-06-25,0.2148796875,0.2168796875,0.213,0.2148796875,1500,0
1980-06-26,0.21875,0.21875,0.21875,0.21875,3300,0
1980-06-27,0.22275,0.22275,0.21875,0.22275,800,0
1980-06-30,0.21875,0.21875,0.21875,0.21875,500,0
1980-07-01,0.21875,0.21875,0.21875,0.21875,4700,0
1980-07-02,0.22275,0.22275,0.22075,0.22275,400,0
1980-07-03,0.2266296875,0.2266296875,0.22075,0.2266296875,900,0
1980-07-07,0.2305,0.2305,0.2266296875,0.2305,1700,0
1980-07-08,0.2286296875,0.2305,0.2286296875,0.2286296875,900,0
1980-07-09,0.2286296875,0.2286296875,0.2286296875,0.2286296875,1600,0
1980-07-10,0.2325,0.2343796875,0.2305,0.2325,1600,0
1980-07-11,0.2305,0.2343796875,0.2305,0.2305,2700,0
1980-07-14,0.2481296875,0.2481296875,0.2325,0.2481296875,2600,0
1980-07-15,0.252,0.254,0.2481296875,0.252,900,0
1980-07-16,0.2461296875,0.252,0.2461296875,0.2461296875,600,0
1980-07-17,0.2481296875,0.2481296875,0.2481296875,0.2481296875,700,0
1980-07-18,0.24425,0.2481296875,0.24425,0.24425,1000,0
1980-07-21,0.24225,0.2461296875,0.24225,0.24225,800,0
1980-07-22,0.2461296875,0.2461296875,0.2461296875,0.2461296875,300,0
1980-07-23,0.2383796875,0.24225,0.2343796875,0.2383796875,4100,0
1980-07-24,0.2383796875,0.24025,0.2383796875,0.2383796875,800,0
1980-07-25,0.2383796875,0.2383796875,0.2383796875,0.2383796875,100,0
1980-07-28,0.24225,0.24425,0.24025,0.24225,6600,0
1980-07-29,0.24225,0.24425,0.24225,0.24225,800,0
1980-07-30,0.24225,0.24425,0.24225,0.24225,1900,0
1980-07-31,0.24025,0.24425,0.24025,0.24025,2900,0
1980-08-01,0.24025,0.24225,0.24025,0.24025,600,0
1980-08-04,0.24025,0.24225,0.24025,0.24025,3100,0
1980-08-05,0.24225,0.24425,0.24225,0.24225,500,0
1980-08-06,0.24425,0.2461296875,0.24425,0.24425,600,0
1980-08-07,0.2461296875,0.2461296875,0.24425,0.2461296875,200,0
1980-08-08,0.25,0.25,0.2461296875,0.25,1300,0
1980-08-11,0.252,0.252,0.25,0.252,900,0
