Date,Open,High,Low,Close,Volume,openinterest
1995-11-03,4.262525,4.6055,3.99305,4.4585,4749000,0
1995-11-06,4.4095,4.5565,4.360525,4.4830000000000005,736900,0
1995-11-07,4.5075,4.5075,4.360525,4.4095,665000,0
1995-11-08,4.311525,4.4585,4.311525,4.360525,166900,0
1995-11-09,4.360525,4.5075,4.360525,4.4585,112700,0
1995-11-10,4.360525,4.5075,4.262525,4.262525,210000,0
1995-11-13,4.4095,4.4095,4.262525,4.360525,96500,0
1995-11-14,4.262525,4.4095,4.262525,4.262525,207200,0
1995-11-15,4.262525,4.4585,4.262525,4.348275,169200,0
1995-11-16,4.4585,4.4585,4.262525,4.4095,124500,0
1995-11-17,4.262525,4.4585,4.262525,4.311525,57000,0
1995-11-20,4.311525,4.4585,4.311525,4.311525,52800,0
1995-11-21,4.4585,4.4585,4.311525,4.311525,68600,0
1995-11-22,4.311525,4.4585,4.311525,4.311525,133200,0
1995-11-24,4.4585,4.4585,4.360525,4.44625,10900,0
1995-11-27,4.360525,4.654475,4.360525,4.5075,108200,0
1995-11-28,4.5565,4.6055,4.5075,4.6055,20800,0
1995-11-29,4.5075,5.04645,4.5075,4.99745,305900,0
1995-11-30,5.04645,5.095425,4.89945,4.94845,171900,0
1995-12-01,4.94845,5.04645,4.89945,4.94845,126900,0
1995-12-04,4.99745,4.99745,4.752475,4.776975,78200,0
1995-12-05,4.85045,4.85045,4.752475,4.85045,99700,0
1995-12-06,4.85045,4.89945,4.752475,4.87495,33000,0
1995-12-07,4.752475,4.89945,4.752475,4.752475,96000,0
1995-12-08,4.89945,4.89945,4.752475,4.801475,144200,0
1995-12-11,4.801475,4.89945,4.752475,4.801475,69300,0
1995-12-12,4.89945,4.89945,4.703475,4.752475,259500,0
1995-12-13,4.703475,4.752475,4.6055,4.654475,203100,0
1995-12-14,4.5565,4.654475,4.5075,4.5565,40700,0
1995-12-15,4.4585,4.5565,4.4585,4.5565,61500,0
1995-12-18,4.4585,4.5565,4.4585,4.4585,14800,0
1995-12-19,4.5565,4.581,4.4585,4.5565,82400,0
1995-12-20,4.5075,4.654475,4.5075,4.654475,93900,0
1995-12-21,4.678975,4.703475,4.5565,4.5565,3200,0
1995-12-22,4.703475,4.703475,4.5565,4.703475,3300,0
1995-12-26,4.5565,4.703475,4.5565,4.5565,2900,0
1995-12-27,4.703475,5.242425,4.6055,5.242425,97700,0
1995-12-28,5.2914,5.683375,5.2914,5.5364,341200,0
1995-12-29,5.5364,5.78135,5.4384,5.78135,166900,0
1996-01-02,5.683375,5.73235,5.3404,5.3404,60600,0
1996-01-03,5.4384,5.4384,5.04645,5.144425,153900,0
1996-01-04,5.144425,5.144425,4.6055,4.776975,181400,0
1996-01-05,4.801475,4.801475,4.63,4.752475,75400,0
1996-01-08,4.752475,4.752475,4.63,4.63,5300,0
1996-01-09,4.801475,4.801475,4.654475,4.666725,93800,0
1996-01-10,4.752475,4.752475,4.654475,4.752475,143500,0
1996-01-11,4.752475,4.752475,4.654475,4.654475,48400,0
1996-01-12,4.85045,4.85045,4.654475,4.654475,13800,0
1996-01-15,4.85045,4.85045,4.654475,4.654475,18400,0
1996-01-16,4.654475,4.85045,4.654475,4.801475,5300,0
1996-01-17,4.801475,4.85045,4.654475,4.801475,41600,0
1996-01-18,4.776975,4.94845,4.776975,4.94845,23100,0
1996-01-19,5.04645,5.242425,4.94845,5.242425,102600,0
1996-01-22,5.242425,5.4874,5.144425,5.4874,73600,0
1996-01-23,5.4874,5.634375,5.4874,5.560875,64500,0
1996-01-24,5.634375,5.634375,5.3404,5.5364,64600,0
1996-01-25,5.3404,5.5364,5.3404,5.5364,16600,0
1996-01-26,5.3404,5.4874,5.3404,5.3404,11100,0
1996-01-29,5.4874,5.4874,5.3404,5.4874,22100,0
1996-01-30,5.4874,5.634375,5.3894,5.4874,36100,0
1996-01-31,5.634375,5.87935,5.4874,5.78135,106800,0
1996-02-01,5.87935,5.92835,5.585375,5.585375,61100,0
1996-02-02,5.683375,5.78135,5.3404,5.73235,73200,0
1996-02-05,5.83035,5.87935,5.683375,5.73235,42600,0
1996-02-06,5.87935,5.87935,5.73235,5.78135,18700,0
1996-02-07,5.683375,5.87935,5.683375,5.87935,11200,0
1996-02-08,5.87935,5.87935,5.73235,5.73235,13300,0
1996-02-09,5.73235,5.83035,5.73235,5.78135,28300,0
1996-02-12,5.83035,5.83035,5.73235,5.78135,81700,0
1996-02-13,5.73235,5.87935,5.73235,5.80585,76600,0
1996-02-14,5.87935,5.87935,5.78135,5.78135,860200,0
1996-02-15,5.87935,5.87935,5.683375,5.683375,3600,0
1996-02-16,5.683375,5.83035,5.683375,5.73235,47400,0
1996-02-20,5.83035,5.83035,5.683375,5.683375,10400,0
1996-02-21,5.83035,5.83035,5.683375,5.683375,6300,0
1996-02-22,5.83035,5.83035,5.683375,5.83035,5800,0
1996-02-23,5.683375,5.83035,5.683375,5.707875,58600,0
1996-02-26,5.78135,5.78135,5.683375,5.75685,13500,0
1996-02-27,5.78135,5.78135,5.683375,5.683375,154000,0
1996-02-28,5.683375,5.78135,5.683375,5.683375,2900,0
1996-02-29,5.78135,5.78135,5.683375,5.683375,22700,0
1996-03-01,5.75685,5.75685,5.634375,5.73235,48500,0
1996-03-04,5.634375,5.73235,5.634375,5.73235,25000,0
1996-03-05,5.707875,5.87935,5.707875,5.87935,18200,0
1996-03-06,5.87935,6.026325,5.73235,5.97735,48100,0
1996-03-07,6.026325,6.026325,5.87935,5.87935,7800,0
1996-03-08,5.92835,5.92835,5.83035,5.83035,49200,0
