Date,Open,High,Low,Close,Volume,openinterest
1991-06-21,0.9453125,0.96875,0.9375,0.9453125,711500,0
1991-06-24,0.90625,0.9453125,0.90625,0.90625,117600,0
1991-06-25,0.92188125,0.92188125,0.90625,0.92188125,101700,0
1991-06-26,0.90625,0.92188125,0.90625,0.90625,167800,0
1991-06-27,0.90625,0.9140625,0.90625,0.90625,5300,0
1991-06-28,0.90625,0.9140625,0.90625,0.90625,97500,0
1991-07-01,0.9296875,0.9375,0.90625,0.9296875,14600,0
1991-07-02,0.90625,0.9296875,0.8828125,0.90625,86300,0
1991-07-03,0.875,0.8984375,0.875,0.875,35800,0
1991-07-05,0.875,0.875,0.875,0.875,4900,0
1991-07-08,0.85938125,0.8828125,0.85938125,0.85938125,20400,0
1991-07-09,0.875,0.8828125,0.85938125,0.875,39200,0
1991-07-10,0.8828125,0.8828125,0.85938125,0.8828125,6600,0
1991-07-11,0.875,0.875,0.85938125,0.875,5500,0
1991-07-12,0.85938125,0.8828125,0.85938125,0.85938125,7000,0
1991-07-15,0.85938125,0.8828125,0.85938125,0.85938125,3500,0
1991-07-16,0.8828125,0.8828125,0.85938125,0.8828125,12700,0
1991-07-17,0.85938125,0.8828125,0.85938125,0.85938125,13500,0
1991-07-18,0.8671875,0.8828125,0.85938125,0.8671875,17800,0
1991-07-19,0.89063125,0.92188125,0.8671875,0.89063125,33300,0
1991-07-22,0.875,0.90625,0.875,0.875,17200,0
1991-07-23,0.875,0.89063125,0.875,0.875,8700,0
1991-07-24,0.8984375,0.8984375,0.875,0.8984375,2900,0
1991-07-25,0.8828125,0.8984375,0.8671875,0.8828125,26200,0
1991-07-26,0.9375,0.9453125,0.8984375,0.9375,32800,0
1991-07-29,0.9453125,0.9453125,0.92188125,0.9453125,7000,0
1991-07-30,0.9296875,0.9453125,0.90625,0.9296875,5800,0
1991-07-31,0.90625,0.9296875,0.90625,0.90625,28600,0
1991-08-01,0.9375,0.9375,0.90625,0.9375,45500,0
1991-08-02,0.92188125,0.9375,0.92188125,0.92188125,12400,0
1991-08-05,0.92188125,0.9375,0.92188125,0.92188125,10000,0
1991-08-06,0.92188125,0.9296875,0.9140625,0.92188125,2900,0
1991-08-07,0.9296875,0.9296875,0.92188125,0.9296875,15000,0
1991-08-08,0.9375,0.9375,0.92188125,0.9375,13600,0
1991-08-09,0.92188125,0.92188125,0.92188125,0.92188125,200,0
1991-08-12,0.9375,0.9375,0.92188125,0.9375,14400,0
1991-08-13,0.92188125,0.9375,0.92188125,0.92188125,7500,0
1991-08-14,0.9296875,0.9296875,0.90625,0.9296875,13700,0
1991-08-15,0.9296875,0.9296875,0.92188125,0.9296875,1100,0
1991-08-16,0.9296875,0.9296875,0.90625,0.9296875,12700,0
