Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,8.564775,8.87285,8.5342,8.564775,179800,0
1980-03-18,8.687999999999999,8.71905,8.564775,8.687999999999999,266700,0
1980-03-19,8.5342,8.687999999999999,8.5342,8.5342,184900,0
1980-03-20,8.3183,8.5342,8.2567,8.3183,108600,0
1980-03-21,8.34935,8.34935,8.28775,8.34935,64500,0
1980-03-24,8.1645,8.3183,8.1029,8.1645,110100,0
1980-03-25,8.1645,8.28775,8.1029,8.1645,95200,0
1980-03-26,8.13345,8.195075,8.07185,8.13345,98400,0
1980-03-27,7.9486,7.9486,7.517275,7.9486,260000,0
1980-03-28,8.1029,8.1029,7.856425,8.1029,65200,0
1980-03-31,8.195075,8.3183,8.1029,8.195075,50500,0
1980-04-01,8.13345,8.195075,8.07185,8.13345,75000,0
1980-04-02,8.07185,8.13345,7.97965,8.07185,109500,0
1980-04-03,8.1645,8.195075,8.010225,8.1645,32000,0
1980-04-07,7.97965,8.1645,7.91805,7.97965,39600,0
1980-04-08,7.886975,7.886975,7.671575,7.886975,108900,0
1980-04-09,7.7332,7.886975,7.671575,7.7332,88600,0
1980-04-10,7.76375,7.7948,7.7332,7.76375,161000,0
1980-04-11,7.856425,7.886975,7.7948,7.856425,118600,0
1980-04-14,7.825375,7.91805,7.7948,7.825375,62900,0
1980-04-15,7.825375,7.9486,7.825375,7.825375,69100,0
1980-04-16,7.76375,8.041275,7.7332,7.76375,94200,0
1980-04-17,7.671575,7.76375,7.640525,7.671575,48600,0
1980-04-18,7.76375,7.825375,7.7332,7.76375,18900,0
1980-04-21,7.7948,7.825375,7.671575,7.7948,41600,0
1980-04-22,8.6264,8.6264,8.28775,8.6264,509400,0
1980-04-23,8.44155,8.6264,8.34935,8.44155,202300,0
1980-04-24,8.50315,8.564775,8.410975,8.50315,66500,0
1980-04-25,8.50315,8.50315,8.28775,8.50315,97200,0
1980-04-28,8.5342,8.595825,8.379925,8.5342,74100,0
1980-04-29,8.4726,8.65745,8.44155,8.4726,90300,0
1980-04-30,8.44155,8.4726,8.34935,8.44155,102800,0
1980-05-01,8.1645,8.44155,8.13345,8.1645,87900,0
1980-05-02,8.1029,8.1645,8.1029,8.1029,110300,0
1980-05-05,8.13345,8.195075,8.041275,8.13345,200500,0
1980-05-06,8.2567,8.379925,8.1029,8.2567,171300,0
1980-05-07,8.50315,8.5342,8.226125,8.50315,100700,0
1980-05-08,8.379925,8.5342,8.379925,8.379925,56900,0
1980-05-09,8.3183,8.44155,8.3183,8.3183,51900,0
1980-05-12,8.1645,8.195075,8.010225,8.1645,90700,0
1980-05-13,8.1645,8.226125,8.13345,8.1645,105300,0
1980-05-14,8.3183,8.379925,8.195075,8.3183,299900,0
1980-05-15,8.28775,8.34935,8.2567,8.28775,44600,0
1980-05-16,8.2567,8.28775,8.195075,8.2567,67200,0
1980-05-19,8.1029,8.1645,8.07185,8.1029,96700,0
1980-05-20,7.9486,8.07185,7.9486,7.9486,160700,0
1980-05-21,8.041275,8.07185,7.702125,8.041275,501400,0
1980-05-22,8.3183,8.3183,8.041275,8.3183,367500,0
1980-05-23,8.564775,8.595825,8.34935,8.564775,348700,0
1980-05-27,8.749625,8.81125,8.6264,8.749625,104000,0
1980-05-28,8.595825,8.687999999999999,8.50315,8.595825,252700,0
1980-05-29,8.3183,8.564775,8.3183,8.3183,173800,0
1980-05-30,8.44155,8.44155,8.28775,8.44155,97700,0
1980-06-02,8.34935,8.44155,8.3183,8.34935,96000,0
1980-06-03,8.3183,8.34935,8.2567,8.3183,101400,0
1980-06-04,8.44155,8.44155,8.3183,8.44155,90600,0
1980-06-05,8.6264,8.65745,8.44155,8.6264,158200,0
1980-06-06,8.50315,8.6264,8.50315,8.50315,64100,0
1980-06-09,8.595825,8.749625,8.564775,8.595825,70600,0
1980-06-10,8.87285,9.02715,8.595825,8.87285,196200,0
1980-06-11,9.0577,9.0577,8.9039,9.0577,283200,0
1980-06-12,8.9961,9.08875,8.9039,8.9961,116400,0
1980-06-13,9.119325,9.150375,9.0577,9.119325,352400,0
1980-06-16,9.119325,9.150375,9.02715,9.119325,149500,0
1980-06-17,9.08875,9.119325,9.02715,9.08875,82000,0
1980-06-18,9.08875,9.08875,8.965525,9.08875,247700,0
1980-06-19,8.9961,9.08875,8.965525,8.9961,102700,0
