Date,Open,High,Low,Close,Volume,openinterest
1995-12-15,4.0204,4.0204,3.6888,3.7302,1457700,0
1995-12-18,3.8131,3.8131,3.5852,3.6474,1295900,0
1995-12-19,3.6474,3.6888,3.5645,3.6888,1454800,0
1995-12-20,3.6888,3.7302,3.6266,3.6266,1143800,0
1995-12-21,3.6681,3.7717,3.523,3.7302,2781800,0
1995-12-22,3.7302,3.8546,3.7302,3.8131,1228300,0
1995-12-26,3.8339,3.9789,3.8339,3.9582,811800,0
1995-12-27,3.9582,3.9582,3.8960000000000004,3.8960000000000004,648200,0
1995-12-28,3.8960000000000004,3.9582,3.8546,3.9375,1301100,0
1995-12-29,3.9168,3.9789,3.8960000000000004,3.9789,285200,0
1996-01-02,3.9375,4.0204,3.9168,3.9997,435400,0
1996-01-03,3.9789,4.0618,3.9168,3.9168,1383300,0
1996-01-04,3.9168,3.9582,3.8546,3.8753,1014300,0
1996-01-05,3.8546,3.8546,3.7717,3.8131,966900,0
1996-01-08,3.8131,3.8753,3.8131,3.8339,277100,0
1996-01-09,3.8546,3.9375,3.8546,3.8753,4311200,0
1996-01-10,3.8339,3.8753,3.7717,3.8131,1612800,0
1996-01-11,3.8131,3.8339,3.6888,3.7510000000000003,1838300,0
1996-01-12,3.7510000000000003,3.8131,3.7302,3.8131,731900,0
1996-01-15,3.7924,3.8339,3.7302,3.8339,640300,0
1996-01-16,3.8339,3.8546,3.7924,3.8546,888700,0
1996-01-17,3.8339,3.8960000000000004,3.8131,3.8753,817500,0
1996-01-18,3.8546,3.8960000000000004,3.8339,3.8339,654800,0
1996-01-19,3.7717,3.8131,3.7302,3.7302,474600,0
1996-01-22,3.7510000000000003,3.8960000000000004,3.7302,3.8960000000000004,834700,0
1996-01-23,3.8960000000000004,4.1033,3.8960000000000004,4.0826,979500,0
1996-01-24,4.124,4.2898,4.124,4.2691,1110500,0
1996-01-25,4.2276,4.2483,4.124,4.124,811800,0
1996-01-26,4.1033,4.1654,4.0618,4.1654,403600,0
1996-01-29,4.1654,4.2898,4.1654,4.2898,392100,0
1996-01-30,4.2483,4.3105,4.2276,4.3105,602400,0
1996-01-31,4.2691,4.3312,4.2691,4.3105,662900,0
