Date,Open,High,Low,Close,Volume,openinterest
1995-08-25,6.725,6.825,6.725,6.8,708200,0
1995-08-28,6.775,6.775,6.65,6.7,283700,0
1995-08-29,6.75,6.775,6.625,6.7,175800,0
1995-08-30,6.7,6.725,6.675,6.725,87300,0
1995-08-31,6.725,6.725,6.65,6.7,121300,0
1995-09-01,6.7,6.725,6.675,6.725,43400,0
1995-09-05,6.7,6.725,6.675,6.7,77100,0
1995-09-06,6.675,6.7,6.65,6.675,49400,0
1995-09-07,6.675,6.675,6.6,6.625,147600,0
1995-09-08,6.575,6.6,6.275,6.275,189200,0
1995-09-11,6.3,6.525,6.3,6.425,86800,0
1995-09-12,6.55,6.675,6.55,6.65,163500,0
1995-09-13,6.75,6.775,6.65,6.675,108500,0
1995-09-14,6.675,6.7,6.65,6.7,30900,0
1995-09-15,6.675,6.7,6.675,6.7,43700,0
1995-09-18,6.675,6.725,6.65,6.725,84500,0
1995-09-19,6.7,6.7,6.65,6.675,23300,0
1995-09-20,6.65,6.65,6.525,6.55,24900,0
1995-09-21,6.6,6.625,6.55,6.6,31400,0
1995-09-22,6.55,6.55,6.45,6.45,18900,0
1995-09-25,6.5,6.5,6.425,6.425,10600,0
1995-09-26,6.55,6.6,6.525,6.525,53300,0
1995-09-27,6.5,6.525,6.5,6.5,19000,0
1995-09-28,6.55,6.625,6.55,6.6,41000,0
1995-09-29,6.8,6.925,6.8,6.9,260600,0
1995-10-02,7.0,7.125,7.0,7.025,114000,0
1995-10-03,7.05,7.075,7.0,7.05,33000,0
1995-10-04,7.025,7.025,6.975,6.975,21700,0
1995-10-05,7.0,7.025,6.975,7.025,14100,0
1995-10-06,7.025,7.025,6.95,6.975,55400,0
1995-10-09,6.95,7.0,6.925,6.925,15400,0
1995-10-10,6.925,6.925,6.8,6.825,16000,0
1995-10-11,6.825,6.9,6.825,6.825,16100,0
1995-10-12,6.875,7.05,6.875,7.025,34000,0
1995-10-13,7.15,7.275,7.15,7.25,40200,0
1995-10-16,7.3,7.425,7.3,7.375,26000,0
1995-10-17,7.35,7.35,7.275,7.275,30900,0
1995-10-18,7.275,7.475,7.275,7.375,33800,0
1995-10-19,7.425,7.525,7.425,7.525,26100,0
1995-10-20,7.575,7.7,7.575,7.65,42500,0
1995-10-23,7.675,7.675,7.65,7.675,13200,0
1995-10-24,7.625,7.625,7.55,7.55,14300,0
1995-10-25,7.55,7.55,7.525,7.525,56900,0
1995-10-26,7.525,7.55,7.425,7.45,19200,0
1995-10-27,7.425,7.45,7.4,7.45,5000,0
1995-10-30,7.425,7.475,7.425,7.425,3700,0
1995-10-31,7.55,7.65,7.55,7.65,41600,0
1995-11-01,7.625,7.625,7.475,7.5,21400,0
1995-11-02,7.525,7.65,7.525,7.6,58200,0
1995-11-03,7.9,7.925,7.9,7.925,50500,0
1995-11-06,7.925,8.0,7.85,8.0,47000,0
1995-11-07,8.0,8.0,7.925,7.925,38400,0
1995-11-08,7.925,7.95,7.9,7.95,2900,0
1995-11-09,7.925,8.05,7.925,8.025,8300,0
1995-11-10,8.0,8.0,7.95,7.95,2200,0
1995-11-13,7.925,7.925,7.875,7.925,5800,0
1995-11-14,7.9,7.9,7.8,7.8,7100,0
1995-11-15,7.8,7.875,7.8,7.875,2300,0
1995-11-16,7.875,8.0,7.875,8.0,6200,0
1995-11-17,8.0,8.0,8.0,8.0,2900,0
1995-11-20,8.0,8.1,8.0,8.075,5000,0
1995-11-21,8.075,8.125,8.075,8.125,1300,0
1995-11-22,8.1,8.225,8.1,8.225,4300,0
1995-11-24,8.225,8.225,8.15,8.15,2400,0
1995-11-27,8.15,8.15,8.05,8.05,4200,0
1995-11-28,8.05,8.15,8.05,8.125,2400,0
1995-11-29,8.1,8.1,8.075,8.075,1300,0
1995-11-30,8.1,8.175,8.1,8.15,3200,0
1995-12-01,8.15,8.15,8.125,8.125,1700,0
1995-12-04,8.1,8.125,8.1,8.125,1300,0
1995-12-05,8.1,8.125,8.1,8.125,600,0
1995-12-06,8.1,8.1,8.05,8.05,3600,0
1995-12-07,8.1,8.2,8.1,8.175,20500,0
1995-12-08,8.125,8.125,8.1,8.1,1100,0
1995-12-11,8.075,8.075,8.075,8.075,500,0
1995-12-12,8.05,8.05,8.05,8.05,400,0
1995-12-13,8.1,8.1,8.025,8.025,1700,0
1995-12-14,8.0,8.0,7.975,7.975,3400,0
1995-12-15,7.95,7.95,7.95,7.95,1600,0
1995-12-18,7.9,7.9,7.9,7.9,800,0
1995-12-19,7.85,7.85,7.75,7.75,3100,0
1995-12-20,7.75,7.75,7.675,7.675,1300,0
1995-12-21,7.675,7.725,7.65,7.65,1400,0
1995-12-22,7.65,7.65,7.65,7.65,600,0
1995-12-26,7.625,7.625,7.625,7.625,300,0
1995-12-27,7.625,7.675,7.625,7.625,3900,0
1995-12-28,7.7,7.75,7.7,7.75,5600,0
1995-12-29,7.725,7.75,7.725,7.75,2100,0
1996-01-02,7.8,7.85,7.8,7.825,7700,0
1996-01-03,7.875,7.975,7.875,7.95,5000,0
1996-01-04,7.95,7.95,7.8,7.8,3900,0
1996-01-05,7.8,7.825,7.8,7.8,3100,0
1996-01-08,7.75,7.75,7.7,7.7,1700,0
1996-01-09,7.7,7.7,7.6,7.6,3500,0
1996-01-10,7.6,7.6,7.45,7.45,2900,0
1996-01-11,7.45,7.5,7.45,7.45,40800,0
1996-01-12,7.425,7.425,7.35,7.375,3700,0
1996-01-15,7.35,7.375,7.35,7.375,1600,0
1996-01-16,7.35,7.35,7.325,7.325,1300,0
1996-01-17,7.35,7.425,7.35,7.4,2000,0
1996-01-18,7.45,7.5,7.45,7.5,11700,0
1996-01-19,7.4,7.4,7.4,7.4,57000,0
1996-01-22,7.425,7.425,7.4,7.4,400,0
1996-01-23,7.35,7.35,7.2,7.2,3600,0
1996-01-24,7.25,7.3,7.25,7.25,3800,0
1996-01-25,7.3,7.3,7.15,7.15,8800,0
1996-01-26,7.1,7.1,7.075,7.1,4600,0
1996-01-29,7.15,7.25,7.1,7.25,9000,0
1996-01-30,7.25,7.25,7.2,7.2,3600,0
1996-01-31,7.25,7.55,7.25,7.5,34800,0
1996-02-01,7.55,7.7,7.55,7.7,4700,0
1996-02-02,7.7,7.75,7.65,7.65,13500,0
1996-02-05,7.7,7.825,7.7,7.8,4600,0
1996-02-06,7.85,7.95,7.85,7.95,4200,0
1996-02-07,8.0,8.0,8.0,8.0,800,0
1996-02-08,7.975,7.975,7.95,7.975,1700,0
1996-02-09,7.975,8.0,7.875,7.95,23900,0
1996-02-12,8.2,8.4,8.2,8.4,7900,0
1996-02-13,8.325,8.35,8.25,8.25,4700,0
1996-02-14,8.45,8.75,8.45,8.75,16400,0
1996-02-15,8.8,8.8,8.65,8.65,12000,0
1996-02-16,8.6,8.6,8.45,8.45,4000,0
1996-02-20,8.45,8.5,8.425,8.45,5200,0
1996-02-21,8.4,8.45,8.4,8.45,1100,0
1996-02-22,8.45,8.575,8.45,8.5,9300,0
1996-02-23,8.475,8.475,8.4,8.475,7300,0
1996-02-26,8.475,8.475,8.4,8.45,2200,0
1996-02-27,8.4,8.475,8.4,8.475,5500,0
1996-02-28,8.4,8.4,8.325,8.325,27700,0
1996-02-29,8.3,8.3,8.25,8.25,1500,0
1996-03-01,8.275,8.275,8.2,8.2,1600,0
1996-03-04,8.25,8.25,8.2,8.2,1200,0
1996-03-05,8.25,8.25,8.25,8.25,200,0
1996-03-06,8.275,8.275,8.275,8.275,1400,0
1996-03-07,8.225,8.225,8.2,8.225,2600,0
1996-03-08,8.2,8.2,8.15,8.15,1300,0
1996-03-11,8.1,8.1,8.0,8.0,6200,0
1996-03-12,7.95,7.95,7.85,7.85,3500,0
1996-03-13,7.825,7.825,7.8,7.8,1700,0
1996-03-14,7.775,7.8,7.775,7.8,400,0
1996-03-15,7.8,7.8,7.8,7.8,100,0
1996-03-18,7.825,7.9,7.825,7.85,1500,0
1996-03-19,7.9,8.0,7.9,8.0,3000,0
1996-03-20,8.05,8.15,8.05,8.15,2200,0
1996-03-21,8.175,8.225,8.15,8.15,3000,0
1996-03-22,8.1,8.1,8.05,8.05,1900,0
1996-03-25,8.0,8.0,7.95,8.0,1700,0
1996-03-26,7.95,8.1,7.95,8.05,7500,0
1996-03-27,8.05,8.05,7.975,8.025,1400,0
1996-03-28,8.0,8.025,8.0,8.0,600,0
1996-03-29,8.025,8.025,7.975,8.025,1700,0
1996-04-01,8.025,8.025,7.9,7.9,3700,0
1996-04-02,7.95,7.95,7.875,7.9,1900,0
1996-04-03,7.95,8.0,7.95,8.0,900,0
1996-04-04,8.05,8.05,7.95,7.95,5500,0
1996-04-08,7.95,7.95,7.9,7.925,1600,0
1996-04-09,7.925,7.925,7.85,7.85,2200,0
1996-04-10,7.85,7.85,7.8,7.8,1100,0
1996-04-11,7.725,7.725,7.6,7.6,6100,0
1996-04-12,7.6,7.6,7.45,7.5,26300,0
1996-04-15,7.55,7.575,7.475,7.475,2600,0
1996-04-16,7.45,7.45,7.45,7.45,400,0
1996-04-17,7.425,7.5,7.425,7.5,5600,0
1996-04-18,7.55,7.55,7.425,7.45,1800,0
1996-04-19,7.4,7.4,7.35,7.35,2200,0
1996-04-22,7.35,7.375,7.35,7.375,2700,0
1996-04-23,7.425,7.55,7.425,7.45,65600,0
1996-04-24,7.5,7.55,7.5,7.55,2700,0
1996-04-25,7.6,7.6,7.5,7.5,1400,0
1996-04-26,7.5,7.575,7.5,7.575,2000,0
1996-04-29,7.6,7.625,7.575,7.575,2000,0
1996-04-30,7.525,7.525,7.4,7.4,35400,0
1996-05-01,7.45,7.45,7.35,7.35,26800,0
1996-05-02,7.375,7.45,7.375,7.4,15200,0
1996-05-03,7.35,7.375,7.35,7.35,1700,0
1996-05-06,7.35,7.4,7.35,7.35,2800,0
1996-05-07,7.35,7.425,7.35,7.425,3300,0
1996-05-08,7.4,7.4,7.3,7.3,2200,0
1996-05-09,7.325,7.4,7.325,7.4,1400,0
1996-05-10,7.4,7.45,7.4,7.45,500,0
1996-05-13,7.4,7.4,7.3,7.3,3100,0
1996-05-14,7.3,7.3,7.25,7.3,2600,0
1996-05-15,7.325,7.4,7.325,7.4,1200,0
1996-05-16,7.4,7.4,7.4,7.4,400,0
