Date,Open,High,Low,Close,Volume,openinterest
1986-08-01,6.125,6.125,6.0,6.125,422500,0
1986-08-04,6.0,6.125,5.9375,6.0,114000,0
1986-08-05,5.9375,5.9375,5.75,5.9375,62600,0
1986-08-06,5.875,6.0,5.875,5.875,56300,0
1986-08-07,6.0,6.0,5.875,6.0,19100,0
1986-08-08,6.0,6.0,5.9375,6.0,2100,0
1986-08-11,5.9375,6.125,5.9375,5.9375,17600,0
1986-08-12,6.125,6.125,6.0,6.125,7700,0
1986-08-13,6.5625,6.625,6.25,6.5625,51900,0
1986-08-14,6.5,6.8125,6.5,6.5,20700,0
1986-08-15,6.75,6.75,6.5,6.75,23100,0
1986-08-18,6.625,6.75,6.625,6.625,17700,0
1986-08-19,6.5,6.5625,6.5,6.5,17900,0
1986-08-20,6.375,6.5,6.375,6.375,19800,0
1986-08-21,6.6875,6.75,6.4375,6.6875,32400,0
1986-08-22,6.6875,6.6875,6.625,6.6875,2500,0
1986-08-25,6.5625,6.5625,6.5625,6.5625,600,0
1986-08-26,6.1875,6.4375,6.1875,6.1875,8200,0
1986-08-28,6.4375,6.5,6.375,6.4375,31400,0
1986-08-29,6.4375,6.4375,6.4375,6.4375,12400,0
1986-09-02,6.375,6.4375,6.375,6.375,9000,0
1986-09-03,6.25,6.4375,6.25,6.25,80900,0
1986-09-04,6.25,6.25,6.25,6.25,4200,0
1986-09-05,6.25,6.25,6.125,6.25,11400,0
1986-09-08,6.0625,6.125,6.0625,6.0625,7100,0
1986-09-09,6.0,6.0625,6.0,6.0,2200,0
1986-09-10,5.9375,6.0,5.9375,5.9375,32200,0
1986-09-11,5.8125,6.0,5.75,5.8125,10500,0
1986-09-12,5.1875,5.6875,5.1875,5.1875,9800,0
1986-09-15,5.3125,5.3125,5.3125,5.3125,4400,0
1986-09-16,5.375,5.375,5.25,5.375,1400,0
1986-09-17,5.5,5.5,5.5,5.5,2500,0
1986-09-18,5.625,5.75,5.625,5.625,4300,0
1986-09-19,5.875,5.875,5.75,5.875,4200,0
1986-09-22,6.0,6.0,6.0,6.0,6100,0
1986-09-23,6.25,6.375,6.0,6.25,8700,0
1986-09-24,6.25,6.25,6.25,6.25,3700,0
1986-09-25,6.0625,6.25,6.0625,6.0625,1100,0
1986-09-26,6.0,6.0625,5.8125,6.0,15600,0
1986-09-29,5.9375,5.9375,5.9375,5.9375,400,0
1986-09-30,6.125,6.125,6.0625,6.125,1300,0
1986-10-01,6.25,6.25,6.25,6.25,10400,0
1986-10-02,6.25,6.25,6.25,6.25,4100,0
1986-10-03,6.125,6.25,6.125,6.125,1400,0
1986-10-06,6.125,6.125,6.125,6.125,3400,0
1986-10-07,6.125,6.125,6.125,6.125,4100,0
1986-10-08,6.0625,6.125,6.0625,6.0625,1100,0
1986-10-09,5.75,6.0625,5.75,5.75,36800,0
1986-10-10,5.9375,5.9375,5.8125,5.9375,2900,0
1986-10-13,5.875,5.875,5.875,5.875,200,0
1986-10-14,5.9375,5.9375,5.875,5.9375,600,0
1986-10-15,5.9375,5.9375,5.9375,5.9375,1100,0
1986-10-16,5.9375,5.9375,5.9375,5.9375,5200,0
1986-10-17,6.0,6.0,6.0,6.0,1000,0
1986-10-20,5.875,5.875,5.875,5.875,500,0
1986-10-21,5.4375,5.75,5.375,5.4375,48500,0
1986-10-22,5.4375,5.4375,5.4375,5.4375,500,0
1986-10-24,5.4375,5.4375,5.4375,5.4375,200,0
1986-10-27,5.4375,5.4375,5.4375,5.4375,2000,0
1986-10-28,5.4375,5.5,5.4375,5.4375,20400,0
1986-10-29,5.5,5.5,5.5,5.5,34200,0
1986-10-30,5.6875,5.6875,5.625,5.6875,2000,0
1986-10-31,5.75,5.75,5.75,5.75,700,0
1986-11-03,5.9375,5.9375,5.875,5.9375,5300,0
1986-11-04,5.9375,6.0,5.9375,5.9375,23800,0
1986-11-05,6.125,6.125,6.0,6.125,11000,0
1986-11-07,6.0625,6.0625,6.0625,6.0625,1400,0
1986-11-10,6.0625,6.125,6.0625,6.0625,4000,0
1986-11-11,6.125,6.125,6.0625,6.125,1200,0
1986-11-12,5.875,6.0,5.875,5.875,26000,0
1986-11-13,5.875,5.875,5.875,5.875,400,0
1986-11-17,5.875,5.875,5.875,5.875,700,0
1986-11-18,5.75,5.75,5.75,5.75,2500,0
1986-11-19,5.5625,5.625,5.5625,5.5625,1500,0
1986-11-20,5.3125,5.375,5.25,5.3125,4500,0
1986-11-21,5.1875,5.1875,5.1875,5.1875,1500,0
1986-11-24,4.8125,5.0625,4.8125,4.8125,4800,0
1986-11-25,4.75,4.75,4.75,4.75,2300,0
1986-11-26,4.625,4.6875,4.5,4.625,8100,0
1986-11-28,4.75,4.75,4.75,4.75,400,0
1986-12-01,4.9375,4.9375,4.75,4.9375,4100,0
1986-12-02,4.8125,5.0,4.8125,4.8125,14400,0
1986-12-03,4.8125,4.8125,4.8125,4.8125,26600,0
1986-12-04,5.0,5.0,4.9375,5.0,3000,0
1986-12-05,5.0,5.0,5.0,5.0,1500,0
1986-12-08,5.0625,5.0625,5.0625,5.0625,1000,0
1986-12-09,5.25,5.25,5.125,5.25,13500,0
1986-12-10,6.0,6.0,5.375,6.0,27000,0
1986-12-11,5.8125,6.0,5.8125,5.8125,23900,0
1986-12-12,5.8125,5.875,5.8125,5.8125,2800,0
1986-12-15,5.4375,5.75,5.4375,5.4375,5500,0
1986-12-16,5.5,5.5,5.5,5.5,500,0
1986-12-18,5.4375,5.5,5.375,5.4375,800,0
1986-12-19,5.4375,5.4375,5.4375,5.4375,1200,0
1986-12-22,5.4375,5.5,5.375,5.4375,3200,0
1986-12-23,5.5,5.5,5.4375,5.5,1400,0
1986-12-24,5.4375,5.5,5.375,5.4375,6100,0
1986-12-29,5.375,5.375,5.375,5.375,3000,0
1986-12-30,5.4375,5.5,5.375,5.4375,5000,0
1986-12-31,5.4375,5.4375,5.4375,5.4375,500,0
1987-01-05,5.25,5.375,5.25,5.25,5100,0
1987-01-06,5.25,5.25,5.25,5.25,15500,0
1987-01-07,5.125,5.25,5.125,5.125,1700,0
1987-01-09,5.125,5.125,5.125,5.125,1900,0
1987-01-12,5.0625,5.25,5.0625,5.0625,33000,0
1987-01-13,5.125,5.1875,5.0,5.125,12600,0
1987-01-14,5.25,5.25,5.25,5.25,12200,0
1987-01-15,5.1875,5.25,5.125,5.1875,6700,0
