Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.9375,2.03125,1.9375,1.9375,12200,0
1980-03-18,1.9375,2.03125,1.9375,1.9375,4600,0
1980-03-19,1.9375,2.03125,1.9375,1.9375,1000,0
1980-03-20,1.9375,2.03125,1.9375,1.9375,600,0
1980-03-21,1.9375,2.03125,1.9375,1.9375,200,0
1980-03-24,1.875,1.96875,1.875,1.875,5800,0
1980-03-25,1.875,1.96875,1.875,1.875,5900,0
1980-03-26,1.875,1.96875,1.875,1.875,2500,0
1980-03-27,1.84375,1.9375,1.84375,1.84375,6600,0
1980-03-28,1.84375,1.9375,1.84375,1.84375,1300,0
1980-03-31,1.84375,1.9375,1.84375,1.84375,800,0
1980-04-01,1.84375,1.9375,1.84375,1.84375,4400,0
1980-04-02,1.875,1.96875,1.875,1.875,3300,0
1980-04-03,1.875,1.96875,1.875,1.875,3000,0
1980-04-07,1.875,1.96875,1.875,1.875,5200,0
1980-04-08,1.84375,1.9375,1.84375,1.84375,900,0
1980-04-09,1.90625,2.0,1.90625,1.90625,2800,0
1980-04-10,1.875,1.96875,1.875,1.875,100,0
1980-04-11,1.875,1.96875,1.875,1.875,6500,0
1980-04-14,1.875,1.96875,1.875,1.875,9400,0
1980-04-15,1.84375,1.9375,1.84375,1.84375,1600,0
1980-04-16,1.84375,1.9375,1.84375,1.84375,4900,0
1980-04-17,1.84375,1.9375,1.84375,1.84375,800,0
1980-04-18,1.84375,1.9375,1.84375,1.84375,600,0
1980-04-21,1.84375,1.9375,1.84375,1.84375,2700,0
1980-04-22,1.84375,1.9375,1.84375,1.84375,3300,0
1980-04-23,1.875,1.96875,1.875,1.875,3300,0
1980-04-24,1.875,1.96875,1.875,1.875,1200,0
1980-04-25,1.875,1.96875,1.875,1.875,1400,0
1980-04-28,1.875,1.96875,1.875,1.875,1200,0
1980-04-29,1.875,1.96875,1.875,1.875,300,0
1980-04-30,1.875,1.96875,1.875,1.875,400,0
1980-05-01,1.875,1.96875,1.875,1.875,2200,0
1980-05-02,1.90625,2.0,1.90625,1.90625,3900,0
1980-05-05,1.90625,2.0,1.90625,1.90625,13400,0
1980-05-06,1.96875,2.0625,1.96875,1.96875,3500,0
1980-05-07,1.96875,2.0625,1.96875,1.96875,16800,0
1980-05-08,1.96875,2.0625,1.96875,1.96875,9100,0
1980-05-09,1.96875,2.0625,1.96875,1.96875,2800,0
1980-05-12,1.9375,2.03125,1.9375,1.9375,1100,0
1980-05-13,1.96875,2.0625,1.96875,1.96875,1900,0
1980-05-14,1.96875,2.0625,1.96875,1.96875,3300,0
1980-05-15,1.96875,2.0625,1.96875,1.96875,400,0
1980-05-16,1.96875,2.0625,1.96875,1.96875,4500,0
1980-05-19,1.96875,2.0625,1.96875,1.96875,1300,0
1980-05-20,1.9375,2.03125,1.9375,1.9375,3600,0
1980-05-21,1.9375,2.03125,1.9375,1.9375,800,0
1980-05-22,2.0,2.09375,2.0,2.0,1700,0
1980-05-23,2.03125,2.125,2.03125,2.03125,1500,0
1980-05-27,2.03125,2.125,2.03125,2.03125,600,0
1980-05-28,2.03125,2.125,2.03125,2.03125,600,0
1980-05-29,2.03125,2.125,2.03125,2.03125,500,0
1980-05-30,2.03125,2.125,2.03125,2.03125,1300,0
