Date,Open,High,Low,Close,Volume,openinterest
1992-05-19,1.75,1.75,1.65625,1.75,2261900,0
1992-05-20,1.765625,1.859375,1.75,1.84375,499400,0
1992-05-21,1.84375,1.859375,1.796875,1.84375,145600,0
1992-05-22,1.84375,1.90625,1.84375,1.90625,91200,0
1992-05-26,1.90625,1.90625,1.859375,1.875,83600,0
1992-05-27,1.875,1.921875,1.84375,1.875,84200,0
1992-05-28,1.875,1.90625,1.875,1.90625,68100,0
1992-05-29,1.890625,1.984375,1.890625,1.953125,36600,0
1992-06-01,1.96875,2.0625,1.953125,2.0,186200,0
1992-06-02,2.0,2.03125,1.984375,2.015625,177900,0
1992-06-03,2.0,2.015625,1.953125,1.96875,143300,0
1992-06-04,1.96875,1.984375,1.953125,1.96875,51100,0
1992-06-05,1.984375,1.984375,1.96875,1.984375,61400,0
1992-06-08,1.984375,1.984375,1.9375,1.96875,87700,0
1992-06-09,1.984375,1.984375,1.875,1.921875,110000,0
1992-06-10,1.90625,1.921875,1.890625,1.921875,56100,0
1992-06-11,1.9375,1.96875,1.921875,1.9375,26100,0
1992-06-12,1.96875,2.0,1.953125,1.96875,64800,0
1992-06-15,1.9375,2.015625,1.9375,1.984375,47500,0
1992-06-16,2.0,2.0,1.90625,1.921875,27000,0
1992-06-17,1.953125,1.96875,1.921875,1.9375,102100,0
1992-06-18,1.953125,1.953125,1.921875,1.921875,27600,0
1992-06-19,1.90625,1.921875,1.90625,1.921875,24100,0
1992-06-22,1.9375,1.953125,1.890625,1.9375,119300,0
1992-06-23,1.96875,2.0,1.953125,1.96875,175400,0
1992-06-24,1.96875,2.0,1.9375,2.0,171100,0
1992-06-25,2.0,2.03125,1.984375,2.0,57800,0
1992-06-26,1.984375,2.03125,1.984375,2.03125,100400,0
1992-06-29,2.046875,2.15625,2.046875,2.125,36900,0
1992-06-30,2.09375,2.28125,2.09375,2.28125,68200,0
1992-07-01,2.3125,2.390625,2.171875,2.375,272500,0
1992-07-02,2.375,2.390625,2.296875,2.3125,137400,0
1992-07-06,2.328125,2.359375,2.328125,2.359375,182200,0
1992-07-07,2.34375,2.359375,2.34375,2.34375,86600,0
1992-07-08,2.3125,2.328125,2.203125,2.265625,132600,0
1992-07-09,2.3125,2.40625,2.3125,2.375,168000,0
1992-07-10,2.375,2.46875,2.375,2.46875,110200,0
1992-07-13,2.46875,2.46875,2.390625,2.4375,48400,0
1992-07-14,2.4375,2.4375,2.34375,2.375,40200,0
1992-07-15,2.375,2.375,2.296875,2.34375,39200,0
1992-07-16,2.359375,2.359375,2.296875,2.359375,89700,0
1992-07-17,2.359375,2.359375,2.34375,2.34375,4900,0
1992-07-20,2.34375,2.34375,2.28125,2.28125,5600,0
1992-07-21,2.28125,2.296875,2.28125,2.28125,38000,0
1992-07-22,2.28125,2.296875,2.25,2.25,63300,0
1992-07-23,2.25,2.28125,2.21875,2.25,73000,0
1992-07-24,2.25,2.28125,2.21875,2.234375,55800,0
1992-07-27,2.265625,2.3125,2.265625,2.28125,38800,0
1992-07-28,2.296875,2.3125,2.21875,2.296875,120100,0
1992-07-29,2.296875,2.390625,2.296875,2.375,133800,0
1992-07-30,2.359375,2.375,2.34375,2.375,77300,0
1992-07-31,2.375,2.421875,2.375,2.421875,62500,0
1992-08-03,2.421875,2.53125,2.421875,2.5,32500,0
1992-08-04,2.515625,2.625,2.515625,2.59375,84500,0
1992-08-05,2.59375,2.703125,2.578125,2.703125,25600,0
