Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,7.5,7.9375,7.5,7.5,48800,0
1980-03-18,7.75,7.75,7.4375,7.75,62800,0
1980-03-19,7.96875,8.09375,7.96875,7.96875,52300,0
1980-03-20,7.8125,8.03125,7.8125,7.8125,21500,0
1980-03-21,7.9375,7.9375,7.75,7.9375,34100,0
1980-03-24,7.625,7.875,7.625,7.625,32700,0
1980-03-25,7.4375,7.71875,7.4375,7.4375,61300,0
1980-03-26,7.46875,7.625,7.4375,7.46875,176200,0
1980-03-27,7.0625,7.46875,6.6875,7.0625,54800,0
1980-03-28,7.375,7.375,6.875,7.375,116700,0
1980-03-31,7.40625,7.59375,7.34375,7.40625,49100,0
1980-04-01,7.5,7.5,7.375,7.5,41300,0
1980-04-02,7.8125,7.875,7.5,7.8125,43400,0
1980-04-03,7.875,7.9375,7.84375,7.875,13500,0
1980-04-07,7.75,7.90625,7.5625,7.75,29000,0
1980-04-08,7.875,7.875,7.65625,7.875,17200,0
1980-04-09,7.90625,7.9375,7.8125,7.90625,34000,0
1980-04-10,7.90625,7.96875,7.84375,7.90625,48300,0
1980-04-11,7.65625,7.90625,7.65625,7.65625,33900,0
1980-04-14,7.65625,7.75,7.65625,7.65625,7700,0
1980-04-15,7.75,7.9375,7.65625,7.75,52300,0
1980-04-16,7.59375,7.8125,7.5625,7.59375,51600,0
1980-04-17,7.59375,7.59375,7.5625,7.59375,30900,0
1980-04-18,7.59375,7.75,7.5,7.59375,17400,0
1980-04-21,7.4375,7.65625,7.375,7.4375,17500,0
1980-04-22,7.65625,7.6875,7.5,7.65625,46900,0
1980-04-23,7.71875,7.8125,7.6875,7.71875,29900,0
1980-04-24,7.9375,7.9375,7.78125,7.9375,55600,0
1980-04-25,7.9375,7.9375,7.75,7.9375,34000,0
1980-04-28,7.875,7.96875,7.875,7.875,10100,0
1980-04-29,7.96875,7.96875,7.8125,7.96875,38100,0
1980-04-30,7.96875,7.96875,7.9375,7.96875,48000,0
1980-05-01,7.8125,7.96875,7.8125,7.8125,20400,0
1980-05-02,7.84375,7.875,7.78125,7.84375,22300,0
1980-05-05,7.84375,7.84375,7.78125,7.84375,12900,0
1980-05-06,7.625,7.90625,7.625,7.625,36800,0
1980-05-07,7.5,7.6875,7.5,7.5,46000,0
1980-05-08,7.40625,7.53125,7.40625,7.40625,34000,0
1980-05-09,7.28125,7.40625,7.25,7.28125,23700,0
1980-05-12,7.40625,7.40625,7.28125,7.40625,27600,0
1980-05-13,7.625,7.65625,7.53125,7.625,26500,0
1980-05-14,7.90625,7.9375,7.6875,7.90625,40000,0
1980-05-15,7.875,7.96875,7.875,7.875,19700,0
1980-05-16,8.0,8.09375,7.96875,8.0,25900,0
1980-05-19,8.09375,8.125,8.0,8.09375,42200,0
1980-05-20,7.96875,8.03125,7.90625,7.96875,11600,0
1980-05-21,8.0,8.0,7.96875,8.0,27100,0
1980-05-22,8.15625,8.15625,7.96875,8.15625,30700,0
1980-05-23,8.25,8.25,8.125,8.25,24800,0
1980-05-27,8.3125,8.3125,8.21875,8.3125,24400,0
1980-05-28,8.3125,8.3125,8.1875,8.3125,29400,0
1980-05-29,7.9375,8.34375,7.9375,7.9375,18500,0
1980-05-30,7.875,8.0,7.875,7.875,48700,0
1980-06-02,7.90625,7.9375,7.875,7.90625,7900,0
1980-06-03,8.0625,8.0625,7.875,8.0625,26100,0
1980-06-04,8.4375,8.4375,8.03125,8.4375,53800,0
1980-06-05,8.40625,8.5,8.40625,8.40625,78500,0
1980-06-06,8.59375,8.625,8.4375,8.59375,54800,0
1980-06-09,8.875,8.875,8.75,8.875,47400,0
1980-06-10,8.75,9.0,8.75,8.75,41300,0
1980-06-11,8.875,8.9375,8.75,8.875,73800,0
1980-06-12,8.75,9.0,8.6875,8.75,52100,0
1980-06-13,8.9375,8.9375,8.84375,8.9375,13600,0
1980-06-16,8.9375,8.96875,8.75,8.9375,21900,0
1980-06-17,9.03125,9.0625,8.84375,9.03125,28600,0
1980-06-18,9.375,9.4375,9.125,9.375,94300,0
1980-06-19,9.4375,9.59375,9.375,9.4375,58900,0
1980-06-20,9.34375,9.4375,9.28125,9.34375,179100,0
1980-06-23,9.1875,9.34375,9.125,9.1875,49400,0
1980-06-24,9.1875,9.21875,9.09375,9.1875,58800,0
1980-06-25,9.1875,9.1875,9.0625,9.1875,24200,0
1980-06-26,9.5,9.625,9.5,9.5,180000,0
1980-06-27,9.375,9.53125,9.25,9.375,118000,0
1980-06-30,9.09375,9.4375,9.0625,9.09375,65600,0
1980-07-01,9.3125,9.34375,9.0,9.3125,30100,0
1980-07-02,9.15625,9.28125,9.15625,9.15625,37600,0
1980-07-03,9.46875,9.5,9.0,9.46875,77000,0
1980-07-07,9.34375,9.46875,9.3125,9.34375,62300,0
1980-07-08,9.4375,9.4375,9.375,9.4375,89700,0
1980-07-09,9.5,9.5625,9.40625,9.5,136300,0
1980-07-10,9.53125,9.59375,9.5,9.53125,65700,0
1980-07-11,9.6875,9.6875,9.5,9.6875,32300,0
1980-07-14,10.15625,10.15625,9.65625,10.15625,49900,0
1980-07-15,10.125,10.46875,10.125,10.125,42300,0
1980-07-16,9.96875,10.09375,9.9375,9.96875,47500,0
1980-07-17,10.1875,10.3125,10.0,10.1875,89100,0
1980-07-18,10.0625,10.25,10.0625,10.0625,48000,0
1980-07-21,9.96875,10.09375,9.78125,9.96875,50900,0
1980-07-22,10.09375,10.28125,9.96875,10.09375,40100,0
1980-07-23,10.15625,10.4375,10.125,10.15625,47400,0
1980-07-24,10.34375,10.34375,10.0625,10.34375,47900,0
1980-07-25,10.09375,10.625,10.0,10.09375,137800,0
1980-07-28,10.25,10.3125,10.09375,10.25,42100,0
1980-07-29,10.46875,10.46875,10.1875,10.46875,25200,0
1980-07-30,11.0,11.0625,10.59375,11.0,56900,0
1980-07-31,10.9375,11.09375,10.6875,10.9375,48400,0
1980-08-01,10.875,10.96875,10.75,10.875,20300,0
1980-08-04,11.09375,11.09375,10.6875,11.09375,37900,0
1980-08-05,10.90625,11.03125,10.75,10.90625,107000,0
1980-08-06,11.0625,11.0625,10.6875,11.0625,21200,0
1980-08-07,11.25,11.375,11.1875,11.25,84800,0
1980-08-08,11.25,11.375,11.1875,11.25,75500,0
1980-08-11,11.3125,11.3125,11.125,11.3125,25300,0
1980-08-12,11.28125,11.46875,11.21875,11.28125,44800,0
1980-08-13,11.125,11.3125,11.125,11.125,28100,0
1980-08-14,10.875,11.0625,10.875,10.875,19100,0
1980-08-15,10.875,10.9375,10.8125,10.875,119900,0
1980-08-18,10.9375,11.0,10.84375,10.9375,35600,0
1980-08-19,10.96875,10.96875,10.90625,10.96875,26800,0
1980-08-20,10.96875,11.03125,10.9375,10.96875,146500,0
1980-08-21,10.96875,10.96875,10.9375,10.96875,29200,0
1980-08-22,10.875,11.09375,10.625,10.875,138200,0
1980-08-25,10.71875,10.875,10.6875,10.71875,14200,0
1980-08-26,10.6875,10.78125,10.625,10.6875,54900,0
1980-08-27,10.46875,10.59375,10.375,10.46875,32900,0
1980-08-28,10.4375,10.4375,10.375,10.4375,16300,0
1980-08-29,10.40625,10.46875,10.3125,10.40625,6200,0
1980-09-02,10.5,10.625,10.46875,10.5,38400,0
1980-09-03,10.65625,10.75,10.59375,10.65625,23800,0
1980-09-04,10.6875,10.90625,10.65625,10.6875,44700,0
1980-09-05,10.84375,10.84375,10.65625,10.84375,32000,0
1980-09-08,10.40625,10.84375,10.3125,10.40625,74200,0
1980-09-09,10.5625,10.5625,10.25,10.5625,57100,0
1980-09-10,10.8125,10.8125,10.6875,10.8125,50700,0
1980-09-11,10.78125,10.8125,10.71875,10.78125,68600,0
1980-09-12,10.71875,10.84375,10.6875,10.71875,35400,0
1980-09-15,10.78125,10.78125,10.71875,10.78125,23100,0
1980-09-16,10.96875,10.96875,10.75,10.96875,70000,0
1980-09-17,11.3125,11.375,11.0,11.3125,75600,0
1980-09-18,11.34375,11.40625,11.3125,11.34375,52700,0
1980-09-19,11.53125,11.59375,11.34375,11.53125,30100,0
1980-09-22,11.34375,11.5,11.25,11.34375,77100,0
1980-09-23,11.4375,11.5,11.3125,11.4375,28500,0
1980-09-24,11.03125,11.3125,11.0,11.03125,36100,0
1980-09-25,11.09375,11.21875,11.0625,11.09375,22200,0
1980-09-26,10.84375,11.0625,10.78125,10.84375,44700,0
1980-09-29,10.4375,10.71875,10.3125,10.4375,28100,0
1980-09-30,10.96875,11.0,10.3125,10.96875,34600,0
1980-10-01,10.875,10.9375,10.6875,10.875,25200,0
1980-10-02,11.03125,11.0625,10.875,11.03125,55800,0
1980-10-03,11.3125,11.3125,11.0,11.3125,57100,0
1980-10-06,11.46875,11.46875,11.25,11.46875,41700,0
1980-10-07,11.5,11.5625,11.46875,11.5,66800,0
1980-10-08,11.875,11.9375,11.4375,11.875,62100,0
1980-10-09,12.1875,12.25,11.9375,12.1875,32100,0
1980-10-10,12.3125,12.5,12.28125,12.3125,42700,0
1980-10-13,12.28125,12.40625,12.15625,12.28125,9800,0
1980-10-14,12.5,12.5,12.25,12.5,16200,0
1980-10-15,12.75,12.84375,12.5,12.75,18000,0
1980-10-16,12.71875,13.4375,12.71875,12.71875,69000,0
1980-10-17,12.75,12.75,12.4375,12.75,39500,0
1980-10-20,13.09375,13.1875,12.8125,13.09375,21200,0
1980-10-21,12.875,13.1875,12.84375,12.875,41700,0
1980-10-22,13.0625,13.15625,12.8125,13.0625,27600,0
1980-10-23,13.0,13.1875,13.0,13.0,57000,0
1980-10-24,13.09375,13.125,12.9375,13.09375,45100,0
1980-10-27,12.96875,13.125,12.96875,12.96875,73200,0
1980-10-28,12.9375,13.03125,12.6875,12.9375,38600,0
1980-10-29,12.875,13.0,12.84375,12.875,25100,0
1980-10-30,12.875,12.90625,12.8125,12.875,28100,0
1980-10-31,12.875,12.9375,12.75,12.875,8400,0
1980-11-03,12.9375,12.9375,12.84375,12.9375,33800,0
1980-11-05,13.25,13.6875,13.25,13.25,53000,0
1980-11-06,13.15625,13.375,13.125,13.15625,53200,0
1980-11-07,13.0,13.1875,12.96875,13.0,63300,0
1980-11-10,12.8125,12.9375,12.75,12.8125,10900,0
1980-11-11,12.5625,12.75,12.46875,12.5625,26000,0
1980-11-12,12.875,12.96875,12.625,12.875,22800,0
1980-11-13,13.3125,13.3125,12.9375,13.3125,53300,0
1980-11-14,13.5625,13.5625,13.34375,13.5625,32200,0
1980-11-17,13.8125,13.8125,13.3125,13.8125,39300,0
1980-11-18,13.625,13.90625,13.625,13.625,27300,0
1980-11-19,13.84375,13.9375,13.5,13.84375,38300,0
1980-11-20,13.8125,13.84375,13.59375,13.8125,29400,0
1980-11-21,13.25,13.75,13.25,13.25,16600,0
1980-11-24,13.1875,13.1875,12.9375,13.1875,31600,0
1980-11-25,13.0625,13.15625,13.03125,13.0625,19600,0
1980-11-26,13.09375,13.125,13.03125,13.09375,9000,0
1980-11-28,13.0,13.0625,12.96875,13.0,21800,0
1980-12-01,13.0,13.0625,13.0,13.0,26200,0
1980-12-02,13.125,13.125,13.0,13.125,18000,0
1980-12-03,13.3125,13.46875,13.15625,13.3125,23800,0
1980-12-04,13.3125,13.375,13.28125,13.3125,13900,0
1980-12-05,13.1875,13.3125,13.15625,13.1875,15200,0
1980-12-08,12.875,13.125,12.875,12.875,44300,0
1980-12-09,12.8125,12.875,12.75,12.8125,30600,0
1980-12-10,12.78125,12.8125,12.78125,12.78125,13700,0
1980-12-11,12.28125,12.625,12.125,12.28125,41900,0
1980-12-12,12.3125,12.34375,12.15625,12.3125,58600,0
1980-12-15,12.375,12.625,12.375,12.375,29300,0
1980-12-16,12.28125,12.3125,12.25,12.28125,22300,0
1980-12-17,12.375,12.375,12.28125,12.375,4500,0
1980-12-18,12.84375,12.9375,12.46875,12.84375,30800,0
1980-12-19,13.1875,13.1875,12.75,13.1875,20200,0
1980-12-22,13.75,13.8125,13.1875,13.75,28400,0
1980-12-23,13.5,13.875,13.5,13.5,22600,0
1980-12-24,13.5625,13.59375,13.375,13.5625,9300,0
1980-12-26,13.375,13.59375,13.25,13.375,6000,0
1980-12-29,13.25,13.375,13.1875,13.25,4300,0
1980-12-30,13.03125,13.1875,13.03125,13.03125,5100,0
1980-12-31,13.03125,13.25,13.0,13.03125,9000,0
1981-01-02,13.0,13.125,13.0,13.0,14500,0
1981-01-05,13.21875,13.375,13.09375,13.21875,36900,0
1981-01-06,13.125,13.21875,13.09375,13.125,30800,0
1981-01-07,12.625,12.75,12.5,12.625,94500,0
1981-01-08,12.4375,12.75,12.25,12.4375,102100,0
1981-01-09,12.25,12.46875,12.25,12.25,139800,0
1981-01-12,12.25,12.34375,12.25,12.25,15200,0
1981-01-13,12.1875,12.25,12.09375,12.1875,56600,0
1981-01-14,12.4375,12.46875,12.21875,12.4375,18800,0
1981-01-15,12.3125,12.46875,12.3125,12.3125,36000,0
