Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,6.1565,6.266,6.125,6.1565,58400,0
1980-03-18,6.3125,6.3285,6.141,6.3125,81900,0
1980-03-19,6.25,6.4375,6.1565,6.25,71200,0
1980-03-20,6.125,6.2345,6.093999999999999,6.125,47400,0
1980-03-21,5.9845,6.0785,5.968999999999999,5.9845,33000,0
1980-03-24,5.7815,5.9845,5.75,5.7815,125600,0
1980-03-25,5.7815,6.0,5.718999999999999,5.7815,57400,0
1980-03-26,5.8125,5.922000000000001,5.8125,5.8125,80700,0
1980-03-27,5.875,5.875,5.75,5.875,88700,0
1980-03-28,6.047000000000001,6.093999999999999,5.875,6.047000000000001,71000,0
1980-03-31,6.297000000000001,6.3125,6.093999999999999,6.297000000000001,160300,0
1980-04-01,6.2815,6.3285,6.1565,6.2815,92000,0
1980-04-02,6.4535,6.4845,6.266,6.4535,60600,0
1980-04-03,6.5315,6.5785,6.4845,6.5315,120500,0
1980-04-07,6.4375,6.547000000000001,6.4375,6.4375,79700,0
1980-04-08,6.5315,6.5315,6.391,6.5315,61900,0
1980-04-09,6.4845,6.547000000000001,6.4535,6.4845,74700,0
1980-04-10,6.4375,6.4845,6.3285,6.4375,59800,0
1980-04-11,6.3125,6.4065,6.266,6.3125,33600,0
1980-04-14,6.218999999999999,6.25,6.2035,6.218999999999999,32100,0
1980-04-15,6.25,6.25,6.218999999999999,6.25,18100,0
1980-04-16,6.141,6.3125,6.093999999999999,6.141,65200,0
1980-04-17,6.093999999999999,6.1565,6.093999999999999,6.093999999999999,30300,0
1980-04-18,6.125,6.1565,6.093999999999999,6.125,54400,0
1980-04-21,6.016,6.141,6.016,6.016,39900,0
1980-04-22,6.2035,6.2035,6.125,6.2035,37400,0
1980-04-23,6.297000000000001,6.3125,6.1875,6.297000000000001,41800,0
1980-04-24,6.4065,6.422000000000001,6.2345,6.4065,30200,0
1980-04-25,6.391,6.4065,6.3125,6.391,42000,0
1980-04-28,6.422000000000001,6.468999999999999,6.375,6.422000000000001,37100,0
1980-04-29,6.3595,6.391,6.343999999999999,6.3595,27400,0
1980-04-30,6.297000000000001,6.3285,6.25,6.297000000000001,50900,0
1980-05-01,6.2345,6.3125,6.1875,6.2345,60700,0
1980-05-02,6.141,6.25,6.141,6.141,50200,0
1980-05-05,6.1565,6.1565,6.0785,6.1565,47200,0
1980-05-06,6.266,6.3125,6.172000000000001,6.266,68600,0
1980-05-07,6.4535,6.4535,6.25,6.4535,91700,0
1980-05-08,6.4065,6.5785,6.375,6.4065,64800,0
1980-05-09,6.1875,6.422000000000001,6.172000000000001,6.1875,53600,0
1980-05-12,6.1875,6.2345,6.093999999999999,6.1875,17500,0
1980-05-13,6.125,6.25,6.1095,6.125,89500,0
1980-05-14,6.1565,6.1565,6.0625,6.1565,72100,0
1980-05-15,6.2035,6.2035,6.125,6.2035,136100,0
1980-05-16,6.2035,6.2035,6.0625,6.2035,307500,0
1980-05-19,6.125,6.172000000000001,6.1095,6.125,66500,0
1980-05-20,6.2035,6.2035,6.141,6.2035,66400,0
1980-05-21,6.1095,6.1875,6.0785,6.1095,66800,0
1980-05-22,6.2035,6.2035,6.0785,6.2035,120800,0
1980-05-23,6.2815,6.3125,6.2035,6.2815,255100,0
1980-05-27,6.266,6.3595,6.25,6.266,116300,0
1980-05-28,6.2035,6.2815,6.2035,6.2035,118700,0
1980-05-29,6.2035,6.25,6.1875,6.2035,99100,0
1980-05-30,6.297000000000001,6.297000000000001,6.1875,6.297000000000001,104000,0
1980-06-02,6.3125,6.3285,6.2815,6.3125,140700,0
