Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,3.71895,3.81245,3.71895,3.71895,4000,0
1980-03-18,3.74995,3.81245,3.71895,3.74995,2000,0
1980-03-19,3.74995,3.84395,3.65645,3.74995,9200,0
1980-03-20,3.81245,3.81245,3.74995,3.81245,1800,0
1980-03-21,3.71895,3.81245,3.65645,3.71895,2600,0
1980-03-24,3.65645,3.74995,3.65645,3.65645,1500,0
1980-03-25,3.71895,3.71895,3.65645,3.71895,1200,0
1980-03-26,3.84395,3.84395,3.71895,3.84395,1800,0
1980-03-27,3.71895,3.84395,3.65645,3.71895,2300,0
1980-03-28,3.65645,3.65645,3.65645,3.65645,300,0
1980-03-31,3.84395,3.84395,3.65645,3.84395,4100,0
1980-04-01,3.84395,3.87495,3.78145,3.84395,2700,0
1980-04-02,4.03145,4.03145,3.87495,4.03145,900,0
1980-04-03,3.90645,4.03145,3.90645,3.90645,2200,0
1980-04-07,3.93745,3.99995,3.90645,3.93745,1900,0
1980-04-08,4.06245,4.06245,3.90645,4.06245,2000,0
1980-04-09,3.99995,4.06245,3.90645,3.99995,2300,0
1980-04-10,4.03145,4.06245,3.93745,4.03145,4500,0
1980-04-11,4.06245,4.15645,3.99995,4.06245,3700,0
1980-04-14,4.24995,4.31245,4.15645,4.24995,5200,0
1980-04-15,4.31245,4.31245,4.24995,4.31245,2400,0
1980-04-16,4.43745,4.46895,4.34395,4.43745,3400,0
1980-04-17,4.56245,4.56245,4.31245,4.56245,3400,0
1980-04-18,4.59395,4.74995,4.56245,4.59395,7000,0
1980-04-21,4.56245,4.59395,4.49995,4.56245,3200,0
1980-04-22,4.56245,4.56245,4.49995,4.56245,1600,0
1980-04-23,4.53145,4.59395,4.53145,4.53145,2100,0
1980-04-24,4.34395,4.53145,4.31245,4.34395,2400,0
1980-04-25,4.49995,4.49995,4.37495,4.49995,1300,0
1980-04-28,4.49995,4.53145,4.49995,4.49995,900,0
1980-04-29,4.40645,4.46895,4.40645,4.40645,1400,0
1980-04-30,4.37495,4.43745,4.37495,4.37495,3700,0
1980-05-01,4.34395,4.46895,4.24995,4.34395,4400,0
1980-05-02,4.31245,4.37495,4.31245,4.31245,900,0
1980-05-05,4.37495,4.46895,4.28145,4.37495,6400,0
1980-05-06,4.40645,4.43745,4.31245,4.40645,2800,0
1980-05-07,4.46895,4.49995,4.43745,4.46895,3700,0
1980-05-08,4.46895,4.46895,4.40645,4.46895,4300,0
1980-05-09,4.40645,4.46895,4.37495,4.40645,2300,0
1980-05-12,4.46895,4.46895,4.34395,4.46895,1900,0
1980-05-13,4.46895,4.46895,4.40645,4.46895,3400,0
1980-05-14,4.46895,4.49995,4.46895,4.46895,2500,0
1980-05-15,4.46895,4.49995,4.46895,4.46895,4000,0
1980-05-16,4.49995,4.49995,4.40645,4.49995,4100,0
1980-05-19,4.40645,4.49995,4.40645,4.40645,2400,0
1980-05-20,4.40645,4.46895,4.40645,4.40645,1100,0
1980-05-21,4.43745,4.46895,4.40645,4.43745,2100,0
1980-05-22,4.49995,4.49995,4.46895,4.49995,1400,0
1980-05-23,4.49995,4.53145,4.43745,4.49995,2500,0
1980-05-27,4.56245,4.56245,4.53145,4.56245,2900,0
1980-05-28,4.53145,4.56245,4.53145,4.53145,2500,0
1980-05-29,4.56245,4.59395,4.53145,4.56245,3300,0
1980-05-30,4.49995,4.56245,4.49995,4.49995,1800,0
1980-06-02,4.56245,4.59395,4.46895,4.56245,2700,0
1980-06-03,4.53145,4.56245,4.43745,4.53145,2400,0
1980-06-04,4.53145,4.56245,4.46895,4.53145,4600,0
1980-06-05,4.59395,4.59395,4.49995,4.59395,4600,0
1980-06-06,4.56245,4.59395,4.56245,4.56245,1900,0
1980-06-09,4.65645,4.68745,4.59395,4.65645,4700,0
1980-06-10,4.65645,4.65645,4.56245,4.65645,4900,0
1980-06-11,4.56245,4.65645,4.56245,4.56245,5500,0
1980-06-12,4.56245,4.62495,4.53145,4.56245,5000,0
1980-06-13,4.62495,4.65645,4.59395,4.62495,1300,0
1980-06-16,4.65645,4.65645,4.56245,4.65645,8900,0
1980-06-17,4.65645,4.65645,4.59395,4.65645,5100,0
1980-06-18,4.65645,4.65645,4.59395,4.65645,3900,0
1980-06-19,4.68745,4.74995,4.65645,4.68745,5700,0
1980-06-20,4.78145,4.78145,4.71895,4.78145,5500,0
1980-06-23,4.81245,4.81245,4.74995,4.81245,3700,0
1980-06-24,4.87495,4.90645,4.78145,4.87495,6700,0
1980-06-25,4.90645,4.90645,4.84395,4.90645,4700,0
1980-06-26,4.93745,4.93745,4.81245,4.93745,5700,0
1980-06-27,4.87495,4.93745,4.87495,4.87495,1300,0
1980-06-30,4.87495,4.90645,4.81245,4.87495,5000,0
1980-07-01,4.81245,4.90645,4.74995,4.81245,3000,0
1980-07-02,4.78145,4.84395,4.78145,4.78145,2000,0
1980-07-03,4.74995,4.84395,4.74995,4.74995,3200,0
1980-07-07,4.84395,4.84395,4.78145,4.84395,2000,0
1980-07-08,4.81245,4.87495,4.71895,4.81245,7000,0
1980-07-09,4.74995,4.87495,4.74995,4.74995,3400,0
