Date,Open,High,Low,Close,Volume,openinterest
1992-02-05,8.25,9.125,8.25,8.625,6662900,0
1992-02-06,8.625,8.625,8.375,8.4375,2848200,0
1992-02-07,8.4375,8.4375,7.8125,7.8125,849000,0
1992-02-10,7.875,7.875,7.5,7.5625,552200,0
1992-02-11,7.5625,7.6875,7.5625,7.6875,328100,0
1992-02-12,7.6875,8.0,7.625,7.9375,314800,0
1992-02-13,8.0,8.1875,7.9375,8.0,404100,0
1992-02-14,8.0,8.0,7.8125,7.8125,209000,0
1992-02-18,7.875,7.875,7.75,7.8125,343600,0
1992-02-19,7.8125,8.0,7.8125,8.0,319000,0
1992-02-20,8.0,8.0,7.8125,7.8125,69500,0
1992-02-21,7.9375,7.9375,7.875,7.9375,205300,0
1992-02-24,7.9375,8.0,7.875,7.9375,176900,0
1992-02-25,7.9375,7.9375,7.625,7.6875,295200,0
1992-02-26,7.75,7.8125,7.5625,7.625,77600,0
1992-02-27,7.625,7.875,7.625,7.6875,219000,0
1992-02-28,7.875,7.875,7.75,7.75,133300,0
1992-03-02,7.625,7.9375,7.625,7.8125,41900,0
1992-03-03,7.75,7.875,7.75,7.875,88700,0
1992-03-04,7.875,7.875,7.75,7.75,123900,0
1992-03-05,7.8125,7.875,7.6875,7.6875,65600,0
1992-03-06,7.6875,7.8125,7.6875,7.8125,226700,0
1992-03-09,7.75,7.8125,7.75,7.8125,57000,0
1992-03-10,7.75,7.8125,7.75,7.75,28900,0
1992-03-11,7.75,7.8125,7.6875,7.6875,52100,0
1992-03-12,7.75,7.75,7.6875,7.6875,35400,0
1992-03-13,7.6875,7.75,7.6875,7.6875,62400,0
1992-03-16,7.75,7.75,7.625,7.75,17300,0
1992-03-17,7.6875,7.75,7.6875,7.6875,103100,0
1992-03-18,7.6875,7.6875,7.5625,7.6875,26500,0
1992-03-19,7.6875,7.6875,7.5,7.5625,77800,0
1992-03-20,7.5,7.5,7.125,7.25,107600,0
1992-03-23,7.125,7.1875,6.875,7.0,65800,0
1992-03-24,7.0,7.0625,6.75,7.0,115600,0
1992-03-25,7.0,7.9375,7.0,7.875,331000,0
1992-03-26,7.8125,7.9375,7.625,7.625,81300,0
1992-03-27,7.625,7.625,7.3125,7.3125,60300,0
1992-03-30,7.375,7.375,7.1875,7.1875,48100,0
1992-03-31,7.125,7.1875,7.0625,7.125,48200,0
1992-04-01,7.0625,7.25,7.0625,7.0625,251800,0
1992-04-02,7.125,7.5625,7.125,7.5,681900,0
1992-04-03,7.4375,7.5,7.3125,7.3125,154300,0
1992-04-06,7.4375,7.4375,7.0,7.125,220300,0
1992-04-07,7.1875,7.3125,6.875,6.9375,67100,0
1992-04-08,6.8125,6.875,6.4375,6.75,68300,0
1992-04-09,7.0,7.0,6.5,6.5,90600,0
1992-04-10,6.5625,6.75,6.5,6.75,83300,0
1992-04-13,6.8125,7.0,6.625,6.9375,73400,0
1992-04-14,7.0625,7.0625,6.875,7.0,80700,0
1992-04-15,7.0,7.3125,6.9375,7.125,80300,0
1992-04-16,7.0625,7.125,6.875,6.9375,56600,0
1992-04-20,6.9375,6.9375,6.6875,6.6875,39600,0
1992-04-21,6.625,6.6875,6.4375,6.5,61700,0
1992-04-22,6.5,6.5,6.3125,6.5,71300,0
1992-04-23,6.5,6.5,5.875,6.0,161400,0
1992-04-27,5.75,6.0,5.75,5.875,123600,0
1992-04-28,5.875,5.875,5.75,5.8125,290800,0
1992-04-29,5.75,6.25,5.6875,6.25,258800,0
1992-04-30,6.375,6.75,6.375,6.6875,355400,0
1992-05-01,6.9375,6.9375,6.6875,6.6875,99600,0
1992-05-04,6.75,6.8125,6.6875,6.8125,85200,0
1992-05-05,6.8125,6.8125,6.625,6.6875,35000,0
1992-05-06,6.6875,6.9375,6.6875,6.8125,142700,0
1992-05-07,6.875,6.875,6.75,6.8125,62500,0
1992-05-08,6.75,6.75,6.4375,6.5,33000,0
1992-05-11,6.4375,6.875,6.4375,6.875,125900,0
1992-05-12,6.875,6.875,6.625,6.625,250100,0
1992-05-13,6.6875,6.9375,6.4375,6.4375,323100,0
1992-05-14,6.4375,6.4375,6.3125,6.375,111500,0
1992-05-15,6.25,6.375,6.0625,6.1875,321500,0
1992-05-18,6.25,6.25,6.0625,6.1875,160000,0
1992-05-19,6.25,6.3125,6.125,6.1875,288000,0
1992-05-20,6.0625,6.125,5.8125,6.0,1139400,0
1992-05-21,5.8125,6.0,5.8125,5.9375,8982600,0
1992-05-22,6.0625,6.3125,6.0625,6.3125,4177800,0
1992-05-26,6.3125,6.3125,6.0,6.125,1746500,0
1992-05-27,6.1875,6.3125,6.125,6.25,1511400,0
1992-05-28,6.1875,6.3125,6.1875,6.25,1359200,0
1992-05-29,6.3125,6.4375,6.25,6.4375,1212100,0
1992-06-01,6.375,6.4375,6.25,6.375,1641600,0
1992-06-02,6.3125,6.375,6.25,6.375,1373800,0
