Date,Open,High,Low,Close,Volume,openinterest
2000-04-05,12.9216,14.0356,12.7545,13.8128,65621300,0
2000-04-06,13.7014,13.9242,13.59,13.8685,15204800,0
2000-04-07,13.7014,13.8685,13.4786,13.6457,13486200,0
2000-04-10,13.7571,13.8128,13.59,13.7571,5637200,0
2000-04-11,13.6457,13.7014,13.4229,13.4786,5425900,0
2000-04-12,13.59,14.9267,13.4786,14.4254,10846600,0
2000-04-13,14.4811,15.3723,14.2026,15.1495,10626100,0
2000-04-14,15.0938,15.1495,14.0913,14.1469,9750300,0
2000-04-17,14.2583,14.6482,14.2583,14.3697,3522200,0
2000-04-18,14.4254,14.5368,13.8128,14.3697,5422400,0
2000-04-19,14.4254,14.4254,14.0356,14.2583,5348800,0
2000-04-20,14.0356,14.2026,13.7014,13.7571,6912000,0
2000-04-24,13.8128,14.2583,13.7571,14.2026,3114800,0
2000-04-25,14.2026,14.4254,14.1469,14.2583,7407400,0
2000-04-26,14.2026,14.314,14.1469,14.314,5941700,0
2000-04-27,14.2026,14.2583,13.8128,14.2026,2484900,0
2000-04-28,14.2026,15.0381,13.7014,14.7596,6218800,0
2000-05-01,15.2609,16.0406,15.0381,16.0406,5887100,0
2000-05-02,15.7065,15.9849,15.4837,15.8735,3132600,0
2000-05-03,15.8178,15.8735,15.3723,15.5951,1981800,0
2000-05-04,15.4837,15.5951,14.4254,15.5951,3429800,0
2000-05-05,15.3723,15.8735,15.2052,15.6508,1821500,0
2000-05-08,15.9292,16.5419,15.8735,16.0406,2897500,0
2000-05-09,16.2077,16.3748,14.9267,15.2609,4234300,0
2000-05-10,15.1495,15.8735,15.1495,15.6508,3283500,0
2000-05-11,15.7065,16.3191,15.4837,16.0406,2997400,0
2000-05-12,16.152,16.5419,16.0963,16.4305,1927200,0
2000-05-15,16.9318,17.1546,16.5976,16.8761,2696800,0
2000-05-16,16.9318,17.433,16.7647,16.9875,4982700,0
2000-05-17,16.9875,17.5444,16.3748,16.9875,1577200,0
2000-05-18,16.9318,17.0432,16.6533,16.8552,2858600,0
2000-05-19,16.4862,16.4862,15.9292,16.2077,3832600,0
2000-05-22,16.2634,16.3748,15.4837,16.2634,1712700,0
2000-05-23,16.2634,16.9318,16.2634,16.8204,2093900,0
2000-05-24,16.8204,17.3773,16.5976,17.266,1573100,0
2000-05-25,17.2103,17.266,16.709,17.0989,1732700,0
2000-05-26,17.0432,17.6558,16.8761,17.6001,2644600,0
2000-05-30,17.7672,17.9343,17.3773,17.7115,3229000,0
2000-05-31,17.7115,18.2685,17.266,18.2685,3549600,0
2000-06-01,18.2128,18.2685,17.7672,17.8229,2878400,0
2000-06-02,18.7141,18.7698,18.1571,18.7141,3446100,0
2000-06-05,18.2685,18.6027,18.1571,18.3242,2376300,0
2000-06-06,18.6027,18.6027,18.1571,18.2128,2953900,0
2000-06-07,18.2685,18.4356,18.1014,18.4356,922400,0
2000-06-08,18.3242,18.3799,18.0457,18.2128,965300,0
2000-06-09,18.2685,18.7141,18.2685,18.7141,1196800,0
2000-06-12,18.4913,18.547,17.5444,18.2128,1072600,0
2000-06-13,18.4356,18.547,17.99,18.547,974900,0
2000-06-14,18.3242,18.3799,17.6558,17.8229,2310400,0
2000-06-15,17.8229,18.0457,17.7115,17.8229,2504400,0
2000-06-16,17.99,18.0457,17.6001,17.8786,3202100,0
2000-06-19,17.8229,17.9343,17.6001,17.8229,1275500,0
