Date,Open,High,Low,Close,Volume,openinterest
2004-10-25,15.0,15.18,14.8,15.0,574800,0
2004-10-26,15.05,15.17,14.81,15.16,797200,0
2004-10-27,15.14,15.16,14.9,15.0,845500,0
2004-10-28,15.03,15.05,14.84,14.96,1046100,0
2004-10-29,14.93,15.05,14.83,15.04,997600,0
2004-11-01,15.4,15.42,15.05,15.12,832200,0
2004-11-02,15.1,15.2,15.0,15.08,688000,0
2004-11-03,15.28,15.51,15.22,15.48,937700,0
2004-11-04,15.65,16.17,15.5,15.86,643600,0
2004-11-05,16.1,16.25,15.85,16.25,1459900,0
2004-11-08,16.42,16.64,16.27,16.64,925300,0
2004-11-09,16.73,16.74,16.24,16.43,1092900,0
2004-11-10,16.65,16.7,16.0,16.23,1219100,0
2004-11-11,16.3,16.3,16.1,16.25,655400,0
2004-11-12,16.35,16.35,16.12,16.25,1124900,0
2004-11-15,16.25,16.3,16.0,16.18,513900,0
2004-11-16,16.1,16.1,15.62,15.92,714100,0
2004-11-17,15.92,16.33,15.9,16.27,884400,0
2004-11-18,16.2,16.49,16.11,16.35,695000,0
2004-11-19,16.35,16.36,16.15,16.28,584400,0
2004-11-22,16.34,16.35,15.96,16.22,1163500,0
2004-11-23,16.3,16.37,16.15,16.25,1034000,0
2004-11-24,16.25,17.23,16.25,17.23,1456800,0
2004-11-26,17.2,17.48,17.12,17.48,301700,0
2004-11-29,17.5,17.5,16.89,17.3,706500,0
2004-11-30,17.3,17.56,17.27,17.38,1198800,0
2004-12-01,17.5,18.22,17.46,18.19,1607300,0
2004-12-02,18.23,18.58,18.15,18.2,1589800,0
2004-12-03,18.38,18.47,18.25,18.35,792000,0
2004-12-06,18.48,18.49,18.13,18.23,2090100,0
2004-12-07,18.23,18.28,17.248,17.62,1087300,0
2004-12-08,17.55,17.6,17.07,17.4,621200,0
2004-12-09,17.65,17.65,17.15,17.61,2349000,0
2004-12-10,17.45,17.65,17.36,17.42,700900,0
2004-12-13,17.38,18.19,17.38,18.18,837300,0
2004-12-14,18.1,18.37,17.98,18.2,884300,0
2004-12-15,18.2,18.37,17.6,18.24,777900,0
2004-12-16,18.3,18.3,18.0,18.11,705000,0
2004-12-17,17.6,17.7,17.0,17.15,1817600,0
2004-12-20,17.15,17.15,15.91,16.09,1994600,0
2004-12-21,16.13,16.65,16.09,16.47,924900,0
2004-12-22,16.3,16.47,16.28,16.35,425100,0
2004-12-23,16.3,16.55,16.3,16.42,284000,0
