Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,5.3877,5.5015,5.34975,5.3877,68800,0
1980-03-18,5.3877,5.46355,5.3118,5.3877,54900,0
1980-03-19,5.3877,5.46355,5.3877,5.3877,27100,0
1980-03-20,5.4256,5.46355,5.3877,5.4256,51000,0
1980-03-21,5.3877,5.5015,5.34975,5.3877,49200,0
1980-03-24,5.2359,5.4256,5.2359,5.2359,75200,0
1980-03-25,5.2359,5.3118,5.19795,5.2359,57800,0
1980-03-26,5.3118,5.34975,5.2359,5.3118,64800,0
1980-03-27,4.9324,5.19795,4.9324,4.9324,182300,0
1980-03-28,5.2359,5.3118,5.08415,5.2359,83700,0
1980-03-31,5.3118,5.3877,5.19795,5.3118,58900,0
1980-04-01,5.19795,5.3118,5.19795,5.19795,62700,0
1980-04-02,5.19795,5.2359,5.1221,5.19795,36600,0
1980-04-03,5.19795,5.2359,5.16005,5.19795,28600,0
1980-04-07,5.2359,5.2359,5.16005,5.2359,63000,0
1980-04-08,5.2359,5.27385,5.16005,5.2359,65200,0
1980-04-09,5.3118,5.34975,5.2359,5.3118,46500,0
1980-04-10,5.34975,5.3877,5.3118,5.34975,49700,0
1980-04-11,5.3877,5.4256,5.3118,5.3877,67200,0
1980-04-14,5.27385,5.3877,5.2359,5.27385,36300,0
1980-04-15,5.27385,5.34975,5.2359,5.27385,47700,0
1980-04-16,5.19795,5.3877,5.19795,5.19795,60200,0
1980-04-17,5.08415,5.2359,5.08415,5.08415,62800,0
1980-04-18,5.16005,5.19795,5.1221,5.16005,92200,0
1980-04-21,5.08415,5.16005,5.0462,5.08415,81600,0
1980-04-22,5.16005,5.19795,5.1221,5.16005,57700,0
1980-04-23,5.1221,5.19795,5.1221,5.1221,70100,0
1980-04-24,5.0462,5.16005,5.00825,5.0462,45900,0
1980-04-25,5.0462,5.08415,5.00825,5.0462,39700,0
1980-04-28,5.3877,5.3877,5.0462,5.3877,71200,0
1980-04-29,5.65325,5.65325,5.3118,5.65325,154200,0
1980-04-30,5.7671,5.7671,5.5774,5.7671,105200,0
1980-05-01,5.6153,5.72915,5.53945,5.6153,41500,0
1980-05-02,5.65325,5.72915,5.5774,5.65325,65400,0
1980-05-05,5.5015,5.53945,5.4256,5.5015,36200,0
1980-05-06,5.6153,5.6153,5.46355,5.6153,46900,0
1980-05-07,5.5015,5.65325,5.5015,5.5015,36100,0
1980-05-08,5.4256,5.6153,5.4256,5.4256,55800,0
1980-05-09,5.3877,5.46355,5.3877,5.3877,22600,0
1980-05-12,5.3877,5.4256,5.34975,5.3877,28100,0
1980-05-13,5.53945,5.53945,5.3118,5.53945,36400,0
1980-05-14,5.4256,5.5774,5.4256,5.4256,34500,0
1980-05-15,5.3877,5.4256,5.3118,5.3877,111100,0
1980-05-16,5.4256,5.4256,5.3118,5.4256,52700,0
1980-05-19,5.5774,5.5774,5.3877,5.5774,119500,0
1980-05-20,5.84295,5.84295,5.5015,5.84295,191200,0
1980-05-21,5.7671,5.80505,5.6912,5.7671,114100,0
1980-05-22,5.7671,5.80505,5.6912,5.7671,99000,0
1980-05-23,5.7671,5.80505,5.6912,5.7671,84700,0
1980-05-27,5.80505,5.8809,5.7671,5.80505,58300,0
1980-05-28,5.6912,5.80505,5.6912,5.6912,70700,0
1980-05-29,5.65325,5.72915,5.65325,5.65325,39400,0
1980-05-30,5.65325,5.65325,5.46355,5.65325,74000,0
1980-06-02,5.5774,5.65325,5.53945,5.5774,37800,0
1980-06-03,5.46355,5.5774,5.4256,5.46355,66000,0
1980-06-04,5.5774,5.5774,5.3877,5.5774,73500,0
1980-06-05,5.65325,5.65325,5.53945,5.65325,79000,0
1980-06-06,5.6153,5.65325,5.46355,5.6153,72600,0
1980-06-09,5.65325,5.65325,5.5774,5.65325,40100,0
1980-06-10,5.6153,5.65325,5.53945,5.6153,31600,0
1980-06-11,5.5774,5.65325,5.53945,5.5774,43800,0
1980-06-12,5.6153,5.65325,5.5774,5.6153,47200,0
1980-06-13,5.80505,5.84295,5.5774,5.80505,190400,0
1980-06-16,5.7671,5.84295,5.72915,5.7671,139300,0
1980-06-17,5.65325,5.72915,5.65325,5.65325,67300,0
1980-06-18,5.72915,5.72915,5.65325,5.72915,43900,0
1980-06-19,5.65325,5.72915,5.65325,5.65325,71200,0
1980-06-20,5.7671,5.80505,5.6153,5.7671,117000,0
1980-06-23,5.8809,5.8809,5.72915,5.8809,141500,0
1980-06-24,5.91885,5.91885,5.72915,5.91885,105500,0
1980-06-25,5.9568,5.99475,5.91885,5.9568,149700,0
1980-06-26,5.84295,5.99475,5.80505,5.84295,77900,0
1980-06-27,5.84295,5.91885,5.80505,5.84295,28300,0
1980-06-30,5.72915,5.80505,5.6912,5.72915,52800,0
1980-07-01,5.7671,5.80505,5.6912,5.7671,62200,0
1980-07-02,5.80505,5.80505,5.72915,5.80505,50100,0
1980-07-03,5.9568,5.9568,5.7671,5.9568,131300,0
1980-07-07,6.0706,6.0706,5.91885,6.0706,181000,0
1980-07-08,6.3362,6.37415,6.0327,6.3362,471100,0
1980-07-09,6.29825,6.4121,6.26035,6.29825,338400,0
1980-07-10,6.26035,6.3362,6.26035,6.26035,114800,0
1980-07-11,6.29825,6.3362,6.26035,6.29825,57300,0
1980-07-14,6.45005,6.4879999999999995,6.26035,6.45005,102400,0
1980-07-15,6.37415,6.4879999999999995,6.37415,6.37415,97800,0
1980-07-16,6.37415,6.45005,6.37415,6.37415,106100,0
1980-07-17,6.56385,6.6018,6.37415,6.56385,130800,0
1980-07-18,6.82945,6.90535,6.5259,6.82945,402700,0
1980-07-21,6.7915,6.8674,6.6777,6.7915,152100,0
1980-07-22,6.75355,6.82945,6.75355,6.75355,79700,0
1980-07-23,6.7156,6.7915,6.63975,6.7156,102900,0
1980-07-24,6.63975,6.7156,6.63975,6.63975,111500,0
1980-07-25,6.63975,6.6777,6.6018,6.63975,85600,0
1980-07-28,6.6777,6.7156,6.6018,6.6777,81000,0
1980-07-29,6.7915,6.7915,6.63975,6.7915,86100,0
1980-07-30,6.94325,6.9812,6.7915,6.94325,254200,0
1980-07-31,7.28475,7.28475,6.90535,7.28475,370300,0
1980-08-01,7.36065,7.4365,7.2468,7.36065,185100,0
1980-08-04,7.39855,7.4365,7.2468,7.39855,192500,0
1980-08-05,7.3227,7.39855,7.3227,7.3227,123100,0
1980-08-06,7.3227,7.3227,7.20885,7.3227,196000,0
1980-08-07,7.4365,7.4365,7.3227,7.4365,254500,0
1980-08-08,7.55035,7.55035,7.4365,7.55035,203100,0
1980-08-11,7.5124,7.55035,7.47445,7.5124,159800,0
1980-08-12,7.39855,7.5883,7.36065,7.39855,237300,0
1980-08-13,7.28475,7.47445,7.28475,7.28475,171800,0
1980-08-14,7.3227,7.36065,7.28475,7.3227,93200,0
1980-08-15,7.2468,7.36065,7.20885,7.2468,73400,0
1980-08-18,6.9812,7.20885,6.94325,6.9812,112500,0
1980-08-19,6.75355,6.90535,6.75355,6.75355,105700,0
1980-08-20,6.8674,6.8674,6.75355,6.8674,93500,0
1980-08-21,7.132999999999999,7.132999999999999,6.8674,7.132999999999999,158800,0
1980-08-22,7.01915,7.1709,7.01915,7.01915,98600,0
